SED_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
SED50106,17,14,196,242,50,408,29,322,29,1308,49,105,307,234,76,153,72,231,20,1250,225,552,666,372,280,251,200,349,34,2931,420,672,501,453,371,232,211,381,41,3285,583,780,521,565,457,266,294,399,50,3922,546,675,405,502,471,246,292,375,47,3558,288,205,118,94,125,72,93,143,15,1155,66,18,14,7,11,13,9,24,11,170,11,0,0,0,0,0,0,4,7,18,2215,3027,2726,2475,1845,1636,1203,2223,251,17599
SED50202,18,11,142,147,54,370,66,303,28,1137,92,131,447,349,227,306,236,350,37,2173,377,705,1057,704,663,364,648,607,131,5258,430,741,933,701,625,306,665,566,99,5075,332,513,636,573,526,245,606,502,72,3995,252,364,437,441,477,198,558,424,55,3211,71,95,107,104,108,59,110,100,13,773,12,14,12,0,7,0,3,13,6,78,0,0,0,0,0,0,0,0,0,9,1583,2579,3767,3017,2689,1858,2893,2869,444,21707
SED50304,4,17,86,142,48,345,30,140,18,811,80,331,282,395,223,342,97,242,36,2031,649,2241,1085,957,758,447,401,658,128,7319,847,1835,774,583,772,321,332,470,93,6034,636,1021,501,402,659,279,246,347,60,4157,402,563,420,297,551,234,214,286,42,3003,93,183,118,77,181,71,73,119,14,932,27,19,6,4,12,9,9,15,5,99,0,0,0,0,0,0,0,0,5,8,2749,6213,3278,2853,3195,2052,1406,2270,387,24400
SED50405,20,25,192,256,58,600,76,450,29,1711,109,226,528,530,245,346,189,326,47,2550,618,1217,1597,1063,918,473,790,642,122,7439,844,1452,1335,1009,939,358,689,553,116,7300,660,914,1000,740,698,288,540,483,81,5405,342,452,509,386,463,182,404,300,58,3095,61,85,60,65,70,44,80,70,5,548,0,11,5,0,8,3,4,9,0,40,0,0,0,0,0,0,0,0,3,3,2663,4380,5219,4045,3396,2298,2779,2840,465,28091
SED50502,7,15,100,197,42,313,59,251,21,1019,101,206,325,328,210,312,133,229,30,1866,425,1182,800,587,499,291,350,360,93,4586,597,1149,840,504,611,270,332,379,95,4772,518,830,655,503,689,234,385,412,73,4300,373,549,531,396,581,241,363,391,42,3479,77,148,124,110,138,71,103,130,14,913,4,13,9,3,6,10,13,16,0,70,0,0,0,0,0,0,0,0,0,3,2101,4085,3371,2635,2784,1757,1737,2173,366,21017
SED50605,20,46,93,297,60,497,55,279,20,1360,82,501,249,401,243,384,103,198,30,2182,360,1680,435,316,376,204,101,178,55,3699,905,2039,441,284,609,174,94,127,72,4742,1065,1763,393,337,678,246,127,143,56,4797,829,1266,353,260,612,233,114,154,50,3874,249,488,106,73,232,100,50,67,21,1393,33,70,10,10,26,21,4,9,8,200,0,3,0,0,0,0,0,0,3,14,3547,7853,2066,1979,2831,1851,656,1157,310,22253
SED50702,18,26,96,158,49,339,30,206,23,936,108,323,387,483,272,362,173,261,38,2425,670,1997,1282,862,859,412,569,605,153,7403,791,1507,934,575,730,271,462,417,105,5792,651,899,626,462,651,218,474,328,72,4372,428,543,465,319,616,211,393,338,51,3364,140,184,109,89,132,57,117,102,22,954,14,17,6,9,15,5,11,13,3,101,0,0,0,0,7,0,0,0,3,7,2824,5492,3916,2958,3327,1875,2230,2273,472,25364
SED50805,12,35,104,315,52,430,54,256,11,1286,79,272,233,411,199,263,67,148,9,1691,428,1474,457,354,364,167,91,135,44,3508,932,1705,407,289,472,176,97,130,31,4249,1100,1663,420,350,681,228,114,141,67,4763,701,1177,344,281,591,181,116,144,43,3579,177,346,100,66,173,87,43,50,15,1055,25,33,10,0,16,11,3,9,6,120,3,3,0,0,3,0,0,0,4,9,3461,6708,2074,2066,2551,1551,583,1026,227,20250
SED50906,8,20,173,251,59,463,53,346,26,1405,60,151,384,299,157,202,146,302,24,1722,265,771,801,457,367,293,298,539,55,3845,427,898,800,458,457,226,374,476,81,4185,523,916,721,533,570,286,434,495,73,4552,419,667,495,403,508,233,413,397,39,3576,111,216,122,91,134,67,116,112,12,975,24,21,7,6,3,4,11,11,3,94,0,0,0,3,0,5,0,0,0,7,1829,3655,3504,2498,2256,1775,1851,2681,314,20355
SED51004,21,24,192,316,71,572,86,385,24,1683,100,313,427,524,275,351,126,288,38,2442,407,934,915,602,518,309,274,362,85,4410,679,1193,862,548,688,254,271,281,85,4855,1002,1305,972,673,983,371,308,367,103,6091,593,796,691,498,724,270,315,327,50,4266,87,127,117,67,140,64,80,98,16,791,8,5,6,7,17,8,4,6,9,56,0,0,0,0,0,0,0,0,0,0,2905,4707,4175,3233,3415,2188,1455,2116,404,24604
