SOSR_CODE_2021,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
SOSR501,25,396,56259,56677,968,6160,50701,57828,35610,31339,59857,126810,79413,18712,32658,130776,74330,12468,29199,115989,65437,8545,25967,99948,55211,4190,19165,78560,29840,1282,10215,41338,7320,223,4500,12039,348143,83304,288524,719973,32,728,52884,53643,2325,9850,44987,57165,53421,35683,49466,138571,89261,18656,34012,141934,77572,12473,35656,125698,65301,7687,36569,109560,50258,3196,34087,87535,21779,833,24801,47413,3477,107,13544,17124,363434,89216,325998,778648,60,1123,109145,110322,3292,16014,95695,114996,89034,67021,109319,265379,168678,37366,66667,272710,151899,24941,64853,241689,130741,16235,62533,209507,105465,7385,53252,166100,51620,2116,35013,88751,10796,325,18046,29163,711576,172522,614517,1498619
SOSR511,4,26,2111,2147,49,363,1288,1694,1103,1107,1555,3768,2334,608,1139,4078,2421,465,1128,4018,2459,393,974,3824,2170,201,719,3093,1227,51,381,1658,269,7,178,457,12034,3222,9481,24736,0,50,2102,2155,92,524,1051,1673,1667,1215,1445,4332,2746,660,1334,4740,2721,526,1449,4699,2503,380,1388,4271,2004,139,1321,3467,904,36,986,1927,132,0,513,641,12768,3545,11591,27899,3,82,4214,4300,133,885,2339,3364,2772,2323,3006,8103,5080,1263,2471,8814,5148,992,2574,8720,4956,777,2366,8098,4178,346,2045,6568,2122,92,1366,3582,401,9,686,1096,24801,6764,21068,52637
SOSR512,0,55,3260,3320,57,598,2032,2690,1660,1750,2525,5934,3207,1138,1729,6079,3550,903,1869,6322,3700,713,1862,6279,3324,344,1390,5057,1943,90,722,2751,514,25,327,866,17969,5619,15708,39299,5,137,2969,3110,144,866,1593,2608,2334,1907,2158,6400,3823,1184,1901,6912,3990,998,2274,7262,3732,645,2341,6724,3106,262,2125,5490,1493,83,1657,3230,256,5,892,1155,18885,6091,17911,42881,6,197,6230,6437,205,1465,3625,5300,3995,3657,4682,12332,7036,2320,3632,12991,7545,1899,4141,13579,7435,1365,4207,12999,6429,604,3510,10544,3436,169,2373,5979,770,34,1211,2020,36859,11705,33616,82179
SOSR513,0,30,1639,1667,36,304,1005,1343,1140,1430,1527,4099,2407,1027,1063,4492,1951,652,1066,3670,1552,393,933,2877,896,114,472,1481,395,23,228,644,66,0,66,136,8436,3969,7995,20405,5,59,1428,1485,51,453,819,1324,1738,1682,1448,4869,2639,1026,1085,4754,1929,603,1018,3556,1414,310,912,2629,746,74,620,1452,271,22,391,680,34,0,146,182,8834,4225,7864,20928,3,84,3067,3149,88,756,1821,2666,2878,3112,2976,8963,5046,2048,2145,9245,3880,1257,2091,7227,2959,698,1845,5504,1649,186,1099,2934,668,39,614,1325,97,0,216,313,17272,8192,15864,41324
SOSR514,0,12,738,751,9,90,404,505,289,401,583,1268,774,320,405,1499,808,234,436,1474,787,157,425,1375,878,97,391,1365,479,19,152,650,91,0,70,161,4108,1324,3619,9042,0,15,628,647,19,137,268,424,460,473,484,1412,1000,357,518,1869,859,254,620,1732,837,151,555,1542,814,64,512,1387,342,13,348,704,41,0,190,228,4374,1456,4122,9953,0,29,1366,1395,31,225,670,929,746,870,1068,2686,1771,674,926,3370,1668,486,1049,3208,1626,304,978,2911,1692,158,904,2754,812,34,506,1349,126,0,267,391,8480,2779,7739,18998
SOSR515,0,45,2111,2164,52,392,1340,1788,1284,1433,1753,4466,2332,970,1230,4534,2457,775,1526,4746,2628,617,1531,4781,2467,310,1268,4041,1391,99,599,2087,319,14,240,569,12921,4654,11602,29181,4,78,1933,2015,113,590,1002,1703,1798,1656,1615,5067,2843,1019,1320,5179,2643,778,1543,4965,2781,566,1582,4927,2331,250,1524,4105,979,56,1080,2121,151,11,565,727,13636,5012,12162,30803,9,130,4044,4178,170,974,2342,3492,3080,3090,3361,9541,5173,1993,2552,9714,5098,1548,3065,9713,5407,1188,3116,9704,4793,565,2786,8144,2368,155,1684,4203,468,24,809,1293,26559,9666,23767,59986
SOSR521,5,26,805,834,36,139,531,707,426,478,659,1563,785,309,543,1643,900,290,717,1904,1104,327,826,2261,1141,163,684,1990,584,49,325,962,131,0,105,239,5118,1781,5202,12101,7,37,767,814,51,202,416,669,613,550,684,1843,972,364,620,1958,1003,353,714,2072,1175,275,792,2243,1062,119,685,1861,422,28,524,969,64,0,211,279,5368,1931,5413,12715,12,64,1568,1647,87,342,950,1378,1036,1025,1340,3403,1756,672,1168,3600,1904,644,1430,3980,2285,597,1620,4504,2206,274,1374,3857,1007,75,852,1931,198,3,318,517,10488,3708,10614,24812
SOSR522,7,16,497,519,42,101,308,450,261,311,439,1005,420,211,334,969,471,183,415,1070,581,144,488,1212,634,74,433,1141,353,26,189,572,84,5,52,141,2851,1071,3155,7082,18,22,460,497,51,141,307,498,355,327,406,1087,485,232,349,1068,508,177,369,1053,636,137,480,1254,570,55,379,1008,255,15,249,523,35,0,99,142,2918,1119,3095,7131,22,37,955,1015,92,240,619,954,617,636,841,2095,911,449,681,2033,978,362,789,2126,1219,279,966,2469,1201,133,808,2147,604,49,437,1094,118,10,148,278,5764,2192,6256,14211
SOSR531,10,46,3680,3730,64,292,2414,2779,1546,1294,2276,5116,4094,1209,1577,6883,5974,1357,2107,9444,7123,1269,2528,10923,6135,684,2219,9032,2691,159,974,3826,437,15,266,722,28078,6322,18046,52443,17,78,3293,3388,106,431,1702,2241,2313,1574,1672,5552,5243,1358,1267,7866,6767,1552,1616,9939,7488,1221,1878,10593,5386,442,1674,7498,1802,102,1165,3067,182,3,511,694,29292,6770,14782,50847,25,117,6972,7117,177,723,4114,5017,3858,2864,3946,10671,9333,2570,2845,14750,12746,2911,3725,19377,14609,2496,4408,21514,11515,1125,3896,16537,4491,260,2144,6891,616,22,773,1421,57375,13092,32829,103293
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
