SOSR_CODE_2021,A75_84_L_PinE_NS_19,A75_84_L_PinE_NS_20,A75_84_L_PinE_NS_21,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B_05,A75_84_T_05_10,A75_84_T_11_15,A75_84_T_16,A75_84_T_17,A75_84_T_18,A75_84_T_19,A75_84_T_20,A75_84_T_21,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B_05,A85ov_SEO_05_10,A85ov_SEO_11_15,A85ov_SEO_16,A85ov_SEO_17,A85ov_SEO_18,A85ov_SEO_19,A85ov_SEO_20,A85ov_SEO_21,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_UOLSE_VWW_B_05,A85ov_UOLSE_VWW_05_10,A85ov_UOLSE_VWW_11_15,A85ov_UOLSE_VWW_16,A85ov_UOLSE_VWW_17,A85ov_UOLSE_VWW_18,A85ov_UOLSE_VWW_19,A85ov_UOLSE_VWW_20,A85ov_UOLSE_VWW_21,A85ov_UOLSE_VWW_YNS,A85ov_UOLSE_VWW_T,A85ov_UOLSE_NWNAA_B_05,A85ov_UOLSE_NWNAA_05_10,A85ov_UOLSE_NWNAA_11_15,A85ov_UOLSE_NWNAA_16,A85ov_UOLSE_NWNAA_17,A85ov_UOLSE_NWNAA_18,A85ov_UOLSE_NWNAA_19,A85ov_UOLSE_NWNAA_20,A85ov_UOLSE_NWNAA_21,A85ov_UOLSE_NWNAA_YNS,A85ov_UOLSE_NWNAA_T,A85ov_UOLSE_PinE_NS_B_05,A85ov_UOLSE_PinE_NS_05_10,A85ov_UOLSE_PinE_NS_11_15,A85ov_UOLSE_PinE_NS_16,A85ov_UOLSE_PinE_NS_17,A85ov_UOLSE_PinE_NS_18,A85ov_UOLSE_PinE_NS_19,A85ov_UOLSE_PinE_NS_20,A85ov_UOLSE_PinE_NS_21,A85ov_UOLSE_PinE_NS_YNS,A85ov_UOLSE_PinE_NS_T,A85ov_UOLSE_T_B_05,A85ov_UOLSE_T_05_10,A85ov_UOLSE_T_11_15,A85ov_UOLSE_T_16,A85ov_UOLSE_T_17,A85ov_UOLSE_T_18,A85ov_UOLSE_T_19,A85ov_UOLSE_T_20,A85ov_UOLSE_T_21,A85ov_UOLSE_T_YNS,A85ov_UOLSE_T_T,A85ov_L_PinE_NS_B_05,A85ov_L_PinE_NS_05_10,A85ov_L_PinE_NS_11_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_17,A85ov_L_PinE_NS_18,A85ov_L_PinE_NS_19,A85ov_L_PinE_NS_20,A85ov_L_PinE_NS_21,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B_05,A85ov_T_05_10,A85ov_T_11_15,A85ov_T_16,A85ov_T_17,A85ov_T_18,A85ov_T_19,A85ov_T_20,A85ov_T_21,A85ov_T_YNS,A85ov_T_T,T_SEO_B_05,T_SEO_05_10,T_SEO_11_15,T_SEO_16,T_SEO_17,T_SEO_18,T_SEO_19,T_SEO_20,T_SEO_21,T_SEO_YNS,T_SEO_T,T_UOLSE_VWW_B_05,T_UOLSE_VWW_05_10,T_UOLSE_VWW_11_15,T_UOLSE_VWW_16,T_UOLSE_VWW_17,T_UOLSE_VWW_18,T_UOLSE_VWW_19,T_UOLSE_VWW_20,T_UOLSE_VWW_21,T_UOLSE_VWW_YNS,T_UOLSE_VWW_T,T_UOLSE_NWNAA_B_05,T_UOLSE_NWNAA_05_10,T_UOLSE_NWNAA_11_15,T_UOLSE_NWNAA_16,T_UOLSE_NWNAA_17,T_UOLSE_NWNAA_18,T_UOLSE_NWNAA_19,T_UOLSE_NWNAA_20,T_UOLSE_NWNAA_21,T_UOLSE_NWNAA_YNS,T_UOLSE_NWNAA_T,T_UOLSE_PinE_NS_B_05,T_UOLSE_PinE_NS_05_10,T_UOLSE_PinE_NS_11_15,T_UOLSE_PinE_NS_16,T_UOLSE_PinE_NS_17,T_UOLSE_PinE_NS_18,T_UOLSE_PinE_NS_19,T_UOLSE_PinE_NS_20,T_UOLSE_PinE_NS_21,T_UOLSE_PinE_NS_YNS,T_UOLSE_PinE_NS_T,T_UOLSE_T_B_05,T_UOLSE_T_05_10,T_UOLSE_T_11_15,T_UOLSE_T_16,T_UOLSE_T_17,T_UOLSE_T_18,T_UOLSE_T_19,T_UOLSE_T_20,T_UOLSE_T_21,T_UOLSE_T_YNS,T_UOLSE_T_T,T_L_PinE_NS_B_05,T_L_PinE_NS_05_10,T_L_PinE_NS_11_15,T_L_PinE_NS_16,T_L_PinE_NS_17,T_L_PinE_NS_18,T_L_PinE_NS_19,T_L_PinE_NS_20,T_L_PinE_NS_21,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B_05,T_T_05_10,T_T_11_15,T_T_16,T_T_17,T_T_18,T_T_19,T_T_20,T_T_21,T_T_YNS,T_T_T
SOSR501,0,0,0,126,233,43443,1529,922,159,111,140,347,200,31,1549,48423,10020,265,115,10,15,18,31,17,3,784,11285,3373,48,34,7,0,5,7,6,0,279,3757,2176,84,53,13,12,10,25,14,0,174,2547,27,0,5,0,0,0,0,0,0,48,81,5579,125,90,16,11,15,36,17,0,493,6377,65,4,0,0,0,0,0,0,0,149,215,15664,391,198,27,29,35,62,38,3,1426,17881,245199,68141,52684,5844,5160,5313,6116,3426,1498,7608,400991,92103,73367,66942,12646,11506,13185,15702,6486,1332,4354,297620,15476,7257,6819,1628,1599,1805,3500,1825,485,1385,41780,252,141,117,27,23,30,71,38,27,176,904,107839,80765,73878,14303,13122,15025,19275,8351,1846,5911,340305,359,117,106,28,18,24,27,25,5,1142,1854,353400,149025,126662,20172,18296,20361,25422,11797,3346,14657,743151
SOSR511,0,0,0,4,10,1068,28,23,0,0,0,6,8,0,39,1180,285,6,6,0,0,0,0,3,0,24,324,63,0,0,0,0,0,0,0,0,3,65,28,0,0,0,0,0,0,0,0,5,27,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,3,96,5,0,0,0,0,0,0,0,0,0,0,368,9,5,0,0,0,0,3,0,33,425,6462,1787,1147,111,104,112,127,78,37,254,10214,947,1198,1237,191,208,177,210,95,33,69,4376,81,61,52,5,29,47,76,30,3,9,396,3,0,3,0,0,0,0,0,0,0,18,1030,1261,1294,201,240,225,282,128,43,76,4785,8,0,0,0,0,0,0,0,0,86,100,7494,3054,2448,308,347,341,418,204,75,418,15098
SOSR512,0,0,0,13,17,1919,47,31,4,7,3,6,6,0,103,2126,544,15,4,0,0,0,3,0,0,68,623,89,0,0,0,0,0,0,0,0,10,102,19,0,0,0,0,0,0,0,0,5,23,0,0,0,0,0,0,0,0,0,0,3,111,0,0,0,0,0,0,0,0,15,123,6,0,0,0,0,0,0,0,0,10,14,661,15,3,0,0,0,3,0,0,90,768,9975,2193,1668,177,189,224,243,129,62,427,15282,1328,1911,1839,304,328,363,421,179,106,91,6866,135,86,136,51,17,32,60,38,47,26,619,7,6,0,0,0,0,5,0,0,3,24,1462,2000,1973,356,341,393,481,220,157,116,7511,30,5,0,0,0,0,3,0,0,136,182,11468,4201,3642,534,534,619,732,345,218,678,22971
SOSR513,0,0,0,3,11,444,28,12,3,0,0,0,0,3,36,532,94,0,3,0,0,0,0,3,0,12,108,11,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,8,27,8,0,0,0,0,0,0,0,0,8,18,118,3,7,0,0,0,0,3,0,25,150,4492,2066,1645,163,137,155,209,113,54,238,9286,772,1256,1259,261,219,251,393,155,53,103,4724,60,42,35,12,14,27,53,22,3,8,280,6,3,3,0,0,0,0,3,0,0,21,834,1306,1303,275,235,273,452,181,59,110,5029,20,9,3,0,0,0,7,0,0,32,62,5346,3383,2957,439,370,433,668,297,108,383,14375
SOSR514,0,0,0,0,7,408,11,14,0,0,0,0,0,0,23,452,96,0,0,0,0,0,0,3,0,9,107,19,0,0,0,0,0,0,0,0,8,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,8,22,0,0,0,0,0,0,0,0,0,6,8,116,0,0,0,0,0,0,3,0,22,146,2582,463,400,64,35,38,72,30,11,108,3805,270,262,317,60,55,63,83,42,11,33,1183,19,18,21,7,0,3,14,12,0,57,152,4,0,0,0,0,0,0,0,0,0,3,285,282,340,59,57,74,101,47,12,85,1338,7,0,0,0,0,0,0,0,0,19,28,2880,743,745,127,89,113,169,79,25,211,5175
SOSR515,0,0,0,12,24,1395,30,10,0,0,0,3,3,0,98,1535,312,4,3,0,0,0,0,0,0,32,354,66,0,0,0,0,0,0,0,0,17,81,18,0,0,0,0,0,0,0,0,8,23,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,23,105,7,0,0,0,0,0,0,0,0,18,25,399,4,4,0,0,0,0,0,0,73,481,7906,1469,1037,129,130,133,171,83,44,457,11569,937,973,951,249,189,257,373,159,109,162,4359,84,119,96,31,26,51,74,29,22,34,561,5,0,4,0,0,0,3,6,6,4,35,1028,1097,1058,278,214,307,455,197,134,204,4957,29,3,3,0,0,0,5,0,0,51,101,8964,2570,2094,407,348,443,630,282,179,712,16625
SOSR521,0,0,0,0,3,527,8,5,0,0,0,5,0,0,35,575,108,0,0,0,0,0,0,0,0,8,118,19,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,28,3,0,0,0,0,0,0,0,0,7,4,137,0,0,0,0,0,0,0,0,14,150,3250,485,392,59,50,49,58,28,16,209,4595,296,280,328,73,55,80,110,57,43,33,1359,9,13,12,0,5,23,26,13,14,7,119,5,3,3,0,0,0,0,0,3,0,18,310,290,347,75,62,106,132,73,60,38,1491,14,0,0,0,0,0,0,0,0,13,26,3570,781,736,131,112,156,190,102,71,263,6117
SOSR522,0,0,0,5,5,300,5,0,0,0,0,0,0,0,13,315,59,0,0,0,0,0,0,0,0,3,66,3,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,3,70,0,0,0,0,0,0,0,0,10,75,1652,217,171,44,24,26,35,16,5,91,2278,111,82,110,30,13,33,50,13,5,14,453,15,3,4,0,0,0,3,0,0,0,32,3,0,0,0,0,0,0,0,0,0,3,130,83,110,31,13,33,51,13,5,17,486,5,0,0,0,0,0,0,0,0,26,35,1790,301,287,74,36,62,82,23,13,135,2797
SOSR531,0,0,0,9,22,2287,50,28,9,6,3,8,5,0,107,2499,358,4,9,0,0,5,0,4,0,17,397,75,0,0,0,0,0,0,0,0,0,78,26,0,0,0,0,0,0,0,0,5,30,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,4,110,3,0,0,0,0,0,0,0,0,0,7,475,4,7,0,0,5,0,4,0,27,509,16977,2666,1555,191,130,194,277,105,60,799,22953,1895,1139,951,140,166,226,411,133,98,162,5327,214,45,71,8,21,51,68,32,17,24,543,8,3,0,0,0,0,3,0,9,13,44,2121,1189,1023,151,186,274,485,168,117,203,5919,55,11,3,0,0,0,5,6,0,799,878,19156,3867,2582,344,325,471,766,273,179,1804,29754
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,24,14,0,0,5,4,0,0,0,84,18,8,5,0,0,3,3,6,0,19,59,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,17,13,5,0,0,3,3,6,0,19,59,0,0,0,0,0,0,0,0,0,0,3,48,36,20,0,5,6,8,3,0,16,148
