SOSR_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
SOSR501,582882,1589002,79026,148105,30958,62484,109986,210592,18883,30468,14370,22805,16121,26200,9300,16017,735,1509,59408,96994,851,1188,927,1305,66,126,355,714,2198,3329,744,1425,755215,1901339,70264,..,825485,1901339
SOSR511,23878,61713,2775,4318,438,802,3206,5124,450,682,104,160,15,27,32,53,9,12,610,933,133,185,90,135,12,7,12,20,238,350,50,87,27979,68201,2864,..,30845,68201
SOSR512,38228,95813,4488,7301,712,1393,5195,8696,378,583,15,14,20,27,0,0,55,99,461,727,133,192,287,405,18,32,42,78,473,710,88,167,44443,106110,7347,..,51795,106110
SOSR513,17733,49988,2101,4229,665,1372,2764,5601,565,908,148,222,114,195,137,198,12,15,967,1544,232,450,42,61,20,36,43,105,328,653,127,241,21923,58030,4624,..,26552,58030
SOSR514,9451,23028,530,952,162,323,689,1275,138,211,0,0,0,3,0,0,3,5,141,224,30,46,29,74,0,3,0,4,60,126,37,77,10381,24727,3042,..,13419,24727
SOSR515,29247,72704,2185,3521,231,432,2415,3952,367,613,24,38,0,0,0,0,9,14,397,668,409,698,113,166,31,61,73,187,623,1120,159,290,32849,78732,8336,..,41190,78732
SOSR521,12540,29971,543,947,54,90,589,1034,146,217,9,7,0,0,0,0,9,14,153,236,175,301,23,38,15,22,54,116,267,477,100,154,13658,31873,4531,..,18191,31873
SOSR522,6988,17531,223,363,11,26,233,390,52,75,0,0,0,0,0,0,5,0,55,82,129,225,17,31,7,15,21,56,174,325,83,154,7539,18479,3575,..,11118,18479
SOSR531,48095,125173,323,817,36,88,357,905,65,116,5,12,0,0,4,4,92,196,163,332,838,1545,347,563,169,373,132,337,1485,2812,635,1361,50741,130583,13513,..,64253,130583
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,13,3,15,0,..,3,15
SOSR599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
