SOSR_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
SOSR501,378,3378,27696,213225,286019,39693,6514,5976,582882,116,5553,26250,41298,3906,337,141,1410,79026,79,2165,9097,15563,3246,335,108,377,30958,199,7719,35348,56854,7157,669,253,1787,109986,120,4090,10881,3124,239,24,35,370,18883,194,4028,8062,1794,74,6,8,211,14370,222,4971,8220,2403,92,4,10,194,16121,128,2201,5201,1595,60,3,6,97,9300,18,188,236,105,101,41,31,21,735,681,15477,32599,9026,568,79,86,895,59408,180,796,807,192,79,15,10,115,2198,19,103,144,183,123,21,13,133,744,1455,27478,96596,279484,293943,40479,6882,8903,755215
SOSR511,17,91,968,8454,12705,1198,169,274,23878,8,328,1098,1147,86,0,7,98,2775,0,15,89,280,47,3,0,5,438,8,342,1187,1432,131,6,7,98,3206,4,132,211,93,0,0,0,13,450,0,10,64,26,0,0,0,0,104,0,0,12,3,0,0,0,0,15,0,0,10,20,0,0,0,0,32,5,3,0,0,0,0,0,0,9,3,142,296,136,7,0,0,12,610,16,118,71,21,3,0,0,26,238,0,8,4,12,12,0,0,7,50,39,707,2524,10053,12858,1203,183,415,27979
SOSR512,36,374,2810,16347,15960,1831,331,532,38228,13,651,2017,1538,118,3,8,130,4488,4,51,191,276,154,23,0,14,712,17,706,2199,1816,275,30,12,143,5195,0,127,159,65,8,0,0,15,378,0,4,10,0,0,0,0,0,15,0,4,10,4,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,15,15,8,7,0,4,0,55,4,142,202,80,15,0,6,15,461,45,180,148,66,18,3,5,14,473,3,11,18,17,18,6,3,12,88,106,1418,5391,18325,16282,1865,350,712,44443
SOSR513,23,308,954,7451,7764,806,121,294,17733,30,304,858,696,127,9,0,80,2101,9,80,209,282,67,9,0,6,665,38,385,1069,976,192,15,4,88,2764,3,185,269,81,4,0,0,13,565,0,52,81,11,0,0,0,0,148,0,37,55,25,0,0,0,3,114,0,61,65,5,0,0,0,0,137,0,3,5,4,0,0,0,0,12,8,329,464,128,7,0,6,19,967,59,152,45,30,27,9,4,11,328,13,44,24,19,7,3,7,14,127,144,1210,2557,8602,8002,842,139,432,21923
SOSR514,12,80,867,4156,3740,366,63,154,9451,6,59,179,178,80,4,0,20,530,0,26,40,54,26,4,0,5,162,6,84,223,235,108,12,0,26,689,0,6,80,41,3,0,0,3,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,81,46,3,0,0,4,141,3,17,16,6,16,0,0,0,60,0,6,7,5,10,0,6,8,37,26,184,1197,4442,3876,383,68,203,10381
SOSR515,54,410,2916,13759,10272,1166,208,462,29247,4,395,1128,514,44,10,5,87,2185,0,29,74,82,27,10,0,9,231,4,423,1198,592,73,18,4,94,2415,4,116,151,80,6,0,5,13,367,0,0,17,12,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,9,4,118,168,87,6,0,5,17,397,85,233,113,58,43,7,0,78,623,3,32,43,37,15,0,16,15,159,152,1213,4438,14543,10411,1191,230,666,32849
SOSR521,38,283,1735,5916,3604,508,119,337,12540,0,116,244,115,27,0,5,22,543,0,6,16,20,9,0,0,5,54,3,119,263,134,40,3,5,27,589,0,38,49,31,8,0,0,21,146,0,7,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,0,44,56,31,8,0,0,21,153,25,121,32,24,26,4,7,23,267,3,28,19,21,4,0,4,11,100,67,602,2104,6127,3684,518,136,424,13658
SOSR522,17,195,1066,3431,1813,236,61,162,6988,0,40,102,55,13,0,0,12,223,0,0,7,0,5,0,0,0,11,0,42,110,55,16,0,0,12,233,0,22,19,6,4,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,22,14,8,4,0,0,0,55,16,70,27,26,10,0,3,20,174,4,14,22,19,7,0,4,18,83,37,350,1244,3534,1848,239,71,210,7539
SOSR531,271,1426,4904,15753,19009,4469,1528,741,48095,0,24,78,101,97,12,3,5,323,0,0,6,15,17,0,0,0,36,0,24,80,111,111,17,4,7,357,7,11,16,8,8,4,3,3,65,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,21,27,16,11,5,3,4,92,8,38,45,23,20,10,11,7,163,214,487,284,201,124,24,21,129,1485,32,91,94,135,130,43,46,70,635,530,2068,5407,16221,19391,4565,1611,953,50741
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
