SOSR_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SOSR501,519265,538723,1057992,50910,54002,104909,7400,7705,15104,6543,7123,13664,5850,6071,11926,2043,2133,4173,234249,248748,482992,930,1062,1997,1808,1803,3611,778,794,1574,113,128,242,259710,275575,535286,49315,54937,104252,7485,6721,14204,367420,391229,758655,55659,45614,101271,942351,975567,1917922
SOSR511,18955,19800,38754,2849,3074,5924,178,183,359,189,174,361,215,244,457,75,67,141,8008,9136,17142,52,66,116,137,130,266,13,16,24,0,0,0,8864,10009,18871,811,990,1805,308,266,575,12839,14343,27177,2821,1914,4730,34611,36057,70669
SOSR512,28514,29382,57898,5430,5844,11273,376,384,768,373,409,782,467,444,912,174,173,354,12570,13836,26408,105,120,220,152,166,314,24,33,56,0,0,0,14235,15566,29805,1562,1603,3164,502,445,950,21737,23449,45190,5485,4483,9973,55739,57317,113056
SOSR513,11963,11383,23338,5210,5331,10542,443,462,906,424,449,873,748,655,1398,187,164,353,6372,6706,13078,52,64,119,221,226,447,24,28,55,7,5,9,8476,8761,17236,1041,1304,2348,343,298,636,15066,15697,30767,4698,3950,8653,31730,31033,62760
SOSR514,6813,6888,13698,2097,2322,4416,97,109,203,84,100,188,76,77,156,18,36,57,2088,2360,4450,19,22,43,26,15,45,5,5,7,4,6,5,2420,2733,5152,417,399,818,94,96,189,5021,5553,10579,1329,1150,2476,13166,13589,26754
SOSR515,21000,20576,41572,5104,5437,10542,316,319,634,311,317,624,474,457,927,122,133,253,8757,9391,18148,66,67,133,166,176,345,24,19,47,14,10,26,10247,10886,21135,1098,1202,2306,310,270,574,16759,17795,34560,5518,4884,10396,43274,43252,86534
SOSR521,9622,9434,19057,1740,1816,3554,96,98,203,87,82,174,138,131,267,62,56,118,3233,3374,6606,31,26,61,69,53,124,8,6,14,0,0,0,3725,3835,7557,329,438,767,119,99,219,5912,6189,12094,2349,2111,4457,17877,17731,35610
SOSR522,5976,5768,11746,951,976,1927,48,51,98,39,46,86,67,60,127,38,41,76,1628,1702,3334,11,17,29,37,35,68,5,5,9,0,0,0,1875,1952,3826,155,172,323,45,37,90,3028,3136,6167,1268,1084,2359,10278,9991,20271
SOSR531,47928,42673,90602,4257,3945,8206,431,355,779,427,344,772,600,431,1029,215,162,378,15210,14165,29375,94,73,164,201,148,351,33,18,45,10,11,21,17211,15695,32912,1449,1388,2833,371,277,651,23289,21308,44601,14406,6826,21232,85628,70804,156428
SOSR579,123,16,139,0,0,0,11,0,8,0,0,0,12,0,15,0,0,0,78,9,88,0,0,0,5,0,4,0,0,0,0,0,0,102,13,116,34,10,38,0,0,0,137,24,163,199,19,222,455,58,514
SOSR599,365,234,595,139,96,234,161,141,302,131,129,257,206,200,407,42,44,91,889,802,1698,27,27,53,34,30,60,7,14,21,0,0,0,1499,1391,2889,228,255,488,32,21,50,1901,1766,3664,2225,1267,3492,4491,3264,7755
