SOSR_CODE_2021,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
SOSR501,1624,4022,4152,3888,3245,2489,1118,218,20751,2265,5484,7796,4259,2137,826,159,7,22946,8873,32173,33843,29566,26942,20641,9550,2498,164076,3266,10336,9275,7838,6817,5214,2681,817,46246,622,1722,2119,1924,1558,1031,542,154,9678,1721,6433,6019,5101,3884,2452,1218,338,27170,665,2727,2866,2956,3360,3059,1495,378,17513,6360,15649,20123,16737,12194,8289,3503,757,83602,4053,8056,7648,6734,5189,4076,1682,352,37791,2919,4186,3358,1960,1261,968,326,81,15057,1949,4738,4818,3284,2333,1276,597,117,19117,314,151,78,66,67,56,36,12,790,558,1552,1846,1673,1223,764,446,137,8197,7218,12565,11950,10078,7703,5463,4345,2634,61948,42403,109800,115899,96065,77910,56591,27710,8501,534878,2252,5159,5115,3573,2255,1185,385,105,20038,416,2116,2532,1349,883,314,63,7,7678,1101,4244,4018,2315,1461,872,448,279,14737,495,2012,1620,1026,642,287,74,22,6172,584,1570,1652,1052,628,272,64,23,5854,7010,22580,19031,14947,12966,8580,4047,1325,90482,3447,11523,13354,13549,11730,8667,3644,974,66897,8311,26199
SOSR511,14,47,74,56,66,60,26,0,344,68,120,124,54,33,14,9,0,421,439,1200,1325,1256,1145,845,373,81,6676,154,428,373,296,311,231,116,28,1942,39,75,86,99,101,57,35,13,508,43,131,175,165,153,97,39,7,800,21,74,112,159,165,152,54,15,746,127,221,343,344,286,202,80,9,1616,121,140,143,135,142,106,38,17,841,52,50,54,36,31,14,7,0,248,51,134,153,124,103,57,21,0,633,8,4,0,0,9,5,0,0,36,17,36,69,72,61,23,10,3,288,260,445,455,455,375,312,180,111,2601,1423,3116,3487,3262,2976,2177,979,293,17712,21,82,88,94,54,28,0,0,365,8,29,39,29,28,9,3,0,144,42,112,96,59,48,26,11,10,409,11,38,46,40,17,5,0,0,151,31,62,75,61,39,9,7,0,276,258,592,621,506,551,391,172,59,3153,166,372,546,625,486,329,129,34,2677,348,839
SOSR512,46,124,154,108,97,72,41,11,658,90,151,127,72,49,28,9,0,527,680,1940,1884,1812,1623,1202,528,137,9803,236,650,499,456,482,402,213,62,3002,103,157,210,232,212,173,85,26,1194,53,199,233,275,230,135,49,14,1186,23,138,173,233,251,227,79,15,1144,196,298,465,476,436,304,137,26,2343,126,219,244,252,217,187,60,17,1317,73,82,94,63,58,47,12,0,430,99,262,265,239,163,92,42,10,1171,14,19,5,4,4,0,6,4,48,32,51,92,88,72,46,27,4,405,614,875,880,816,745,549,405,196,5083,2400,5162,5313,5128,4639,3461,1689,536,28319,44,147,184,113,75,37,8,0,607,9,38,54,37,21,18,8,0,181,68,138,114,82,52,24,28,16,511,10,39,48,40,25,6,4,0,174,75,125,123,117,87,31,6,5,569,415,939,909,871,836,607,314,114,5003,185,610,818,910,729,504,222,55,4039,479,992
SOSR513,15,45,53,42,19,18,11,0,214,37,62,70,33,19,9,0,0,234,397,1526,1626,1249,820,386,124,24,6152,104,492,445,286,262,111,41,5,1758,33,90,129,108,81,32,23,3,500,16,126,133,128,113,39,11,3,564,8,98,144,137,97,48,16,4,555,74,254,404,308,187,92,34,4,1352,66,169,177,145,101,47,21,0,719,33,64,55,32,17,15,3,0,225,48,116,144,123,88,19,12,0,550,9,5,5,4,3,0,0,0,31,16,63,80,74,46,25,9,6,324,664,980,965,815,617,256,142,44,4482,1534,4084,4425,3477,2480,1095,449,100,17654,19,98,105,59,22,6,6,0,308,10,26,35,18,9,7,0,0,102,49,175,127,56,15,11,3,0,445,10,38,18,28,15,4,0,0,103,21,69,77,43,20,3,0,0,231,148,681,584,385,326,147,73,13,2359,104,528,574,412,267,134,53,9,2086,257,891
SOSR514,12,29,46,47,28,42,11,0,208,19,25,25,21,16,14,0,0,114,108,319,376,403,372,330,123,35,2062,42,161,193,138,142,87,28,10,806,14,45,76,63,41,25,21,0,294,11,25,50,49,59,36,23,3,261,3,21,56,46,45,53,28,5,264,45,112,123,113,90,82,45,12,615,13,59,73,39,42,58,22,4,307,5,19,25,23,15,8,8,0,115,33,75,100,92,48,24,11,0,377,3,3,0,0,6,0,0,0,9,3,13,18,21,9,16,10,0,96,176,220,223,233,180,151,116,62,1351,488,1135,1386,1282,1084,933,440,127,6878,3,29,50,31,15,15,0,0,146,4,6,14,8,0,0,0,0,38,11,16,32,18,13,11,8,5,106,0,16,26,17,5,5,4,0,61,14,15,57,32,21,6,0,0,149,46,170,190,166,188,158,80,12,1018,29,130,249,200,168,151,51,14,991,89,246
SOSR515,35,62,71,76,58,60,20,7,383,52,79,61,40,21,20,7,0,271,463,1492,1461,1319,1285,895,372,88,7370,167,454,379,345,345,286,114,36,2119,78,158,206,180,177,104,65,12,983,23,115,124,149,124,81,31,12,668,37,89,140,161,163,169,49,17,818,107,230,260,264,238,194,78,14,1386,78,182,162,173,165,101,53,0,919,40,70,56,33,46,43,22,0,312,77,139,182,165,128,68,41,14,809,20,10,6,0,5,0,3,0,43,21,62,59,75,51,40,24,3,327,751,922,868,904,779,610,390,169,5394,1941,4065,4037,3886,3580,2677,1259,366,21810,29,108,130,74,52,27,9,0,434,12,21,30,20,19,24,4,0,126,53,127,97,71,46,26,16,7,446,4,32,32,23,7,14,0,0,115,69,125,151,119,54,27,4,0,555,214,641,549,478,529,418,169,54,3046,150,539,615,607,511,333,126,35,2909,307,830
SOSR521,4,26,32,31,19,26,10,3,153,15,18,32,17,16,10,0,0,96,156,464,495,492,532,388,160,36,2731,27,125,106,124,138,106,41,8,673,33,59,82,86,84,57,24,0,431,6,40,42,50,72,42,5,3,270,11,33,39,50,66,67,16,0,285,32,86,66,101,105,65,29,3,484,23,51,64,56,53,50,16,3,317,15,17,20,13,7,17,10,0,99,15,45,41,45,60,33,14,0,258,3,0,3,0,0,0,0,0,10,5,11,20,17,27,27,14,0,119,267,337,354,445,451,327,211,59,2449,618,1325,1401,1536,1627,1206,543,124,8384,7,28,31,31,23,12,0,0,130,3,5,13,11,11,3,0,0,39,12,49,34,28,18,10,10,4,158,7,15,5,9,13,5,0,0,53,27,70,66,39,31,5,6,0,237,59,170,195,197,232,179,89,32,1145,49,198,224,208,204,144,58,11,1109,105,266
SOSR522,8,15,13,10,10,7,10,0,81,6,9,8,3,7,8,0,0,40,72,237,203,234,273,246,82,13,1360,26,64,73,66,66,63,29,7,386,27,35,55,51,47,42,16,5,281,4,22,28,16,30,18,7,0,130,9,25,19,34,36,32,13,0,164,16,41,34,57,48,46,12,4,264,7,27,34,20,28,37,11,4,169,6,9,10,5,9,8,6,0,52,12,28,21,24,24,16,0,0,132,0,0,0,0,0,0,0,0,3,0,12,17,10,16,5,3,0,76,159,173,183,219,235,228,113,42,1360,359,696,702,763,826,762,315,70,4492,6,18,18,15,14,8,0,0,80,0,8,4,4,4,3,0,0,27,6,15,19,10,11,6,4,0,66,0,3,11,8,0,0,0,0,18,13,36,43,25,28,12,0,0,150,38,105,103,74,139,98,50,5,607,31,115,95,120,129,86,32,5,621,45,109
SOSR531,46,123,168,197,205,193,59,9,1000,77,95,108,104,91,34,6,0,508,890,2314,2590,2946,3149,2134,708,81,14814,236,605,646,702,783,580,201,28,3786,274,401,631,751,641,507,169,32,3402,48,129,178,260,298,216,111,19,1257,33,74,153,230,322,341,94,11,1264,241,351,513,723,687,499,164,31,3209,151,206,222,250,312,263,95,9,1506,85,124,86,97,77,94,32,6,602,99,178,218,245,202,106,48,0,1102,27,5,3,5,13,8,6,0,57,43,65,89,116,130,93,25,7,578,1454,2222,2233,2321,1981,1281,600,130,12229,3698,6901,7839,8957,8901,6340,2313,367,45319,59,157,266,266,178,97,15,0,1041,11,22,26,57,49,27,3,0,201,67,172,153,166,108,62,29,6,761,13,65,61,76,44,19,4,0,285,187,298,418,349,279,97,28,4,1653,322,824,947,1159,1420,904,320,71,5974,210,582,1000,1275,1281,949,264,43,5607,419,913
SOSR579,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,18,46,27,15,5,0,0,116,0,7,7,0,0,0,0,0,18,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,8,0,3,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,4,0,7,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,12,14,45,75,46,20,3,0,0,207,24,82,135,83,47,7,0,0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0
