SOSR_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
SOSR501,6814,10318,5806,6065,6409,2351,1860,2013,494,42118,10398,10807,10538,15698,11508,4901,3599,3992,859,72296,18147,10683,76831,30215,21197,10851,16610,15822,3132,203493,1105,719,1841,2803,2866,2639,1460,2756,174,16357,1836,1385,1882,3431,3823,1740,1278,1623,220,17222,1037,1963,1035,1033,1117,520,536,711,148,8104,1482,2284,1874,2348,2067,1229,1235,1701,2309,16524,94576,231161,116004,88521,82305,36456,33836,38792,10866,732509
SOSR511,189,290,162,191,138,58,64,51,11,1145,285,336,346,510,329,128,96,132,28,2191,707,487,4141,1553,1094,609,1117,953,166,10826,60,28,125,138,149,159,103,166,7,928,53,45,77,154,152,80,65,82,11,712,15,47,26,20,31,12,23,33,3,215,56,64,63,69,55,51,75,88,81,592,2168,5366,5245,3143,2432,1259,1670,1760,349,23383
SOSR512,315,508,196,318,253,103,95,107,28,1914,511,521,427,889,549,207,150,221,39,3513,1312,684,6312,2219,1497,868,1608,1346,217,16054,92,63,172,248,254,291,158,273,14,1558,111,67,95,224,188,95,113,137,8,1046,40,65,42,43,42,24,23,35,8,323,75,99,103,150,98,94,110,148,103,977,3788,8437,7785,4971,3553,1926,2446,2576,490,35974
SOSR513,205,260,168,168,151,61,54,57,13,1131,395,349,336,507,384,122,111,133,39,2368,877,484,4260,960,929,337,1032,759,223,9862,52,39,111,114,182,98,85,116,15,811,65,62,63,103,106,65,61,58,10,586,24,36,36,19,27,16,21,31,4,215,65,68,92,77,81,41,79,113,118,737,2717,4916,5481,2521,2488,929,1544,1507,486,22591
SOSR514,74,111,47,83,62,36,14,37,6,477,129,95,128,173,99,54,41,81,6,803,290,125,1451,472,259,171,326,357,60,3507,17,9,37,44,50,42,16,64,3,289,28,15,25,55,52,42,27,28,0,281,13,12,14,8,15,7,4,11,5,85,22,15,28,41,15,26,24,33,25,233,974,1760,1900,1105,727,485,499,738,121,8303
SOSR515,209,279,158,226,165,75,69,102,5,1300,319,314,283,604,349,137,148,155,27,2336,959,486,4702,1473,1070,491,1411,1063,214,11869,69,50,130,176,166,131,117,194,15,1049,68,44,80,119,122,69,87,111,7,697,30,30,30,22,26,16,15,45,8,229,78,90,97,128,76,88,114,170,121,956,2713,5030,5854,3383,2459,1156,2106,2228,473,25407
SOSR521,88,110,45,87,58,30,36,23,5,493,137,112,93,195,115,39,47,45,16,786,381,154,1478,492,368,174,514,385,91,4031,24,22,33,63,56,39,36,72,5,353,33,20,21,46,55,24,30,45,6,277,21,11,5,6,4,5,3,10,4,74,41,34,55,54,37,33,59,66,42,426,1140,1696,1824,1195,858,400,769,775,192,8852
SOSR522,37,52,31,36,26,14,6,15,3,220,66,55,38,101,64,22,24,38,3,414,235,82,677,270,162,65,238,215,37,1981,17,12,19,32,24,20,13,31,5,180,22,16,7,33,16,4,14,21,4,134,6,4,5,0,9,0,7,11,0,44,25,13,24,27,15,10,28,27,24,198,652,870,851,600,412,168,357,394,91,4387
SOSR531,1024,675,371,394,464,166,170,180,47,3493,1087,560,543,722,676,197,248,321,47,4397,3527,815,7720,1918,1650,672,2312,1971,361,20957,242,65,193,203,269,162,194,321,19,1659,400,95,145,200,273,113,139,209,24,1610,137,95,60,49,55,28,44,71,6,539,451,126,188,210,167,112,205,285,190,1941,10616,9541,9822,4533,4755,1771,3597,4040,840,49508
SOSR579,0,4,7,0,0,0,0,0,0,11,0,0,5,0,0,0,0,4,0,17,4,6,50,0,0,0,15,15,3,100,0,0,0,0,0,0,0,6,0,5,0,0,4,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,3,4,33,67,9,3,0,18,60,6,199
SOSR599,10,12,4,12,3,0,3,13,0,52,10,17,20,27,17,4,7,21,0,121,13,26,164,51,33,19,49,63,5,421,0,0,4,7,0,5,6,17,0,43,0,0,0,3,4,0,5,5,0,21,0,0,0,0,4,0,0,0,0,13,6,0,3,0,4,0,3,6,3,32,80,233,220,161,97,42,89,176,23,1126
