SOSR_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
SOSR501,668,1242,5462,10990,2318,18680,2504,12527,809,55204,3714,13065,14980,19851,9749,14762,5867,11357,1600,94947,20644,65676,38935,27900,25902,13672,15379,17817,4140,230057,33947,68423,35378,23944,29004,10795,15525,15229,3869,236108,33365,51844,28790,21589,29310,11061,14661,14711,3226,208557,22015,34109,20285,15397,24182,9241,12769,12479,2150,152624,5791,10430,4787,3470,6755,2996,3373,3851,720,42173,783,1269,361,230,658,355,253,509,262,4679,43,69,16,8,44,26,9,31,87,336,120974,246123,148990,123372,127920,81572,70332,88524,16875,1024680
SOSR511,18,26,305,404,103,846,99,620,42,2450,105,221,642,473,257,328,257,506,43,2821,456,1209,1581,738,691,512,624,868,106,6793,773,1487,1497,852,868,443,783,831,138,7675,860,1377,1299,934,1004,498,818,763,124,7685,613,1028,925,664,839,395,761,643,67,5932,166,304,193,142,205,93,192,161,28,1487,36,25,3,6,12,12,15,19,5,136,3,0,0,3,0,3,0,0,4,12,3023,5683,6448,4208,3979,3131,3555,4415,553,34998
SOSR512,43,52,653,722,140,1320,149,874,59,4008,153,457,1179,706,368,544,385,702,59,4541,746,2003,2546,1247,1052,720,1070,1146,148,10678,1355,2214,2132,1419,1280,702,1094,1110,167,11465,1495,2221,1903,1540,1489,788,1384,1149,190,12161,1214,1611,1387,1214,1327,711,1273,1090,151,9976,451,431,335,264,384,202,362,326,57,2813,70,49,31,16,35,25,21,35,25,306,10,3,0,0,0,0,0,4,10,31,5538,9043,10153,7132,6074,5015,5732,6442,859,55980
SOSR513,25,26,292,258,120,553,80,399,57,1814,89,230,582,328,267,237,209,313,48,2306,703,1564,1923,877,920,438,756,800,170,8142,1066,1519,1831,934,1075,363,787,700,216,8488,960,1051,1222,728,851,355,786,576,161,6688,622,704,718,445,549,286,665,467,83,4537,148,173,137,89,156,63,134,107,22,1024,32,9,5,8,3,9,13,10,9,89,5,0,0,0,0,0,0,0,4,8,3650,5275,6712,3668,3933,2299,3428,3374,761,33096
SOSR514,9,8,121,159,22,242,17,207,18,805,34,41,198,128,63,107,53,178,17,807,214,336,574,314,181,139,175,351,30,2308,387,586,600,372,283,191,224,338,57,3036,395,491,499,328,311,210,267,329,37,2856,253,303,330,212,243,183,246,268,41,2080,101,116,72,56,76,61,79,73,9,641,16,11,9,4,8,6,8,14,0,74,0,0,0,0,0,0,0,0,0,5,1405,1890,2397,1579,1189,1135,1060,1754,208,12611
SOSR515,21,29,370,410,99,619,98,578,60,2276,106,311,767,425,278,274,262,530,54,3003,620,1352,1959,1038,815,444,854,1169,161,8421,932,1356,1730,956,965,438,1065,992,172,8599,1081,1188,1458,954,967,497,1240,1009,180,8561,875,926,1103,843,846,456,1095,960,152,7250,362,301,256,198,239,141,300,281,49,2135,88,26,25,9,30,26,10,58,27,302,0,0,0,0,0,3,0,0,3,16,4076,5486,7664,4846,4235,2896,4925,5578,856,40565
SOSR521,10,12,135,111,24,150,40,218,24,727,39,91,216,132,92,94,109,194,16,991,241,385,556,373,277,128,295,386,48,2698,365,439,547,379,317,132,345,297,59,2886,435,447,524,381,349,167,444,426,65,3253,460,390,444,332,371,190,549,415,60,3205,215,111,103,73,90,67,164,139,38,998,60,6,9,8,14,6,18,20,13,146,7,0,0,0,0,0,0,7,6,17,1823,1888,2544,1784,1522,942,1964,2116,335,14926
SOSR522,5,8,68,64,14,58,13,73,10,320,32,44,113,112,55,43,58,94,14,561,129,235,276,225,141,67,139,197,37,1446,232,218,237,153,159,78,164,163,25,1426,258,197,236,218,157,91,199,198,42,1605,283,212,206,194,171,79,270,229,39,1669,124,79,72,39,63,24,85,78,22,583,34,10,0,8,8,8,13,18,9,95,4,0,0,0,0,0,0,0,9,5,1099,1006,1210,1009,761,440,936,1055,206,7723
SOSR531,109,52,759,692,138,971,218,1154,107,4212,339,404,1234,691,350,448,561,999,118,5141,1703,1687,2375,937,975,428,1203,1621,197,11122,3321,2311,2691,1070,1553,516,1466,1386,231,14540,4852,2657,2800,1492,2105,785,2057,1642,346,18726,4869,2365,2356,1321,2054,743,2075,1736,289,17795,2820,770,628,292,587,249,590,640,130,6706,869,79,56,26,86,31,49,137,75,1400,119,4,0,0,0,0,0,9,14,147,18991,10329,12899,6510,7848,4167,8214,9320,1511,79789
SOSR579,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,8,0,17,0,3,15,0,0,0,11,25,0,62,0,8,30,0,4,0,8,36,4,95,4,8,13,0,0,0,5,21,6,59,0,9,13,0,0,0,3,6,0,33,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,33,83,9,10,0,31,98,6,277
