SUA_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
5000,0,8,15,24,36,16,21,7,0,126,12,67,103,369,267,193,106,48,6,1169,4,3,4,64,16,10,7,5,0,117,0,4,0,75,0,0,0,0,0,78,4,35,37,41,15,3,0,0,0,134,0,0,0,8,0,4,0,3,0,21,4,22,20,87,73,93,69,32,6,398,0,7,16,112,72,45,10,4,0,268,0,0,6,31,38,65,61,21,7,236,0,3,16,112,94,93,65,16,0,407,17,44,139,966,301,351,306,170,35,2326,725,1822,1895,6242,3406,3010,2011,954,261,20337,8008,18007,14995,37880,21290,21931,17536,7829,1899,149382,5,4,12,44,10,4,0,0,0,69,6690,14429,10341,22577,12465,12783,9933,4388,1550,95156,0,0,0,5,0,0,0,0,0,17,0,0,0,10,5,3,4,3,0,18,0,5,0,46,15,9,3,0,0,71,0,0,0,27,0,3,0,0,0,39,0,15,11,136,42,50,33,11,0,305
5001,0,0,0,0,6,0,0,4,0,13,0,16,20,50,50,30,19,12,7,196,0,0,6,6,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,9,0,21,27,9,0,0,0,0,0,56,0,0,0,7,0,0,0,0,0,8,0,0,9,3,0,13,12,13,3,52,0,0,4,8,6,3,0,0,0,25,0,0,0,0,0,4,8,3,3,32,0,0,4,13,11,10,14,3,0,46,0,14,28,66,27,26,36,29,12,230,26,88,80,226,118,148,132,77,50,932,899,2208,1975,3815,2067,2247,2155,1229,481,17081,0,0,0,0,0,0,0,0,0,0,812,1930,1536,2867,1730,1732,1566,878,404,13460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,6,18,6,9,3,0,0,63
5002,0,0,0,0,0,0,0,0,0,10,0,0,3,18,10,11,4,0,0,43,0,0,0,11,3,0,0,0,0,14,0,0,0,7,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,10,0,0,0,0,5,0,0,0,0,3,0,0,0,9,3,4,0,0,0,26,0,3,0,3,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,11,0,0,3,7,4,6,0,0,0,18,0,0,6,71,14,10,8,0,0,119,70,160,116,298,162,124,59,16,6,1013,552,1211,743,2180,1048,783,438,118,33,7108,0,0,0,0,0,0,0,0,0,0,442,970,626,1693,660,507,249,81,19,5241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,3,0,0,0,20
5003,0,7,4,9,6,13,9,0,0,54,3,56,123,185,154,118,43,22,5,715,0,3,3,14,5,4,0,0,0,32,0,0,0,45,0,0,0,0,0,53,0,11,8,7,3,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,4,6,15,15,15,21,8,0,94,0,0,3,12,10,7,9,0,0,37,0,0,5,10,10,15,18,3,0,59,0,13,21,51,56,52,34,5,3,228,6,39,27,147,77,83,67,34,10,487,80,207,192,629,328,307,216,112,77,2146,2369,5513,4345,9551,4853,4657,3798,1919,588,37589,0,0,0,4,0,0,0,0,0,4,2080,4571,3555,6999,3595,3376,2796,1460,593,29031,0,0,5,14,3,0,0,0,0,24,0,0,0,4,0,0,0,0,0,3,0,0,3,18,0,0,0,0,0,22,0,0,0,3,0,0,0,0,0,8,0,0,5,29,10,14,4,0,3,66
5004,0,0,0,3,3,0,0,0,0,16,0,17,18,59,57,35,35,8,7,231,0,7,0,10,7,0,0,0,0,24,0,0,0,8,0,0,0,0,0,8,0,3,3,4,0,0,0,0,0,19,0,0,0,3,0,0,0,0,0,6,0,14,7,14,6,12,17,8,0,76,0,3,3,9,9,0,0,0,0,29,0,0,0,13,3,8,17,3,0,46,0,0,0,10,10,9,8,0,0,42,0,13,9,51,47,39,45,38,15,257,41,108,81,372,215,174,147,114,43,1292,1005,2860,1927,4251,2639,2512,2666,1448,404,19696,0,0,5,7,5,0,0,0,0,16,971,2437,1493,3299,2080,1945,1925,941,430,15526,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,18,4,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,34,17,6,5,0,0,66
5005,0,0,0,0,5,0,0,0,0,4,0,4,4,22,11,11,3,3,0,67,0,4,0,0,8,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,4,0,0,7,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,4,0,0,0,6,3,0,0,0,0,17,0,4,0,5,10,3,3,9,0,39,31,98,81,146,109,87,78,64,11,701,349,830,701,1313,803,822,652,414,103,5987,0,0,0,0,0,0,0,0,0,0,296,669,515,986,570,548,474,309,125,4499,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,6,0,0,0,0,0,6,0,0,0,10,0,4,0,0,0,18
5006,0,0,0,4,0,0,0,0,0,17,0,22,33,77,52,36,12,3,0,231,0,0,0,4,7,0,0,0,0,16,0,0,0,4,0,0,0,0,0,8,0,12,8,3,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,4,0,14,7,11,12,5,0,45,0,0,0,17,4,3,10,3,0,42,0,0,6,5,9,4,0,0,0,26,0,5,6,14,12,8,8,0,0,52,0,8,15,56,38,38,20,26,3,209,86,239,205,506,267,237,141,107,34,1805,1155,2781,2276,4578,2540,2516,1860,992,349,19039,0,0,0,0,0,0,0,0,0,0,1027,2276,1870,3499,1948,1803,1440,746,312,14923,0,0,0,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,11,0,0,0,4,0,0,0,0,0,6,6,4,0,13,3,8,0,0,0,37
5007,0,0,0,3,3,3,0,0,0,14,4,21,40,85,57,28,7,4,0,249,0,0,0,19,6,0,4,0,0,24,0,0,0,10,0,0,0,0,0,10,0,12,8,11,0,0,0,0,0,34,0,0,0,5,0,0,0,0,0,4,0,3,0,10,4,5,3,0,0,20,0,0,6,6,4,0,0,0,0,19,0,0,0,0,4,4,0,0,0,10,0,11,16,64,32,27,3,0,0,167,10,24,22,126,59,30,18,12,4,303,93,212,169,457,212,211,121,50,15,1534,1154,2195,1893,4694,2059,1866,980,354,60,15265,0,0,0,3,0,0,0,0,0,7,971,1601,1200,2552,1124,897,508,217,90,9159,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,3,0,15,0,0,0,0,0,27,0,0,4,3,0,0,0,0,0,13,0,0,0,7,3,8,0,0,0,19
5008,0,3,0,5,0,0,0,0,0,16,0,6,11,45,29,15,3,0,0,111,0,0,0,8,9,5,0,0,0,23,0,0,0,11,0,0,0,0,0,15,0,9,12,5,0,0,0,0,0,28,0,0,0,3,0,0,0,0,0,3,0,3,0,6,3,0,0,0,0,15,0,0,0,10,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,10,0,0,3,14,6,4,0,0,0,28,0,10,5,77,24,20,7,4,0,148,109,212,163,562,201,131,38,5,0,1425,815,1517,992,3337,1266,787,222,41,5,8976,0,0,0,4,0,0,0,0,0,4,616,1167,580,1840,635,280,87,19,0,5221,0,0,0,4,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,9,0,0,0,15,3,0,0,0,0,19
5009,44,480,814,2125,1148,1017,893,336,86,6943,86,1031,2691,6059,4001,2749,1481,565,119,18763,21,252,483,1852,778,430,382,188,49,4439,20,65,58,803,96,46,55,11,0,1155,38,487,635,769,164,61,47,8,3,2223,7,36,44,302,152,118,51,27,6,736,117,470,550,1220,580,635,493,204,44,4319,46,329,528,2111,1636,1479,843,241,101,7304,9,92,206,711,548,562,490,320,89,3018,4,156,622,1728,1139,914,414,138,37,5162,235,2419,3663,14108,5545,4768,3554,2113,601,37002,2118,4680,5384,18137,7671,6058,4031,2857,1638,52577,66247,138442,129112,298135,134098,115557,89720,47690,15710,1034714,10,146,370,1185,309,167,83,35,0,2304,58707,108941,86491,157764,70302,59233,49016,25646,11621,627711,5,120,102,774,137,67,54,11,0,1270,0,8,24,523,254,390,206,75,28,1513,16,94,113,1824,244,106,57,24,4,2485,7,43,47,367,156,117,74,14,10,838,35,162,239,1240,496,420,241,84,35,2956
