SUA_CODE_2021,M_Neg_Nil_income_15_19_yrs,M_Neg_Nil_income_20_24_yrs,M_Neg_Nil_income_25_34_yrs,M_Neg_Nil_income_35_44_yrs,M_Neg_Nil_income_45_54_yrs,M_Neg_Nil_income_55_64_yrs,M_Neg_Nil_income_65_74_yrs,M_Neg_Nil_income_75_84_yrs,M_Negtve_Nil_incme_85_yrs_ovr,M_Neg_Nil_income_Tot,M_1_149_15_19_yrs,M_1_149_20_24_yrs,M_1_149_25_34_yrs,M_1_149_35_44_yrs,M_1_149_45_54_yrs,M_1_149_55_64_yrs,M_1_149_65_74_yrs,M_1_149_75_84_yrs,M_1_149_85ov,M_1_149_Tot,M_150_299_15_19_yrs,M_150_299_20_24_yrs,M_150_299_25_34_yrs,M_150_299_35_44_yrs,M_150_299_45_54_yrs,M_150_299_55_64_yrs,M_150_299_65_74_yrs,M_150_299_75_84_yrs,M_150_299_85ov,M_150_299_Tot,M_300_399_15_19_yrs,M_300_399_20_24_yrs,M_300_399_25_34_yrs,M_300_399_35_44_yrs,M_300_399_45_54_yrs,M_300_399_55_64_yrs,M_300_399_65_74_yrs,M_300_399_75_84_yrs,M_300_399_85ov,M_300_399_Tot,M_400_499_15_19_yrs,M_400_499_20_24_yrs,M_400_499_25_34_yrs,M_400_499_35_44_yrs,M_400_499_45_54_yrs,M_400_499_55_64_yrs,M_400_499_65_74_yrs,M_400_499_75_84_yrs,M_400_499_85ov,M_400_499_Tot,M_500_649_15_19_yrs,M_500_649_20_24_yrs,M_500_649_25_34_yrs,M_500_649_35_44_yrs,M_500_649_45_54_yrs,M_500_649_55_64_yrs,M_500_649_65_74_yrs,M_500_649_75_84_yrs,M_500_649_85ov,M_500_649_Tot,M_650_799_15_19_yrs,M_650_799_20_24_yrs,M_650_799_25_34_yrs,M_650_799_35_44_yrs,M_650_799_45_54_yrs,M_650_799_55_64_yrs,M_650_799_65_74_yrs,M_650_799_75_84_yrs,M_650_799_85ov,M_650_799_Tot,M_800_999_15_19_yrs,M_800_999_20_24_yrs,M_800_999_25_34_yrs,M_800_999_35_44_yrs,M_800_999_45_54_yrs,M_800_999_55_64_yrs,M_800_999_65_74_yrs,M_800_999_75_84_yrs,M_800_999_85ov,M_800_999_Tot,M_1000_1249_15_19_yrs,M_1000_1249_20_24_yrs,M_1000_1249_25_34_yrs,M_1000_1249_35_44_yrs,M_1000_1249_45_54_yrs,M_1000_1249_55_64_yrs,M_1000_1249_65_74_yrs,M_1000_1249_75_84_yrs,M_1000_1249_85ov,M_1000_1249_Tot,M_1250_1499_15_19_yrs,M_1250_1499_20_24_yrs,M_1250_1499_25_34_yrs,M_1250_1499_35_44_yrs,M_1250_1499_45_54_yrs,M_1250_1499_55_64_yrs,M_1250_1499_65_74_yrs,M_1250_1499_75_84_yrs,M_1250_1499_85ov,M_1250_1499_Tot,M_1500_1749_15_19_yrs,M_1500_1749_20_24_yrs,M_1500_1749_25_34_yrs,M_1500_1749_35_44_yrs,M_1500_1749_45_54_yrs,M_1500_1749_55_64_yrs,M_1500_1749_65_74_yrs,M_1500_1749_75_84_yrs,M_1500_1749_85ov,M_1500_1749_Tot,M_1750_1999_15_19_yrs,M_1750_1999_20_24_yrs,M_1750_1999_25_34_yrs,M_1750_1999_35_44_yrs,M_1750_1999_45_54_yrs,M_1750_1999_55_64_yrs,M_1750_1999_65_74_yrs,M_1750_1999_75_84_yrs,M_1750_1999_85ov,M_1750_1999_Tot,M_2000_2999_15_19_yrs,M_2000_2999_20_24_yrs,M_2000_2999_25_34_yrs,M_2000_2999_35_44_yrs,M_2000_2999_45_54_yrs,M_2000_2999_55_64_yrs,M_2000_2999_65_74_yrs,M_2000_2999_75_84_yrs,M_2000_2999_85ov,M_2000_2999_Tot,M_3000_3499_15_19_yrs,M_3000_3499_20_24_yrs,M_3000_3499_25_34_yrs,M_3000_3499_35_44_yrs,M_3000_3499_45_54_yrs,M_3000_3499_55_64_yrs,M_3000_3499_65_74_yrs,M_3000_3499_75_84_yrs,M_3000_3499_85ov,M_3000_3499_Tot,M_3500_more_15_19_yrs,M_3500_more_20_24_yrs,M_3500_more_25_34_yrs,M_3500_more_35_44_yrs,M_3500_more_45_54_yrs,M_3500_more_55_64_yrs,M_3500_more_65_74_yrs,M_3500_more_75_84_yrs,M_3500_more_85ov,M_3500_more_Tot,M_PI_NS_15_19_yrs,M_PI_NS_ns_20_24_yrs,M_PI_NS_ns_25_34_yrs,M_PI_NS_ns_35_44_yrs,M_PI_NS_ns_45_54_yrs,M_PI_NS_ns_55_64_yrs,M_PI_NS_ns_65_74_yrs,M_PI_NS_ns_75_84_yrs,M_PI_NS_ns_85_yrs_ovr,M_PI_NS_ns_Tot,M_Tot_15_19_yrs,M_Tot_20_24_yrs,M_Tot_25_34_yrs,M_Tot_35_44_yrs,M_Tot_45_54_yrs,M_Tot_55_64_yrs,M_Tot_65_74_yrs,M_Tot_75_84_yrs,M_Tot_85ov,M_Tot_Tot,F_Neg_Nil_income_15_19_yrs,F_Neg_Nil_income_20_24_yrs,F_Neg_Nil_income_25_34_yrs,F_Neg_Nil_income_35_44_yrs,F_Neg_Nil_income_45_54_yrs,F_Neg_Nil_income_55_64_yrs,F_Neg_Nil_income_65_74_yrs,F_Neg_Nil_income_75_84_yrs,F_Neg_Nil_incme_85_yrs_ovr,F_Neg_Nil_income_Tot,F_1_149_15_19_yrs,F_1_149_20_24_yrs,F_1_149_25_34_yrs,F_1_149_35_44_yrs,F_1_149_45_54_yrs,F_1_149_55_64_yrs,F_1_149_65_74_yrs,F_1_149_75_84_yrs,F_1_149_85ov,F_1_149_Tot,F_150_299_15_19_yrs,F_150_299_20_24_yrs,F_150_299_25_34_yrs,F_150_299_35_44_yrs,F_150_299_45_54_yrs,F_150_299_55_64_yrs,F_150_299_65_74_yrs,F_150_299_75_84_yrs,F_150_299_85ov,F_150_299_Tot
5000,2785,345,403,412,547,918,952,316,77,6761,1049,130,98,141,175,318,429,174,38,2561,679,571,797,824,775,893,1024,457,127,6136,248,363,598,651,841,1291,2731,1777,370,8859,315,259,428,450,641,1085,2341,1355,378,7264,480,390,522,488,666,976,1559,791,187,6059,326,602,701,533,649,981,1187,559,135,5670,264,799,1160,938,1085,1385,1096,396,80,7194,169,762,1726,1456,1645,1980,1193,312,55,9304,74,504,1348,1328,1460,1485,698,168,22,7088,48,362,1409,1441,1567,1534,584,141,33,7129,33,284,1095,1332,1501,1324,402,89,16,6077,29,382,2463,3104,3331,2698,668,106,12,12809,8,78,717,1006,1042,809,190,33,8,3890,15,57,592,1200,1291,918,347,91,22,4531,1154,1438,4275,4244,4068,3331,2128,1076,339,22050,7675,7326,18334,19542,21290,21931,17536,7829,1899,123367,2408,367,1266,1086,1212,2120,1270,316,111,10163,1298,175,447,492,389,608,502,146,61,4109,719,529,1011,1107,1054,1297,1087,450,128,7380
5001,385,33,44,34,52,83,112,40,20,806,216,15,17,9,12,39,53,26,7,407,122,50,71,37,40,89,146,61,26,636,53,48,63,53,56,136,321,303,113,1155,64,53,53,62,76,125,272,213,81,997,99,63,86,68,86,126,255,150,55,977,57,122,90,76,82,135,184,116,37,895,36,148,222,158,137,165,168,60,25,1129,21,127,307,256,231,265,173,52,8,1449,3,48,211,197,232,206,98,16,4,1021,0,30,180,192,243,198,72,24,6,938,0,12,136,130,164,147,61,13,6,669,0,15,160,261,328,238,61,15,4,1073,0,0,34,45,63,55,17,0,0,213,0,4,27,53,86,88,27,7,9,302,71,84,252,219,177,155,150,115,72,1303,1133,842,1961,1856,2067,2247,2155,1229,481,13971,305,38,136,88,90,215,175,56,33,1144,272,23,52,45,45,86,81,23,13,643,154,59,106,102,80,125,165,93,22,906
5002,114,13,24,16,21,32,19,6,0,257,81,4,4,5,5,8,5,0,0,108,29,18,25,12,22,26,19,8,0,165,12,24,32,28,35,47,45,16,4,251,7,13,20,19,29,27,53,20,5,187,18,18,24,27,16,18,34,4,4,175,14,41,43,22,19,28,16,9,3,194,13,39,75,53,45,21,28,8,7,279,7,41,108,75,71,74,45,3,0,428,0,29,117,89,86,75,21,4,0,420,0,14,120,127,93,66,22,0,0,452,0,17,93,123,90,59,21,0,0,399,0,9,153,216,201,107,25,0,0,710,0,4,26,55,48,22,7,0,0,158,0,0,30,67,72,30,17,3,0,217,70,82,207,173,199,141,63,21,11,958,375,367,1081,1106,1048,783,438,118,33,5349,110,10,45,39,24,43,20,11,3,309,103,4,14,11,12,19,11,0,0,171,44,22,42,29,15,29,18,5,0,201
5003,895,118,102,77,96,190,200,66,20,1766,487,27,23,27,19,59,87,35,5,769,218,90,104,85,78,124,225,102,37,1069,103,105,158,119,134,206,660,505,145,2137,107,98,96,95,131,192,464,346,132,1651,172,140,152,120,110,197,417,246,59,1610,101,219,201,124,145,180,318,176,42,1515,87,315,400,242,240,268,236,108,19,1922,38,258,548,446,390,408,311,76,11,2480,11,148,483,431,385,366,170,44,11,2041,10,99,402,520,434,411,107,28,10,2028,4,61,410,468,458,424,77,20,5,1918,0,106,724,1083,1079,799,154,15,4,3965,0,11,155,276,305,206,46,4,3,1010,4,6,119,298,371,244,75,14,5,1129,133,170,529,544,465,371,261,136,88,2702,2365,1976,4599,4952,4853,4657,3798,1919,588,29714,801,113,437,405,358,651,331,100,39,3237,604,48,136,158,110,167,125,57,10,1417,307,135,229,231,192,293,280,138,35,1829
5004,316,41,29,36,46,84,120,36,8,727,331,12,13,9,19,35,66,34,18,529,125,44,36,46,39,85,139,69,37,620,52,35,58,45,72,96,410,305,75,1149,90,46,60,48,60,107,314,216,59,1000,76,72,69,82,86,141,331,203,28,1089,57,130,101,74,87,168,248,129,35,1025,37,115,189,158,163,211,215,88,22,1196,17,95,252,263,264,274,203,87,15,1466,6,53,207,236,255,210,133,40,10,1153,3,19,186,219,261,212,91,33,13,1037,0,14,138,196,233,156,51,16,5,810,0,22,229,460,471,293,88,25,4,1590,0,4,52,138,147,97,28,5,0,461,0,0,38,183,220,149,59,27,10,688,69,42,188,219,221,182,166,142,66,1293,1183,737,1851,2401,2639,2512,2666,1448,404,15832,259,27,157,175,144,281,203,59,23,1320,348,13,49,87,44,76,124,41,42,833,144,38,75,126,83,162,202,117,70,1020
5005,122,11,14,7,12,26,35,14,0,240,74,3,4,3,5,9,17,8,3,127,35,6,12,11,8,9,26,21,4,132,23,5,15,11,19,49,124,80,26,355,9,12,19,15,27,45,78,75,18,291,29,26,6,14,18,46,65,43,9,262,24,41,31,22,31,31,35,35,7,255,10,41,57,34,44,59,35,20,6,305,6,30,82,73,72,85,47,10,6,412,0,32,65,68,80,58,31,3,6,347,6,20,72,77,81,63,17,5,0,332,0,7,50,58,61,62,26,3,0,272,0,13,88,130,162,126,21,11,4,563,0,6,25,34,31,29,3,4,0,124,0,4,18,34,53,43,16,7,0,171,60,50,80,73,111,89,79,70,16,632,406,297,636,668,803,822,652,414,103,4811,97,10,50,38,47,91,54,18,6,406,72,6,23,20,8,30,21,12,4,199,37,14,43,20,21,30,48,23,5,225
5006,442,68,36,40,53,111,98,49,14,913,199,13,10,6,20,35,52,15,9,348,132,59,58,58,70,94,120,59,18,666,42,42,81,85,94,134,312,265,87,1135,57,52,49,60,73,118,238,183,57,882,100,91,53,57,84,97,157,85,29,762,81,118,94,61,90,108,137,63,19,778,38,160,200,130,114,170,109,32,14,971,23,98,272,189,201,237,129,36,7,1199,10,68,224,194,191,205,74,23,0,983,3,58,239,210,230,208,72,18,11,1051,3,30,185,201,216,183,57,5,0,887,4,40,320,449,526,374,86,10,5,1814,0,4,57,122,124,94,23,9,0,435,0,4,46,120,154,95,38,15,3,469,141,115,330,324,298,254,145,122,68,1803,1269,1006,2270,2309,2540,2516,1860,992,349,15104,325,51,179,151,139,250,162,45,20,1322,327,23,51,43,40,66,61,16,3,623,157,62,104,100,97,145,137,68,19,885
5007,275,46,61,39,47,73,66,22,6,631,134,10,9,7,13,20,23,9,0,229,60,30,40,23,21,31,41,20,9,260,24,25,38,25,37,44,103,55,11,364,37,17,23,31,25,47,110,80,15,376,43,40,43,25,25,31,82,42,10,345,43,64,49,33,26,41,52,27,0,340,44,95,76,43,66,67,44,11,3,465,38,118,143,105,92,125,57,12,4,687,30,92,167,146,110,105,47,10,0,709,20,124,231,167,172,162,51,12,0,929,3,89,272,208,201,165,42,6,0,973,4,111,586,660,561,460,86,0,0,2476,0,20,205,243,182,120,21,0,0,795,0,11,125,201,204,130,27,0,0,699,92,162,367,305,273,232,137,56,10,1633,849,1048,2434,2255,2059,1866,980,354,60,11910,202,84,237,191,111,186,98,22,9,1145,161,20,50,50,25,34,24,3,4,370,66,30,87,73,41,54,39,20,3,395
5008,150,11,22,20,15,14,12,0,0,250,90,0,5,7,3,4,3,0,0,110,45,12,16,7,8,12,13,0,0,115,10,6,13,8,13,7,9,7,0,72,13,6,7,3,0,10,14,4,0,66,24,17,4,8,4,10,8,3,0,92,30,24,23,6,5,7,4,0,0,115,29,44,35,22,17,13,11,0,0,182,19,63,92,69,37,24,15,0,0,319,9,35,85,76,58,43,7,3,0,312,5,43,105,116,91,53,11,0,0,427,4,25,131,140,107,70,28,0,0,496,0,76,391,435,300,187,17,0,0,1399,0,17,135,169,137,71,11,0,0,547,0,12,218,385,245,120,14,0,0,992,78,103,277,308,210,133,44,14,0,1159,506,485,1557,1780,1266,787,222,41,5,6644,106,18,178,124,79,49,21,0,0,579,103,6,21,33,19,7,3,5,0,199,45,7,39,55,21,19,10,0,0,194
5009,27527,5618,4583,3223,3553,5717,6256,2579,721,59764,12043,2716,1014,702,821,1622,2523,1037,325,22788,6838,5710,3240,2245,2485,3449,5036,2856,829,32695,2784,5063,4564,3280,3623,5125,12382,10315,3188,50325,2543,4452,3842,2653,3095,4389,10355,7633,2917,41881,2941,6051,5406,3411,3476,4390,8971,5749,1606,41999,1968,6773,6920,4457,3642,4527,6695,4083,1171,40241,1390,7768,12833,8271,6971,6963,6335,2777,747,54069,768,7162,19186,14193,11367,10859,6739,2277,507,73064,300,4281,16683,13734,10829,9369,4599,1276,251,61331,163,2588,15227,14671,11855,9886,3711,964,266,59330,87,1392,11439,13247,11113,8134,2528,509,127,48572,87,1827,21148,30823,26362,18001,4452,817,189,103710,18,280,4953,9389,8401,5198,1310,250,62,29859,42,217,4709,15131,17259,10824,2982,762,171,52092,3009,4720,12025,10934,9249,7105,4840,3801,2631,58319,62498,66618,147770,150366,134098,115557,89720,47690,15710,830028,22996,4835,13511,15275,11436,15349,10123,3162,1276,97960,14297,3035,3264,4057,3075,4141,3920,1426,487,37702,8534,6604,5814,6034,4911,6352,7228,3608,1191,50272
