SUA_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
5000,589,1208,2042,1997,2137,2424,2236,1015,254,13894,421,1477,2607,2511,2818,2941,1840,686,184,15488,264,1341,3259,3022,3443,3695,1799,493,102,17417,103,896,2480,2490,2657,2641,1034,250,44,12597,67,593,2330,2446,2688,2487,846,233,58,11755,42,383,1683,2052,2315,1967,600,132,22,9194,42,501,3205,4145,4586,3732,953,152,29,17344,7,91,844,1197,1262,989,244,56,20,4697,18,70,681,1443,1620,1174,468,131,42,5660,2120,2338,6387,6382,6238,5448,3782,2115,866,35668,14606,13364,34362,36962,39751,41796,32681,14942,4317,232781
5001,99,230,290,303,317,346,383,228,72,2267,70,276,429,393,411,433,317,122,67,2512,33,214,555,489,507,520,275,94,17,2712,3,85,349,356,431,368,153,31,16,1789,3,44,289,314,409,356,98,33,18,1576,0,14,186,196,272,228,97,24,7,1030,0,12,207,372,505,369,85,25,14,1591,0,0,37,62,80,70,24,0,5,277,0,4,38,74,122,112,52,20,8,437,120,123,346,317,293,290,307,271,225,2300,2170,1611,3773,3839,4425,4793,4515,2701,1133,28964
5002,32,68,135,98,82,64,48,14,3,546,27,85,230,172,107,74,44,6,4,753,22,88,270,216,193,153,61,12,0,1022,7,72,243,222,195,151,29,8,0,922,3,24,270,266,183,127,45,0,0,922,6,21,196,211,157,117,37,0,0,751,0,17,251,362,339,183,43,8,0,1206,0,4,33,68,60,40,11,0,0,212,0,0,43,101,102,48,22,7,0,327,147,149,444,340,355,251,124,38,20,1871,804,748,2504,2413,2075,1573,819,237,63,11236
5003,195,476,688,654,703,596,644,350,113,4423,138,637,988,826,824,718,456,188,50,4825,55,468,1079,982,1014,860,473,130,25,5086,19,263,860,807,809,691,240,65,17,3762,11,162,685,840,812,648,173,43,21,3405,4,86,596,676,694,590,111,28,6,2783,0,126,905,1398,1404,1042,183,19,14,5095,0,13,175,323,352,241,53,10,10,1169,6,11,139,359,444,295,108,18,8,1389,243,286,820,779,694,610,491,330,257,4517,4749,3887,9396,10065,10003,9605,7859,4162,1539,61269
5004,95,246,322,391,416,450,466,251,70,2703,63,224,427,466,473,477,375,152,44,2702,23,176,484,579,631,543,335,129,26,2928,10,86,358,437,479,401,210,64,18,2062,6,28,289,381,447,333,143,56,25,1704,0,17,203,314,406,256,69,25,5,1294,4,25,306,609,672,436,134,33,4,2223,0,4,65,166,186,121,41,5,0,582,0,6,56,216,276,190,89,38,11,878,149,87,329,373,345,346,345,292,193,2460,2264,1390,3811,5149,5485,5341,5494,2956,1045,32951
5005,43,89,93,93,108,95,87,67,18,697,12,82,136,118,136,125,73,37,13,738,14,58,152,141,166,167,85,23,10,810,0,44,109,124,138,102,47,10,8,586,6,27,117,115,125,98,25,18,0,531,0,13,82,85,95,78,41,9,0,406,0,16,119,180,216,163,32,20,3,752,0,6,26,38,35,34,6,5,0,151,3,3,22,39,61,53,21,14,0,228,105,76,146,164,187,172,156,140,45,1188,737,578,1333,1398,1582,1627,1322,858,275,9700
5006,125,266,362,287,336,315,277,134,43,2147,73,293,425,382,403,415,218,64,29,2303,30,210,526,454,506,484,207,62,18,2491,9,130,408,403,410,356,134,36,0,1884,3,98,410,357,444,351,107,35,17,1833,7,36,283,332,359,290,84,8,0,1392,10,48,410,614,765,481,127,18,6,2487,0,6,64,139,157,114,28,8,0,524,0,5,65,148,197,123,45,22,3,599,236,220,558,579,513,430,323,269,209,3345,2454,2033,4610,4767,5253,4994,3839,2078,828,30859
5007,93,166,202,205,165,137,99,46,8,1117,93,202,268,221,228,191,78,17,3,1302,59,238,376,303,316,301,95,15,4,1707,40,198,366,321,286,214,72,9,0,1505,28,184,455,324,348,272,73,12,0,1695,0,117,406,343,329,242,57,7,0,1500,6,137,775,834,724,579,109,0,0,3170,0,20,232,274,223,140,21,0,0,918,3,11,146,247,232,148,33,0,0,821,171,264,617,513,456,383,233,101,30,2771,1616,1961,4745,4344,3889,3399,1770,669,202,22592
5008,38,58,108,95,75,34,15,3,0,436,42,92,146,153,108,53,17,3,0,619,39,124,254,217,142,89,19,0,0,872,17,80,216,187,143,87,14,3,0,753,10,67,263,216,182,96,19,0,0,851,6,37,280,255,185,109,34,0,0,905,0,87,522,611,454,245,27,0,0,1951,0,17,161,195,158,81,17,0,0,636,0,16,255,439,272,130,18,0,0,1133,140,171,531,532,358,225,72,22,5,2048,924,890,3195,3353,2357,1328,384,75,11,12514
5009,3243,13708,19912,16943,14305,13610,14309,7896,2631,106545,2211,15060,28639,22408,19994,17019,12072,5086,1685,124170,1148,13312,37443,30042,26085,22599,11395,3608,991,146624,470,8033,31926,26427,22435,18105,7412,1972,489,117271,239,4427,28348,26111,22368,17439,5898,1579,537,106945,110,2032,19770,21637,18924,13293,3896,829,232,80714,116,2485,31078,45076,39776,26124,6343,1243,366,152608,26,369,6430,12117,10953,6783,1775,424,123,39008,75,312,5959,19264,21791,13281,3897,1200,314,66084,5833,8391,20779,18054,15285,12242,9941,8943,7683,107155,122135,131537,301619,304430,271487,237421,188232,102330,40664,1699854
