SUA_CODE_2021,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
5000,80,7076,850,8008,726,15249,2030,18007,234,6525,910,7675,164,5756,1410,7326,266,13829,4239,18334,292,14943,4306,19542,470,16730,4092,21290,814,17944,3172,21931,1192,14484,1856,17536,1116,5903,808,7829,636,1039,225,1899,5999,119476,23904,149382,68,6620,781,7463,344,14564,1925,16837,129,6028,775,6931,115,5050,872,6036,228,13654,2151,16031,317,14884,2216,17415,624,15701,2138,18455,929,17002,1927,19866,1141,12670,1337,15145,1235,5164,718,7115,1087,1040,292,2421,6210,112386,15125,133713,147,13693,1625,15469,1069,29813,3957,34842,366,12551,1689,14606,283,10804,2276,13364,492,27487,6385,34362,603,29829,6525,36962,1090,32430,6224,39751,1743,34954,5102,41796,2330,27151,3196,32681,2353,11069,1526,14942,1718,2080,515,4317,12206,231862,39025,283092
5001,17,836,43,899,143,1946,118,2208,58,1027,56,1133,39,736,70,842,66,1650,243,1961,42,1594,223,1856,66,1848,158,2067,115,1990,144,2247,152,1887,123,2155,247,912,69,1229,175,272,36,481,1111,14696,1280,17081,6,805,32,844,72,1966,106,2142,30,960,40,1035,29,703,41,766,55,1676,83,1816,61,1830,95,1985,83,2164,113,2357,131,2284,126,2543,149,2091,116,2360,288,1115,68,1475,311,306,42,654,1217,15896,865,17975,19,1646,76,1741,218,3914,224,4351,90,1986,92,2170,69,1432,105,1611,115,3336,324,3773,96,3420,317,3839,145,4006,271,4425,241,4274,274,4793,301,3977,241,4515,536,2027,144,2701,484,573,74,1133,2321,30588,2143,35053
5002,9,467,76,552,37,998,176,1211,10,307,57,375,6,294,71,367,10,882,186,1081,4,935,156,1106,28,829,190,1048,25,623,132,783,32,357,57,438,18,83,17,118,15,14,10,33,194,5790,1126,7108,0,433,67,508,20,965,171,1154,3,360,65,435,5,314,57,374,12,1189,226,1424,21,1130,163,1310,24,853,148,1024,25,667,104,791,34,289,50,380,29,82,18,123,16,5,10,31,184,6279,1086,7553,14,903,141,1060,59,1961,351,2368,12,669,122,804,15,604,126,748,20,2073,410,2504,26,2060,323,2413,49,1679,340,2075,54,1289,228,1573,62,644,109,819,45,162,34,237,30,19,16,63,380,12073,2208,14660
5003,39,2224,106,2369,332,4933,243,5513,130,2134,96,2365,81,1737,163,1976,121,3970,508,4599,106,4350,500,4952,140,4280,439,4853,228,4093,337,4657,298,3270,225,3798,331,1475,114,1919,194,323,74,588,2001,32790,2807,37589,34,2057,114,2203,167,4712,224,5107,66,2228,92,2382,58,1749,100,1907,108,4418,270,4800,117,4784,208,5117,166,4752,232,5149,236,4488,219,4947,340,3527,199,4065,413,1686,148,2244,461,379,108,957,2159,34781,1917,38869,66,4284,220,4567,504,9650,465,10620,197,4362,193,4749,138,3489,260,3887,228,8394,775,9396,222,9134,711,10065,299,9033,670,10003,466,8572,560,9605,642,6797,425,7859,746,3164,262,4162,654,703,179,1539,4164,67575,4724,76452
5004,11,926,63,1005,126,2600,136,2860,53,1089,47,1183,27,680,34,737,43,1630,177,1851,47,2136,214,2401,62,2363,214,2639,94,2248,164,2512,165,2365,131,2666,198,1151,92,1448,156,219,28,404,977,17413,1310,19696,12,967,49,1030,51,2493,161,2707,38,985,58,1078,12,600,40,651,38,1790,127,1957,47,2559,139,2746,61,2659,125,2849,100,2593,140,2833,156,2543,137,2834,234,1177,101,1509,343,277,27,645,1097,18642,1110,20852,25,1891,116,2030,178,5089,297,5567,85,2073,108,2264,39,1279,76,1390,80,3423,302,3811,95,4697,355,5149,125,5020,339,5485,198,4845,297,5341,315,4908,274,5494,434,2328,197,2956,495,498,56,1045,2076,36052,2418,40544
5005,6,306,30,349,34,692,104,830,9,349,42,406,7,247,37,297,15,554,73,636,13,588,71,668,26,677,101,803,25,720,71,822,37,554,62,652,62,297,50,414,44,56,7,103,282,5048,660,5987,0,301,30,331,22,670,100,794,0,305,30,333,6,244,22,277,12,615,66,692,12,626,84,728,25,688,62,777,28,707,68,803,27,584,54,670,70,340,42,447,83,73,12,168,286,5161,571,6019,6,609,63,677,58,1363,207,1624,15,645,74,737,13,495,65,578,24,1169,133,1333,26,1221,158,1398,48,1371,168,1582,57,1430,136,1627,65,1135,119,1322,132,630,96,858,125,127,21,275,562,10208,1232,12003
5006,21,1039,94,1155,147,2366,264,2781,60,1087,125,1269,34,862,111,1006,50,1897,322,2270,46,1945,319,2309,52,2202,289,2540,109,2150,249,2516,152,1581,126,1860,195,707,91,992,144,172,36,349,999,16010,2031,19039,3,1020,123,1150,71,2315,268,2654,38,1056,99,1188,29,908,98,1027,42,2086,219,2340,59,2152,245,2456,80,2424,208,2710,120,2189,175,2485,180,1660,140,1980,246,749,92,1088,237,175,62,477,1098,16744,1720,19561,25,2064,218,2306,222,4682,533,5436,93,2142,220,2454,58,1768,207,2033,87,3986,540,4610,107,4099,569,4767,132,4623,495,5253,232,4341,422,4994,329,3243,268,3839,440,1458,186,2078,381,344,100,828,2098,32748,3746,38595
5007,11,1032,114,1154,88,1859,253,2195,25,743,78,849,15,887,148,1048,28,2077,330,2434,30,1940,289,2255,29,1769,255,2059,44,1602,218,1866,72,796,121,980,62,243,46,354,28,29,6,60,436,12977,1854,15265,0,979,88,1073,45,1794,209,2051,16,679,75,772,6,810,96,912,28,2037,242,2308,26,1847,210,2085,34,1632,166,1829,58,1332,141,1526,91,616,81,785,74,221,24,322,81,43,19,138,468,11993,1349,13805,21,2010,199,2227,134,3650,461,4245,40,1425,156,1616,25,1697,241,1961,60,4109,575,4745,53,3791,495,4344,70,3402,417,3889,102,2936,359,3399,163,1415,198,1770,137,466,72,669,103,67,23,202,904,24966,3200,29072
5008,9,696,109,815,55,1242,219,1517,13,420,76,506,9,378,98,485,6,1295,257,1557,4,1479,306,1780,9,1050,205,1266,7,642,131,787,10,179,38,222,12,20,8,41,0,4,0,5,136,7396,1443,8976,4,623,68,697,28,1224,220,1478,7,360,51,417,3,338,71,408,3,1380,246,1633,12,1336,220,1571,12,936,146,1092,15,450,83,544,11,134,25,164,7,25,5,37,5,0,0,8,106,6800,1135,8036,10,1316,176,1508,81,2470,444,2990,18,775,126,924,10,713,169,890,9,2676,500,3195,16,2810,521,3353,16,1985,349,2357,20,1092,212,1328,20,310,64,384,19,43,8,75,5,6,0,11,243,14191,2577,17013
5009,1013,62432,2801,66247,6706,125860,5871,138442,2277,57660,2560,62498,1589,61027,4002,66618,2434,134423,10908,147770,2272,137982,10115,150366,3165,122548,8387,134098,4566,104602,6390,115557,6601,79139,3981,89720,7970,37095,2622,47690,6202,7959,1542,15710,44804,930720,59192,1034714,589,59345,2601,62540,3241,122299,5623,131156,1493,55721,2423,59635,1160,60672,3093,64924,2261,143601,7986,153847,2609,144753,6698,154065,3731,128218,5434,137390,5589,111689,4584,121867,7521,87112,3878,98515,11294,40219,3129,54641,12780,9598,2576,24953,52276,963227,48031,1063528,1605,121777,5403,128789,9945,248157,11492,269599,3772,113379,4991,122135,2751,121694,7098,131537,4697,278022,18896,301619,4881,282732,16814,304430,6900,250764,13821,271487,10152,216295,10972,237421,14126,166256,7859,188232,19263,77312,5750,102330,18990,17556,4122,40664,97079,1893947,107212,2098239
