SUA_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
5000,1644,20,0,11,17,1695,826,10,0,3,6,848,819,11,0,3,8,847,1483,28,3,9,5,1529,1767,37,4,11,4,1823,4593,58,9,28,12,4698,4162,44,8,15,12,4241,4557,36,11,24,5,4639,2035,16,0,11,3,2068,1588,13,0,14,5,1621,1040,11,0,23,24,1095,1587,13,7,21,6,1636,26099,307,51,178,112,26746
5001,181,4,0,0,0,186,126,5,0,0,0,136,68,5,0,0,0,74,156,4,0,0,0,164,241,3,0,0,0,247,878,21,0,0,0,899,984,11,0,0,0,994,866,7,0,0,3,876,273,6,0,0,0,279,172,4,0,0,0,177,106,3,0,0,0,113,226,10,0,0,0,234,4280,72,3,5,8,4372
5002,31,3,0,0,0,39,8,0,0,0,0,4,4,0,0,0,0,5,18,3,0,5,0,29,29,6,3,4,0,41,94,14,4,0,0,112,153,16,0,0,0,171,284,19,0,0,0,304,195,6,0,0,0,205,210,0,0,0,0,214,101,4,0,0,0,104,65,3,0,3,0,73,1199,70,14,13,0,1296
5003,411,28,3,0,0,439,174,15,0,0,0,197,170,11,3,0,0,185,319,16,6,3,0,349,539,36,3,4,0,584,1995,108,9,0,0,2117,2688,63,3,3,3,2756,2505,44,8,0,4,2565,852,21,0,0,0,875,545,17,4,0,0,564,331,8,4,0,0,340,560,26,3,0,4,596,11090,399,54,12,17,11571
5004,224,11,0,0,0,235,101,11,0,0,0,113,72,7,0,0,0,83,150,8,0,0,0,169,210,12,0,0,0,226,665,39,3,4,0,704,1013,38,3,3,0,1058,1299,41,0,0,0,1341,499,11,3,0,0,517,373,17,0,0,0,386,241,6,0,0,0,246,256,20,0,0,0,282,5109,222,11,16,4,5355
5005,64,0,0,0,0,64,17,0,0,0,0,22,24,0,0,0,0,23,58,7,0,0,0,58,83,5,0,0,0,89,265,10,0,0,0,274,259,6,0,0,0,258,289,5,0,0,0,294,119,0,0,0,0,116,75,0,0,0,3,80,41,0,0,0,0,39,71,0,0,0,0,77,1365,32,0,3,9,1399
5006,175,11,0,0,0,189,110,0,0,0,0,111,82,6,0,0,0,88,231,10,6,3,4,248,315,15,0,0,0,338,902,40,3,0,0,948,945,28,3,3,0,984,991,29,0,0,0,1026,323,3,0,0,0,329,269,13,0,0,0,282,161,7,0,0,0,172,254,6,4,0,0,262,4746,186,20,10,9,4972
5007,102,9,0,0,0,112,41,0,0,0,0,44,59,7,0,0,0,67,158,19,0,0,0,174,226,27,0,0,0,256,753,74,0,0,0,832,824,37,0,0,0,861,846,45,0,4,0,889,294,6,0,0,0,300,232,9,0,0,0,241,113,4,0,0,0,123,211,11,0,0,0,212,3869,236,10,5,0,4117
5008,31,7,0,0,0,31,3,4,0,0,0,12,9,4,0,0,0,10,23,4,0,0,0,32,26,6,0,0,0,32,137,28,0,0,0,167,219,16,0,0,0,240,275,31,0,0,0,308,127,12,0,0,0,140,119,7,0,0,0,127,119,0,0,0,0,122,60,5,0,0,0,67,1154,119,5,4,0,1285
5009,11828,1337,463,8,12,13648,3917,452,171,3,0,4545,3521,450,221,0,0,4193,6219,925,400,12,3,7560,9100,1348,658,15,7,11123,33394,4915,2217,13,18,40556,49823,5846,2285,19,33,58009,71025,5857,1937,15,51,78888,32735,2327,772,5,19,35865,26286,1972,700,7,8,28980,20699,1263,497,9,16,22486,15900,1413,507,13,14,17843,284440,28126,10832,128,175,323691
