SUA_CODE_2021,F_Mgnt_Com_35_44,F_Mgnt_Com_45_54,F_Mgnt_Com_55_64,F_Mgnt_Com_65_74,F_Mgnt_Com_75_84,F_Mgnt_Com_85ov,F_Mgnt_Com_Tot,F_Society_Cult_15_24,F_Society_Cult_25_34,F_Society_Cult_35_44,F_Society_Cult_45_54,F_Society_Cult_55_64,F_Society_Cult_65_74,F_Society_Cult_75_84,F_Society_Cult_85ov,F_Society_Cult_Tot,F_Creative_Arts_15_24,F_Creative_Arts_25_34,F_Creative_Arts_35_44,F_Creative_Arts_45_54,F_Creative_Arts_55_64,F_Creative_Arts_65_74,F_Creative_Arts_75_84,F_Creative_Arts_85ov,F_Creative_Arts_Tot,F_Fd_Hosp_Psnl_Svcs_15_24,F_Fd_Hosp_Psnl_Svcs_25_34,F_Fd_Hosp_Psnl_Svcs_35_44,F_Fd_Hosp_Psnl_Svcs_45_54,F_Fd_Hosp_Psnl_Svcs_55_64,F_Fd_Hosp_Psnl_Svcs_65_74,F_Fd_Hosp_Psnl_Svcs_75_84,F_Fd_Hosp_Psnl_Svcs_85ov,F_Fd_Hosp_Psnl_Svcs_Tot,F_MixFld_Prgm_15_24,F_MixFld_Prgm_25_34,F_MixFld_Prgm_35_44,F_MixFld_Prgm_45_54,F_MixFld_Prgm_55_64,F_MixFld_Prgm_65_74,F_MixFld_Prgm_75_84,F_MixFld_Prgm_85ov,F_MixFld_Prgm_Tot,F_FldStd_InadDes_15_24,F_FldStd_InadDes_25_34,F_FldStd_InadDes_35_44,F_FldStd_InadDes_45_54,F_FldStd_InadDes_55_64,F_FldStd_InadDes_65_74,F_FldStd_InadDes_75_84,F_FldStd_InadDes_85ov,F_FldStd_InadDes_Tot,F_FldStd_NS_15_24,F_FldStd_NS_25_34,F_FldStd_NS_35_44,F_FldStd_NS_45_54,F_FldStd_NS_55_64,F_FldStd_NS_65_74,F_FldStd_NS_75_84,F_FldStd_NS_85ov,F_FldStd_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_NatPhyl_Scn_15_24,P_NatPhyl_Scn_25_34,P_NatPhyl_Scn_35_44,P_NatPhyl_Scn_45_54,P_NatPhyl_Scn_55_64,P_NatPhyl_Scn_65_74,P_NatPhyl_Scn_75_84,P_NatPhyl_Scn_85ov,P_NatPhyl_Scn_Tot,P_InfoTech_15_24,P_InfoTech_25_34,P_InfoTech_35_44,P_InfoTech_45_54,P_InfoTech_55_64,P_InfoTech_65_74,P_InfoTech_75_84,P_InfoTech_85ov,P_InfoTech_Tot,P_Eng_RelTec_15_24,P_Eng_RelTec_25_34,P_Eng_RelTec_35_44,P_Eng_RelTec_45_54,P_Eng_RelTec_55_64,P_Eng_RelTec_65_74,P_Eng_RelTec_75_84,P_Eng_RelTec_85ov,P_Eng_RelTec_Tot,P_ArchtBldng_15_24,P_ArchtBldng_25_34,P_ArchtBldng_35_44,P_ArchtBldng_45_54,P_ArchtBldng_55_64,P_ArchtBldng_65_74,P_ArchtBldng_75_84,P_ArchtBldng_85ov,P_ArchtBldng_Tot,P_Ag_Envir_Rltd_Sts_15_24,P_Ag_Envir_Rltd_Sts_25_34,P_Ag_Envir_Rltd_Sts_35_44,P_Ag_Envir_Rltd_Sts_45_54,P_Ag_Envir_Rltd_Sts_55_64,P_Ag_Envir_Rltd_Sts_65_74,P_Ag_Envir_Rltd_Sts_75_84,P_Ag_Envir_Rltd_Sts_85ov,P_Ag_Envir_Rltd_Sts_Tot,P_Health_15_24,P_Health_25_34,P_Health_35_44,P_Health_45_54,P_Health_55_64,P_Health_65_74,P_Health_75_84,P_Health_85ov,P_Health_Tot,P_Educ_15_24,P_Educ_25_34,P_Educ_35_44,P_Educ_45_54,P_Educ_55_64,P_Educ_65_74,P_Educ_75_84,P_Educ_85ov,P_Educ_Tot,P_Mgnt_Com_15_24,P_Mgnt_Com_25_34,P_Mgnt_Com_35_44,P_Mgnt_Com_45_54,P_Mgnt_Com_55_64,P_Mgnt_Com_65_74,P_Mgnt_Com_75_84,P_Mgnt_Com_85ov,P_Mgnt_Com_Tot,P_Society_Cult_15_24,P_Society_Cult_25_34,P_Society_Cult_35_44,P_Society_Cult_45_54,P_Society_Cult_55_64,P_Society_Cult_65_74,P_Society_Cult_75_84,P_Society_Cult_85ov,P_Society_Cult_Tot,P_Creative_Arts_15_24,P_Creative_Arts_25_34,P_Creative_Arts_35_44,P_Creative_Arts_45_54,P_Creative_Arts_55_64,P_Creative_Arts_65_74,P_Creative_Arts_75_84,P_Creative_Arts_85ov,P_Creative_Arts_Tot,P_Fd_Hosp_Psnl_Svcs_15_24,P_Fd_Hosp_Psnl_Svcs_25_34,P_Fd_Hosp_Psnl_Svcs_35_44,P_Fd_Hosp_Psnl_Svcs_45_54,P_Fd_Hosp_Psnl_Svcs_55_64,P_Fd_Hosp_Psnl_Svcs_65_74,P_Fd_Hosp_Psnl_Svcs_75_84,P_Fd_Hosp_Psnl_Svcs_85ov,P_Fd_Hosp_Psnl_Svcs_Tot,P_MixFld_Prgm_15_24,P_MixFld_Prgm_25_34,P_MixFld_Prgm_35_44,P_MixFld_Prgm_45_54,P_MixFld_Prgm_55_64,P_MixFld_Prgm_65_74,P_MixFld_Prgm_75_84,P_MixFld_Prgm_85ov,P_MixFld_Prgm_Tot,P_FldStd_InadDes_15_24,P_FldStd_InadDes_25_34,P_FldStd_InadDes_35_44,P_FldStd_InadDes_45_54,P_FldStd_InadDes_55_64,P_FldStd_InadDes_65_74,P_FldStd_InadDes_75_84,P_FldStd_InadDes_85ov,P_FldStd_InadDes_Tot,P_FldStd_NS_15_24,P_FldStd_NS_25_34,P_FldStd_NS_35_44,P_FldStd_NS_45_54,P_FldStd_NS_55_64,P_FldStd_NS_65_74,P_FldStd_NS_75_84,P_FldStd_NS_85ov,P_FldStd_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54
5000,2310,2034,1692,942,301,71,10131,533,1323,1574,1500,1584,919,212,20,7661,166,415,388,320,263,206,81,12,1850,475,1003,878,775,500,312,102,15,4055,38,22,10,11,14,11,0,3,115,41,74,133,133,140,73,19,4,611,1971,2328,2439,2466,2308,1856,1211,547,15129,5382,11215,12453,11738,11062,7364,3021,927,63157,151,513,637,580,436,346,98,12,2775,136,222,250,195,169,117,18,0,1100,1404,4377,4396,4380,4433,3200,1134,205,23534,398,1210,1176,1107,1154,878,306,62,6288,642,1110,1536,1412,1174,739,262,52,6919,577,1811,1880,1913,2367,1671,674,165,11060,434,1506,2062,2245,2323,1747,582,117,11015,1117,2680,3091,2931,2554,1591,531,114,14611,737,1746,2024,1930,2042,1293,352,43,10164,262,585,546,461,388,335,147,20,2751,660,1404,1341,1236,884,515,190,21,6252,74,37,20,16,32,14,8,4,200,107,219,304,326,323,215,79,18,1579,4497,6249,6451,6644,5834,4249,2468,940,37335,11194,23676,25717,25371
5001,295,325,308,185,80,15,1590,120,229,273,309,297,196,62,11,1500,31,47,44,54,45,34,22,7,287,85,148,97,107,66,53,17,11,579,12,4,5,0,0,0,0,0,18,6,11,14,18,17,10,0,3,80,112,110,111,135,152,180,174,133,1106,725,1330,1476,1646,1596,1216,631,263,8877,23,56,84,73,70,55,26,5,398,38,61,58,40,27,12,6,0,250,160,417,342,398,421,362,185,57,2347,83,214,179,150,144,130,80,27,1011,89,103,141,168,162,115,61,14,841,132,349,347,390,432,321,166,65,2188,50,189,257,335,345,347,145,31,1706,221,308,425,452,441,300,123,27,2310,180,295,345,397,402,301,84,18,2028,56,81,83,83,63,53,28,8,453,108,227,183,180,118,73,38,16,950,10,9,5,0,0,0,0,0,32,13,24,29,43,39,35,15,5,206,233,275,281,288,326,342,286,211,2241,1401,2606,2752,3008
5002,211,134,84,32,8,0,723,38,137,144,102,88,35,5,0,539,9,47,49,21,15,3,3,0,139,25,78,51,49,28,5,0,0,236,0,0,0,0,0,0,0,0,0,0,3,14,7,12,5,0,0,50,150,268,188,182,124,59,21,10,1007,363,1154,1050,757,541,232,56,11,4169,13,50,41,30,11,4,0,0,151,23,22,23,9,4,0,0,0,77,83,235,219,201,126,78,15,4,953,14,107,115,89,62,26,3,0,424,19,43,58,48,23,18,3,0,205,46,260,208,151,122,51,18,0,846,26,140,200,135,105,57,13,0,675,73,270,298,206,133,60,9,0,1043,43,201,200,141,127,55,8,0,771,12,67,71,34,20,13,3,0,222,33,101,90,94,48,10,0,0,379,4,0,0,0,0,0,0,0,7,0,18,31,26,18,12,4,0,108,310,481,367,385,279,135,43,16,2019,690,1990,1920,1553
5003,875,687,571,325,110,26,3778,328,489,685,641,467,261,64,13,2940,89,128,94,73,56,41,20,11,514,208,396,293,251,157,111,46,4,1471,11,4,4,6,6,0,0,0,38,16,38,37,46,40,16,9,4,198,240,331,293,271,272,283,260,185,2130,1786,3528,3793,3431,2837,1862,837,342,18423,37,131,155,162,122,86,26,6,730,79,149,164,87,63,25,11,5,578,490,1326,1438,1354,1229,902,393,88,7216,168,474,424,347,345,253,110,28,2146,76,139,162,160,145,78,32,13,806,311,731,806,698,730,501,211,69,4046,186,457,667,800,675,496,185,46,3522,476,1064,1221,1042,874,534,188,37,5437,446,625,827,781,609,368,102,28,3798,146,181,151,111,89,59,30,11,768,253,525,445,380,261,165,65,10,2108,26,9,3,4,16,7,3,0,72,37,74,102,125,101,40,18,5,501,506,778,747,735,651,597,441,296,4764,3231,6668,7334,6774
5004,452,438,345,249,93,34,2033,76,209,304,346,264,192,50,4,1458,41,84,113,85,78,46,23,8,477,77,177,191,182,109,76,20,9,841,6,6,0,0,0,3,0,0,18,0,9,22,28,23,12,5,11,108,131,168,174,146,175,194,180,101,1268,640,1499,2169,2076,1777,1400,666,238,10459,11,63,134,130,91,83,38,7,546,28,40,50,39,30,23,3,0,214,124,357,542,562,559,556,274,57,3034,90,279,271,266,247,226,99,28,1508,42,95,173,162,122,86,47,12,742,101,292,455,425,457,334,192,54,2308,50,214,424,432,385,401,157,26,2084,192,431,616,671,552,435,190,48,3141,106,273,384,428,336,281,91,10,1915,66,116,154,125,95,71,35,5,674,128,284,320,294,183,135,31,7,1377,12,9,0,0,0,6,4,0,37,13,21,52,59,40,28,13,9,236,264,369,431,401,374,377,325,160,2699,1230,2854,3997,3979
5005,102,120,75,33,20,11,513,28,63,68,57,63,41,7,0,324,7,21,20,20,5,3,9,0,82,23,62,44,38,25,17,0,0,213,0,0,0,0,0,0,0,0,0,3,4,0,3,5,0,3,0,23,66,69,94,80,71,76,79,24,566,248,493,508,500,405,289,197,57,2698,3,22,25,13,11,6,4,0,82,12,11,9,9,12,0,0,0,41,74,181,174,173,163,98,47,14,915,32,59,59,44,47,29,19,0,295,24,50,53,50,50,22,25,3,277,22,81,87,82,93,64,52,15,487,15,79,85,119,102,67,43,10,510,81,127,144,168,103,49,33,10,701,29,70,88,78,70,53,14,5,404,6,28,19,20,9,4,8,3,102,36,86,56,59,47,29,7,0,313,0,0,0,0,0,0,0,0,5,4,9,7,6,7,8,11,3,52,177,156,181,209,172,163,155,36,1258,517,952,985,1019
5006,375,352,272,127,40,15,1649,106,225,263,271,225,121,21,3,1234,48,40,50,37,28,14,6,0,236,95,143,136,138,52,39,29,3,628,10,6,5,3,5,4,0,0,24,12,10,8,9,14,4,3,5,65,218,245,263,237,208,194,175,134,1677,925,1710,1827,1814,1350,835,411,197,9071,31,64,80,52,35,26,3,0,296,34,64,49,34,22,17,4,0,225,235,610,619,633,584,398,160,53,3293,77,234,199,170,184,126,50,12,1052,64,91,87,119,88,64,13,4,530,180,425,366,389,268,208,87,29,1953,60,263,334,429,339,178,68,12,1693,190,395,514,521,408,210,70,25,2331,142,290,344,347,296,157,31,9,1619,68,71,75,48,43,32,10,0,342,123,206,204,198,97,57,43,7,927,11,9,3,3,9,4,0,3,40,21,24,31,32,43,17,10,7,182,453,556,581,553,493,364,327,208,3531,1695,3312,3488,3538
5007,313,240,149,43,8,0,1179,83,216,179,113,115,30,11,0,744,21,42,41,12,10,3,0,0,129,103,181,110,88,36,9,4,0,535,10,6,0,0,0,0,0,0,15,0,12,13,10,9,4,0,0,55,187,264,220,196,175,123,47,51,1266,728,1601,1407,1073,767,316,106,64,6062,33,144,133,57,35,6,0,0,413,10,34,42,27,8,3,3,0,129,298,970,845,705,501,215,57,8,3594,47,123,92,77,80,52,19,0,485,23,44,41,41,18,15,0,0,185,111,261,216,206,180,71,23,0,1067,67,215,232,206,146,55,16,9,940,152,390,450,328,226,75,10,5,1630,108,277,247,155,145,52,17,0,995,31,58,51,27,19,5,5,0,199,121,228,157,132,66,25,8,0,739,13,3,3,0,3,0,0,0,29,12,32,49,32,29,17,0,0,174,412,579,508,462,417,282,119,71,2849,1440,3343,3060,2456
5008,274,163,55,20,3,0,870,41,131,130,103,38,13,0,0,457,4,38,27,15,8,0,0,0,95,25,81,76,56,22,0,0,0,262,3,3,0,0,0,0,0,0,3,4,12,9,15,6,0,0,0,42,138,270,236,163,90,24,8,5,932,383,1263,1191,766,333,84,16,7,4039,5,32,47,39,10,3,0,0,139,5,27,32,16,3,0,0,0,81,158,604,647,442,234,53,8,0,2150,18,145,121,71,54,14,0,0,430,9,24,42,30,18,5,0,0,122,36,204,171,94,71,18,3,0,604,32,186,209,156,61,13,0,0,655,89,348,420,260,109,26,3,0,1254,64,166,174,140,58,24,0,0,620,13,54,46,19,8,0,0,0,136,44,120,111,78,35,7,0,0,393,6,3,0,0,0,0,0,0,10,12,25,34,30,21,0,0,0,129,329,578,581,388,230,72,18,5,2196,816,2508,2639,1769
5009,31914,24979,16643,9246,3677,1131,122637,7529,18805,20201,16666,12731,7638,2343,487,86399,3701,6364,5539,3341,1989,1274,619,208,23030,5191,9924,7923,6164,3895,2561,1000,241,36901,341,169,102,89,116,96,49,26,996,581,1449,1683,1318,933,631,257,101,6951,6492,9846,8387,6790,5811,5909,5909,4927,54068,47977,123115,124029,98254,73593,48125,22762,9898,547758,3923,9265,9389,7590,5621,3755,1534,332,41411,2737,7669,10403,5702,3074,1163,228,18,30993,10386,37214,38826,32972,29549,22286,10307,2821,184368,3879,12650,11181,9173,7767,5706,2856,865,54075,1267,3410,3942,3132,2324,1383,651,185,16289,8909,29419,25472,20578,17395,11373,5391,1692,120231,4233,14525,16602,17014,15497,12062,5230,1376,86539,14936,42345,52227,41986,29064,17699,7237,1890,207389,11662,26975,27938,23505,18029,11810,4060,844,124821,6671,10603,8932,5333,3285,2258,958,293,38342,7186,14719,12841,9541,6303,3876,1629,360,56454,671,327,184,161,185,159,88,34,1815,1155,3037,3555,3044,2203,1425,714,238,15377,14108,22777,20725,17228,13844,11600,10423,7623,118325,91736,234922,242222,196975
