SUA_CODE_2021,M_NatPhySci_Occ_Mng,M_NatPhySci_Occ_Pro,M_NatPhySci_Occ_TTW,M_NatPhySci_Occ_CPS,M_NatPhySci_Occ_CA,M_NatPhySci_Occ_Sal,M_NatPhySci_Occ_MOD,M_NatPhySci_Occ_Lab,M_NatPhySci_Occ_IDNS,M_NatPhySci_Total,M_InfoTechn_Occ_Mng,M_InfoTechn_Occ_Pro,M_InfoTechn_Occ_TTW,M_InfoTechn_Occ_CPS,M_InfoTechn_Occ_CA,M_InfoTechn_Occ_Sal,M_InfoTechn_Occ_MOD,M_InfoTechn_Occ_Lab,M_InfoTechn_Occ_IDNS,M_InfoTechn_Total,M_EngRelTech_Occ_Mng,M_EngRelTech_Occ_Pro,M_EngRelTech_Occ_TTW,M_EngRelTech_Occ_CPS,M_EngRelTech_Occ_CA,M_EngRelTech_Occ_Sal,M_EngRelTech_Occ_MOD,M_EngRelTech_Occ_Lab,M_EngRelTech_Occ_IDNS,M_EngRelTech_Total,M_ArchitBuild_Occ_Mng,M_ArchitBuild_Occ_Pro,M_ArchitBuild_Occ_TTW,M_ArchitBuild_Occ_CPS,M_ArchitBuild_Occ_CA,M_ArchitBuild_Occ_Sal,M_ArchitBuild_Occ_MOD,M_ArchitBuild_Occ_Lab,M_ArchitBuild_Occ_IDNS,M_ArchitBuild_Total,M_AgriEnviRelStu_Occ_Mng,M_AgriEnviRelStu_Occ_Pro,M_AgriEnviRelStu_Occ_TTW,M_AgriEnviRelStu_Occ_CPS,M_AgriEnviRelStu_Occ_CA,M_AgriEnviRelStu_Occ_Sal,M_AgriEnviRelStu_Occ_MOD,M_AgriEnviRelStu_Occ_Lab,M_AgriEnviRelStu_Occ_IDNS,M_AgriEnviRelStu_Total,M_Health_Occ_Mng,M_Health_Occ_Pro,M_Health_Occ_TTW,M_Health_Occ_CPS,M_Health_Occ_CA,M_Health_Occ_Sal,M_Health_Occ_MOD,M_Health_Occ_Lab,M_Health_Occ_IDNS,M_Health_Total,M_Educat_Occ_Mng,M_Educat_Occ_Pro,M_Educat_Occ_TTW,M_Educat_Occ_CPS,M_Educat_Occ_CA,M_Educat_Occ_Sal,M_Educat_Occ_MOD,M_Educat_Occ_Lab,M_Educat_Occ_IDNS,M_Educat_Total,M_ManagCom_Occ_Mng,M_ManagCom_Occ_Pro,M_ManagCom_Occ_TTW,M_ManagCom_Occ_CPS,M_ManagCom_Occ_CA,M_ManagCom_Occ_Sal,M_ManagCom_Occ_MOD,M_ManagCom_Occ_Lab,M_ManagCom_Occ_IDNS,M_ManagCom_Total,M_SocietCultu_Occ_Mng,M_SocietCultu_Occ_Pro,M_SocietCultu_Occ_TTW,M_SocietCultu_Occ_CPS,M_SocietCultu_Occ_CA,M_SocietCultu_Occ_Sal,M_SocietCultu_Occ_MOD,M_SocietCultu_Occ_Lab,M_SocietCultu_Occ_IDNS,M_SocietCultu_Total,M_CreatArt_Occ_Mng,M_CreatArt_Occ_Pro,M_CreatArt_Occ_TTW,M_CreatArt_Occ_CPS,M_CreatArt_Occ_CA,M_CreatArt_Occ_Sal,M_CreatArt_Occ_MOD,M_CreatArt_Occ_Lab,M_CreatArt_Occ_IDNS,M_CreatArt_Total,M_FoodHospPersServ_Occ_Mng,M_FoodHospPersServ_Occ_Pro,M_FoodHospPersServ_Occ_TTW,M_FoodHospPersServ_Occ_CPS,M_FoodHospPersServ_Occ_CA,M_FoodHospPersServ_Occ_Sal,M_FoodHospPersServ_Occ_MOD,M_FoodHospPersServ_Occ_Lab,M_FoodHospPersServ_Occ_IDNS,M_FoodHospPersServ_Total,M_MixFieldProg_Occ_Mng,M_MixFieldProg_Occ_Pro,M_MixFieldProg_Occ_TTW,M_MixFieldProg_Occ_CPS,M_MixFieldProg_Occ_CA,M_MixFieldProg_Occ_Sal,M_MixFieldProg_Occ_MOD,M_MixFieldProg_Occ_Lab,M_MixFieldProg_Occ_IDNS,M_MixFieldProg_Total,M_FS_ID_Occ_Mng,M_FS_ID_Occ_Pro,M_FS_ID_Occ_TTW,M_FS_ID_Occ_CPS,M_FS_ID_Occ_CA,M_FS_ID_Occ_Sal,M_FS_ID_Occ_MOD,M_FS_ID_Occ_Lab,M_FS_ID_Occ_IDNS,M_FS_ID_Total,M_FS_NS_Occ_Mng,M_FS_NS_Occ_Pro,M_FS_NS_Occ_TTW,M_FS_NS_Occ_CPS,M_FS_NS_Occ_CA,M_FS_NS_Occ_Sal,M_FS_NS_Occ_MOD,M_FS_NS_Occ_Lab,M_FS_NS_Occ_IDNS,M_FS_NS_Total,M_Tot_Occ_Mng,M_Tot_Occ_Pro,M_Tot_Occ_TTW,M_Tot_Occ_CPS,M_Tot_Occ_CA,M_Tot_Occ_Sal,M_Tot_Occ_MOD,M_Tot_Occ_Lab,M_Tot_Occ_IDNS,M_Total_Total,F_NatPhySci_Occ_Mng,F_NatPhySci_Occ_Pro,F_NatPhySci_Occ_TTW,F_NatPhySci_Occ_CPS,F_NatPhySci_Occ_CA,F_NatPhySci_Occ_Sal,F_NatPhySci_Occ_MOD,F_NatPhySci_Occ_Lab,F_NatPhySci_Occ_IDNS,F_NatPhySci_Total,F_InfoTechn_Occ_Mng,F_InfoTechn_Occ_Pro,F_InfoTechn_Occ_TTW,F_InfoTechn_Occ_CPS,F_InfoTechn_Occ_CA,F_InfoTechn_Occ_Sal,F_InfoTechn_Occ_MOD,F_InfoTechn_Occ_Lab,F_InfoTechn_Occ_IDNS,F_InfoTechn_Total,F_EngRelTech_Occ_Mng,F_EngRelTech_Occ_Pro,F_EngRelTech_Occ_TTW,F_EngRelTech_Occ_CPS,F_EngRelTech_Occ_CA,F_EngRelTech_Occ_Sal,F_EngRelTech_Occ_MOD,F_EngRelTech_Occ_Lab,F_EngRelTech_Occ_IDNS,F_EngRelTech_Total,F_ArchitBuild_Occ_Mng,F_ArchitBuild_Occ_Pro,F_ArchitBuild_Occ_TTW,F_ArchitBuild_Occ_CPS,F_ArchitBuild_Occ_CA,F_ArchitBuild_Occ_Sal,F_ArchitBuild_Occ_MOD,F_ArchitBuild_Occ_Lab,F_ArchitBuild_Occ_IDNS,F_ArchitBuild_Total,F_AgriEnviRelStu_Occ_Mng,F_AgriEnviRelStu_Occ_Pro,F_AgriEnviRelStu_Occ_TTW,F_AgriEnviRelStu_Occ_CPS,F_AgriEnviRelStu_Occ_CA,F_AgriEnviRelStu_Occ_Sal,F_AgriEnviRelStu_Occ_MOD,F_AgriEnviRelStu_Occ_Lab,F_AgriEnviRelStu_Occ_IDNS,F_AgriEnviRelStu_Total
5000,260,424,120,33,29,17,60,84,12,1042,91,115,106,32,26,30,67,70,11,548,2316,1265,8525,288,316,217,2196,1455,281,16856,679,128,1899,100,76,72,672,558,93,4281,1618,376,473,101,68,90,407,582,45,3754,182,711,100,208,43,16,122,91,15,1477,301,766,104,94,33,20,147,64,17,1549,1136,479,379,200,271,253,332,291,50,3395,261,385,139,530,84,58,154,210,8,1828,75,131,105,50,26,41,72,94,10,604,214,25,673,85,35,70,331,246,27,1704,0,0,11,4,0,8,5,19,0,49,102,66,160,70,23,14,149,85,31,686,322,81,469,91,26,69,386,359,245,2041,7556,4945,13263,1887,1045,976,5094,4210,853,39825,174,325,154,113,134,45,20,87,13,1064,30,35,19,16,44,12,6,32,6,203,107,139,189,62,95,38,125,97,14,866,55,62,42,22,58,18,16,30,6,302,411,286,190,143,263,118,76,277,24,1787
5001,32,47,19,9,3,0,9,11,0,126,14,22,39,10,5,14,13,30,0,159,165,108,773,68,31,44,184,139,24,1543,91,34,413,23,13,18,56,44,3,701,67,76,73,20,16,22,65,71,8,410,20,219,10,51,3,0,5,12,0,326,47,177,15,22,0,3,15,10,0,289,138,120,26,42,51,65,34,38,4,521,25,100,28,126,12,24,23,23,3,352,7,34,23,12,7,12,3,25,0,126,28,12,129,22,3,15,33,42,4,285,0,0,0,0,0,0,0,5,0,9,7,4,15,14,3,0,7,12,3,75,24,10,49,16,3,12,14,29,17,175,679,964,1613,436,155,236,460,488,69,5111,17,54,14,13,17,8,0,6,0,137,5,4,5,3,7,3,3,12,0,35,11,6,17,8,11,3,5,12,0,78,4,16,14,0,5,4,0,3,0,46,20,31,21,21,30,13,3,33,0,165
5002,9,18,12,5,4,4,0,8,0,59,9,3,7,8,5,6,0,5,0,50,88,127,314,40,25,22,64,60,15,744,59,13,152,19,3,7,34,45,5,335,28,19,19,6,7,5,8,13,0,108,11,97,5,19,3,0,5,0,0,145,15,86,3,19,7,5,3,3,0,150,94,50,24,27,25,23,6,15,6,275,27,58,15,60,15,3,4,7,4,199,8,19,13,3,8,4,4,3,0,64,21,3,41,12,10,3,6,13,0,115,0,0,0,0,0,0,0,0,0,0,10,7,12,0,4,0,5,3,0,50,11,21,25,12,3,4,10,21,27,132,402,534,643,236,110,85,155,196,60,2435,10,30,10,10,12,3,4,4,0,77,3,0,0,3,4,0,0,0,0,10,3,15,4,5,10,6,0,5,0,56,4,8,3,8,4,0,0,0,0,27,4,10,5,11,14,0,0,7,0,55
5003,45,82,48,13,5,9,27,23,3,250,42,69,84,19,16,35,31,39,0,344,451,517,2917,77,154,98,579,327,74,5193,124,53,776,30,35,21,223,226,19,1505,71,65,65,12,19,8,57,69,7,366,42,432,44,70,10,12,33,28,4,675,72,308,36,28,10,13,47,14,0,532,318,260,156,57,131,104,127,96,18,1261,51,147,39,205,36,40,59,62,8,638,21,40,29,21,11,17,16,25,3,184,54,13,167,22,17,33,114,77,5,499,3,3,0,0,0,3,5,4,0,16,24,27,48,14,11,6,63,26,3,230,36,22,119,13,12,19,88,59,66,428,1342,2050,4533,587,464,406,1465,1071,215,12137,19,102,74,26,26,9,7,18,0,281,3,9,14,17,27,8,0,16,0,100,25,56,81,24,33,17,32,28,3,303,3,28,20,15,30,18,4,9,0,123,18,45,38,13,25,15,14,33,0,208
5004,45,100,19,12,5,6,5,17,5,213,19,30,17,15,5,16,3,16,0,123,223,173,989,40,50,47,230,180,27,1957,137,30,587,30,20,20,91,89,18,1029,122,37,84,8,3,11,39,67,5,380,29,199,20,42,4,5,15,8,3,330,51,144,19,30,6,14,13,15,6,292,221,183,72,47,49,86,45,76,13,786,52,75,25,71,11,18,14,36,4,305,19,45,27,16,0,7,3,22,0,147,70,9,221,32,18,13,38,37,4,435,0,0,0,3,0,3,0,0,0,9,15,10,27,8,0,0,8,9,4,90,29,15,64,3,5,23,29,24,28,223,1029,1057,2168,349,190,259,547,611,119,6320,27,72,22,15,21,5,0,13,6,176,3,9,4,4,7,4,0,0,0,36,11,16,15,10,10,15,4,12,0,93,18,24,10,4,10,0,0,3,3,75,31,26,27,16,21,15,4,23,0,167
5005,3,11,4,0,0,0,0,0,0,21,6,3,6,0,0,0,3,0,3,29,84,45,357,3,22,9,107,61,12,695,29,5,111,7,3,7,37,26,7,229,37,29,29,3,4,15,27,21,4,162,8,47,4,6,0,0,11,0,0,71,23,50,7,0,0,0,3,3,0,89,38,36,10,8,13,12,26,10,0,156,6,12,3,19,4,0,8,0,0,61,0,5,3,0,0,0,3,3,0,18,12,0,33,3,0,0,17,13,0,74,0,0,0,0,0,0,0,0,0,0,3,4,5,4,0,0,6,6,0,21,15,0,25,6,0,3,15,15,11,99,259,244,600,59,58,50,255,161,45,1723,3,20,6,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,5,0,0,3,0,4,0,5,6,0,22,4,0,0,0,5,0,0,0,0,9,11,15,13,3,5,3,0,3,0,63
5006,16,32,19,9,9,6,3,8,0,104,15,30,24,4,15,11,11,14,0,127,250,225,1239,57,50,59,289,235,26,2423,77,29,408,37,22,21,82,91,15,774,45,34,45,12,7,19,30,45,6,244,28,202,6,31,13,0,10,12,4,299,41,167,16,18,4,3,12,11,3,276,144,111,52,42,64,46,54,32,12,549,40,77,9,108,14,11,19,25,0,293,10,20,11,9,4,16,5,7,0,86,17,3,95,16,11,19,31,29,0,230,0,0,0,0,0,0,0,4,0,8,23,13,17,15,4,5,5,10,0,96,25,19,47,11,13,9,29,25,20,202,725,958,2002,368,219,222,583,542,95,5720,13,46,23,17,11,4,5,5,0,130,3,9,0,9,9,0,0,0,0,35,12,13,19,23,7,12,12,14,0,117,3,7,3,4,7,4,0,0,0,38,13,29,20,21,21,20,3,14,7,146
5007,21,149,19,3,0,0,12,5,0,206,13,17,18,4,5,0,9,8,0,77,271,279,1817,37,56,34,358,135,34,3022,40,14,172,15,6,4,88,32,6,377,10,13,16,3,4,0,28,17,0,90,23,108,14,15,4,0,26,3,4,196,15,84,12,8,6,0,24,0,4,158,117,72,43,22,38,22,60,26,8,408,18,47,17,71,9,6,30,17,4,215,3,5,10,12,4,5,18,3,0,53,18,0,69,5,8,8,58,13,3,180,0,0,0,3,0,0,3,0,0,10,7,5,33,9,0,3,32,7,9,102,14,9,64,18,0,6,53,12,31,204,583,814,2304,212,138,97,797,274,101,5309,14,80,20,6,19,0,5,8,0,157,5,11,6,0,4,0,0,3,0,35,13,41,30,11,15,6,23,8,4,153,0,9,4,0,8,0,6,0,0,23,9,10,5,5,8,3,6,7,0,59
5008,6,15,22,0,3,0,3,3,0,57,9,9,21,4,0,0,3,0,0,44,183,202,1100,22,55,21,149,92,38,1862,55,12,185,0,10,3,60,50,4,382,17,17,7,5,3,3,11,8,0,70,18,54,7,16,6,0,10,0,0,114,14,64,18,0,5,0,8,7,0,120,115,35,72,23,39,21,24,25,16,362,18,37,10,49,5,0,14,17,0,151,4,7,12,0,5,0,4,3,0,36,19,4,55,5,7,6,12,4,0,124,0,0,0,0,0,0,0,0,0,5,5,11,25,5,3,0,14,7,3,89,4,4,55,6,3,7,25,15,23,142,469,471,1605,151,143,60,332,236,89,3551,8,20,13,6,8,0,0,0,0,78,3,0,4,4,3,0,0,0,0,23,12,37,47,5,12,5,15,11,0,148,6,4,3,0,6,0,6,3,0,19,4,12,12,0,3,3,6,0,0,45
5009,2651,7997,1602,790,685,472,604,669,161,15633,3047,9024,2655,718,1068,773,1217,1025,196,19728,17145,26442,54200,2943,4902,2806,10945,7438,1583,128421,4829,2769,18523,868,1300,712,3108,3647,488,36240,1263,1331,1974,325,351,311,830,1196,107,7685,2055,14000,1062,3138,607,406,785,717,199,22976,1760,7689,593,1041,378,235,643,406,102,12862,18722,19340,4165,3606,7805,5163,4612,3546,926,67891,3866,9518,1712,6639,2238,1230,1842,1954,401,29393,1219,3928,1774,1066,791,1038,856,993,115,11788,1861,395,6683,1310,686,754,2200,1617,152,15661,29,28,90,36,24,46,78,118,24,463,780,952,1321,644,418,263,986,602,238,6201,1075,848,2828,665,481,443,1539,1329,1971,11195,60303,104269,99188,23796,21744,14653,30251,25258,6676,386132,1578,6628,1958,1468,1845,798,154,485,146,15055,618,1958,440,652,881,386,116,428,70,5546,1201,4082,1635,841,1166,545,564,781,106,10910,497,1874,704,361,677,423,60,153,32,4791,581,1298,741,438,638,308,115,423,40,4572
