UCL_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
UCL501001,564,8333,95,8422,..,5376,909,6284,45,6327,..,1559,365,1925,11,1937,..,15077,6240,21316,158,21475,..,62480,9917,72397,1385,73779,..,379363,53747,433111,4659,437765,..,9585,1373,10962,90703,101668,1504326,388953,55123,444076,95360,2043762
UCL511001,0,48,0,48,..,105,18,117,0,117,..,6,0,6,0,6,..,86,45,130,0,129,..,936,109,1047,31,1082,..,5635,619,6255,80,6335,..,238,20,257,4215,4471,64393,5873,635,6513,4292,75196
UCL512001,0,19,0,19,..,45,4,48,0,48,..,8,0,6,0,6,..,35,0,33,0,33,..,417,129,550,0,548,..,1890,243,2135,16,2148,..,75,7,83,1774,1860,27117,1966,249,2220,1792,31128
UCL512002,0,13,0,19,..,51,6,60,0,61,..,0,0,0,0,0,..,45,19,67,0,67,..,263,66,327,8,336,..,1249,167,1416,24,1444,..,99,10,107,1305,1416,24377,1350,177,1525,1335,27233
UCL512003,0,22,0,22,..,91,12,110,0,110,..,0,0,0,0,0,..,92,44,134,0,135,..,423,38,460,15,476,..,2347,266,2614,37,2652,..,151,10,160,3012,3169,26891,2500,275,2777,3046,32717
UCL512004,0,40,4,43,..,119,24,149,0,149,..,10,0,10,0,10,..,46,16,62,0,58,..,915,63,978,27,1006,..,3413,261,3679,56,3727,..,193,30,225,2954,3181,22163,3613,289,3899,3005,29068
UCL513001,0,17,0,17,..,62,11,71,0,71,..,6,0,10,0,14,..,20,0,25,0,25,..,506,22,532,11,544,..,1492,80,1574,16,1590,..,132,18,149,2053,2206,10859,1624,101,1721,2078,14660
UCL513002,0,5,0,5,..,25,0,26,0,26,..,0,0,0,0,0,..,18,0,22,0,22,..,87,5,87,0,86,..,410,40,446,7,451,..,45,5,49,939,984,8783,453,38,494,946,10218
UCL513003,0,18,0,18,..,110,14,128,0,128,..,4,0,4,0,4,..,33,10,42,0,42,..,420,41,459,14,473,..,1917,142,2063,31,2097,..,108,7,119,2502,2621,12300,2029,157,2184,2534,17013
UCL513004,5,17,0,17,..,86,6,92,0,90,..,5,3,14,0,10,..,44,0,42,0,42,..,541,33,578,15,592,..,2025,147,2171,35,2215,..,189,8,199,2234,2428,10654,2213,162,2372,2275,15298
UCL513005,0,4,0,4,..,28,6,30,0,30,..,0,0,0,0,0,..,7,3,16,0,12,..,208,23,227,4,232,..,853,85,930,6,940,..,88,5,92,606,698,9371,938,90,1020,615,11009
UCL514001,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,38,5,39,0,42,..,169,18,186,0,183,..,25,0,22,578,601,6395,190,19,209,579,7184
UCL514002,0,4,0,4,..,16,0,13,0,13,..,0,0,0,0,0,..,3,0,3,0,3,..,63,0,60,0,63,..,392,23,414,6,416,..,19,0,23,477,496,6267,413,26,438,480,7182
UCL514003,0,0,0,0,..,18,3,21,0,21,..,0,0,0,0,0,..,7,3,14,0,14,..,82,58,140,3,144,..,672,121,794,12,802,..,27,3,29,492,517,6106,693,124,818,504,7430
UCL514004,0,12,0,12,..,5,0,5,0,5,..,0,0,0,0,0,..,7,3,15,0,15,..,73,13,87,0,90,..,403,55,459,3,465,..,23,0,23,693,719,5496,429,59,491,700,6679
UCL515001,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,6,0,6,..,27,0,29,0,29,..,0,0,0,90,87,1092,32,0,30,90,1211
UCL515002,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,18,4,25,0,25,..,48,9,51,0,51,..,6,0,6,64,71,1150,53,9,55,64,1271
UCL515003,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,3,5,8,0,8,..,15,4,17,3,16,..,72,7,80,4,80,..,0,0,0,151,153,2066,70,7,81,152,2300
UCL515004,0,0,0,0,..,4,0,6,0,6,..,0,0,0,0,0,..,5,3,8,0,8,..,30,6,34,0,34,..,107,16,122,0,126,..,5,0,5,148,157,1949,118,16,131,151,2225
UCL515005,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,19,0,21,0,21,..,56,0,56,0,64,..,0,0,3,137,139,2201,57,3,63,139,2402
UCL515006,0,3,0,3,..,6,0,9,0,9,..,0,0,0,0,0,..,23,6,31,0,31,..,99,14,108,4,118,..,313,45,354,6,358,..,22,0,22,755,781,3024,329,45,372,763,4162
UCL515007,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,7,0,7,..,19,0,25,0,25,..,98,4,100,3,107,..,4,0,4,210,212,1801,100,4,102,212,2119
UCL515008,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,11,0,11,..,45,0,42,0,42,..,5,0,5,125,135,1101,47,0,49,125,1282
UCL515009,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,14,5,18,0,18,..,21,0,21,0,23,..,126,11,135,5,140,..,6,0,6,280,282,2521,134,11,147,280,2944
UCL515010,0,0,0,0,..,0,0,0,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,173,13,182,6,188,..,273,15,290,12,303,..,47,127,169,811,977,1725,322,144,463,820,3009
