UCL_CODE_2021,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
UCL501001,17597,50564,102386,102342,78221,56410,41889,18584,4731,472717,2680,4442,12331,12661,12838,10758,5904,2632,583,64827,3344,5118,16564,18147,25522,30740,24303,11288,2983,138017,958,706,1995,2504,3050,4072,4929,3934,1530,23681,241,268,862,1262,1517,2256,3978,4997,2659,18034,49,146,701,875,991,922,786,618,352,5424,2137,3450,9999,9352,8053,6392,4856,4106,2532,50871,27009,64684,144835,147143,130190,111552,86638,46156,15371,773574,18410,52579,118404,116193,87137,62291,39934,17303,5575,517827,1722,3254,9526,9903,12902,13882,7997,3348,958,63500,2489,3908,12535,14047,22797,29589,30962,15610,5676,137615,703,505,1366,1900,2388,3631,5455,4743,2551,23248,201,179,770,1319,1793,2579,4858,5971,4293,21978,44,88,616,987,1103,1239,1089,928,791,6880,2007,2900,7612,6248,5186,4735,5238,5396,4697,44024,25574,63425,150840,150593,133310,117957,95534,53298,24536,815069,36004,103147,220792,218537,165355,118698,81822,35887,10302,990545,4406,7699,21853,22561,25740,24635,13899,5983,1543,128318,5834,9026,29097,32192,48322,60333,55266,26893,8666,275632,1657,1210,3359,4408,5440,7710,10388,8675,4080,46927
UCL511001,479,1167,2251,2372,2024,1520,1183,486,133,11610,179,265,639,712,655,472,272,102,24,3324,238,346,1123,1259,1484,1836,1431,631,114,8464,54,39,142,135,165,277,318,242,72,1440,14,11,31,32,43,94,214,266,129,832,3,0,18,14,21,27,15,14,12,117,98,127,358,353,358,327,260,152,105,2142,1063,1951,4567,4877,4750,4552,3690,1901,581,27934,546,1351,3019,3143,2604,1857,1147,516,155,14340,116,149,557,637,666,710,432,141,43,3455,177,237,769,908,1395,1750,1626,792,241,7899,36,37,89,102,99,174,320,253,120,1235,6,15,26,37,47,78,179,283,183,853,3,0,8,3,7,21,15,16,17,89,76,93,282,208,223,238,248,217,174,1782,960,1888,4758,5039,5046,4822,3971,2222,939,29647,1029,2522,5276,5513,4621,3374,2329,1003,288,25947,293,416,1197,1351,1324,1182,702,238,65,6784,417,578,1893,2169,2886,3587,3062,1420,360,16367,90,76,230,237,265,455,630,498,195,2672
UCL512001,195,407,876,838,803,719,640,313,103,4891,100,114,232,219,219,180,143,52,25,1281,145,189,487,428,544,748,652,308,103,3600,23,13,40,43,64,90,140,140,53,636,4,8,32,22,30,58,97,159,98,509,0,5,14,12,16,12,9,4,12,75,42,38,128,108,112,124,118,103,55,829,512,773,1812,1677,1789,1926,1803,1085,445,11817,194,461,1102,1140,1136,971,729,372,141,6244,44,89,177,195,261,290,249,99,24,1429,78,108,273,305,512,689,725,416,134,3238,16,17,18,30,48,84,138,148,78,566,5,3,7,11,13,33,79,152,114,427,0,0,5,6,17,12,11,9,10,69,39,37,76,87,95,122,125,153,125,851,380,709,1658,1774,2087,2192,2063,1351,623,12828,389,870,1978,1978,1941,1688,1367,683,245,11135,147,200,410,408,481,467,393,157,42,2716,225,295,758,732,1059,1432,1376,723,233,6842,39,27,61,75,113,177,278,288,130,1200
UCL512002,167,363,694,825,765,617,648,314,77,4466,59,70,176,196,223,184,147,72,8,1130,53,75,252,329,483,590,658,348,51,2825,13,3,28,38,49,64,119,117,39,470,3,3,12,8,22,33,76,116,89,363,0,0,15,8,8,11,4,9,7,63,25,22,116,127,121,101,99,90,47,753,320,540,1294,1532,1677,1586,1755,1051,319,10067,189,363,897,1184,1025,786,618,299,97,5454,24,41,127,165,273,291,220,86,25,1247,35,63,181,286,474,639,826,409,136,3046,13,4,22,18,35,65,120,101,71,447,6,0,7,12,14,31,64,121,130,381,0,3,9,3,7,7,9,0,5,39,45,28,85,69,66,91,124,122,102,722,309,503,1334,1734,1885,1900,1969,1139,570,11337,359,727,1591,2007,1789,1400,1268,612,174,9925,83,108,307,357,495,473,361,156,39,2376,86,141,432,615,956,1222,1482,750,184,5872,31,15,45,55,85,128,232,221,106,916
UCL512003,184,494,908,929,798,618,438,165,43,4578,104,141,274,261,289,230,127,34,13,1464,123,126,410,433,624,849,575,227,68,3437,44,22,43,44,91,117,152,128,42,680,7,4,13,18,31,84,137,186,89,563,0,0,6,4,8,9,13,17,16,73,116,82,231,237,250,206,126,106,55,1400,578,875,1876,1937,2083,2109,1561,870,319,12203,200,581,1215,1249,1118,713,431,183,63,5757,67,86,225,229,321,383,236,73,15,1648,101,124,281,351,555,693,621,301,107,3131,20,22,42,51,60,91,129,132,57,608,4,7,10,11,25,54,96,156,101,456,0,7,10,9,12,16,21,18,15,98,79,92,194,211,186,171,143,132,95,1296,478,920,1964,2111,2276,2111,1677,1002,449,12991,386,1082,2117,2176,1915,1330,865,351,113,10337,177,223,497,490,614,615,362,110,29,3113,226,256,690,784,1173,1541,1195,527,168,6566,59,44,88,100,152,210,287,261,95,1288
UCL512004,151,563,1265,1102,752,520,225,59,10,4653,83,135,312,288,273,209,85,14,0,1396,140,182,512,511,657,725,355,101,17,3201,26,31,48,59,96,113,97,52,6,524,7,15,14,28,35,61,67,48,19,286,3,0,8,17,10,11,5,3,0,72,70,127,277,247,230,224,144,72,15,1412,469,1047,2434,2255,2060,1863,978,352,60,11531,171,578,1463,1233,851,563,196,61,20,5134,54,75,239,205,238,230,57,12,0,1117,81,146,321,370,479,468,291,103,15,2270,26,13,40,41,55,62,69,41,9,354,6,5,11,24,30,39,62,56,29,260,4,4,5,8,8,8,3,4,6,46,72,89,233,196,171,155,109,53,55,1130,411,912,2308,2078,1827,1527,787,322,138,10308,320,1141,2737,2331,1602,1086,415,122,25,9784,135,213,546,489,513,439,143,23,3,2505,217,330,833,878,1140,1195,647,204,37,5474,54,40,87,107,151,173,165,86,13,878
UCL513001,59,204,633,594,416,241,154,30,5,2339,21,36,91,111,143,93,39,8,0,537,39,44,139,191,253,253,118,32,9,1076,18,5,20,31,27,41,35,9,0,187,0,0,10,6,14,14,39,18,7,112,0,0,3,8,3,6,4,3,0,33,58,74,191,149,187,135,56,16,9,880,198,367,1078,1100,1048,783,438,118,33,5169,103,247,952,848,530,333,138,32,4,3193,16,22,90,106,129,113,24,8,0,522,25,33,111,143,161,186,106,22,8,799,10,8,18,23,25,32,17,9,3,148,3,3,3,13,13,7,22,21,3,85,0,0,0,6,9,8,0,0,0,27,58,61,243,174,159,117,61,21,10,902,220,374,1424,1310,1024,794,380,123,31,5671,162,454,1582,1448,950,573,292,64,5,5533,41,55,186,219,270,206,62,14,0,1061,64,77,249,330,414,439,225,57,14,1875,21,17,37,52,51,73,59,15,9,332
UCL513002,65,144,300,281,226,193,134,68,24,1446,41,44,82,69,76,86,44,31,5,466,29,26,108,145,216,267,202,98,15,1109,7,8,16,16,26,40,57,43,11,223,5,0,4,0,14,16,38,53,31,160,0,0,0,0,0,0,0,0,6,9,37,33,71,64,86,66,58,63,15,494,186,253,583,573,641,679,536,353,96,3901,58,169,441,349,308,238,163,96,22,1850,13,26,58,81,109,134,73,22,7,537,18,29,72,106,118,187,199,111,35,877,10,6,6,9,14,29,34,60,30,204,0,0,5,7,9,16,23,56,30,142,0,0,0,0,0,4,5,0,0,11,23,20,51,72,55,49,51,60,20,413,126,254,632,627,618,660,554,409,157,4032,128,316,739,620,535,433,296,165,46,3294,48,68,143,144,187,220,120,51,16,1001,54,55,177,252,334,457,401,206,48,1979,20,8,23,23,38,73,94,103,45,427
UCL513003,82,277,806,914,545,239,62,11,0,2943,40,46,174,197,154,100,14,3,0,737,34,54,254,321,301,254,71,5,0,1293,11,16,41,35,36,37,9,5,0,179,0,0,10,9,19,15,23,3,0,73,0,0,3,9,0,6,0,0,0,22,72,96,265,303,208,134,43,6,0,1137,247,485,1556,1784,1266,787,222,41,5,6376,86,260,1088,1003,543,216,48,8,3,3238,22,40,127,141,144,58,11,3,0,535,24,37,154,177,219,151,43,8,0,810,7,0,20,12,18,25,15,5,0,108,0,0,0,7,14,7,8,3,3,55,0,4,3,0,3,0,0,0,0,12,54,72,245,225,154,84,31,6,0,868,184,408,1633,1565,1092,544,162,37,8,5631,163,540,1894,1915,1085,455,106,20,5,6183,63,83,306,335,304,159,27,12,0,1279,55,86,407,500,515,407,118,18,0,2099,16,16,64,53,51,59,25,4,0,287
UCL513004,93,206,695,697,391,272,69,16,0,2440,44,52,191,195,148,125,21,0,0,768,37,56,261,281,294,275,59,13,0,1271,5,10,49,41,36,64,24,3,0,228,3,0,6,14,21,18,21,14,7,105,4,0,4,9,12,5,7,5,0,32,64,83,269,243,187,182,45,11,4,1088,242,417,1471,1480,1085,933,239,57,10,5934,92,244,939,779,360,203,66,9,0,2690,29,35,139,118,97,86,23,4,0,522,27,42,197,171,205,185,60,8,0,894,3,10,20,25,36,29,11,3,0,145,0,5,12,19,16,26,17,6,5,100,0,0,3,4,10,9,5,3,0,28,55,75,230,184,151,96,35,9,7,841,204,413,1533,1301,868,633,212,44,12,5221,181,452,1637,1484,752,470,134,22,0,5126,71,91,326,310,243,210,40,3,0,1293,60,99,452,447,496,462,117,24,0,2164,13,21,69,71,66,95,36,4,0,370
