UCL_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
UCL501001,446,444,1636,2583,3314,4835,8836,10967,6951,40010,94,232,1317,1854,2098,2162,1879,1542,1141,12309,4140,6346,17615,15600,13232,11130,10097,9509,7228,94894,52586,128109,295678,297739,263499,229502,182178,99453,39903,1588634
UCL511001,17,21,58,67,91,171,394,544,310,1683,5,0,27,19,27,44,30,32,24,207,177,220,644,564,584,569,516,375,281,3920,2025,3838,9325,9920,9794,9373,7665,4120,1522,57582
UCL512001,8,12,37,38,46,90,185,314,210,928,0,5,18,25,35,19,18,8,17,144,75,78,200,194,211,243,249,258,180,1681,883,1482,3469,3446,3877,4114,3864,2432,1066,24645
UCL512002,6,3,15,21,37,60,143,236,220,740,0,5,27,10,18,13,16,9,13,103,66,50,204,201,190,197,222,209,145,1476,626,1042,2622,3267,3560,3486,3718,2196,884,21406
UCL512003,15,12,20,30,51,133,233,342,191,1025,0,6,16,13,17,22,33,37,28,172,195,172,419,453,433,374,270,244,147,2699,1055,1795,3841,4044,4356,4229,3236,1863,762,25190
UCL512004,10,13,22,53,64,97,128,101,49,541,6,4,12,30,23,18,12,6,6,113,146,214,510,445,391,384,258,129,74,2544,878,1958,4745,4336,3884,3392,1765,671,202,21840
UCL513001,8,4,8,16,23,26,62,33,15,195,4,0,3,11,12,9,9,3,8,65,124,134,428,326,351,247,119,44,17,1781,421,748,2500,2409,2075,1574,819,237,63,10842
UCL513002,6,0,10,10,16,32,59,105,62,302,0,0,0,3,0,4,10,0,5,24,63,59,123,135,142,117,111,125,38,908,309,506,1217,1197,1262,1339,1090,760,255,7935
UCL513003,3,0,5,17,32,22,31,7,3,125,5,4,5,12,5,3,3,7,0,35,128,164,514,525,359,219,71,17,3,2000,428,890,3191,3349,2352,1324,386,75,11,12007
UCL513004,6,8,15,32,37,46,43,23,8,211,4,0,7,12,20,7,11,4,0,60,119,157,496,426,336,278,83,21,8,1928,448,825,2999,2781,1955,1568,453,103,25,11161
