UCL_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
UCL501001,26422,18779,24389,22707,20687,16328,11181,7254,4593,152348,387885,246891,295897,297929,263686,229678,182320,99540,39936,2043762
UCL511001,1217,810,1025,970,940,821,566,342,204,6899,14972,8488,9322,9920,9801,9377,7670,4119,1523,75196
UCL512001,464,305,409,395,362,369,302,187,100,2895,5431,3413,3469,3451,3878,4117,3864,2432,1066,31128
UCL512002,426,221,252,291,300,282,235,158,65,2232,4900,2591,2622,3266,3560,3486,3722,2196,884,27233
UCL512003,913,519,519,552,561,470,314,202,99,4148,6482,3882,3846,4050,4359,4229,3237,1863,762,32717
UCL512004,814,519,683,617,558,473,233,81,31,4006,6476,3575,4745,4344,3886,3399,1770,669,202,29068
UCL513001,571,300,440,397,407,270,122,39,18,2566,3421,1552,2504,2413,2075,1573,819,237,63,14660
UCL513002,266,156,150,147,153,131,102,97,28,1226,1959,1140,1217,1197,1256,1337,1090,760,255,10218
UCL513003,729,348,556,598,418,255,86,15,4,3005,4497,1816,3195,3353,2357,1328,384,75,11,17013
UCL513004,575,334,566,475,370,302,73,19,7,2721,3779,1619,3009,2783,1956,1568,455,103,25,15298
UCL513005,227,122,146,154,125,94,43,29,9,950,2755,1183,1488,1553,1409,1115,850,503,151,11009
UCL514001,187,93,98,90,96,104,80,47,23,821,1299,773,809,790,868,988,992,502,162,7184
UCL514002,103,59,89,124,83,80,79,57,5,672,1553,531,711,1151,986,813,877,459,101,7182
UCL514003,180,70,101,125,123,69,49,9,11,723,1647,667,975,1309,1103,743,626,240,117,7430
UCL514004,206,123,98,109,117,101,66,48,32,902,1284,798,731,728,809,926,799,425,182,6679
UCL515001,20,6,9,10,18,10,22,8,13,114,112,56,64,89,134,192,293,177,96,1211
UCL515002,20,11,16,16,19,12,15,0,0,106,221,119,129,162,179,196,191,54,10,1271
UCL515003,35,30,19,14,37,30,30,19,9,214,350,198,177,207,284,368,432,210,68,2300
UCL515004,52,28,35,39,27,21,14,5,0,225,552,332,423,273,245,172,150,61,19,2225
UCL515005,39,38,18,20,45,25,32,9,4,232,497,253,230,296,355,293,292,135,36,2402
UCL515006,197,135,138,112,112,100,57,37,9,897,791,452,547,482,579,598,433,208,67,4162
UCL515007,86,20,25,59,35,27,14,8,3,273,604,131,185,450,319,220,141,51,20,2119
UCL515008,37,22,29,34,30,24,7,0,0,184,358,108,163,235,223,156,35,13,0,1282
UCL515009,60,37,28,38,56,33,44,21,10,330,489,295,201,329,366,397,480,285,102,2944
UCL515010,217,107,134,108,112,104,69,26,4,873,643,352,475,369,392,400,264,87,24,3009
UCL515011,42,21,26,33,25,31,39,23,9,244,512,266,256,332,326,368,384,249,88,2786
UCL515012,44,24,39,29,29,20,15,0,8,205,569,254,367,305,309,196,151,50,14,2219
UCL515013,49,35,55,48,50,24,32,11,3,305,514,300,500,453,384,329,219,96,17,2806
UCL515014,29,23,26,16,13,16,0,0,0,128,198,131,208,148,138,133,53,13,3,1022
UCL515015,42,28,27,20,36,31,22,33,13,257,480,248,381,315,354,319,311,264,124,2797
UCL515016,27,7,19,23,29,31,35,19,7,198,240,96,163,172,189,274,300,133,36,1600
UCL515017,21,20,24,25,31,38,45,18,4,228,162,97,112,122,172,248,222,101,27,1270
