UCL_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
UCL501001,..,991,35610,79413,74330,65437,55211,29840,7320,348143,..,6556,31339,18712,12468,8545,4190,1282,223,83304,..,172,1097,3417,5331,3503,1586,735,459,16309,189663,..,..,..,..,..,..,..,..,189663,..,50210,..,..,..,..,..,..,..,50210,..,35926,20992,6873,4151,1809,328,3,0,70075,..,5966,5398,2009,1611,1881,1514,847,438,19663,..,3018,4554,1819,1118,689,340,124,13,11683,..,8034,13862,4565,3152,2791,1874,683,145,35108,..,3645,13953,13973,13832,15292,13517,7823,3439,85477,2121,2569,2775,2029,1507,1195,958,481,146,13775,191783,117075,129581,132807,117494,101137,79518,41823,12187,923410,..,2361,53421,89261,77572,65301,50258,21779,3477,363434,..,10582,35683,18656,12473,7687,3196,833,107,89216,..,1563,9424,17142,19050,10604,4599,2925,1968,67281,179680,..,..,..,..,..,..,..,..,179680,..,51636,..,..,..,..,..,..,..,51636,..,25208,12741,3112,2004,1445,369,13,0,44889,..,5453,3528,1194,1597,3735,4436,2702,1628,24273,..,2815,2886,857,512,408,180,52,22,7744
UCL511001,..,47,1103,2334,2421,2459,2170,1227,269,12034,..,390,1107,608,465,393,201,51,7,3222,..,11,43,204,238,96,50,22,22,695,7301,..,..,..,..,..,..,..,..,7301,..,1327,..,..,..,..,..,..,..,1327,..,1404,482,214,117,64,12,0,0,2294,..,185,148,66,47,51,45,22,11,582,..,123,127,70,44,24,9,4,0,401,..,183,276,120,119,112,81,20,5,913,..,174,485,464,551,626,524,311,134,3270,125,122,117,96,68,83,75,29,6,725,7433,3958,3883,4176,4088,3906,3169,1685,466,32768,..,92,1667,2746,2721,2503,2004,904,132,12768,..,577,1215,660,526,380,139,36,0,3545,..,110,530,857,737,279,140,99,65,2824,6814,..,..,..,..,..,..,..,..,6814,..,1499,..,..,..,..,..,..,..,1499,..,972,270,95,66,52,15,0,0,1466,..,125,77,21,55,118,124,69,42,637,..,124,89,43,25,12,10,5,0,304
UCL512001,..,23,444,730,858,992,993,659,219,4918,..,161,387,259,220,176,113,25,8,1352,..,6,16,69,92,58,19,7,11,283,2590,..,..,..,..,..,..,..,..,2590,..,509,..,..,..,..,..,..,..,509,..,567,223,85,60,31,3,0,0,971,..,83,63,25,20,31,35,10,7,272,..,50,54,25,24,16,4,0,0,171,..,79,88,39,38,43,25,15,0,330,..,65,154,128,197,312,283,184,115,1437,47,51,47,37,52,51,57,27,8,374,2636,1612,1475,1399,1565,1701,1530,930,362,13209,..,58,565,856,1030,1021,959,522,102,5106,..,229,407,286,234,181,71,30,4,1433,..,33,180,317,310,133,56,47,38,1109,2478,..,..,..,..,..,..,..,..,2478,..,557,..,..,..,..,..,..,..,557,..,332,113,27,30,27,4,0,0,543,..,73,22,6,25,55,49,44,17,298,..,61,36,6,8,8,0,0,0,122
UCL512002,..,4,318,732,872,863,1045,658,142,4638,..,93,298,247,194,151,107,34,6,1119,..,0,16,44,84,33,13,9,7,208,2363,..,..,..,..,..,..,..,..,2363,..,471,..,..,..,..,..,..,..,471,..,470,190,55,41,15,4,0,0,779,..,51,31,9,9,14,29,5,4,158,..,46,34,17,9,10,4,0,0,119,..,51,84,37,42,54,25,10,0,302,..,33,103,134,163,192,252,144,66,1091,24,34,46,36,33,36,39,19,6,275,2394,1263,1114,1307,1447,1370,1509,881,236,11526,..,18,448,938,991,962,1008,495,83,4939,..,149,355,257,225,149,93,19,0,1245,..,18,127,282,284,121,45,30,18,932,2267,..,..,..,..,..,..,..,..,2267,..,489,..,..,..,..,..,..,..,489,..,311,75,22,31,16,10,0,0,464,..,47,18,11,16,42,42,28,21,223,..,44,27,9,8,5,5,0,0,96
UCL512003,..,16,398,785,919,1000,855,479,131,4594,..,177,440,272,225,210,79,21,11,1434,..,6,27,77,94,58,28,21,7,327,2896,..,..,..,..,..,..,..,..,2896,..,494,..,..,..,..,..,..,..,494,..,615,219,114,79,27,4,0,0,1063,..,121,59,39,34,35,33,12,7,345,..,41,53,23,20,6,10,4,0,149,..,86,116,49,37,51,35,9,6,377,..,86,208,215,276,378,282,159,66,1667,67,65,51,43,49,35,47,21,0,379,2960,1716,1570,1612,1733,1801,1378,731,235,13728,..,48,600,960,1074,991,804,374,58,4914,..,283,462,299,260,186,68,23,4,1578,..,62,234,360,312,176,84,60,26,1304,2800,..,..,..,..,..,..,..,..,2800,..,542,..,..,..,..,..,..,..,542,..,387,119,61,41,27,3,0,0,641,..,101,36,19,33,51,59,48,17,363,..,51,23,16,4,5,9,3,0,113
UCL512004,..,19,494,963,898,852,433,146,22,3820,..,221,629,357,259,179,49,10,0,1708,..,3,31,64,88,43,27,8,0,265,2982,..,..,..,..,..,..,..,..,2982,..,394,..,..,..,..,..,..,..,394,..,557,174,63,48,15,0,0,0,860,..,104,69,47,29,43,27,13,0,339,..,56,50,26,20,12,8,4,0,171,..,131,180,80,65,43,14,7,4,525,..,104,283,273,301,346,231,88,10,1634,47,48,69,42,32,53,32,14,3,340,3029,1632,1980,1918,1748,1582,820,283,41,13034,..,27,718,1074,895,762,328,97,14,3922,..,348,683,348,282,125,34,9,0,1825,..,46,180,228,161,95,41,29,12,793,2789,..,..,..,..,..,..,..,..,2789,..,361,..,..,..,..,..,..,..,361,..,358,96,30,20,15,6,0,0,516,..,70,29,15,35,46,48,26,14,280,..,40,29,11,8,3,0,0,0,95
UCL513001,..,7,168,425,354,263,176,32,6,1436,..,53,312,242,188,111,38,8,0,949,..,4,3,31,38,20,16,4,0,112,1469,..,..,..,..,..,..,..,..,1469,..,157,..,..,..,..,..,..,..,157,..,202,81,29,9,0,3,0,0,328,..,53,27,19,34,17,5,5,0,170,..,27,50,13,10,8,0,0,0,106,..,25,82,36,29,28,26,0,0,239,..,26,68,83,106,134,93,27,8,540,37,33,24,24,21,19,7,7,3,180,1511,588,817,906,788,606,356,88,17,5672,..,5,246,489,368,268,105,21,6,1508,..,75,384,268,164,100,19,9,0,1009,..,29,105,171,117,56,30,12,3,524,1385,..,..,..,..,..,..,..,..,1385,..,191,..,..,..,..,..,..,..,191,..,131,30,11,14,0,0,0,0,195,..,67,29,11,16,26,20,10,3,170,..,35,63,15,17,4,3,0,0,136
UCL513002,..,3,132,244,276,327,266,172,42,1467,..,51,151,109,84,63,23,6,0,481,..,4,0,16,17,18,9,3,8,85,865,..,..,..,..,..,..,..,..,865,..,153,..,..,..,..,..,..,..,153,..,156,56,22,34,12,0,0,0,288,..,20,18,6,8,9,13,5,0,84,..,14,11,6,0,6,0,0,0,38,..,39,44,14,9,11,12,0,0,132,..,42,63,63,91,100,97,84,30,575,9,27,19,17,14,15,21,6,0,128,879,509,489,493,540,571,439,289,77,4297,..,12,200,282,285,325,265,137,20,1525,..,90,168,110,82,59,9,4,0,528,..,15,53,99,75,34,17,17,11,326,823,..,..,..,..,..,..,..,..,823,..,141,..,..,..,..,..,..,..,141,..,88,31,13,3,6,0,0,0,136,..,25,6,6,10,18,14,7,4,91,..,16,8,0,5,0,0,0,0,31
UCL513003,..,6,354,824,582,336,86,13,0,2193,..,104,421,280,154,73,13,0,0,1052,..,0,13,34,35,22,4,0,0,108,1953,..,..,..,..,..,..,..,..,1953,..,255,..,..,..,..,..,..,..,255,..,226,55,14,4,0,0,0,0,302,..,42,23,9,3,17,8,7,0,108,..,28,32,18,9,8,0,0,0,92,..,41,92,51,45,17,14,4,0,259,..,55,173,147,136,123,46,4,0,685,36,36,36,25,24,23,6,0,0,179,1988,792,1201,1392,990,616,176,30,4,7194,..,11,545,833,547,256,54,10,0,2247,..,155,441,259,149,48,17,0,0,1074,..,12,58,94,72,16,8,0,0,264,1825,..,..,..,..,..,..,..,..,1825,..,225,..,..,..,..,..,..,..,225,..,132,25,11,0,0,0,0,0,172,..,29,16,4,17,27,17,5,0,112,..,15,25,7,3,0,0,0,0,53
UCL513004,..,13,302,572,386,330,85,14,0,1701,..,91,384,276,153,94,21,5,0,1019,..,8,15,45,37,16,8,0,0,130,1645,..,..,..,..,..,..,..,..,1645,..,149,..,..,..,..,..,..,..,149,..,218,82,26,8,4,0,0,0,337,..,74,39,31,14,17,8,4,0,195,..,18,29,10,18,6,4,0,0,81,..,20,61,32,32,38,13,0,0,203,..,47,183,167,165,174,45,18,0,807,39,25,43,31,30,28,3,0,0,207,1682,668,1145,1190,834,716,189,43,10,6478,..,11,439,610,345,244,60,4,0,1716,..,136,485,235,133,63,14,0,0,1061,..,20,93,110,67,47,18,6,0,366,1620,..,..,..,..,..,..,..,..,1620,..,154,..,..,..,..,..,..,..,154,..,141,33,21,3,3,0,0,0,200,..,54,21,6,17,44,24,9,3,180,..,17,13,9,6,7,0,0,0,48
