UCL_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
UCL501001,179831,24086,8407,1342,147,213814,275929,28092,10814,104,157,315082,69228,28259,26315,105,134,124036,7019,8671,2800,7,26,18516,1186,1982,1002,4,18,4185,33366,10386,6195,107,69,50123,3762,1268,767,348,34,6184,581,371,175,8,0,1142,115147,50936,37254,579,279,204186,5859,5015,2087,62,29,13052,6122,1861,853,111,133,9079,582882,109986,59408,2198,744,755215
UCL511001,7162,645,87,150,9,8056,10919,399,54,12,17,11395,3043,791,257,11,5,4104,367,494,39,0,0,904,54,165,75,0,0,298,1635,300,57,3,0,1999,135,56,9,38,0,244,29,15,3,0,0,50,5270,1817,438,52,14,7594,268,238,22,5,8,540,252,106,14,20,8,399,23878,3206,610,238,50,27979
UCL512001,4029,155,12,76,3,4269,3795,69,3,3,11,3880,1228,199,11,0,0,1439,420,165,7,0,3,594,94,155,10,0,0,263,808,78,3,4,0,900,104,36,6,8,0,156,14,16,0,0,0,25,2671,650,37,10,8,3380,166,94,6,5,0,275,147,43,0,0,0,191,10806,1006,59,99,18,11993
UCL512002,3294,262,22,87,3,3671,3499,120,7,3,0,3626,1143,195,4,0,4,1346,248,203,0,0,0,451,25,66,0,0,0,85,607,60,4,0,8,677,68,15,3,37,5,121,8,0,0,0,0,14,2098,538,13,34,9,2698,113,153,5,18,0,290,112,38,0,11,4,166,9111,1110,47,152,17,10445
UCL512003,3347,303,21,50,5,3720,3898,180,20,8,9,4110,1258,457,103,4,9,1821,275,184,41,0,0,501,60,44,0,0,0,107,925,161,21,0,0,1112,142,48,0,4,3,196,17,7,0,0,0,28,2669,891,169,11,12,3757,140,85,0,3,0,235,145,46,14,3,5,212,10202,1512,224,74,27,12033
UCL512004,1659,110,10,45,3,1820,3869,236,10,5,0,4117,1213,635,72,5,0,1922,282,237,11,0,5,525,9,59,0,0,0,66,570,105,7,7,3,692,233,101,11,82,7,424,8,16,0,3,0,27,2314,1144,104,88,11,3668,100,23,0,10,0,140,170,50,5,6,0,234,8106,1569,125,148,18,9972
UCL513001,526,42,8,92,9,676,1199,70,14,13,0,1296,513,207,58,10,5,801,481,214,6,3,3,708,40,30,0,0,0,79,259,43,20,9,9,347,257,47,4,28,13,352,12,3,0,0,0,23,1564,546,98,56,39,2299,73,15,0,12,4,107,104,28,3,12,3,152,3469,695,124,182,63,4532
UCL513002,1136,89,19,19,6,1265,1122,32,0,0,0,1164,323,111,22,0,0,453,118,68,5,0,0,190,7,13,26,0,0,49,385,58,9,5,6,459,69,12,0,3,4,90,10,7,3,0,0,16,912,265,64,12,4,1261,53,10,3,0,6,75,48,15,8,0,0,67,3269,413,90,32,29,3828
UCL513003,264,32,0,16,0,315,1154,119,5,4,0,1285,719,221,151,0,0,1094,312,77,37,0,0,422,16,5,0,0,0,18,116,46,8,0,0,177,1106,119,56,27,3,1314,4,4,0,0,0,5,2274,467,257,29,9,3035,261,31,26,8,5,324,62,26,3,4,8,99,4015,676,298,60,13,5062
UCL513004,251,52,21,25,0,349,716,84,12,10,0,822,541,254,184,4,3,987,421,117,28,0,0,563,66,10,3,0,0,79,107,26,12,6,0,155,958,273,160,8,6,1407,12,8,0,0,0,15,2101,684,387,22,15,3208,219,48,22,11,5,300,61,19,7,3,0,87,3347,883,453,65,18,4766
