UCL_CODE_2021,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
UCL501001,9125,187,70,256,9373,1058,33,10471,78509,9642,1659,428,90245,1267,394,1663,91906,4439,144,96492,120059,14969,2774,874,138683,1394,342,1733,140419,3806,225,144442,11476,1522,1694,123,14817,134,31,164,14986,414,41,15437,1081,129,30,1133,2372,48,6,51,2426,109,215,2749,211132,26272,6155,2553,246111,2843,776,3616,249727,8771,622,259121,2153,395,53,49,2650,312,42,352,3002,273,11,3288,5400,763,175,129,6463,324,102,424,6889,339,30,7259,7553,1164,225,177,9117,634,141,777,9896,607,38,10544,218686,27435,6378,2734,255229,3475,922,4393,259624,9384,659,269666,60745,9192,2474,1684,74100,1875,505,2376,76475,9034,259,85770,449,83,7,506,1046,18,0,18,1058,66,920,2042,279873,36707,8862,4926,330370,5358,1428,6784,337158,18483,1841,357478
UCL511001,67,0,0,0,70,9,0,81,2303,264,75,17,2653,27,16,39,2696,125,0,2822,4334,431,181,27,4978,44,10,56,5035,138,3,5177,350,42,66,10,476,7,0,7,485,10,0,491,28,0,0,35,61,0,0,0,61,6,7,81,7013,739,321,95,8166,81,26,101,8275,285,15,8575,36,10,0,0,45,23,0,23,61,5,0,68,153,5,4,0,167,21,0,24,191,5,0,198,192,8,4,0,213,41,0,46,253,11,0,265,7199,751,324,95,8379,121,31,147,8526,299,15,8837,2081,234,111,59,2484,55,10,75,2548,241,0,2796,9,3,0,16,31,0,0,0,31,0,26,58,9292,991,439,169,10887,181,42,218,11109,541,46,11688
UCL512001,14,0,0,0,14,0,0,11,824,158,17,4,1007,0,7,5,1014,54,5,1069,1509,221,37,8,1783,10,14,26,1804,64,3,1878,116,19,9,0,141,0,0,0,141,10,0,152,7,0,0,14,24,0,0,0,24,3,0,25,2463,404,63,27,2952,12,22,38,2993,133,10,3134,16,0,0,0,16,0,0,0,16,0,0,16,25,5,0,0,31,0,0,0,31,4,0,38,40,5,0,0,44,0,0,0,44,4,0,50,2502,403,63,26,2997,12,22,38,3035,133,10,3184,708,126,23,22,880,9,12,20,898,108,8,1020,0,0,0,6,11,0,0,0,11,4,18,27,3211,535,82,54,3885,22,36,58,3942,251,31,4228
UCL512002,15,0,0,0,15,0,0,14,768,113,33,6,913,5,0,8,925,57,0,978,1445,194,84,13,1733,12,5,14,1752,73,0,1831,78,22,21,0,119,0,0,5,118,3,0,124,7,0,0,7,14,0,0,0,14,0,0,14,2294,323,139,25,2784,15,7,32,2815,134,0,2954,13,0,3,0,20,5,0,5,23,5,0,26,35,0,6,0,38,0,0,0,39,0,0,46,43,3,9,0,62,5,0,3,65,7,0,70,2341,333,143,25,2847,19,11,31,2880,145,0,3022,561,88,34,11,684,20,0,21,708,70,0,779,6,0,0,0,6,0,0,0,8,0,12,18,2910,418,172,40,3543,43,12,58,3592,210,19,3818
UCL512003,21,0,0,0,21,0,0,19,1004,112,20,8,1146,21,0,28,1170,49,0,1220,1426,231,66,18,1744,13,5,17,1759,73,0,1834,129,23,30,0,185,0,0,0,185,10,0,189,5,0,0,15,25,6,0,6,27,4,0,30,2569,365,112,39,3092,37,11,44,3138,139,0,3273,3,0,0,5,10,10,0,6,18,5,0,23,28,9,4,5,43,0,0,0,43,4,0,43,30,9,4,6,47,10,0,6,60,10,0,71,2600,374,116,47,3142,39,5,50,3195,150,0,3343,619,104,35,21,784,22,8,32,818,152,3,977,4,0,0,0,4,0,0,0,4,0,11,9,3227,480,151,68,3930,67,19,87,4012,297,12,4329
UCL512004,7,0,0,0,7,0,0,13,1329,102,30,12,1485,16,3,16,1499,37,0,1538,1533,129,54,9,1717,5,0,6,1729,29,3,1759,167,14,18,17,219,0,0,0,219,11,0,230,22,5,0,6,34,0,0,0,35,7,4,47,3054,252,105,43,3457,27,9,32,3486,85,10,3575,15,0,0,0,15,0,0,0,19,0,0,19,41,10,4,5,56,8,4,6,65,0,0,65,63,10,4,5,80,8,4,8,84,0,0,84,3115,263,111,48,3531,27,7,36,3571,85,10,3661,992,55,39,34,1122,38,3,38,1164,77,0,1246,14,0,0,7,20,0,0,0,20,0,40,64,4117,324,149,89,4678,66,13,78,4757,164,56,4972
UCL513001,4,0,0,0,4,0,0,4,628,91,19,19,751,6,3,4,760,37,0,802,643,72,22,17,760,11,0,11,769,19,5,798,89,13,11,0,114,0,0,0,119,3,0,124,13,3,0,7,24,0,0,0,24,3,3,35,1380,175,57,40,1652,15,5,20,1668,70,19,1754,10,0,0,0,10,6,0,6,19,0,0,19,7,0,4,0,9,3,0,4,17,0,0,21,19,0,4,0,23,13,0,18,37,0,0,43,1395,173,59,40,1673,30,7,35,1706,71,16,1797,189,24,16,9,248,19,9,25,276,74,0,355,3,0,0,4,6,0,0,0,6,0,5,18,1593,203,78,58,1929,53,15,63,1994,152,28,2166
UCL513002,0,0,0,0,0,0,0,0,269,21,4,4,296,0,0,8,302,5,0,309,578,52,22,4,664,0,4,6,667,6,0,669,30,8,17,0,52,0,0,0,52,0,0,53,9,0,0,7,19,0,0,0,19,0,4,28,887,81,42,20,1023,3,0,7,1033,16,4,1049,0,0,0,0,4,0,0,0,4,3,0,5,8,0,0,0,8,0,0,0,8,0,0,8,10,0,0,0,9,0,0,0,9,3,0,12,895,75,42,20,1032,3,0,7,1039,21,4,1065,202,15,18,5,241,4,10,14,254,46,0,305,0,0,0,0,4,0,0,0,4,0,0,10,1105,89,59,25,1283,14,15,19,1302,65,3,1373
UCL513003,5,0,0,0,5,0,0,5,926,66,45,0,1045,16,0,16,1055,44,0,1096,1187,102,54,19,1355,4,0,4,1363,17,0,1374,145,7,27,0,176,0,0,0,176,10,0,194,13,0,0,11,24,0,0,0,24,0,0,24,2271,172,127,34,2600,22,0,22,2622,68,0,2692,24,0,0,0,27,0,0,0,26,0,0,26,26,0,10,0,33,0,0,0,36,0,0,36,57,0,8,0,62,0,0,0,64,0,0,64,2321,176,134,34,2668,18,0,23,2691,68,0,2758,636,43,41,29,753,4,0,4,759,36,0,798,3,0,0,0,5,0,0,0,5,0,11,16,2962,218,178,66,3426,30,0,29,3454,106,17,3570
UCL513004,3,0,0,0,3,0,0,3,816,20,24,9,881,15,0,18,899,22,7,922,742,73,46,11,874,6,0,6,878,14,8,901,118,15,24,0,154,0,0,0,154,0,0,155,15,3,0,20,42,0,0,0,42,0,0,41,1694,110,100,44,1946,21,0,21,1967,44,8,2017,13,0,0,0,13,0,0,0,13,0,0,13,28,4,5,6,45,7,0,7,47,0,0,47,43,4,5,6,60,7,0,7,65,0,0,65,1737,116,99,46,2003,24,0,23,2031,44,8,2082,479,54,33,37,596,19,9,31,632,58,0,687,6,0,0,6,12,0,0,0,12,0,28,42,2223,171,135,85,2611,50,12,58,2670,102,34,2808
