UCL_CODE_2021,M_PGrad_Deg_15_24,M_PGrad_Deg_25_34,M_PGrad_Deg_35_44,M_PGrad_Deg_45_54,M_PGrad_Deg_55_64,M_PGrad_Deg_65_74,M_PGrad_Deg_75_84,M_PGrad_Deg_85ov,M_PGrad_Deg_Total,M_GradDip_and_GradCert_15_24,M_GradDip_and_GradCert_25_34,M_GradDip_and_GradCert_35_44,M_GradDip_and_GradCert_45_54,M_GradDip_and_GradCert_55_64,M_GradDip_and_GradCert_65_74,M_GradDip_and_GradCert_75_84,M_GradDip_and_GradCert_85ov,M_GradDip_and_GradCert_Total,M_BachDeg_15_24,M_BachDeg_25_34,M_BachDeg_35_44,M_BachDeg_45_54,M_BachDeg_55_64,M_BachDeg_65_74,M_BachDeg_75_84,M_BachDeg_85ov,M_BachDeg_Total,M_AdvDip_and_Dip_15_24,M_AdvDip_and_Dip_25_34,M_AdvDip_and_Dip_35_44,M_AdvDip_and_Dip_45_54,M_AdvDip_and_Dip_55_64,M_AdvDip_and_Dip_65_74,M_AdvDip_and_Dip_75_84,M_AdvDip_and_Dip_85ov,M_AdvDip_and_Dip_Total,M_Cert_III_IV_15_24,M_Cert_III_IV_25_34,M_Cert_III_IV_35_44,M_Cert_III_IV_45_54,M_Cert_III_IV_55_64,M_Cert_III_IV_65_74,M_Cert_III_IV_75_84,M_Cert_III_IV_85ov,M_Cert_III_IV_Total,M_Cert_I_II_15_24,M_Cert_I_II_25_34,M_Cert_I_II_35_44,M_Cert_I_II_45_54,M_Cert_I_II_55_64,M_Cert_I_II_65_74,M_Cert_I_II_75_84,M_Cert_I_II_85ov,M_Cert_I_II_Total,M_Cert_Levl_nfd_15_24,M_Cert_Levl_nfd_25_34,M_Cert_Levl_nfd_35_44,M_Cert_Levl_nfd_45_54,M_Cert_Levl_nfd_55_64,M_Cert_Levl_nfd_65_74,M_Cert_Levl_nfd_75_84,M_Cert_Levl_nfd_85ov,M_Cert_Levl_nfd_Total,M_Cert_Lev_Tot_15_24,M_Cert_Lev_Tot_25_34,M_Cert_Lev_Tot_35_44,M_Cert_Lev_Tot_45_54,M_Cert_Lev_Tot_55_64,M_Cert_Lev_Tot_65_74,M_Cert_Lev_Tot_75_84,M_Cert_Lev_Tot_85ov,M_Cert_Lev_Tot_Total,M_Lev_Edu_IDes_15_24,M_Lev_Edu_IDes_25_34,M_Lev_Edu_IDes_35_44,M_Lev_Edu_IDes_45_54,M_Lev_Edu_IDes_55_64,M_Lev_Edu_IDes_65_74,M_Lev_Edu_IDes_75_84,M_Lev_Edu_IDes_85ov,M_Lev_Edu_IDes_Total,M_Lev_Edu_NS_15_24,M_Lev_Edu_NS_25_34,M_Lev_Edu_NS_35_44,M_Lev_Edu_NS_45_54,M_Lev_Edu_NS_55_64,M_Lev_Edu_NS_65_74,M_Lev_Edu_NS_75_84,M_Lev_Edu_NS_85ov,M_Lev_Edu_NS_Total,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Total,F_PGrad_Deg_15_24,F_PGrad_Deg_25_34,F_PGrad_Deg_35_44,F_PGrad_Deg_45_54,F_PGrad_Deg_55_64,F_PGrad_Deg_65_74,F_PGrad_Deg_75_84,F_PGrad_Deg_85ov,F_PGrad_Deg_Total,F_GradDip_and_GradCert_15_24,F_GradDip_and_GradCert_25_34,F_GradDip_and_GradCert_35_44,F_GradDip_and_GradCert_45_54,F_GradDip_and_GradCert_55_64,F_GradDip_and_GradCert_65_74,F_GradDip_and_GradCert_75_84,F_GradDip_and_GradCert_85ov,F_GradDip_and_GradCert_Total,F_BachDeg_15_24,F_BachDeg_25_34,F_BachDeg_35_44,F_BachDeg_45_54,F_BachDeg_55_64,F_BachDeg_65_74,F_BachDeg_75_84,F_BachDeg_85ov,F_BachDeg_Total,F_AdvDip_and_Dip_15_24,F_AdvDip_and_Dip_25_34,F_AdvDip_and_Dip_35_44,F_AdvDip_and_Dip_45_54,F_AdvDip_and_Dip_55_64,F_AdvDip_and_Dip_65_74,F_AdvDip_and_Dip_75_84,F_AdvDip_and_Dip_85ov,F_AdvDip_and_Dip_Total,F_Cert_III_IV_15_24,F_Cert_III_IV_25_34,F_Cert_III_IV_35_44,F_Cert_III_IV_45_54,F_Cert_III_IV_55_64,F_Cert_III_IV_65_74,F_Cert_III_IV_75_84,F_Cert_III_IV_85ov,F_Cert_III_IV_Total,F_Cert_I_II_15_24,F_Cert_I_II_25_34,F_Cert_I_II_35_44,F_Cert_I_II_45_54,F_Cert_I_II_55_64,F_Cert_I_II_65_74,F_Cert_I_II_75_84,F_Cert_I_II_85ov,F_Cert_I_II_Total,F_Cert_Levl_nfd_15_24,F_Cert_Levl_nfd_25_34,F_Cert_Levl_nfd_35_44,F_Cert_Levl_nfd_45_54,F_Cert_Levl_nfd_55_64,F_Cert_Levl_nfd_65_74,F_Cert_Levl_nfd_75_84,F_Cert_Levl_nfd_85ov,F_Cert_Levl_nfd_Total,F_Cert_Lev_Tot_15_24,F_Cert_Lev_Tot_25_34,F_Cert_Lev_Tot_35_44,F_Cert_Lev_Tot_45_54,F_Cert_Lev_Tot_55_64,F_Cert_Lev_Tot_65_74,F_Cert_Lev_Tot_75_84,F_Cert_Lev_Tot_85ov,F_Cert_Lev_Tot_Total,F_Lev_Edu_IDes_15_24,F_Lev_Edu_IDes_25_34,F_Lev_Edu_IDes_35_44,F_Lev_Edu_IDes_45_54,F_Lev_Edu_IDes_55_64,F_Lev_Edu_IDes_65_74,F_Lev_Edu_IDes_75_84,F_Lev_Edu_IDes_85ov,F_Lev_Edu_IDes_Total,F_Lev_Edu_NS_15_24,F_Lev_Edu_NS_25_34,F_Lev_Edu_NS_35_44,F_Lev_Edu_NS_45_54,F_Lev_Edu_NS_55_64,F_Lev_Edu_NS_65_74,F_Lev_Edu_NS_75_84,F_Lev_Edu_NS_85ov,F_Lev_Edu_NS_Total,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Total,P_PGrad_Deg_15_24,P_PGrad_Deg_25_34
UCL501001,821,10595,14433,10248,7210,4779,1973,400,50468,188,2433,3385,3339,2727,1701,582,88,14441,8721,32423,33367,24234,16516,11680,4540,1058,132548,4144,12221,15643,14080,11507,9099,4207,986,71879,15350,36375,34054,30966,29332,20887,10270,2781,180026,5116,2101,1171,804,579,398,145,25,10343,877,1324,1677,1900,1764,1623,874,229,10259,21343,39799,36907,33679,31676,22897,11287,3034,200628,494,959,1260,1127,901,889,649,238,6521,6695,11372,10901,9355,7362,5537,4466,2697,58396,42403,109800,115899,96065,77910,56591,27710,8501,534878,865,13995,15712,9423,5611,2934,787,145,49477,624,5732,6982,6131,4653,2660,774,138,27697,12213,47571,45657,30203,18487,11804,4661,1260,171851,5574,16098,18814,18318,15822,10080,4235,1306,90255,14697,22914,20039,17597,13267,6497,1876,521,97407,5020,2483,2126,1840,1614,1086,422,93,14680,1252,1797,2847,4043,3986,2994,1511,543,18969,20966,27192,25017,23485,18862,10580,3803,1152,131058,425,999,1200,1133,1152,1329,872,312,7423,6134,9405,8156,6940,6832,7382,7119,5430,57402,46797,121000,121539,95637,71427,46768,22250,9744,535158,1685,24587
UCL511001,3,77,153,150,110,89,25,12,613,0,32,61,76,74,60,9,4,324,67,417,512,488,393,294,107,27,2312,58,255,410,418,386,288,130,25,1973,719,1782,1810,1618,1501,1046,446,102,9023,289,113,48,35,26,20,4,0,534,35,38,64,64,86,65,33,9,387,1036,1934,1918,1712,1613,1129,486,112,9944,3,21,36,24,34,31,27,4,183,248,375,396,384,368,291,184,109,2365,1423,3116,3487,3262,2976,2177,979,293,17712,16,137,173,146,117,67,12,0,659,15,117,177,178,134,87,24,0,738,160,901,1062,835,545,350,149,42,4048,94,471,590,576,599,403,153,50,2939,914,1262,1149,1013,734,353,84,17,5522,271,196,133,111,83,53,12,6,870,51,70,126,181,181,116,44,9,783,1244,1525,1407,1306,1002,524,139,32,7172,5,25,29,32,32,42,22,9,208,226,323,290,288,326,347,324,200,2323,1761,3501,3733,3355,2754,1822,832,339,18099,19,211
UCL512001,5,39,54,48,41,56,21,3,263,3,16,25,35,39,26,4,0,154,27,149,174,202,177,158,60,17,959,21,95,147,153,200,165,86,16,886,320,656,563,572,531,405,221,81,3340,129,41,34,17,24,11,6,0,254,11,17,18,28,34,43,15,7,163,459,719,606,610,579,450,239,89,3764,0,14,10,4,7,13,14,4,67,96,130,116,118,145,137,117,68,930,617,1157,1126,1173,1193,1009,544,204,7027,10,64,70,71,66,37,12,3,324,13,36,59,88,83,58,14,4,351,66,316,368,362,305,234,119,21,1792,57,177,241,290,305,235,125,38,1467,267,443,388,394,318,171,48,19,2044,150,56,40,44,40,18,9,0,354,23,23,28,67,82,57,20,8,320,433,530,458,506,438,252,80,31,2715,3,4,12,14,18,28,13,8,105,91,85,108,115,169,208,207,147,1125,670,1214,1321,1442,1371,1044,570,251,7882,9,100
UCL512002,0,15,32,50,33,34,29,4,189,0,13,29,30,23,24,9,4,126,12,111,167,170,156,145,52,18,828,11,80,116,154,169,180,94,11,817,216,514,605,560,508,494,255,56,3205,90,30,15,14,9,13,3,0,176,10,12,15,25,27,33,21,6,160,313,560,636,604,545,538,284,60,3535,0,5,7,9,9,8,9,0,52,55,124,140,145,119,110,98,45,833,389,912,1117,1157,1040,1040,568,147,6379,5,39,64,56,43,33,9,0,247,5,36,79,89,71,44,10,4,330,49,252,403,313,243,176,81,27,1541,41,136,226,267,249,189,89,27,1218,184,341,375,392,295,165,50,5,1817,84,35,32,41,31,28,7,3,258,13,29,42,62,59,63,24,8,301,285,406,445,493,388,255,80,21,2376,10,8,10,14,6,24,21,7,99,80,102,97,89,136,166,164,115,954,473,979,1316,1324,1134,891,458,201,6773,5,57
UCL512003,5,27,57,58,46,26,6,7,230,0,16,26,31,23,18,4,0,111,18,146,193,163,116,83,22,5,746,21,94,159,169,192,118,34,10,785,313,743,637,666,629,419,180,53,3644,110,50,39,19,27,15,3,0,257,12,7,27,31,33,37,8,3,154,425,801,694,716,690,472,196,56,4057,5,10,12,18,18,7,10,6,88,205,253,266,259,224,139,131,76,1549,684,1347,1409,1412,1307,867,396,157,7563,9,55,83,57,37,14,0,0,251,9,71,81,72,56,38,11,0,337,97,356,378,345,191,115,50,10,1540,87,204,244,250,238,148,52,12,1237,252,415,421,417,306,138,45,8,2000,150,91,57,60,41,16,7,0,428,24,28,34,60,53,39,20,3,261,428,529,518,538,406,193,73,9,2688,3,8,6,14,10,10,14,8,68,188,206,236,219,207,198,190,148,1590,816,1420,1549,1494,1143,717,377,193,7716,8,81
UCL512004,10,104,97,57,32,5,3,0,318,4,20,24,21,15,8,0,0,89,53,266,233,146,98,46,10,3,852,16,95,155,118,115,47,8,0,549,297,902,815,741,580,254,77,8,3676,98,38,18,14,9,8,0,0,191,14,22,27,30,23,10,4,0,138,410,963,866,786,609,273,79,9,3999,5,10,9,9,10,6,4,0,48,212,287,263,241,236,158,76,15,1496,715,1744,1655,1380,1102,548,179,29,7353,11,101,108,50,31,8,3,0,306,4,57,62,47,39,6,3,0,222,112,442,370,215,132,40,18,0,1336,37,185,215,199,147,50,14,3,850,229,437,352,263,167,40,10,3,1500,123,65,43,31,13,0,0,0,282,17,43,34,54,39,25,6,0,208,368,539,428,348,224,71,12,3,1994,3,19,9,14,11,4,4,0,67,185,253,212,200,195,140,52,59,1293,728,1601,1407,1073,767,316,106,64,6062,22,204
UCL513001,3,42,42,26,13,3,0,0,135,0,25,20,21,10,7,0,0,82,16,177,157,109,66,42,9,0,566,15,67,117,89,62,28,6,0,398,96,291,334,313,209,107,20,3,1373,38,15,3,12,6,3,0,0,74,12,18,15,16,18,10,3,0,81,139,320,354,341,227,123,22,3,1522,5,3,3,10,3,7,3,0,35,145,198,170,192,146,69,27,10,960,327,829,869,796,532,282,69,12,3714,0,87,88,49,33,21,6,0,292,3,61,79,45,36,12,4,0,238,49,390,300,202,118,48,8,0,1120,23,133,170,122,100,39,5,0,601,87,162,159,128,71,34,3,0,640,45,33,37,12,13,0,0,0,140,3,16,20,28,22,11,0,0,98,130,212,222,160,106,42,4,0,881,3,3,9,0,8,0,8,0,33,142,265,186,173,140,68,29,10,1010,363,1154,1050,757,541,232,56,11,4169,9,129
UCL513002,0,12,7,8,9,6,0,0,52,0,0,11,7,8,0,6,0,34,10,53,44,53,40,26,16,9,239,0,19,42,44,35,32,21,10,198,101,251,219,191,196,102,58,10,1119,28,21,4,4,5,0,0,0,58,6,7,3,5,6,5,4,0,41,131,270,232,198,201,109,66,12,1220,4,0,4,3,5,4,5,4,28,93,70,66,81,74,64,67,17,527,237,419,408,403,375,246,172,41,2298,0,16,9,17,4,7,0,0,57,3,16,21,21,17,13,3,0,97,25,134,109,86,56,44,32,3,490,12,56,70,63,78,47,32,5,356,75,134,110,113,84,39,18,0,568,35,21,21,9,7,8,3,0,116,6,5,14,19,19,7,3,3,76,123,157,143,145,108,52,19,3,759,0,6,0,0,8,3,8,4,23,54,61,83,64,58,61,86,31,500,218,441,432,398,334,225,178,51,2280,0,24
UCL513003,0,56,60,30,12,4,0,0,158,0,13,26,24,10,3,0,0,77,12,152,172,117,44,15,0,0,512,0,67,166,119,83,11,0,0,446,165,647,660,462,266,70,11,0,2280,62,21,16,8,5,0,0,0,107,4,10,17,17,3,3,0,0,65,233,677,696,487,281,70,12,0,2455,4,6,13,6,7,6,0,0,34,182,280,316,222,142,45,12,0,1204,431,1248,1450,1005,570,155,20,0,4890,0,78,72,44,6,3,0,0,208,9,55,55,39,21,3,0,0,178,49,359,332,158,57,19,0,0,974,27,151,175,131,63,20,4,0,563,98,273,253,160,55,7,4,0,856,52,40,34,24,16,5,0,0,166,6,17,27,31,22,6,0,0,109,160,334,316,215,91,15,4,0,1137,0,7,9,10,5,0,0,0,31,137,267,236,171,99,28,6,7,952,383,1263,1191,766,333,84,16,7,4039,5,127
UCL513004,0,26,32,21,19,6,0,0,106,3,13,22,9,8,0,0,0,53,6,104,125,49,40,7,0,0,333,3,79,133,82,66,23,0,0,390,121,586,585,376,283,70,13,0,2038,26,15,13,9,5,0,0,0,68,6,15,19,10,15,0,0,0,74,155,619,622,396,302,72,13,0,2187,3,5,8,5,8,0,0,0,32,163,277,251,207,193,53,14,7,1154,340,1123,1190,775,624,157,36,5,4252,4,41,46,21,19,3,0,0,122,5,34,32,22,11,3,0,0,108,49,285,251,103,60,15,3,0,760,18,137,147,98,64,8,0,0,477,78,265,204,111,66,17,0,0,743,47,47,41,15,4,0,0,0,161,6,17,20,24,16,3,0,0,94,134,336,266,159,88,21,0,0,999,3,8,4,6,8,0,0,0,27,139,257,201,165,108,39,15,0,933,344,1103,939,565,355,93,19,6,3428,4,61
UCL513005,0,9,17,19,9,8,3,0,64,0,3,5,16,4,7,0,0,30,7,30,60,44,32,28,17,0,224,14,42,55,100,61,39,18,0,326,86,274,288,254,190,144,72,13,1328,30,16,4,4,5,0,0,0,67,0,6,11,12,13,8,9,0,57,122,297,305,272,207,153,79,13,1456,3,0,7,5,0,6,7,0,22,50,74,68,54,51,25,35,22,383,203,454,521,507,370,260,159,42,2510,0,14,29,21,11,10,0,0,80,5,18,34,22,10,6,8,0,100,11,113,142,94,53,25,17,0,468,24,109,122,106,91,42,16,4,511,74,210,181,122,99,41,18,0,746,29,18,24,21,16,7,0,0,114,6,22,15,31,18,14,7,3,111,107,249,215,168,132,62,26,8,966,3,3,14,11,0,10,4,0,36,39,68,56,48,40,39,56,41,387,190,571,604,470,340,207,126,50,2560,0,15
UCL514001,0,0,0,4,0,0,0,0,7,0,0,4,0,4,3,0,0,13,4,10,14,9,8,11,11,0,72,0,7,15,17,21,23,10,4,92,72,194,155,152,170,125,65,8,939,18,14,5,4,0,0,0,0,39,0,4,12,6,6,16,0,0,45,91,207,175,165,184,138,72,8,1028,0,0,3,0,5,8,0,0,28,43,37,43,51,47,54,33,26,325,142,260,258,243,268,236,123,34,1562,0,3,6,3,3,0,0,0,17,0,10,3,4,11,4,0,0,35,6,30,35,35,21,28,9,0,165,4,31,35,48,39,28,11,0,196,73,127,111,104,69,32,10,0,520,28,23,15,7,7,3,4,0,73,4,11,3,11,6,10,5,0,64,104,153,127,120,85,47,11,0,660,0,0,0,6,3,3,0,0,18,42,44,45,34,41,56,49,37,337,158,273,255,243,207,172,85,41,1426,0,3
UCL514002,0,5,19,19,17,27,12,0,101,0,0,15,7,0,7,0,0,30,5,62,88,77,57,76,36,7,398,3,20,68,57,40,47,30,4,269,39,121,192,168,127,109,32,14,793,15,3,0,7,0,4,0,0,28,0,3,6,8,10,6,7,0,41,51,130,203,181,135,111,38,14,859,0,3,3,0,3,4,3,4,15,39,44,53,52,42,24,35,6,292,89,262,448,389,298,298,158,30,1975,0,15,21,21,4,14,3,0,80,0,15,24,22,13,16,8,0,99,5,105,205,146,77,69,45,4,645,9,68,99,91,67,58,28,9,423,28,59,92,74,45,27,3,0,330,6,4,15,9,4,12,0,0,56,6,3,13,13,18,23,7,3,90,37,67,124,95,78,52,14,7,475,0,4,10,4,7,5,3,0,36,28,40,44,20,34,45,32,13,257,76,308,518,388,288,260,129,29,2008,0,21
UCL514003,0,21,18,14,6,22,6,3,87,0,3,12,16,3,8,3,0,40,7,82,100,84,47,39,18,4,389,8,42,60,56,36,22,13,4,238,40,163,186,170,119,75,10,7,762,26,5,13,3,3,0,0,0,50,0,7,7,5,11,9,0,0,48,68,172,205,181,136,83,14,10,856,0,0,4,4,5,0,0,0,18,28,62,58,67,29,24,15,13,293,106,383,458,416,252,199,67,34,1921,0,21,45,13,7,16,6,0,114,0,19,32,25,13,11,3,0,107,14,153,187,124,61,51,18,7,609,10,61,88,84,64,44,18,7,379,39,70,130,83,55,23,10,0,413,12,11,9,13,8,7,0,0,51,4,9,14,14,13,9,5,0,72,59,92,153,111,75,35,14,0,537,0,3,10,5,0,3,0,0,27,23,37,47,47,27,27,15,25,241,98,372,564,404,251,191,73,43,2013,0,42
UCL514004,0,3,7,7,12,7,0,0,42,0,0,6,6,3,7,0,0,24,11,18,32,23,21,23,6,0,135,0,15,26,16,26,19,9,0,105,52,115,84,113,127,89,27,7,621,26,14,4,6,3,0,0,0,49,7,0,6,7,8,13,7,0,45,85,127,96,128,139,100,36,12,714,0,3,3,0,5,7,0,0,15,59,56,48,55,58,45,36,15,380,152,225,221,232,270,201,90,29,1414,4,15,25,3,11,4,0,0,57,0,4,14,8,10,9,0,0,51,10,41,53,47,33,27,15,6,233,12,23,34,35,56,26,17,0,212,39,58,70,78,51,32,8,3,338,26,17,16,12,10,11,0,0,86,4,4,10,12,5,4,0,0,47,69,85,87,103,66,46,8,8,467,0,4,6,0,5,5,4,0,18,43,39,49,64,48,49,54,36,383,143,212,262,260,229,168,97,48,1408,4,15
UCL515001,0,0,0,7,0,8,4,0,19,0,0,0,0,0,3,0,0,7,0,3,3,3,9,16,5,0,38,0,0,5,5,12,18,16,0,42,5,13,14,18,33,39,18,7,145,3,0,0,0,0,0,0,0,11,0,0,3,0,0,0,0,0,8,6,13,15,20,38,41,26,7,163,0,0,0,0,0,0,3,0,8,6,4,8,11,6,12,4,9,59,10,21,30,37,61,90,55,18,332,0,0,5,5,0,3,0,0,14,0,0,0,0,3,4,0,0,12,0,5,9,7,7,15,10,6,60,0,8,3,14,16,22,6,4,78,7,11,7,16,14,9,3,0,63,0,0,0,0,0,0,0,0,0,0,0,0,4,7,5,0,0,15,8,11,13,20,22,16,9,0,83,0,0,0,0,0,3,4,4,7,0,0,8,5,8,19,11,5,62,8,26,37,46,52,80,43,20,316,0,0
UCL515002,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,5,0,5,4,7,10,3,0,0,33,0,3,0,6,7,9,0,0,39,14,27,36,44,38,22,8,0,193,0,0,0,0,0,6,0,0,9,0,0,0,0,0,0,0,0,3,16,29,35,44,41,26,8,0,207,0,0,0,0,0,0,0,0,3,3,4,9,10,4,8,5,3,49,24,48,61,65,66,55,17,3,339,0,0,4,0,0,0,0,0,11,0,3,7,5,4,0,0,0,19,4,10,19,17,14,10,0,0,68,0,5,4,22,13,11,5,0,67,14,18,28,13,14,13,0,0,104,3,0,0,0,5,0,0,0,16,0,0,0,3,0,0,0,0,12,23,17,23,22,21,14,3,0,124,0,0,0,0,0,0,0,0,0,0,3,3,7,0,8,0,4,23,26,38,60,64,63,44,12,4,318,0,4
UCL515003,0,0,7,0,0,12,6,0,15,0,0,0,5,9,0,0,0,12,0,5,10,16,13,20,7,0,73,0,4,8,10,13,19,11,0,64,16,38,30,39,57,55,16,6,259,3,0,3,0,0,3,0,0,11,0,0,4,4,5,11,5,0,18,23,37,31,40,62,58,25,6,294,0,0,0,4,0,0,3,0,9,7,13,3,19,14,17,10,4,82,28,63,65,85,106,129,57,15,553,0,0,4,0,4,3,4,0,18,0,6,6,9,7,10,0,0,29,9,17,12,34,30,23,8,0,128,0,15,24,26,23,47,9,0,139,20,27,22,32,35,21,5,0,165,9,0,4,7,0,8,6,0,30,4,4,0,0,4,12,0,0,25,27,34,31,33,41,37,17,0,218,0,0,0,0,4,0,0,0,9,15,8,8,15,14,22,22,9,113,45,77,84,112,125,138,52,10,654,0,0
UCL515004,0,3,3,0,0,0,0,0,6,0,3,6,0,0,0,0,0,3,20,19,4,0,4,0,0,0,50,8,14,9,6,9,3,0,0,44,19,89,49,41,27,24,9,0,258,8,4,4,0,6,0,0,0,21,3,0,3,0,0,0,0,0,10,29,96,51,41,33,25,9,0,287,0,0,0,0,0,0,0,0,4,13,23,13,10,13,7,0,0,85,76,152,87,60,52,33,10,0,474,0,4,4,0,0,0,0,0,8,0,6,7,0,0,0,0,0,11,12,14,15,11,3,7,0,0,66,3,17,8,17,9,5,0,0,69,19,77,40,32,17,0,5,0,194,14,6,3,4,0,0,0,0,31,0,6,5,6,6,0,0,0,14,31,88,52,45,23,0,5,0,237,0,0,0,0,0,0,0,0,7,8,9,8,7,7,10,4,4,64,61,142,95,84,43,24,8,7,465,0,8
UCL515005,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,9,3,6,8,5,0,0,36,0,3,10,16,11,11,3,0,51,19,49,50,62,44,38,13,0,271,6,4,0,0,0,0,0,0,9,0,0,0,0,0,7,4,0,18,21,51,52,62,44,45,13,0,297,0,0,0,0,0,0,0,0,0,15,10,8,23,12,10,7,4,87,42,71,81,110,77,75,31,4,486,0,0,9,0,0,0,0,0,7,0,0,8,8,3,0,0,0,26,0,16,28,26,15,9,5,0,96,0,13,18,22,13,5,6,0,74,20,41,45,40,25,17,0,0,185,9,9,5,0,0,4,0,0,31,0,8,3,9,0,0,0,0,21,31,47,52,46,36,16,0,0,235,0,0,0,0,3,0,0,0,3,12,5,10,5,20,21,5,3,82,47,86,122,113,86,61,10,6,533,0,0
UCL515006,0,3,4,6,6,0,0,0,19,0,0,0,4,0,0,0,0,13,4,19,17,7,13,11,0,0,79,0,12,25,12,9,15,9,6,85,26,77,63,83,93,51,9,0,401,18,3,0,3,5,0,0,0,29,0,4,3,4,0,8,4,0,24,44,88,71,88,92,55,17,0,455,0,0,0,0,0,0,4,0,5,73,82,61,62,57,36,19,8,394,121,206,171,185,179,130,46,14,1049,0,10,7,9,4,4,0,0,31,0,7,3,9,4,6,0,0,27,15,40,47,37,20,12,5,0,176,6,19,28,20,26,18,6,0,112,16,37,29,37,37,13,3,0,174,14,9,4,0,3,0,0,0,33,7,0,3,4,7,0,0,0,29,31,47,36,45,47,19,3,0,235,0,0,3,0,0,0,0,0,3,60,64,55,57,44,33,28,7,343,115,189,177,172,157,78,39,10,929,0,14
UCL515007,0,3,0,5,3,0,0,0,15,0,0,3,0,5,0,0,0,12,0,16,38,25,10,8,3,0,105,0,7,14,14,11,9,0,0,58,13,28,69,51,33,16,6,0,217,4,0,0,3,0,0,0,0,3,0,0,3,0,0,5,0,0,10,11,31,74,58,33,16,4,0,235,0,0,0,3,0,0,0,0,3,6,10,28,20,6,0,5,0,82,24,67,162,125,72,40,16,3,518,0,7,7,7,4,0,0,0,29,0,0,11,7,4,3,0,0,26,0,41,88,48,23,11,9,0,207,0,11,29,16,22,14,6,0,100,5,13,40,21,13,5,0,0,97,6,9,0,0,0,0,0,0,19,0,3,8,5,0,0,0,0,19,11,22,51,31,18,3,0,0,133,0,0,3,0,0,8,0,0,5,4,12,30,23,14,6,0,0,83,16,95,213,125,77,44,15,3,589,0,14
