UCL_CODE_2021,F_Mgnt_Com_35_44,F_Mgnt_Com_45_54,F_Mgnt_Com_55_64,F_Mgnt_Com_65_74,F_Mgnt_Com_75_84,F_Mgnt_Com_85ov,F_Mgnt_Com_Tot,F_Society_Cult_15_24,F_Society_Cult_25_34,F_Society_Cult_35_44,F_Society_Cult_45_54,F_Society_Cult_55_64,F_Society_Cult_65_74,F_Society_Cult_75_84,F_Society_Cult_85ov,F_Society_Cult_Tot,F_Creative_Arts_15_24,F_Creative_Arts_25_34,F_Creative_Arts_35_44,F_Creative_Arts_45_54,F_Creative_Arts_55_64,F_Creative_Arts_65_74,F_Creative_Arts_75_84,F_Creative_Arts_85ov,F_Creative_Arts_Tot,F_Fd_Hosp_Psnl_Svcs_15_24,F_Fd_Hosp_Psnl_Svcs_25_34,F_Fd_Hosp_Psnl_Svcs_35_44,F_Fd_Hosp_Psnl_Svcs_45_54,F_Fd_Hosp_Psnl_Svcs_55_64,F_Fd_Hosp_Psnl_Svcs_65_74,F_Fd_Hosp_Psnl_Svcs_75_84,F_Fd_Hosp_Psnl_Svcs_85ov,F_Fd_Hosp_Psnl_Svcs_Tot,F_MixFld_Prgm_15_24,F_MixFld_Prgm_25_34,F_MixFld_Prgm_35_44,F_MixFld_Prgm_45_54,F_MixFld_Prgm_55_64,F_MixFld_Prgm_65_74,F_MixFld_Prgm_75_84,F_MixFld_Prgm_85ov,F_MixFld_Prgm_Tot,F_FldStd_InadDes_15_24,F_FldStd_InadDes_25_34,F_FldStd_InadDes_35_44,F_FldStd_InadDes_45_54,F_FldStd_InadDes_55_64,F_FldStd_InadDes_65_74,F_FldStd_InadDes_75_84,F_FldStd_InadDes_85ov,F_FldStd_InadDes_Tot,F_FldStd_NS_15_24,F_FldStd_NS_25_34,F_FldStd_NS_35_44,F_FldStd_NS_45_54,F_FldStd_NS_55_64,F_FldStd_NS_65_74,F_FldStd_NS_75_84,F_FldStd_NS_85ov,F_FldStd_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_NatPhyl_Scn_15_24,P_NatPhyl_Scn_25_34,P_NatPhyl_Scn_35_44,P_NatPhyl_Scn_45_54,P_NatPhyl_Scn_55_64,P_NatPhyl_Scn_65_74,P_NatPhyl_Scn_75_84,P_NatPhyl_Scn_85ov,P_NatPhyl_Scn_Tot,P_InfoTech_15_24,P_InfoTech_25_34,P_InfoTech_35_44,P_InfoTech_45_54,P_InfoTech_55_64,P_InfoTech_65_74,P_InfoTech_75_84,P_InfoTech_85ov,P_InfoTech_Tot,P_Eng_RelTec_15_24,P_Eng_RelTec_25_34,P_Eng_RelTec_35_44,P_Eng_RelTec_45_54,P_Eng_RelTec_55_64,P_Eng_RelTec_65_74,P_Eng_RelTec_75_84,P_Eng_RelTec_85ov,P_Eng_RelTec_Tot,P_ArchtBldng_15_24,P_ArchtBldng_25_34,P_ArchtBldng_35_44,P_ArchtBldng_45_54,P_ArchtBldng_55_64,P_ArchtBldng_65_74,P_ArchtBldng_75_84,P_ArchtBldng_85ov,P_ArchtBldng_Tot,P_Ag_Envir_Rltd_Sts_15_24,P_Ag_Envir_Rltd_Sts_25_34,P_Ag_Envir_Rltd_Sts_35_44,P_Ag_Envir_Rltd_Sts_45_54,P_Ag_Envir_Rltd_Sts_55_64,P_Ag_Envir_Rltd_Sts_65_74,P_Ag_Envir_Rltd_Sts_75_84,P_Ag_Envir_Rltd_Sts_85ov,P_Ag_Envir_Rltd_Sts_Tot,P_Health_15_24,P_Health_25_34,P_Health_35_44,P_Health_45_54,P_Health_55_64,P_Health_65_74,P_Health_75_84,P_Health_85ov,P_Health_Tot,P_Educ_15_24,P_Educ_25_34,P_Educ_35_44,P_Educ_45_54,P_Educ_55_64,P_Educ_65_74,P_Educ_75_84,P_Educ_85ov,P_Educ_Tot,P_Mgnt_Com_15_24,P_Mgnt_Com_25_34,P_Mgnt_Com_35_44,P_Mgnt_Com_45_54,P_Mgnt_Com_55_64,P_Mgnt_Com_65_74,P_Mgnt_Com_75_84,P_Mgnt_Com_85ov,P_Mgnt_Com_Tot,P_Society_Cult_15_24,P_Society_Cult_25_34,P_Society_Cult_35_44,P_Society_Cult_45_54,P_Society_Cult_55_64,P_Society_Cult_65_74,P_Society_Cult_75_84,P_Society_Cult_85ov,P_Society_Cult_Tot,P_Creative_Arts_15_24,P_Creative_Arts_25_34,P_Creative_Arts_35_44,P_Creative_Arts_45_54,P_Creative_Arts_55_64,P_Creative_Arts_65_74,P_Creative_Arts_75_84,P_Creative_Arts_85ov,P_Creative_Arts_Tot,P_Fd_Hosp_Psnl_Svcs_15_24,P_Fd_Hosp_Psnl_Svcs_25_34,P_Fd_Hosp_Psnl_Svcs_35_44,P_Fd_Hosp_Psnl_Svcs_45_54,P_Fd_Hosp_Psnl_Svcs_55_64,P_Fd_Hosp_Psnl_Svcs_65_74,P_Fd_Hosp_Psnl_Svcs_75_84,P_Fd_Hosp_Psnl_Svcs_85ov,P_Fd_Hosp_Psnl_Svcs_Tot,P_MixFld_Prgm_15_24,P_MixFld_Prgm_25_34,P_MixFld_Prgm_35_44,P_MixFld_Prgm_45_54,P_MixFld_Prgm_55_64,P_MixFld_Prgm_65_74,P_MixFld_Prgm_75_84,P_MixFld_Prgm_85ov,P_MixFld_Prgm_Tot,P_FldStd_InadDes_15_24,P_FldStd_InadDes_25_34,P_FldStd_InadDes_35_44,P_FldStd_InadDes_45_54,P_FldStd_InadDes_55_64,P_FldStd_InadDes_65_74,P_FldStd_InadDes_75_84,P_FldStd_InadDes_85ov,P_FldStd_InadDes_Tot,P_FldStd_NS_15_24,P_FldStd_NS_25_34,P_FldStd_NS_35_44,P_FldStd_NS_45_54,P_FldStd_NS_55_64,P_FldStd_NS_65_74,P_FldStd_NS_75_84,P_FldStd_NS_85ov,P_FldStd_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54
UCL501001,31344,24382,16192,9011,3592,1118,120146,7360,18453,19816,16299,12382,7462,2307,478,84554,3624,6290,5459,3271,1927,1232,602,206,22601,5055,9659,7703,5964,3738,2475,973,239,35808,332,169,101,88,113,99,49,26,966,575,1430,1646,1283,910,621,254,101,6821,6246,9606,8144,6532,5599,5689,5745,4840,52406,46797,121000,121539,95637,71427,46768,22250,9744,535158,3874,9185,9276,7460,5501,3670,1506,322,40790,2681,7605,10326,5610,3019,1135,219,18,30627,9976,36417,37864,31879,28399,21516,9995,2775,178814,3758,12345,10894,8870,7454,5495,2759,840,52416,1210,3293,3774,2980,2184,1304,608,180,15532,8733,29013,25048,20049,16843,11034,5270,1664,117649,4116,14256,16218,16509,15087,11724,5138,1354,84411,14671,41845,51468,41118,28385,17302,7091,1875,203746,11405,26510,27463,23028,17570,11540,3988,833,122348,6540,10472,8820,5227,3189,2198,930,288,37663,7005,14399,12516,9245,6079,3752,1570,354,54919,649,318,178,154,175,156,88,34,1754,1131,2981,3496,2954,2136,1388,699,237,15022,13460,22177,20096,16609,13298,11153,10094,7470,114353,89201,230803,237432,191705
UCL511001,851,680,556,310,112,26,3714,319,487,673,631,455,258,63,13,2896,90,124,94,72,57,41,20,11,503,203,388,292,246,158,111,46,4,1454,11,4,4,6,6,0,0,0,38,16,38,37,47,40,16,9,4,202,237,324,284,267,264,281,259,184,2112,1761,3501,3733,3355,2754,1822,832,339,18099,35,128,156,154,119,86,30,6,710,77,145,163,87,63,25,6,5,565,481,1318,1419,1316,1197,873,386,90,7083,167,466,421,336,327,237,116,28,2102,75,136,163,153,137,69,32,13,786,301,725,793,670,704,490,206,64,3950,187,448,651,781,649,482,186,45,3425,469,1058,1195,1024,846,512,188,36,5329,440,623,817,766,597,368,99,28,3744,143,173,151,108,84,53,30,11,754,252,521,443,375,259,163,65,10,2087,26,9,3,4,16,7,3,0,72,35,78,101,120,96,40,18,5,492,503,776,744,720,644,588,442,296,4716,3180,6617,7221,6620
UCL512001,269,285,273,167,69,15,1430,111,213,250,278,260,170,56,10,1344,32,44,41,46,39,29,18,7,253,85,139,93,89,54,40,14,11,532,10,4,5,0,0,0,0,0,19,6,11,14,21,17,9,0,4,73,99,92,99,120,138,159,161,126,990,670,1214,1321,1442,1371,1044,570,251,7882,28,47,72,62,60,45,21,0,337,33,58,54,36,24,17,6,0,229,147,372,285,335,344,305,160,54,1999,72,193,150,131,125,104,68,30,877,76,98,120,137,138,85,51,13,713,121,322,314,337,376,269,152,55,1952,47,167,217,306,286,287,131,31,1467,208,288,393,393,395,258,111,23,2068,160,270,317,365,356,253,80,21,1820,49,70,71,70,61,46,22,8,398,109,216,173,159,103,64,39,13,863,15,10,5,0,0,0,0,0,26,13,20,32,38,30,29,15,6,177,211,251,252,251,280,288,260,192,1984,1284,2369,2446,2615
UCL512002,266,273,222,170,63,21,1319,64,151,202,246,180,137,34,5,1019,31,38,57,47,36,18,18,4,244,62,114,118,121,71,53,14,6,565,5,3,3,0,0,3,0,0,12,5,5,15,14,15,11,3,10,70,77,95,90,82,111,125,135,99,819,473,979,1316,1324,1134,891,458,201,6773,11,30,62,60,49,31,21,7,270,22,35,43,21,19,19,4,0,155,90,251,361,353,350,366,199,42,2011,59,181,145,154,149,151,79,21,945,25,64,99,75,71,54,30,4,432,80,200,293,268,288,227,115,42,1508,43,156,273,298,250,235,104,21,1381,151,283,353,417,344,281,127,33,1984,85,189,247,306,218,180,59,14,1290,45,59,82,60,57,35,22,6,359,95,193,206,190,125,92,26,5,934,11,12,3,0,0,6,4,0,26,11,10,29,43,27,17,6,10,155,138,229,250,229,229,242,237,143,1695,855,1889,2437,2484
UCL512003,314,281,227,113,37,13,1378,94,192,219,224,189,103,14,3,1049,44,37,43,29,28,14,6,0,211,86,110,115,117,43,29,26,3,538,10,6,3,3,5,0,0,0,24,12,4,6,12,16,3,4,5,53,198,222,234,212,186,169,169,132,1512,816,1420,1549,1494,1143,717,377,193,7716,29,56,64,45,30,28,3,0,249,28,61,44,28,13,11,6,0,197,206,482,502,500,486,342,136,50,2705,69,199,153,137,158,104,43,10,873,60,76,71,95,64,51,10,4,432,163,359,321,325,221,171,77,28,1667,53,208,277,334,296,155,59,12,1398,166,334,443,419,344,180,62,23,1964,126,246,282,294,252,137,27,9,1363,61,60,68,39,35,29,9,0,304,111,175,178,173,79,49,37,7,796,11,9,3,3,3,0,0,3,33,18,19,28,34,36,8,8,3,158,413,500,512,478,424,321,299,201,3143,1499,2769,2954,2905
UCL512004,313,240,149,43,8,0,1179,83,216,179,113,115,30,11,0,744,21,42,41,12,10,3,0,0,129,103,181,110,88,36,9,4,0,535,10,6,0,0,0,0,0,0,15,0,12,13,10,9,4,0,0,55,187,264,220,196,175,123,47,51,1266,728,1601,1407,1073,767,316,106,64,6062,33,144,133,57,35,6,0,0,413,10,34,42,27,8,3,3,0,129,298,970,845,705,501,215,57,8,3594,47,123,92,77,80,52,19,0,485,23,44,41,41,18,15,0,0,185,111,261,216,206,180,71,23,0,1067,67,215,232,206,146,55,16,9,940,152,390,450,328,226,75,10,5,1630,108,277,247,155,145,52,17,0,995,31,58,51,27,19,5,5,0,199,121,228,157,132,66,25,8,0,739,13,3,3,0,3,0,0,0,29,12,32,49,32,29,17,0,0,174,412,579,508,462,417,282,119,71,2849,1440,3343,3060,2456
UCL513001,211,134,84,32,8,0,723,38,137,144,102,88,35,5,0,539,9,47,49,21,15,3,3,0,139,25,78,51,49,28,5,0,0,236,0,0,0,0,0,0,0,0,0,0,3,14,7,12,5,0,0,50,150,268,188,182,124,59,21,10,1007,363,1154,1050,757,541,232,56,11,4169,13,50,41,30,11,4,0,0,151,23,22,23,9,4,0,0,0,77,83,235,219,201,126,78,15,4,953,14,107,115,89,62,26,3,0,424,19,43,58,48,23,18,3,0,205,46,260,208,151,122,51,18,0,846,26,140,200,135,105,57,13,0,675,73,270,298,206,133,60,9,0,1043,43,201,200,141,127,55,8,0,771,12,67,71,34,20,13,3,0,222,33,101,90,94,48,10,0,0,379,4,0,0,0,0,0,0,0,7,0,18,31,26,18,12,4,0,108,310,481,367,385,279,135,43,16,2019,690,1990,1920,1553
UCL513002,90,94,61,25,18,5,440,26,51,61,47,58,32,7,0,287,7,17,16,20,5,3,9,0,75,25,58,34,36,16,13,0,0,188,0,0,0,0,0,0,0,0,0,3,4,0,3,5,0,0,0,21,58,59,81,61,54,51,71,22,457,218,441,432,398,334,225,178,51,2280,4,22,15,10,11,5,4,0,63,12,11,9,9,8,0,0,0,38,65,163,134,133,123,87,42,12,765,28,52,57,24,51,23,13,0,245,25,41,46,38,37,13,20,3,223,15,71,67,58,76,54,38,15,406,12,72,81,101,80,52,40,10,445,73,115,126,133,82,42,27,6,596,29,60,78,59,66,45,9,5,356,6,27,18,20,9,5,8,3,91,29,83,48,54,40,18,7,0,279,0,0,0,0,0,0,0,0,5,3,9,8,6,4,7,4,3,47,153,138,154,153,133,120,129,38,1014,455,859,836,804
UCL513003,274,163,55,20,3,0,870,41,131,130,103,38,13,0,0,457,4,38,27,15,8,0,0,0,95,25,81,76,56,22,0,0,0,262,3,3,0,0,0,0,0,0,3,4,12,9,15,6,0,0,0,42,138,270,236,163,90,24,8,5,932,383,1263,1191,766,333,84,16,7,4039,5,32,47,39,10,3,0,0,139,5,27,32,16,3,0,0,0,81,158,604,647,442,234,53,8,0,2150,18,145,121,71,54,14,0,0,430,9,24,42,30,18,5,0,0,122,36,204,171,94,71,18,3,0,604,32,186,209,156,61,13,0,0,655,89,348,420,260,109,26,3,0,1254,64,166,174,140,58,24,0,0,620,13,54,46,19,8,0,0,0,136,44,120,111,78,35,7,0,0,393,6,3,0,0,0,0,0,0,10,12,25,34,30,21,0,0,0,129,329,578,581,388,230,72,18,5,2196,816,2508,2639,1769
UCL513004,220,115,69,8,0,0,685,32,113,109,66,40,9,4,0,376,9,33,19,8,5,5,0,0,73,24,80,62,40,10,7,0,0,215,0,4,0,0,0,0,0,0,3,8,8,13,5,8,0,0,0,38,142,259,211,167,108,39,13,0,934,344,1103,939,565,355,93,19,6,3428,13,26,34,7,8,5,0,0,98,5,23,23,3,8,0,0,0,61,102,558,578,356,226,54,7,3,1886,16,116,84,49,48,10,4,0,336,4,23,31,21,13,0,0,0,92,42,163,159,93,74,19,6,0,547,31,159,123,82,71,14,0,0,485,60,293,318,165,102,25,0,0,968,50,144,139,85,60,13,5,0,500,9,43,18,10,6,8,0,0,92,30,91,82,60,29,6,0,0,300,0,4,6,0,0,0,0,0,11,11,24,31,26,23,0,0,0,125,309,558,495,382,303,88,28,8,2173,688,2230,2130,1336
