UCL_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
UCL501001,6814,10318,5806,6065,6409,2351,1860,2013,494,42118,10398,10807,10538,15698,11508,4901,3599,3992,859,72296,18147,10683,76831,30215,21197,10851,16610,15822,3132,203493,1105,719,1841,2803,2866,2639,1460,2756,174,16357,1836,1385,1882,3431,3823,1740,1278,1623,220,17222,1037,1963,1035,1033,1117,520,536,711,148,8104,1482,2284,1874,2348,2067,1229,1235,1701,2309,16524,94576,231161,116004,88521,82305,36456,33836,38792,10866,732509
UCL511001,189,290,162,191,138,58,64,51,11,1145,285,336,346,510,329,128,96,132,28,2191,707,487,4141,1553,1094,609,1117,953,166,10826,60,28,125,138,149,159,103,166,7,928,53,45,77,154,152,80,65,82,11,712,15,47,26,20,31,12,23,33,3,215,56,64,63,69,55,51,75,88,81,592,2168,5366,5245,3143,2432,1259,1670,1760,349,23383
UCL512001,78,159,52,136,82,34,18,24,7,594,126,139,95,245,143,59,27,74,10,914,328,172,1321,694,343,261,306,377,45,3841,14,16,47,74,64,85,34,70,4,403,33,23,15,67,58,28,17,36,3,281,8,20,4,12,7,5,0,9,8,76,28,17,22,42,18,24,14,43,13,229,962,2251,1666,1516,886,566,443,729,103,9119
UCL512002,78,117,52,68,67,35,23,40,10,487,123,105,112,194,102,55,16,54,6,773,308,119,1355,510,346,222,316,348,50,3575,18,7,27,48,41,66,18,66,3,295,32,17,15,70,32,20,23,41,3,254,12,13,5,9,15,4,6,6,0,71,13,15,26,34,22,34,25,28,24,216,897,1778,1692,1149,788,499,443,661,121,8022
UCL512003,88,150,52,69,52,23,25,27,4,493,134,155,94,287,170,44,32,50,11,972,331,213,1544,651,438,243,376,390,54,4229,31,20,42,74,79,104,38,81,6,476,26,18,28,51,43,22,19,42,0,254,8,17,16,10,6,6,13,14,6,95,18,41,21,38,31,17,27,31,28,239,967,2360,1865,1398,983,527,545,689,128,9461
UCL512004,62,81,39,43,58,10,28,19,0,336,129,121,116,170,134,47,79,41,13,851,347,175,2095,367,373,136,616,232,69,4407,26,17,59,56,69,37,64,61,6,384,21,14,35,40,47,22,55,23,6,263,13,9,17,10,10,10,7,6,0,79,16,23,35,33,30,22,56,40,36,295,964,2045,2563,913,901,341,1012,492,145,9374
UCL513001,49,95,21,45,35,18,8,20,3,282,115,106,39,147,82,33,14,37,6,576,199,129,568,232,184,89,126,143,21,1684,10,17,6,37,39,20,3,15,0,155,18,16,9,28,22,8,3,11,0,122,10,6,4,10,8,3,0,4,0,46,13,30,20,23,30,16,6,28,35,211,757,1563,739,732,606,245,181,334,105,5254
UCL513002,26,28,16,24,22,10,10,4,0,140,50,44,30,53,51,15,17,16,3,274,118,62,472,158,131,63,172,126,25,1329,6,4,13,17,24,13,18,25,6,128,14,0,10,16,16,11,11,6,0,83,3,10,4,4,3,0,4,0,7,34,11,4,17,14,15,11,7,25,15,115,344,606,583,314,327,142,240,214,60,2835
UCL513003,40,53,61,34,36,12,15,4,4,271,101,80,116,119,106,30,34,22,8,611,266,120,1397,203,273,78,266,192,66,2864,14,10,42,18,58,26,26,34,4,226,15,18,16,24,27,13,16,16,0,155,6,10,14,3,3,3,5,9,0,52,20,18,22,12,18,8,22,15,19,156,772,1281,1838,556,675,229,415,365,124,6246
UCL513004,46,49,47,27,32,10,15,18,0,231,77,68,95,88,80,18,35,41,3,511,179,115,1262,146,205,51,308,163,75,2512,16,0,32,16,35,20,31,27,3,186,14,14,19,17,23,14,22,14,0,135,4,0,19,0,7,8,4,8,0,45,11,5,20,10,13,7,23,27,38,152,524,924,1613,412,525,159,472,345,130,5107
UCL513005,39,43,25,41,29,13,10,9,4,202,55,53,47,96,60,33,18,18,14,395,111,56,565,226,136,51,167,137,25,1469,4,9,14,21,23,14,10,22,3,118,6,13,11,17,15,14,11,9,0,97,3,6,0,3,7,0,4,3,0,37,10,4,12,13,6,5,12,20,15,101,326,543,710,499,368,154,238,249,69,3150
UCL514001,4,8,3,17,4,0,3,0,0,47,8,15,21,38,22,0,10,6,0,122,39,25,414,138,81,37,142,90,21,992,0,0,3,10,9,10,0,21,0,68,4,3,6,18,7,3,17,3,0,68,0,0,0,0,0,0,3,3,0,8,4,3,3,9,3,8,6,10,4,44,83,197,469,241,144,64,190,137,30,1563
UCL514002,30,47,22,23,26,21,4,16,0,196,57,28,53,47,38,33,5,9,0,273,95,30,413,94,68,39,49,87,19,893,7,3,12,6,13,12,0,15,0,63,8,6,8,12,17,16,5,7,0,70,6,5,3,3,8,0,0,0,0,30,8,11,4,10,5,10,3,5,6,72,368,633,571,274,242,181,84,191,40,2578
UCL514003,25,37,15,30,20,14,7,19,4,161,46,28,40,59,22,10,14,53,0,275,90,40,393,130,50,46,75,112,16,953,8,3,16,9,5,13,5,13,0,69,10,6,12,18,20,11,8,9,0,82,0,0,6,0,3,3,5,4,0,27,11,3,9,13,4,5,6,5,6,69,340,612,575,360,182,148,130,283,33,2667
UCL514004,9,17,7,14,8,3,3,5,0,68,18,21,16,37,17,9,4,11,0,126,68,30,230,108,65,53,59,69,8,675,7,0,8,15,22,14,8,17,0,85,3,0,5,10,4,10,9,10,0,59,3,3,0,0,8,0,0,3,0,20,4,0,4,14,8,7,9,6,11,58,172,319,282,230,159,94,95,128,20,1500
UCL515001,9,5,0,3,4,3,0,4,0,27,3,0,0,6,4,5,0,4,0,26,17,0,44,15,5,9,11,14,0,110,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,15,49,39,59,31,20,23,9,25,4,258
UCL515002,0,4,5,4,4,0,0,3,0,16,3,9,6,14,8,4,4,0,0,41,11,9,86,26,25,10,25,18,3,209,0,0,0,5,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,9,41,90,104,57,52,16,35,22,4,414
UCL515003,7,3,6,9,7,3,5,3,0,39,8,11,8,17,12,8,0,3,0,67,17,10,94,46,20,15,28,32,4,274,0,0,5,3,0,6,0,3,0,24,0,0,3,3,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,4,6,0,3,5,0,5,4,0,4,21,62,138,120,94,56,41,39,59,11,620
UCL515004,6,9,6,3,6,0,3,0,0,18,10,7,10,22,8,0,0,0,4,55,30,12,139,49,47,9,52,26,7,359,6,0,3,7,4,4,3,8,0,35,0,0,0,0,4,0,6,0,0,17,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,65,112,160,93,82,21,64,41,7,643
UCL515005,3,5,0,9,0,0,0,3,0,28,13,9,14,16,4,5,0,3,0,62,14,13,128,67,31,14,24,42,0,337,0,0,0,3,3,5,0,9,0,20,0,0,0,5,4,4,0,3,0,21,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,4,0,4,4,27,44,114,150,110,62,31,34,75,7,622
UCL515006,5,13,9,12,9,4,5,6,0,56,16,10,4,23,15,6,3,3,0,81,46,19,132,59,46,27,51,42,9,437,5,3,4,6,10,10,0,12,0,48,3,0,5,6,7,3,0,7,0,31,5,0,0,0,3,0,0,0,0,5,0,6,5,10,6,13,6,4,8,56,121,214,170,143,114,69,72,95,22,1013
UCL515007,8,10,5,4,3,3,0,4,0,44,12,12,12,12,14,7,0,7,0,65,28,3,121,25,20,8,24,28,4,262,0,0,0,7,3,6,0,0,0,21,0,0,0,9,3,0,0,3,0,22,3,0,0,0,0,0,0,4,0,5,0,0,0,0,5,7,0,3,3,19,95,193,159,91,79,46,38,57,11,769
