UCL_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
UCL501001,1189,6844,5455,3236,7802,7663,2481,4666,439,39786,1449,5749,4297,2730,8228,10103,2496,5867,7251,48169,42518,151333,122938,77567,194134,206899,65423,148248,15614,1024680
UCL511001,57,245,163,105,280,248,107,215,7,1428,61,159,88,66,185,209,78,211,223,1278,1848,5086,4053,2766,5948,6323,2410,6069,496,34998
UCL512001,23,90,71,48,129,130,36,63,4,605,33,83,43,25,49,63,21,59,89,461,689,2297,1752,1269,2494,2422,947,1724,223,13823
UCL512002,14,95,58,38,91,94,32,53,4,486,15,62,34,34,44,57,25,45,62,388,715,2082,1614,1116,1953,2046,741,1833,153,12258
UCL512003,28,82,71,41,117,150,37,119,6,645,20,76,48,36,71,81,32,87,99,550,751,2173,1674,1252,2544,2595,1005,2496,242,14735
UCL512004,38,61,50,30,90,123,62,249,5,703,28,57,50,28,69,125,37,148,117,658,661,1364,1196,760,2034,2650,1343,4867,286,15164
UCL513001,6,29,25,25,48,51,24,68,4,273,8,32,25,13,64,50,16,58,101,369,351,688,588,553,1594,1420,447,1351,182,7176
UCL513002,8,22,29,22,39,61,26,32,0,243,11,33,16,10,31,28,10,32,41,211,302,620,496,333,723,918,314,840,106,4639
UCL513003,9,45,24,22,43,57,32,109,3,339,16,30,19,15,48,94,48,148,59,472,508,811,605,462,1212,1739,908,2491,135,8866
UCL513004,14,30,19,12,44,30,15,94,9,269,26,28,13,13,34,44,13,90,74,338,480,612,455,328,1045,1255,668,2595,201,7643
UCL513005,9,32,31,16,29,42,6,21,0,199,3,24,10,18,33,34,14,22,48,206,276,663,546,373,806,862,280,852,102,4766
UCL514001,9,26,14,0,15,19,9,19,5,112,11,15,6,8,9,13,3,20,29,109,148,419,337,172,344,536,193,423,70,2645
UCL514002,8,26,25,8,14,18,9,11,0,116,8,34,20,15,18,19,4,21,18,166,254,640,503,323,460,571,176,505,61,3494
UCL514003,6,27,13,12,28,19,6,14,0,131,6,26,20,12,18,27,4,21,23,167,266,645,527,379,581,683,205,475,54,3819
UCL514004,7,23,5,3,21,35,8,15,0,112,0,12,8,7,12,12,13,25,15,105,115,355,299,213,494,511,186,449,34,2652
UCL515001,0,0,7,0,0,0,0,0,0,11,5,7,6,0,0,3,0,4,3,19,30,94,75,43,39,52,10,58,5,402
UCL515002,4,7,4,3,0,0,0,4,0,18,0,3,3,0,0,0,0,6,4,20,42,85,62,50,109,107,40,131,12,627
UCL515003,0,10,5,9,7,0,0,3,0,27,0,7,3,0,0,3,0,5,6,23,56,170,144,90,128,121,46,161,17,921
UCL515004,0,8,4,0,21,13,6,6,0,55,0,10,0,3,3,16,6,4,6,47,52,106,112,59,217,217,84,206,16,1065
UCL515005,0,5,9,3,11,16,4,0,0,44,5,8,3,4,11,5,0,7,9,45,56,156,129,88,171,204,63,181,23,1066
UCL515006,0,10,7,0,5,18,4,8,0,60,0,12,12,0,12,9,3,9,22,72,91,175,156,114,360,321,100,272,58,1649
UCL515007,0,7,4,7,6,9,0,6,0,33,5,8,6,5,3,5,0,8,5,43,67,185,167,88,135,162,59,157,16,1037
UCL515008,5,0,0,0,6,6,0,4,0,19,0,4,0,0,0,4,0,12,5,25,61,63,49,31,69,130,64,204,7,692
UCL515009,0,10,8,0,7,7,0,3,0,37,0,8,9,3,6,9,0,4,7,39,63,229,176,120,125,165,46,141,19,1094
UCL515010,3,6,3,5,5,12,5,10,0,48,0,3,4,0,0,5,4,6,9,38,57,75,63,50,242,239,82,188,22,1028
UCL515011,5,3,4,4,4,9,5,6,0,36,4,3,0,3,11,8,6,6,7,51,62,168,116,107,169,183,85,211,24,1128
UCL515012,0,6,8,5,0,12,6,6,0,44,0,4,3,4,4,12,0,8,0,37,63,144,125,83,170,246,91,229,5,1160
UCL515013,3,7,0,3,9,8,3,13,0,51,3,11,11,3,7,17,8,18,18,94,94,185,155,129,251,358,101,275,43,1596
UCL515014,0,3,0,0,6,0,0,4,0,12,0,0,0,0,4,0,0,0,0,8,18,34,29,17,101,80,36,61,12,393
UCL515015,0,7,5,0,0,8,0,11,3,36,0,10,5,0,14,4,3,6,8,45,37,190,110,60,250,237,92,193,26,1199
UCL515016,0,0,3,5,3,3,0,0,0,25,10,3,6,4,0,7,0,0,5,34,53,112,102,49,79,113,43,133,19,695
UCL515017,0,0,0,7,3,4,0,5,0,19,0,4,3,3,0,0,0,0,5,28,45,83,69,62,61,80,23,95,19,529
UCL515018,0,0,0,0,0,0,0,5,0,9,0,0,0,4,0,0,0,3,13,26,49,66,54,37,74,91,66,248,32,719
UCL515019,4,10,0,4,13,28,0,14,0,78,9,11,8,7,7,14,0,11,14,78,73,219,161,129,334,335,92,189,38,1563
UCL515020,0,6,8,6,16,23,10,24,0,86,6,13,7,5,24,16,4,20,24,122,97,162,117,134,471,464,157,404,51,2064
UCL515021,3,6,0,0,4,13,0,3,0,31,0,5,5,0,0,8,0,0,4,30,58,144,99,73,120,145,54,100,14,801
UCL515022,3,11,10,11,16,23,3,11,0,85,0,11,10,0,14,15,5,9,20,87,100,235,206,164,331,353,130,290,41,1847
UCL515023,5,6,4,0,11,19,0,11,0,61,0,5,3,0,5,8,5,5,5,42,55,165,90,75,179,205,75,192,28,1057
UCL515024,0,5,4,0,5,14,0,9,4,42,0,3,0,0,0,3,0,3,0,16,37,86,53,49,85,140,61,131,6,648
UCL515025,4,0,3,0,9,4,0,3,0,27,0,5,4,7,0,0,0,4,13,32,42,112,96,44,122,132,48,82,23,700
