UCL_CODE_2021,M_Mng_0,M_Mng_1_19,M_Mng_20_29,M_Mng_30_34,M_Mng_35_39,M_Mng_40_44,M_Mng_45_49,M_Mng_50_over,M_Mng_hours_NS,M_Mng_Tot,M_Pro_0,M_Pro_1_19,M_Pro_20_29,M_Pro_30_34,M_Pro_35_39,M_Pro_40_44,M_Pro_45_49,M_Pro_50_over,M_Pro_hours_NS,M_Pro_Tot,M_TTW_0,M_TTW_1_19,M_TTW_20_29,M_TTW_30_34,M_TTW_35_39,M_TTW_40_44,M_TTW_45_49,M_TTW_50_over,M_TTW_hours_NS,M_TTW_Tot,M_CPS_0,M_CPS_1_19,M_CPS_20_29,M_CPS_30_34,M_CPS_35_39,M_CPS_40_44,M_CPS_45_49,M_CPS_50_over,M_CPS_hours_NS,M_CPS_Tot,M_CA_0,M_CA_1_19,M_CA_20_29,M_CA_30_34,M_CA_35_39,M_CA_40_44,M_CA_45_49,M_CA_50_over,M_CA_hours_NS,M_CA_Tot,M_Sal_0,M_Sal_1_19,M_Sal_20_29,M_Sal_30_34,M_Sal_35_39,M_Sal_40_44,M_Sal_45_49,M_Sal_50_over,M_Sal_hours_NS,M_Sal_Tot,M_MOD_0,M_MOD_1_19,M_MOD_20_29,M_MOD_30_34,M_MOD_35_39,M_MOD_40_44,M_MOD_45_49,M_MOD_50_over,M_MOD_hours_NS,M_MOD_Tot,M_Lab_0,M_Lab_1_19,M_Lab_20_29,M_Lab_30_34,M_Lab_35_39,M_Lab_40_44,M_Lab_45_49,M_Lab_50_over,M_Lab_hours_NS,M_Lab_Tot,M_ID_NS_0,M_ID_NS_1_19,M_ID_NS_20_29,M_ID_NS_30_34,M_ID_NS_35_39,M_ID_NS_40_44,M_ID_NS_45_49,M_ID_NS_50_over,M_ID_NS_hours_NS,M_ID_NS_Tot,M_Tot_0,M_Tot_1_19,M_Tot_20_29,M_Tot_30_34,M_Tot_35_39,M_Tot_40_44,M_Tot_45_49,M_Tot_50_over,M_Tot_hours_NS,M_Tot_Tot,F_Mng_0,F_Mng_1_19,F_Mng_20_29,F_Mng_30_34,F_Mng_35_39,F_Mng_40_44,F_Mng_45_49,F_Mng_50_over,F_Mng_hours_NS,F_Mng_Tot,F_Pro_0,F_Pro_1_19,F_Pro_20_29,F_Pro_30_34,F_Pro_35_39,F_Pro_40_44,F_Pro_45_49,F_Pro_50_over,F_Pro_hours_NS,F_Pro_Tot,F_TTW_0,F_TTW_1_19,F_TTW_20_29,F_TTW_30_34,F_TTW_35_39,F_TTW_40_44,F_TTW_45_49,F_TTW_50_over,F_TTW_hours_NS,F_TTW_Tot,F_CPS_0,F_CPS_1_19,F_CPS_20_29,F_CPS_30_34,F_CPS_35_39,F_CPS_40_44,F_CPS_45_49,F_CPS_50_over,F_CPS_hours_NS,F_CPS_Tot,F_CA_0,F_CA_1_19,F_CA_20_29,F_CA_30_34,F_CA_35_39,F_CA_40_44,F_CA_45_49,F_CA_50_over,F_CA_hours_NS,F_CA_Tot,F_Sal_0,F_Sal_1_19,F_Sal_20_29,F_Sal_30_34,F_Sal_35_39,F_Sal_40_44,F_Sal_45_49,F_Sal_50_over,F_Sal_hours_NS,F_Sal_Tot,F_MOD_0,F_MOD_1_19,F_MOD_20_29,F_MOD_30_34,F_MOD_35_39,F_MOD_40_44,F_MOD_45_49,F_MOD_50_over,F_MOD_hours_NS,F_MOD_Tot,F_Lab_0,F_Lab_1_19,F_Lab_20_29,F_Lab_30_34,F_Lab_35_39,F_Lab_40_44,F_Lab_45_49,F_Lab_50_over,F_Lab_hours_NS,F_Lab_Tot,F_ID_NS_0,F_ID_NS_1_19,F_ID_NS_20_29,F_ID_NS_30_34,F_ID_NS_35_39,F_ID_NS_40_44,F_ID_NS_45_49,F_ID_NS_50_over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_19,F_Tot_20_29,F_Tot_30_34,F_Tot_35_39,F_Tot_40_44,F_Tot_45_49,F_Tot_50_over,F_Tot_hours_NS,F_Tot_Tot
UCL501001,1555,2537,2671,2308,11170,21008,8867,23936,503,74556,2873,6975,5674,5240,22942,35731,10237,20590,726,110981,4941,5797,6208,5365,23722,33509,11529,30092,1897,123062,1518,7270,4701,2628,4689,6924,2357,3989,540,34610,941,2277,1907,1284,8670,8735,2613,4372,203,30998,729,8433,4178,1893,4835,5145,1599,3291,329,30429,3480,4596,4389,2949,10673,11053,5075,17905,1268,61386,2367,13180,7203,3789,8619,8680,2798,7964,1038,55633,384,795,498,394,1449,1804,551,1596,2584,10055,18780,51852,37428,25848,96770,132591,45626,113730,9084,531710,1888,3277,4455,3832,10585,11147,3904,7025,297,46414,7731,17352,19879,14829,27464,26946,7767,12366,808,135147,1224,4651,4354,2682,5861,3981,982,1877,314,25932,4251,24430,20355,11581,14200,7258,1700,3761,1222,88759,4115,15329,16503,9931,25758,16865,3457,4245,730,96928,2119,20456,11036,4440,6738,3723,885,1193,552,51142,697,1360,1140,668,1581,1073,397,1878,153,8945,1335,11732,7109,3366,4024,2432,545,1790,549,32881,378,887,679,392,1156,881,154,383,1901,6813,23735,99481,85503,51724,97367,74311,19794,34521,6533,492968
UCL511001,65,47,50,39,211,467,238,664,10,1786,70,117,124,117,420,651,213,433,15,2156,290,210,175,150,821,1456,566,1691,69,5428,50,122,110,79,119,171,52,115,14,831,33,40,49,44,153,171,69,146,4,705,30,263,116,75,172,152,54,97,9,974,230,162,140,100,349,593,353,1174,53,3150,130,464,230,167,439,470,200,504,40,2649,17,20,8,7,38,70,23,80,77,341,925,1445,994,784,2717,4195,1766,4914,280,18015,38,89,124,108,299,256,116,204,7,1235,216,508,532,456,660,621,205,316,15,3529,65,189,164,107,232,129,44,80,12,1018,177,817,811,515,565,248,62,144,45,3382,162,555,566,352,865,512,90,159,18,3276,120,801,441,231,300,145,41,59,23,2162,41,42,62,19,45,50,21,109,10,406,93,618,330,179,232,149,58,86,31,1766,15,29,20,10,41,25,9,10,49,208,930,3640,3051,1984,3229,2133,649,1155,214,16983
UCL512001,44,46,33,35,96,209,102,262,11,844,32,66,60,70,206,237,78,149,5,902,80,90,93,99,380,491,214,340,30,1816,35,67,61,52,79,155,39,51,9,550,11,33,9,19,51,43,25,23,5,220,15,104,72,29,91,94,39,45,4,494,60,66,56,38,94,137,93,307,19,869,44,255,124,86,179,195,100,105,28,1108,8,4,4,9,11,21,10,10,22,116,326,748,518,435,1202,1581,695,1292,131,6921,34,72,61,48,120,123,46,89,6,598,84,211,237,211,264,254,75,138,3,1480,16,68,60,42,98,40,6,17,0,349,64,358,338,239,244,122,36,73,27,1501,78,222,224,147,325,164,28,48,17,1255,44,321,166,78,159,74,22,15,5,888,4,21,10,9,7,9,7,19,0,82,32,276,129,58,62,50,27,28,13,672,9,5,9,0,13,10,4,3,18,76,367,1548,1238,839,1293,841,252,431,91,6901
UCL512002,25,34,22,30,101,186,87,262,0,754,29,56,40,47,117,172,66,141,4,661,115,72,99,73,308,486,181,450,27,1819,28,69,50,28,46,86,15,36,0,368,6,22,20,7,35,54,20,42,0,219,15,134,48,41,77,69,21,44,6,447,97,61,56,41,69,100,66,329,7,828,42,198,98,78,133,136,55,134,22,896,8,15,11,5,15,21,8,24,26,126,366,668,441,341,902,1310,522,1461,90,6101,29,51,54,40,118,130,45,71,6,538,77,177,200,173,217,191,74,113,7,1229,19,69,63,56,78,51,8,23,0,369,72,345,266,195,188,118,27,51,15,1278,55,202,203,120,250,142,37,34,5,1051,43,283,171,91,132,51,10,19,3,806,15,18,21,14,11,5,3,34,0,120,30,261,184,73,56,30,8,21,12,687,11,8,0,8,4,10,0,8,21,70,347,1411,1172,774,1057,738,214,372,61,6154
UCL512003,23,32,23,18,101,214,108,317,4,837,53,64,58,47,177,227,83,190,9,910,104,80,100,83,329,529,235,585,34,2074,24,56,42,40,63,127,38,73,5,460,8,20,15,13,80,65,27,56,0,290,10,104,58,50,81,77,44,47,11,482,94,82,71,39,110,181,132,447,17,1179,64,225,107,96,147,168,38,193,37,1078,7,10,4,0,24,23,9,25,26,135,383,685,482,391,1118,1616,712,1933,144,7456,10,37,49,53,132,132,43,115,0,580,114,200,199,191,327,302,104,173,10,1624,20,72,59,36,76,54,12,32,3,368,67,346,321,243,270,144,51,91,28,1554,59,223,192,173,374,229,41,58,6,1362,44,335,181,85,155,59,12,25,5,907,15,22,22,9,15,15,10,39,3,150,32,245,156,70,62,40,12,34,8,654,4,8,10,0,11,9,3,3,31,80,366,1493,1193,864,1431,975,295,565,101,7279
UCL512004,16,14,21,9,68,156,71,433,8,795,23,35,36,19,114,232,141,300,6,894,108,80,68,46,207,470,336,1530,59,2905,19,30,20,19,40,103,34,76,4,345,3,12,4,12,39,61,22,76,0,224,9,87,37,13,43,43,19,38,5,286,117,66,60,35,123,216,208,1133,46,2002,33,107,59,46,96,96,52,217,12,722,9,3,0,4,11,23,12,40,44,157,340,435,308,191,743,1404,889,3840,179,8334,29,22,46,36,121,147,54,129,11,578,70,118,95,84,261,310,136,241,15,1335,26,45,45,39,73,93,38,100,5,466,50,188,185,113,223,152,51,91,17,1069,66,145,175,133,381,328,90,132,10,1453,30,208,145,71,116,70,16,37,9,708,34,35,24,10,41,61,52,228,5,503,14,155,152,76,74,69,9,63,7,619,5,13,14,0,18,9,0,12,28,105,326,928,888,570,1293,1244,451,1027,104,6828
UCL513001,23,12,10,14,83,129,59,199,0,523,29,28,30,29,152,139,44,120,7,581,28,38,36,24,125,202,76,235,17,791,25,25,20,27,76,83,28,70,9,353,3,11,5,9,57,35,12,26,0,169,6,47,11,12,30,40,9,22,0,183,20,19,18,19,33,52,15,132,4,308,11,56,30,19,60,73,26,85,14,386,3,0,6,3,7,19,0,14,34,91,159,240,172,148,629,765,270,910,93,3389,18,18,35,28,122,99,41,93,4,451,86,79,118,119,257,220,65,140,15,1095,5,14,10,11,25,23,13,21,3,125,32,96,84,95,174,105,22,54,15,682,32,75,79,84,257,129,22,61,11,752,13,94,43,27,75,39,10,25,8,340,4,3,4,3,11,8,0,12,0,39,11,61,40,31,33,26,7,26,8,246,0,8,5,0,12,5,0,9,32,63,197,447,421,401,966,652,180,442,84,3794
UCL513002,12,16,12,13,38,71,39,128,3,333,9,10,11,11,39,76,21,66,0,248,35,23,16,20,108,199,83,149,14,643,5,16,4,4,11,25,4,7,0,83,7,8,4,6,14,22,6,17,0,77,7,29,13,9,29,38,16,21,4,160,44,26,22,12,43,91,56,202,15,511,19,44,40,19,37,55,10,72,8,315,3,9,0,0,6,14,4,8,18,74,153,180,123,98,327,596,232,670,61,2443,13,25,25,11,40,38,13,43,5,208,35,42,60,49,75,88,27,50,0,419,7,19,21,14,25,16,0,14,4,116,30,71,81,57,75,38,13,14,10,387,32,89,86,51,95,75,12,21,4,461,12,100,53,25,53,22,7,5,9,276,0,11,3,4,9,9,5,7,0,55,16,90,43,26,27,22,0,12,5,237,3,7,0,0,3,4,0,6,12,32,151,440,368,229,394,327,75,165,40,2199
UCL513003,17,7,9,7,57,130,78,267,9,576,19,11,9,20,67,170,60,129,6,493,133,62,28,34,152,385,223,854,28,1903,12,20,9,12,28,69,24,44,5,215,7,6,0,3,26,47,43,69,0,209,5,48,12,7,26,18,11,21,0,158,43,26,23,16,71,109,120,306,14,719,21,78,41,22,34,74,64,190,13,536,10,7,0,4,8,21,14,62,17,132,265,257,132,131,469,1018,630,1943,88,4935,14,24,20,23,71,87,40,112,4,403,70,73,85,71,165,172,74,127,7,855,34,28,28,18,49,53,25,62,0,301,35,143,90,72,124,79,34,43,3,618,42,77,108,58,193,202,58,73,5,815,15,110,63,44,63,47,9,26,5,376,20,9,9,6,17,23,21,46,0,155,9,78,68,38,50,40,20,47,0,349,3,6,7,0,8,9,4,12,15,63,243,545,474,328,744,713,280,543,48,3928
UCL513004,10,11,10,7,27,68,44,200,6,381,24,6,5,9,69,109,32,97,5,361,95,60,46,18,125,215,195,859,41,1655,13,15,6,4,18,39,11,34,0,133,5,4,6,0,27,24,23,59,0,157,0,27,11,4,13,19,8,35,4,117,61,42,19,10,61,67,59,560,23,902,30,54,28,18,48,59,30,143,11,430,7,9,6,3,11,16,16,46,29,135,244,233,125,80,407,620,419,2031,117,4275,20,15,20,24,65,78,31,79,4,322,66,38,38,43,138,171,65,75,7,641,22,17,21,18,35,43,28,71,8,260,29,90,65,55,93,97,22,43,17,507,37,59,77,40,183,154,51,82,11,697,16,74,50,28,65,31,14,20,9,306,25,17,12,4,19,15,32,106,9,230,20,66,59,28,30,36,11,76,7,339,5,7,3,4,8,4,0,9,29,70,239,380,337,247,638,629,253,561,83,3369
