IARE_CODE_2021,Med_ag_pe_In_pe,Me_ag_ps_N_In_ps,Med_age_psns_Tot,Me_p_in_wk_In_pe,Me_ps_in_wk_No_In_pe,Med_psnl_inc_wk_Tot,Me_hh_in_wk_Hh_In_pe,Me_hh_in_wk_No_Ot_hh,Med_hhd_inc_wk_Tot,Me_mo_re_mt_Hh_In_pe,Me_mo_re_mt_Ot_hh,Med_mort_repay_mth_Tot,Me_re_wk_Hh_Ind_psns,Me_re_wk_No_Oth_hh,Med_rent_wk_Tot,Av_N_p_pe_be_Hh_w_In_p,Av_Nu_ps_pe_be_Ot_hh,Avg_Nu_psns_per_bed_Tot,Av_hh_si_Hh_wi_Ind_psns,Avg_hh_si_Othr_hhd,Avg_household_size_Tot,P_d_n_x_b_Hh_w_In_p,P_d_n_x_b_No_Oth_hh,P_d_n_x_b_Tot
IARE501001,25,36,34,572,1276,1162,1545,2380,2220,2184,2167,2167,250,370,325,1.1,0.9,0.9,3,2.5,2.7,11.6,3.2,5.4
IARE501002,26,36,29,335,1115,397,861,1764,1044,0,2284,2284,100,149,100,1.2,1.2,1.2,3.5,2.1,3.1,22,11.7,19
IARE502001,30,42,41,418,879,782,933,1534,1416,1300,1303,1300,180,235,215,1,0.8,0.8,2.8,2.2,2.3,12.2,3.3,5
IARE502002,33,44,43,604,1104,978,1416,1131,1196,446,704,650,145,154,150,1,0.7,0.7,3.1,1.8,2,13.3,0.8,3.1
IARE502003,29,51,50,426,682,664,1205,1283,1276,1550,1400,1400,190,250,225,1,0.7,0.8,3.1,2.2,2.3,11.8,1.2,1.9
IARE502004,24,41,40,485,816,783,1301,1585,1553,1517,1560,1560,250,270,260,1,0.7,0.7,3.1,2.4,2.4,10.2,1.2,2.1
IARE502005,28,51,50,473,709,692,1305,1238,1244,1200,1300,1300,200,220,220,0.9,0.7,0.7,2.8,2.2,2.2,6.1,1.3,1.6
IARE502006,25,39,34,379,1449,1010,1010,1589,1243,912,565,650,100,120,115,1.1,0.7,0.9,3.1,1.8,2.4,16.8,1.4,9
IARE502007,31,41,40,438,837,791,1071,1237,1206,1083,1387,1387,91,200,195,0.9,0.9,0.9,2.6,2.1,2.2,6.7,4.3,4.7
IARE503001,22,43,42,503,835,817,1380,1551,1538,1300,1517,1517,250,260,260,1,0.7,0.7,3,2.3,2.4,5.4,1.4,1.6
IARE503002,27,41,39,470,968,893,1042,1731,1627,867,957,944,180,200,200,1,0.7,0.7,2.7,2.2,2.2,7.2,1.6,2.4
IARE503003,25,35,34,592,1242,1204,1760,2357,2325,1517,1600,1600,280,310,300,1,0.8,0.8,3.2,2.5,2.6,9,1.8,2.4
IARE503004,29,41,36,318,1942,535,751,1862,996,390,570,413,70,155,70,1.2,0.7,1,3.6,1.7,3,25.3,0.8,17.2
IARE503005,30,35,35,387,1710,1565,1156,1922,1703,964,650,667,111,70,95,1.1,0.9,0.9,3.3,2.2,2.4,20.3,2.6,6
IARE503006,26,37,28,386,1660,429,1350,2036,1581,0,0,0,65,25,63,1.3,0.7,1.2,4.1,1.5,3.5,41.2,5.7,31.8
IARE503007,29,35,35,247,1717,1196,700,1481,1109,0,0,0,113,150,118,1.3,0.7,1,3.4,1.7,2.4,27.8,0,11.4
IARE504001,24,42,29,309,1221,407,1018,1642,1146,373,0,373,90,105,90,1.7,1.1,1.5,4.3,1.5,3.4,43.3,3.6,31.1
IARE504002,25,38,27,281,1352,313,788,1600,947,0,0,0,60,50,60,1.5,0.9,1.3,4.3,1.6,3.7,37.8,1.8,29.7
IARE504003,25,38,30,350,1465,459,903,1975,1225,1430,2000,1600,120,138,125,1.3,0.7,1.1,3.4,1.8,2.9,26.8,4.1,19.5
IARE504004,25,45,30,301,1292,340,671,2187,758,0,2167,2167,70,40,66,1.4,0.9,1.4,3.6,1.8,3.3,26.7,5.9,23.4
IARE504005,23,57,27,296,1812,315,918,2399,1031,0,0,0,75,192,75,1.5,0.5,1.3,4.4,1.4,4,41.7,0,35.3
IARE504006,25,35,32,502,1309,1139,1369,2240,2024,1950,1800,1821,250,300,260,1.2,0.9,1,3.4,2.3,2.6,20.7,3.1,8.2
IARE504007,30,41,39,364,1319,1133,987,2401,2175,2000,2773,2676,50,400,200,1.2,1,1.1,3.3,2.6,2.8,15.1,7.2,9
IARE504008,30,41,36,410,1205,564,914,1687,1125,1653,1023,1387,159,190,168,1.2,0.8,1,3.1,2,2.7,16.4,0,10.7
IARE505001,21,35,35,565,822,815,1531,1782,1774,1733,1755,1750,300,310,305,1,0.8,0.8,3.4,2.7,2.8,8.6,1.9,2.2
IARE505002,23,40,40,534,883,872,1597,1742,1738,1958,1800,1801,300,330,330,1,0.7,0.7,3.2,2.3,2.4,10.6,1.6,1.8
IARE505003,25,39,38,641,874,870,1551,1743,1739,1900,1876,1876,320,340,340,0.9,0.8,0.8,2.8,2.3,2.3,7.5,2,2.1
IARE505004,27,36,36,593,892,886,1481,1645,1641,1900,1733,1733,300,350,350,0.9,0.8,0.8,2.7,2.3,2.3,7.6,2.9,3
IARE505005,22,36,36,489,771,767,1356,1843,1836,1658,1830,1822,338,360,355,0.9,0.8,0.8,3,2.7,2.8,7.8,2.7,2.8
IARE505006,22,37,36,666,928,924,1712,1994,1988,1922,1950,1950,350,370,370,0.9,0.7,0.8,3.2,2.6,2.6,8.1,1.4,1.6
IARE505007,27,43,43,518,995,987,1439,1963,1954,2167,2167,2167,288,380,380,1,0.8,0.8,2.7,2.2,2.3,8.6,1.6,1.8
IARE505008,25,36,36,528,731,727,1447,1662,1656,1733,1733,1733,300,330,330,0.9,0.8,0.8,3.3,2.8,2.8,8,3,3.2
IARE505009,23,41,41,816,907,906,2299,2163,2165,2027,2080,2080,400,400,400,0.9,0.7,0.7,3.2,2.7,2.7,4.6,0.7,0.7
IARE505010,21,41,40,661,838,835,1903,1865,1866,1950,1907,1907,370,370,370,0.9,0.7,0.7,3.3,2.6,2.6,6,1.3,1.4
IARE505011,25,34,33,540,819,812,1484,1727,1716,1582,1733,1724,300,320,315,0.9,0.8,0.8,3.2,2.7,2.7,8.5,2.2,2.5
IARE505012,24,42,42,577,912,909,1875,2106,2104,2340,2197,2200,330,400,400,0.9,0.7,0.7,2.9,2.6,2.6,6.4,0.9,1
IARE505013,28,44,43,686,818,815,2036,1872,1876,2050,1950,1950,345,350,350,1,0.7,0.7,3.5,2.6,2.6,4.9,1.1,1.2
IARE505014,26,38,38,718,1169,1166,2003,2303,2300,2500,2530,2529,400,415,415,1,0.9,0.9,2.3,2.3,2.3,4.2,2.2,2.2
IARE505015,20,37,36,664,785,783,1793,1722,1724,1733,1733,1733,330,330,330,0.9,0.7,0.7,3.4,2.6,2.6,4.2,1.1,1.2
IARE505016,18,34,34,902,909,909,2187,2092,2096,2000,1959,1971,400,375,380,0.9,0.8,0.8,3.6,3,3,2.9,1.4,1.5
IARE505017,26,38,37,582,1006,998,1609,1936,1929,2167,2106,2108,325,350,350,0.9,0.8,0.8,2.6,2.2,2.2,6.5,1.8,1.9
IARE505018,27,38,38,638,927,924,1448,1817,1812,1980,2000,2000,305,340,340,0.9,0.8,0.8,2.6,2.4,2.4,6.5,2.1,2.1
IARE505019,22,35,35,644,845,840,1726,1852,1847,1950,1842,1842,320,340,340,0.9,0.8,0.8,3.3,2.7,2.8,8.2,2.1,2.4
IARE505020,21,36,36,545,814,810,1722,1930,1925,1950,1900,1900,320,370,365,0.9,0.8,0.8,3.4,2.9,2.9,8.7,2.3,2.4
IARE505021,18,35,35,569,832,827,1643,1856,1850,1800,1863,1863,350,350,350,0.9,0.7,0.7,3.5,2.7,2.7,6.9,1.3,1.5
IARE506001,26,35,34,311,1931,1734,1529,2819,2506,1192,1032,1083,90,110,105,1.3,0.8,1,4.1,2.5,2.9,25.1,1.8,7.3
IARE506002,28,35,34,1068,1501,1472,2250,2468,2449,1729,2042,2023,53,70,60,1,0.9,0.9,2.9,2.6,2.6,6.9,2.7,3.2
IARE506003,22,33,32,910,1615,1570,2491,3255,3194,2000,1950,1972,257,340,320,0.9,0.8,0.9,3.1,2.7,2.8,5.9,1.8,2.2
IARE506004,25,33,32,632,1655,1532,2080,3073,2865,1600,1500,1517,150,250,225,1,0.9,0.9,3,2.6,2.7,8.5,2.4,3.7
IARE506005,30,35,34,371,1717,1425,1352,3354,2983,1517,2167,2167,149,160,150,1.1,0.9,0.9,3.2,2.8,2.9,12.6,2.1,4.5
IARE507001,26,45,45,462,718,710,1217,1356,1350,1647,1517,1517,280,300,300,1,0.7,0.7,3.1,2.3,2.4,6.5,1.4,1.6
IARE507002,28,50,50,482,676,664,1288,1264,1265,1300,1300,1300,200,220,212,0.9,0.7,0.7,3,2.3,2.3,7.7,1.5,1.8
IARE507003,25,43,43,505,734,725,1343,1325,1326,1430,1484,1480,285,300,300,0.9,0.7,0.7,3,2.2,2.2,6.7,1.5,1.7
IARE507004,19,45,45,573,754,751,1456,1458,1458,1820,1750,1755,350,370,369,1,0.7,0.7,3.3,2.4,2.5,6.9,1.1,1.3
IARE507005,26,46,45,488,833,816,1156,1365,1352,1073,878,884,175,175,175,0.9,0.7,0.7,2.8,2.2,2.3,7.5,0.7,1.1
IARE507006,21,40,40,555,779,773,1756,1789,1788,1733,1733,1733,300,320,320,0.9,0.7,0.7,3.3,2.6,2.7,7.3,1.4,1.6
IARE507007,30,47,46,414,831,803,809,1408,1376,932,867,871,183,175,178,0.9,0.7,0.7,2.9,2.3,2.3,5,0.9,1.1
IARE507008,26,43,42,477,887,866,1112,1450,1431,867,1000,997,190,180,180,0.9,0.7,0.7,3.1,2.4,2.4,10.1,1.2,1.7
IARE507009,20,46,46,510,635,632,1427,1276,1281,1733,1733,1733,320,300,300,0.9,0.7,0.7,3.3,2.3,2.4,6.6,1,1.2
IARE507010,21,49,48,514,654,648,1286,1176,1180,1300,1300,1300,250,250,250,1,0.7,0.7,3.1,2.3,2.3,8.4,1.5,1.8
IARE507011,23,48,47,469,753,742,1468,1527,1524,1600,1751,1733,250,270,270,0.9,0.7,0.7,3.1,2.4,2.5,8.2,1.7,2
IARE507012,23,45,44,560,633,630,1513,1356,1366,1625,1733,1733,295,280,280,0.9,0.7,0.7,3.2,2.5,2.5,7.5,1.7,1.9
IARE507013,24,44,44,455,755,738,1024,1360,1332,1144,1083,1083,200,212,210,0.9,0.7,0.7,2.9,2.3,2.3,6.5,1.9,2.2
IARE507014,20,44,42,455,684,653,1098,1263,1246,1300,1300,1300,230,255,250,1.1,0.7,0.7,3.3,2.3,2.3,12.8,2.1,2.9
