ILOC_CODE_2021,M_0_4_Has_need_for_assist,M_0_4_Does_not_need_assist,M_0_4_Need_for_assistance_ns,M_0_4_Tot,M_5_14_Has_need_for_assist,M_5_14_Does_not_need_assist,M_5_14_Need_for_assistance_ns,M_5_14_Tot,M_15_19_Has_need_for_assist,M_15_19_Does_not_need_assist,M_15_19_Need_for_assist_ns,M_15_19_Tot,M_20_24_Has_need_for_assist,M_20_24_Does_not_need_assist,M_20_24_Need_for_assist_ns,M_20_24_Tot,M_25_34_Has_need_for_assist,M_25_34_Does_not_need_assist,M_25_34_Need_for_assist_ns,M_25_34_Tot,M_35_44_Has_need_for_assist,M_35_44_Does_not_need_assist,M_35_44_Need_for_assist_ns,M_35_44_Tot,M_45_54_Has_need_for_assist,M_45_54_Does_not_need_assist,M_45_54_Need_for_assist_ns,M_45_54_Tot,M_55_64_Has_need_for_assist,M_55_64_Does_not_need_assist,M_55_64_Need_for_assist_ns,M_55_64_Tot,M_65_over_Has_need_for_assist,M_65ov_Does_not_need_assist,M_65_over_Need_for_assist_ns,M_65_over_Tot,M_Tot_Has_need_for_assist,M_Tot_Does_not_need_assist,M_Tot_Need_for_assist_ns,M_Tot_Tot,F_0_4_Has_need_for_assist,F_0_4_Does_not_need_assist,F_0_4_Need_for_assistance_ns,F_0_4_Tot,F_5_14_Has_need_for_assist,F_5_14_Does_not_need_assist,F_5_14_Need_for_assistance_ns,F_5_14_Tot,F_15_19_Has_need_for_assist,F_15_19_Does_not_need_assist,F_15_19_Need_for_assist_ns,F_15_19_Tot,F_20_24_Has_need_for_assist,F_20_24_Does_not_need_assist,F_20_24_Need_for_assist_ns,F_20_24_Tot,F_25_34_Has_need_for_assist,F_25_34_Does_not_need_assist,F_25_34_Need_for_assist_ns,F_25_34_Tot,F_35_44_Has_need_for_assist,F_35_44_Does_not_need_assist,F_35_44_Need_for_assist_ns,F_35_44_Tot,F_45_54_Has_need_for_assist,F_45_54_Does_not_need_assist,F_45_54_Need_for_assist_ns,F_45_54_Tot,F_55_64_Has_need_for_assist,F_55_64_Does_not_need_assist,F_55_64_Need_for_assist_ns,F_55_64_Tot,F_65ov_Has_need_for_assist,F_65ov_Does_not_need_assist,F_65_over_Need_for_assist_ns,F_65_over_Tot,F_Tot_Has_need_for_assist,F_Tot_Does_not_need_assist,F_Tot_Need_for_assist_ns,F_Tot_Tot,P_0_4_Has_need_for_assist,P_0_4_Does_not_need_assist,P_0_4_Need_for_assistance_ns,P_0_4_Tot,P_5_14_Has_need_for_assist,P_5_14_Does_not_need_assist,P_5_14_Need_for_assistance_ns,P_5_14_Tot,P_15_19_Has_need_for_assist,P_15_19_Does_not_need_assist,P_15_19_Need_for_assist_ns,P_15_19_Tot,P_20_24_Has_need_for_assist,P_20_24_Does_not_need_assist,P_20_24_Need_for_assist_ns,P_20_24_Tot,P_25_34_Has_need_for_assist,P_25_34_Does_not_need_assist,P_25_34_Need_for_assist_ns,P_25_34_Tot,P_35_44_Has_need_for_assist,P_35_44_Does_not_need_assist,P_35_44_Need_for_assist_ns,P_35_44_Tot,P_45_54_Has_need_for_assist,P_45_54_Does_not_need_assist,P_45_54_Need_for_assist_ns,P_45_54_Tot,P_55_64_Has_need_for_assist,P_55_64_Does_not_need_assist,P_55_64_Need_for_assist_ns,P_55_64_Tot,P_65_over_Has_need_for_assist,P_65_ov_Does_not_need_assist,P_65_over_Need_for_assist_ns,P_65_over_Tot,P_Tot_Has_need_for_assist,P_Tot_Does_not_need_assist,P_Tot_Need_for_assist_ns,P_Tot_Tot
ILOC50100101,0,59,7,63,12,118,6,133,0,35,5,38,0,40,13,50,0,68,27,91,0,65,17,84,9,48,18,76,9,37,13,51,11,24,7,39,41,494,113,625,0,44,4,44,0,96,6,105,0,57,11,64,0,31,4,37,0,82,6,92,4,73,11,85,5,49,4,60,8,47,3,63,29,22,3,53,46,501,52,603,0,102,7,111,11,212,13,237,0,92,13,101,0,69,14,86,5,145,29,180,3,138,27,168,22,97,21,140,18,86,20,115,41,49,5,90,100,990,149,1228
ILOC50100102,5,50,0,53,5,80,0,89,0,20,0,21,0,22,0,25,0,41,0,43,3,43,0,47,5,36,0,41,0,26,0,27,0,10,0,14,18,328,0,360,0,36,0,35,0,91,0,94,0,23,0,26,0,22,4,22,0,59,0,63,0,52,0,61,0,32,0,38,0,28,0,24,4,16,6,24,4,359,10,387,4,86,0,88,6,170,4,180,0,43,0,49,0,47,4,48,0,98,6,107,4,98,8,105,3,72,0,79,0,48,0,56,5,31,7,38,22,693,29,750
ILOC50100103,0,3,0,3,0,10,0,10,0,8,0,5,0,5,0,5,0,8,0,14,0,14,0,17,0,4,0,4,0,13,0,18,0,4,0,0,0,69,0,76,0,9,0,9,0,10,0,15,0,3,0,3,0,4,0,4,0,7,0,9,0,8,0,8,0,5,0,5,0,18,0,14,0,4,0,9,0,68,0,76,0,20,0,20,0,21,0,25,0,12,0,12,0,10,0,10,0,18,3,22,0,26,0,31,0,13,0,8,0,35,0,35,4,7,0,15,4,162,3,178
ILOC50100104,0,58,3,67,8,166,15,195,3,57,0,64,4,39,0,42,0,95,0,93,0,62,3,65,5,35,5,43,5,25,0,25,11,16,4,24,36,553,30,618,0,63,0,65,7,154,13,176,3,51,5,60,0,53,5,52,0,104,7,108,3,80,0,87,3,58,0,56,6,48,3,58,10,18,0,22,32,629,33,684,0,124,7,135,13,325,29,371,5,109,9,125,4,86,3,101,4,193,9,205,8,139,11,159,4,91,5,102,8,72,0,88,10,39,6,55,56,1178,79,1341
ILOC50100201,0,10,3,11,0,38,0,41,0,10,0,10,0,13,5,18,0,21,4,21,0,11,4,16,0,15,0,14,0,5,0,10,0,6,0,6,0,129,16,147,0,15,5,19,0,38,7,41,0,11,0,11,0,11,0,11,0,20,3,24,0,14,7,25,0,17,0,16,0,7,0,7,0,4,0,6,0,137,22,160,0,24,5,28,0,76,7,83,0,18,0,19,0,26,5,33,0,41,5,41,0,34,11,41,0,34,3,35,0,16,0,15,0,9,0,9,0,278,36,304
ILOC50100202,0,8,0,8,0,40,3,39,0,15,0,17,0,0,0,0,0,25,3,29,0,21,4,19,0,11,0,14,0,10,0,4,0,3,0,6,0,133,10,136,0,14,4,16,0,24,8,27,0,12,0,17,0,9,0,9,0,18,5,20,0,26,0,29,0,7,0,11,0,7,0,10,3,5,0,10,3,122,17,149,0,23,4,25,0,61,10,69,0,25,3,32,0,10,0,9,0,40,11,43,0,45,3,50,0,16,5,22,4,13,0,17,4,9,0,18,8,242,36,285
ILOC50100203,0,20,0,21,0,57,0,63,0,23,0,25,0,26,3,30,0,37,5,40,0,28,0,33,0,21,3,26,0,14,0,14,0,5,0,5,0,231,11,257,0,24,0,24,0,50,0,52,0,24,0,24,0,17,0,21,0,45,4,53,0,32,0,35,0,27,0,34,0,20,0,23,0,9,0,12,0,248,4,278,0,44,0,40,0,107,0,109,0,54,0,51,0,44,5,48,0,84,5,89,0,60,3,65,0,51,3,60,0,31,0,34,0,10,0,15,0,485,16,511
ILOC50100207,0,3,0,3,0,4,0,4,0,0,0,0,0,0,0,0,0,8,0,5,0,4,0,4,0,13,0,13,0,4,0,4,0,4,0,4,0,40,0,37,0,5,0,5,4,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,6,0,10,0,10,0,3,0,4,4,28,0,33,0,5,0,5,4,5,0,5,0,0,0,0,0,3,0,3,0,11,0,14,0,4,0,3,0,14,0,13,0,8,0,14,0,0,0,9,4,50,0,66
ILOC50100208,0,6,0,10,0,15,0,17,0,7,0,9,0,7,0,7,0,19,0,19,0,13,0,13,0,5,0,6,0,12,0,14,0,3,0,4,0,87,0,99,0,15,0,15,0,26,0,26,0,10,0,10,0,14,0,14,0,19,0,19,0,7,0,12,0,7,0,7,0,10,0,10,0,6,0,6,0,114,0,119,0,20,0,25,0,36,0,43,0,17,0,17,0,24,0,24,0,36,0,36,0,25,0,26,0,14,0,16,0,18,0,21,4,9,0,8,4,199,0,216
ILOC50200101,0,35,8,39,0,57,0,58,0,24,0,24,0,19,0,19,0,26,0,27,0,19,6,23,3,39,4,40,0,33,5,39,6,34,0,44,9,286,23,313,0,18,4,26,0,67,3,79,5,29,0,29,0,24,4,22,0,36,0,42,0,31,0,31,0,49,0,50,0,40,0,41,17,43,3,59,22,337,14,379,0,55,8,61,0,131,3,136,5,51,0,54,0,45,4,44,0,66,3,71,0,51,0,50,4,87,5,92,3,71,8,85,20,81,9,102,32,638,40,695
