IREG_CODE_2021,Age_0_Indig_M,Age_0_Indig_F,Age_0_Indig_P,Age_0_NonInd_M,Age_0_NonInd_F,Age_0_NonInd_P,Age_0_IndigStat_nsM,Age_0_IndigStat_nsF,Age_0_IndigStat_nsP,Age_0_TotM,Age_0_TotF,Age_0_TotP,Age_1_Indig_M,Age_1_Indig_F,Age_1_Indig_P,Age_1_NonInd_M,Age_1_NonInd_F,Age_1_NonInd_P,Age_1_IndigStat_nsM,Age_1_IndigStat_nsF,Age_1_IndigStat_nsP,Age_1_TotM,Age_1_TotF,Age_1_TotP,Age_2_Indig_M,Age_2_Indig_F,Age_2_Indig_P,Age_2_NonInd_M,Age_2_NonInd_F,Age_2_NonInd_P,Age_2_IndigStat_nsM,Age_2_IndigStat_nsF,Age_2_IndigStat_nsP,Age_2_TotM,Age_2_TotF,Age_2_TotP,Age_3_Indig_M,Age_3_Indig_F,Age_3_Indig_P,Age_3_NonInd_M,Age_3_NonInd_F,Age_3_NonInd_P,Age_3_IndigStat_nsM,Age_3_IndigStat_nsF,Age_3_IndigStat_nsP,Age_3_TotM,Age_3_TotF,Age_3_TotP,Age_4_Indig_M,Age_4_Indig_F,Age_4_Indig_P,Age_4_NonInd_M,Age_4_NonInd_F,Age_4_NonInd_P,Age_4_IndigStat_nsM,Age_4_IndigStat_nsF,Age_4_IndigStat_nsP,Age_4_TotM,Age_4_TotF,Age_4_TotP,Age_0_4_Indig_M,Age_0_4_Indig_F,Age_0_4_Indig_P,Age_0_4_NonInd_M,Age_0_4_NonInd_F,Age_0_4_NonInd_P,Age_0_4_Indig_st_nsM,Age_0_4_Indig_st_nsF,Age_0_4_Indig_st_nsP,Age_0_4_TotM,Age_0_4_TotF,Age_0_4_TotP,Age_5_Indig_M,Age_5_Indig_F,Age_5_Indig_P,Age_5_NonInd_M,Age_5_NonInd_F,Age_5_NonInd_P,Age_5_IndigStat_nsM,Age_5_IndigStat_nsF,Age_5_IndigStat_nsP,Age_5_TotM,Age_5_TotF,Age_5_TotP,Age_6_Indig_M,Age_6_Indig_F,Age_6_Indig_P,Age_6_NonInd_M,Age_6_NonInd_F,Age_6_NonInd_P,Age_6_IndigStat_nsM,Age_6_IndigStat_nsF,Age_6_IndigStat_nsP,Age_6_TotM,Age_6_TotF,Age_6_TotP,Age_7_Indig_M,Age_7_Indig_F,Age_7_Indig_P,Age_7_NonInd_M,Age_7_NonInd_F,Age_7_NonInd_P,Age_7_IndigStat_nsM,Age_7_IndigStat_nsF,Age_7_IndigStat_nsP,Age_7_TotM,Age_7_TotF,Age_7_TotP,Age_8_Indig_M,Age_8_Indig_F,Age_8_Indig_P,Age_8_NonInd_M,Age_8_NonInd_F,Age_8_NonInd_P,Age_8_IndigStat_nsM,Age_8_IndigStat_nsF,Age_8_IndigStat_nsP,Age_8_TotM,Age_8_TotF,Age_8_TotP,Age_9_Indig_M,Age_9_Indig_F,Age_9_Indig_P,Age_9_NonInd_M,Age_9_NonInd_F,Age_9_NonInd_P,Age_9_IndigStat_nsM,Age_9_IndigStat_nsF,Age_9_IndigStat_nsP,Age_9_TotM,Age_9_TotF,Age_9_TotP,Age_5_9_Indig_M,Age_5_9_Indig_F,Age_5_9_Indig_P,Age_5_9_NonInd_M,Age_5_9_NonInd_F,Age_5_9_NonInd_P,Age_5_9_Ind_status_nsM,Age_5_9_Ind_status_nsF,Age_5_9_Ind_status_nsP,Age_5_9_TotM,Age_5_9_TotF,Age_5_9_TotP,Age_10_Indig_M,Age_10_Indig_F,Age_10_Indig_P,Age_10_NonInd_M,Age_10_NonInd_F,Age_10_NonInd_P,Age_10_Indig_st_nsM,Age_10_Indig_st_nsF,Age_10_Indig_st_nsP,Age_10_TotM,Age_10_TotF,Age_10_TotP,Age_11_Indig_M,Age_11_Indig_F,Age_11_Indig_P,Age_11_NonInd_M,Age_11_NonInd_F,Age_11_NonInd_P,Age_11_Indig_st_nsM,Age_11_Indig_st_nsF,Age_11_Indig_st_nsP,Age_11_TotM,Age_11_TotF,Age_11_TotP,Age_12_Indig_M,Age_12_Indig_F,Age_12_Indig_P,Age_12_NonInd_M,Age_12_NonInd_F,Age_12_NonInd_P,Age_12_IndigStat_nsM,Age_12_IndigStat_nsF,Age_12_IndigStat_nsP,Age_12_TotM,Age_12_TotF,Age_12_TotP,Age_13_Indig_M,Age_13_Indig_F,Age_13_Indig_P,Age_13_NonInd_M,Age_13_NonInd_F,Age_13_NonInd_P,Age_13_IndSt_nsM,Age_13_IndSt_nsF,Age_13_IndSt_nsP,Age_13_TotM,Age_13_TotF,Age_13_TotP,Age_14_Indig_M,Age_14_Indig_F,Age_14_Indig_P,Age_14_NonInd_M,Age_14_NonInd_F,Age_14_NonInd_P,Age_14_IndSt_nsM,Age_14_IndSt_nsF
IREG501,45,46,92,74,63,132,8,3,11,128,105,236,48,49,100,53,63,113,18,14,34,119,127,248,61,52,107,52,66,121,14,17,28,123,130,254,44,48,88,63,59,124,22,14,33,131,120,249,46,37,82,66,60,129,16,16,27,129,113,246,247,230,474,313,311,625,78,62,135,633,602,1233,68,50,122,79,67,146,19,14,35,160,132,298,52,38,91,78,69,152,20,14,37,154,123,279,50,55,103,64,83,148,19,15,35,130,157,285,63,52,112,55,71,123,14,21,32,136,141,275,63,49,115,67,70,144,16,10,27,152,128,276,294,251,545,341,364,705,88,73,168,723,683,1411,67,64,133,74,51,122,21,20,39,157,133,292,49,48,95,66,61,131,19,14,35,133,124,258,61,51,115,60,67,120,9,18,23,130,137,265,60,58,116,68,57,124,15,17,33,142,133,272,56,60,117,62,52,114,14,14
IREG502,57,43,100,258,245,500,15,14,32,334,303,635,51,53,108,255,269,525,48,55,101,362,370,729,75,60,132,239,247,485,32,43,78,352,349,697,69,50,124,242,235,468,43,36,79,355,320,676,65,69,132,256,259,516,40,58,100,360,386,750,319,274,594,1249,1246,2499,181,208,391,1754,1734,3491,58,60,119,273,270,542,55,42,94,381,374,764,61,74,141,284,255,537,50,38,89,392,374,766,71,58,126,277,233,509,52,41,96,397,339,737,71,53,125,292,303,589,46,49,98,405,408,812,69,65,135,294,271,566,59,55,109,428,385,814,329,320,653,1412,1332,2749,261,236,494,2011,1887,3896,67,66,131,316,278,600,45,29,81,428,375,805,81,70,148,296,293,588,56,49,103,430,406,846,55,74,132,307,278,586,43,37,76,411,391,802,67,64,122,307,288,596,44,50,91,414,397,817,70,71,142,275,259,534,39,47
IREG503,56,38,95,300,272,569,21,10,35,375,316,695,59,48,105,287,269,558,32,40,71,381,355,733,57,52,112,309,273,582,43,30,70,412,350,763,57,56,108,299,271,564,42,35,78,398,357,754,44,52,100,279,338,613,32,32,66,350,424,783,276,243,518,1467,1415,2886,176,146,321,1922,1805,3728,58,42,102,319,292,611,35,26,62,411,363,774,51,59,111,301,294,590,43,36,77,395,389,789,65,37,112,323,288,610,45,51,96,436,382,815,43,30,71,309,259,576,33,46,77,383,337,723,38,57,92,283,291,573,39,39,82,362,384,744,256,232,485,1541,1423,2962,190,200,393,1989,1856,3844,58,45,105,269,270,540,35,43,80,364,360,724,57,52,107,277,269,545,42,29,78,383,354,727,52,52,103,257,241,499,50,37,85,363,330,692,57,53,109,270,290,558,47,36,85,366,384,751,60,54,108,266,257,530,35,36
IREG504,45,33,76,29,28,58,11,0,10,86,65,151,66,59,122,28,29,57,8,13,20,111,97,205,46,45,85,22,28,50,13,8,22,80,80,157,71,52,118,25,28,53,9,16,23,100,90,187,51,61,118,27,12,40,9,7,14,89,80,172,281,247,529,130,123,254,52,36,87,467,405,866,54,55,111,31,24,47,13,12,24,94,89,188,56,57,109,25,21,38,4,12,15,79,86,166,65,62,127,26,29,51,13,12,25,101,99,201,57,53,106,27,25,45,13,9,22,86,85,170,55,47,97,30,24,46,13,13,26,94,82,177,277,267,549,130,109,240,52,62,114,464,439,904,77,62,136,25,26,50,14,9,23,111,96,209,60,53,112,23,19,42,9,13,21,90,92,176,41,62,105,20,20,43,12,11,25,77,99,175,45,47,94,17,19,31,10,16,21,69,87,156,45,51,95,15,13,20,10,10
IREG505,452,393,844,11656,11122,22773,124,109,228,12231,11618,23850,445,403,852,11543,11017,22560,521,464,979,12509,11882,24395,440,371,810,11817,11180,22995,442,407,850,12699,11961,24657,439,426,865,12103,11296,23403,447,436,881,12984,12164,25149,474,476,952,12478,11562,24042,458,428,887,13412,12466,25878,2256,2070,4327,59597,56178,115773,1982,1848,3827,63832,60097,123930,514,401,917,12744,11905,24648,460,427,890,13716,12736,26453,426,443,866,12471,11662,24130,462,418,879,13356,12523,25876,448,416,865,12272,11805,24082,467,472,936,13192,12695,25882,476,389,865,12473,11922,24393,450,431,886,13402,12740,26138,432,403,833,12230,11844,24075,421,414,834,13079,12660,25740,2293,2055,4350,62184,59136,121324,2259,2161,4420,66740,63352,130089,432,414,844,12339,11848,24183,438,397,841,13211,12658,25871,412,405,817,12400,11608,24009,434,434,867,13241,12453,25696,486,425,906,12285,11329,23615,442,380,829,13214,12133,25352,452,447,898,12449,11804,24252,421,393,815,13325,12647,25967,424,443,865,12339,11490,23824,438,378
IREG506,80,78,156,327,334,658,22,9,35,429,426,854,83,84,167,338,315,655,50,53,100,475,450,926,82,78,161,368,327,691,62,30,92,510,439,952,99,85,188,368,336,699,60,57,115,531,479,1007,95,59,160,349,327,670,67,57,123,511,446,958,444,395,839,1748,1637,3381,266,203,471,2461,2232,4688,77,88,168,370,334,705,71,65,135,522,486,1001,105,83,187,347,336,681,61,59,120,515,478,995,114,65,182,355,347,702,78,72,152,550,484,1035,68,88,155,335,314,652,61,50,114,470,453,920,74,88,157,326,299,624,56,66,121,453,454,905,441,415,858,1727,1630,3360,325,313,640,2500,2357,4855,84,87,175,301,297,593,53,56,107,432,441,870,84,94,174,274,252,525,55,52,104,407,394,801,93,67,159,249,252,501,58,51,107,393,370,766,75,86,160,241,232,472,45,37,80,364,352,717,74,67,137,234,217,446,48,49
IREG507,166,120,283,1952,1913,3858,65,66,130,2180,2090,4278,136,169,304,2006,1835,3841,150,124,281,2298,2133,4431,171,143,316,2078,1961,4041,154,130,278,2403,2233,4634,173,138,302,2059,2119,4175,135,130,266,2360,2386,4744,143,142,289,2226,2103,4325,143,133,280,2515,2379,4893,794,710,1500,10321,9931,20246,648,585,1228,11753,11224,22981,172,141,313,2308,2281,4591,133,164,296,2617,2586,5202,175,147,328,2424,2241,4666,142,136,277,2742,2531,5271,161,168,330,2383,2319,4701,147,167,317,2698,2656,5352,178,151,326,2478,2307,4784,167,157,328,2821,2618,5438,167,176,343,2517,2339,4862,186,164,354,2873,2678,5552,858,783,1642,12113,11491,23601,779,797,1576,13749,13063,26814,166,170,337,2565,2330,4892,187,178,361,2921,2675,5595,142,189,328,2604,2547,5150,188,186,376,2935,2925,5856,164,191,358,2514,2394,4908,201,173,375,2879,2760,5636,189,168,355,2554,2414,4967,161,149,310,2895,2734,5632,177,195,373,2642,2503,5145,187,196
IREG508,34,45,78,7,3,13,0,4,11,45,57,98,49,36,80,10,4,13,9,11,20,58,55,113,29,40,67,10,5,17,6,6,12,45,46,95,54,43,95,4,7,12,7,7,11,64,58,123,45,38,82,10,7,18,10,5,17,62,50,111,209,198,412,41,24,72,32,36,61,278,264,541,51,35,90,5,5,20,10,5,11,69,50,117,48,36,83,9,6,15,10,6,17,69,51,119,44,38,79,3,11,14,13,15,28,61,63,120,42,42,88,9,8,12,3,14,22,56,64,119,40,34,74,9,3,9,7,11,20,57,48,105,219,187,408,40,30,67,42,55,98,305,271,577,40,37,77,12,4,14,7,6,14,60,52,106,40,42,83,7,4,16,11,11,19,62,55,115,26,33,55,11,0,11,8,6,8,40,44,80,27,33,64,5,11,7,5,7,13,40,54,87,34,41,79,6,0,6,7,4
IREG594,5,8,14,14,15,30,5,5,8,24,32,53,7,8,14,11,19,34,5,3,5,27,31,58,10,9,8,27,19,50,5,6,16,45,31,73,10,5,12,12,18,36,5,4,9,23,32,53,9,5,15,19,20,37,3,4,4,29,24,63,36,37,69,92,91,188,25,16,42,149,153,300,7,9,18,21,23,42,0,0,4,30,28,60,0,9,9,14,14,36,0,3,4,21,24,46,3,6,6,27,17,38,0,4,4,27,25,53,3,9,11,17,20,39,0,3,3,28,27,57,0,3,7,20,20,37,4,0,3,25,20,49,17,30,48,103,86,193,8,11,20,132,127,259,4,5,6,25,24,46,7,6,13,38,35,67,0,3,3,13,17,32,0,5,4,13,24,40,5,0,4,8,7,21,0,0,0,15,15,27,7,0,7,19,8,34,5,0,3,33,12,44,3,0,7,8,19,29,0,0
IREG597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
