IREG_CODE_2021,Arthritis_Age_0_14,Arthritis_Age_15_24,Arthritis_Age_25_34,Arthritis_Age_35_44,Arthritis_Age_45_54,Arthritis_Age_55_64,Arthritis_Age_65_over,Arthritis_Age_Tot,Asthma_Age_0_14,Asthma_Age_15_24,Asthma_Age_25_34,Asthma_Age_35_44,Asthma_Age_45_54,Asthma_Age_55_64,Asthma_Age_65_over,Asthma_Age_Tot,Cancer_inc_rem_Age_0_14,Cancer_inc_rem_Age_15_24,Cancer_inc_rem_Age_25_34,Cancer_inc_rem_Age_35_44,Cancer_inc_rem_Age_45_54,Cancer_inc_rem_Age_55_64,Cancer_inc_rem_Age_65_over,Cancer_inc_rem_Age_Tot,Dem_inc_Alz_Age_0_14,Dem_inc_Alz_Age_15_24,Dem_inc_Alz_Age_25_34,Dem_inc_Alz_Age_35_44,Dem_inc_Alz_Age_45_54,Dem_inc_Alz_Age_55_64,Dem_inc_Alz_Age_65_over,Dem_inc_Alz_Age_Tot,Dia_exc_ges_dia_Age_0_14,Dia_exc_ges_dia_Age_15_24,Dia_exc_ges_dia_Age_25_34,Dia_exc_ges_dia_Age_35_44,Dia_exc_ges_dia_Age_45_54,Dia_exc_ges_dia_Age_55_64,Dia_exc_ges_dia_Age_65_over,Dia_exc_ges_dia_Age_Tot,HD_inc_Ha_ang_Age_0_14,HD_inc_Ha_ang_Age_15_24,HD_inc_Ha_ang_Age_25_34,HD_inc_Ha_ang_Age_35_44,HD_inc_Ha_ang_Age_45_54,HD_inc_Ha_ang_Age_55_64,HD_inc_Ha_ang_Age_65_over,HD_inc_Ha_ang_Age_Tot,Kid_dis_Age_0_14,Kid_dis_Age_15_24,Kid_dis_Age_25_34,Kid_dis_Age_35_44,Kid_dis_Age_45_54,Kid_dis_Age_55_64,Kid_dis_Age_65_over,Kid_dis_Age_Tot,LC_inc_COPD_emph_Age_0_14,LC_inc_COPD_emph_Age_15_24,LC_inc_COPD_emph_Age_25_34,LC_inc_COPD_emph_Age_35_44,LC_inc_COPD_emph_Age_45_54,LC_inc_COPD_emph_Age_55_64,LC_inc_COPD_emph_Age_65_over,LC_inc_COPD_emph_Age_Tot,MHC_inc_dep_anx_Age_0_14,MHC_inc_dep_anx_Age_15_24,MHC_inc_dep_anx_Age_25_34,MHC_inc_dep_anx_Age_35_44,MHC_inc_dep_anx_Age_45_54,MHC_inc_dep_anx_Age_55_64,MHC_inc_dep_anx_Age_65_over,MHC_inc_dep_anx_Age_Tot,Stroke_Age_0_14,Stroke_Age_15_24,Stroke_Age_25_34,Stroke_Age_35_44,Stroke_Age_45_54,Stroke_Age_55_64,Stroke_Age_65_over,Stroke_Age_Tot,A_oth_LTHC_Age_0_14,A_oth_LTHC_Age_15_24,A_oth_LTHC_Age_25_34,A_oth_LTHC_Age_35_44,A_oth_LTHC_Age_45_54,A_oth_LTHC_Age_55_64,A_oth_LTHC_Age_65_over,A_oth_LTHC_Age_Tot,No_LTHC_Age_0_14,No_LTHC_Age_15_24,No_LTHC_Age_25_34,No_LTHC_Age_35_44,No_LTHC_Age_45_54,No_LTHC_Age_55_64,No_LTHC_Age_65_over,No_LTHC_Age_Tot,Not_st_Age_0_14,Not_st_Age_15_24,Not_st_Age_25_34,Not_st_Age_35_44,Not_st_Age_45_54,Not_st_Age_55_64,Not_st_Age_65_over,Not_st_Age_Tot,Tot_per_Age_0_14,Tot_per_Age_15_24,Tot_per_Age_25_34,Tot_per_Age_35_44,Tot_per_Age_45_54,Tot_per_Age_55_64,Tot_per_Age_65_over,Tot_per_Age_Tot
IREG501,0,4,3,17,20,41,49,127,49,36,40,43,37,29,32,266,0,0,0,10,6,18,25,53,0,0,0,0,0,3,15,22,3,9,12,41,73,88,77,297,15,11,16,15,29,45,42,181,0,0,8,12,18,24,21,83,3,0,0,0,9,17,22,61,14,35,52,39,44,28,14,219,0,0,0,5,16,10,10,41,45,28,20,33,53,43,29,251,1311,593,544,404,225,155,65,3299,146,67,65,71,54,27,18,454,1584,763,737,641,474,390,251,4847
IREG502,6,4,16,22,66,100,131,341,139,89,74,75,97,98,88,655,0,0,3,3,23,24,44,103,0,0,0,0,8,6,42,52,8,15,32,62,135,192,196,632,9,6,14,28,59,102,115,334,4,5,7,8,17,32,53,123,3,4,0,6,31,40,44,126,40,72,91,81,88,79,46,493,5,0,0,0,12,11,27,52,106,43,41,45,57,68,59,422,1457,701,442,323,274,172,96,3464,204,142,107,93,72,42,38,690,1927,1032,754,629,676,594,511,6114
IREG503,0,3,11,19,39,61,66,192,51,43,49,37,59,51,40,341,0,0,4,5,11,16,26,58,0,0,0,0,0,4,34,38,4,15,32,62,126,158,130,531,8,7,8,23,53,76,69,235,6,4,10,14,25,34,41,135,6,0,0,8,11,20,34,79,13,56,56,40,41,41,17,272,0,0,0,6,3,16,16,41,61,24,34,32,60,62,50,321,1240,681,492,357,253,119,66,3208,176,130,114,104,77,43,24,672,1549,932,769,640,589,423,323,5221
IREG504,0,0,7,5,22,27,30,97,26,26,31,38,47,36,26,217,0,0,0,3,11,12,9,32,0,0,0,0,3,0,9,14,0,3,10,60,122,99,72,372,9,13,12,22,44,41,37,171,3,0,0,9,20,25,19,74,3,0,3,3,10,10,10,37,4,23,23,26,20,12,4,124,0,0,4,0,8,0,9,31,31,18,29,38,44,30,26,215,1167,800,628,490,310,127,84,3603,385,114,73,87,44,32,33,767,1627,982,799,725,572,334,274,5319
IREG505,16,60,139,221,388,514,557,1899,1254,828,749,605,509,413,324,4675,12,18,22,57,105,144,151,513,0,3,8,4,12,24,95,143,21,66,161,298,460,657,575,2242,32,31,51,80,199,369,445,1206,24,19,24,46,76,86,128,398,39,12,28,53,95,183,196,616,508,1060,1097,768,692,470,233,4829,7,11,14,24,53,82,117,297,801,461,460,360,430,349,248,3111,9718,4577,3361,2016,1471,752,317,22208,1030,796,1052,667,371,179,118,4207,13013,7352,6396,4312,3594,2554,1756,38984
IREG506,0,3,17,35,62,61,60,244,132,92,101,80,79,67,47,608,0,3,0,10,17,20,20,64,0,0,0,3,0,8,16,26,3,17,39,107,150,159,141,620,11,11,11,32,62,85,57,277,6,0,9,13,23,29,26,106,8,4,3,3,13,15,9,59,22,57,96,81,54,28,16,357,0,0,0,9,21,15,14,57,87,45,50,55,78,60,54,431,2077,1044,936,681,432,226,70,5469,163,123,143,120,60,45,25,669,2500,1364,1336,1114,854,586,353,8113
IREG507,6,13,40,84,193,277,280,888,425,309,240,224,208,197,143,1756,4,4,12,17,49,73,99,264,0,0,0,0,4,18,47,73,3,27,55,110,199,302,298,987,7,8,17,35,91,164,209,526,10,0,5,11,30,33,59,149,14,9,10,21,52,79,86,277,149,367,326,267,296,212,125,1738,4,0,5,5,25,37,57,133,292,161,93,111,169,167,108,1112,3662,1692,951,718,569,393,186,8179,438,249,229,162,100,93,53,1334,4893,2649,1767,1448,1399,1260,933,14355
IREG508,0,0,0,4,19,29,35,86,21,12,10,22,31,21,24,133,0,0,0,0,4,15,9,36,0,0,0,0,0,3,29,30,0,9,15,45,74,100,84,320,4,9,9,15,26,30,28,120,0,0,3,7,14,20,24,65,0,0,0,3,6,4,7,24,4,14,18,23,7,14,3,86,0,0,0,0,5,7,13,25,24,18,18,27,38,31,29,188,972,618,540,393,267,134,66,2986,147,67,98,80,53,26,11,479,1176,729,706,586,476,333,228,4238
IREG594,0,0,0,3,8,6,4,24,9,15,11,17,10,3,0,56,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,4,0,7,10,4,11,33,0,7,0,0,8,0,8,22,0,0,0,3,3,0,0,7,0,0,0,0,4,0,0,7,4,13,11,18,20,8,0,76,0,0,0,0,3,0,3,8,3,5,6,8,3,3,0,32,73,59,37,33,19,12,3,236,66,102,192,287,258,123,72,1106,150,188,247,356,306,156,84,1495
IREG597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,5,5,0,0,9
