LGA_CODE_2021,Tot_p_Indig_M,Tot_p_Indig_F,Tot_p_Indig_P,Tot_p_NonInd_M,Tot_p_NonInd_F,Tot_p_NonInd_P,Tot_p_IndigStat_nsM,Tot_p_IndigStat_nsF,Tot_p_IndigStat_nsP,Tot_p_TotM,Tot_p_TotF,Tot_p_TotP,A_0_4_Indig_M,A_0_4_Indig_F,A_0_4_Indig_P,A_0_4_NonInd_M,A_0_4_NonInd_F,A_0_4_NonInd_P,A_0_4_IndigStat_nsM,A_0_4_IndigStat_nsF,A_0_4_IndigStat_nsP,A_0_4_TotM,A_0_4_TotF,A_0_4_TotP,A_5_14_Indig_M,A_5_14_Indig_F,A_5_14_Indig_P,A_5_14_NonInd_M,A_5_14_NonInd_F,A_5_14_NonInd_P,A_5_14_IndigStat_nsM,A_5_14_IndigStat_nsF,A_5_14_IndigStat_nsP,A_5_14_TotM,A_5_14_TotF,A_5_14_TotP,A_15_24_Indig_M,A_15_24_Indig_F,A_15_24_Indig_P,A_15_24_NonInd_M,A_15_24_NonInd_F,A_15_24_NonInd_P,A_15_24_IndigStat_nsM,A_15_24_IndigStat_nsF,A_15_24_IndigStat_nsP,A_15_24_TotM,A_15_24_TotF,A_15_24_TotP,A_25_44_Indig_M,A_25_44_Indig_F,A_25_44_Indig_P,A_25_44_NonInd_M,A_25_44_NonInd_F,A_25_44_NonInd_P,A_25_44_IndigStat_nsM,A_25_44_IndigStat_nsF,A_25_44_IndigStat_nsP,A_25_44_TotM,A_25_44_TotF,A_25_44_TotP,A_45_64_Indig_M,A_45_64_Indig_F,A_45_64_Indig_P,A_45_64_NonInd_M,A_45_64_NonInd_F,A_45_64_NonInd_P,A_45_64_IndigStat_nsM,A_45_64_IndigStat_nsF,A_45_64_IndigStat_nsP,A_45_64_TotM,A_45_64_TotF,A_45_64_TotP,A_65_over_Indig_M,A_65_over_Indig_F,A_65_over_Indig_P,A_65_ovr_NonInd_M,A_65_ovr_NonInd_F,A_65_ovr_NonInd_P,A_65ove_IndigStat_nsM,A_65ove_IndigStat_nsF,A_65ove_IndigStat_nsP,A_65_ovr_TotM,A_65_ovr_TotF,A_65_ovr_TotP,Cntd_CN_home_Indig_M,Cntd_CN_home_Indig_F,Cntd_CN_home_Indig_P,Cntd_CN_hme_NonInd_M,Cntd_CN_hme_NonInd_F,Cntd_CN_hme_NonInd_P,ctd_CN_hme_Indig_st_nsM,ctd_CN_hme_Indig_st_nsF,ctd_CN_hme_Indig_st_nsP,Cntd_CN_home_TotM,Cntd_CN_home_TotF,Cntd_CN_home_TotP,VfSme_SA2_Indig_M,VfSme_SA2_Indig_F,VfSme_SA2_Indig_P,VfSme_SA2_NonInd_M,VfSme_SA2_NonInd_F,VfSme_SA2_NonInd_P,VfSme_SA2_Indi_stat_nsM,VfSme_SA2_Indi_stat_nsF,VfSme_SA2_Indi_stat_nsP,VfSme_SA2_TotM,VfSme_SA2_TotF,VfSme_SA2_TotP,VfDif_SA2_NSW_Indig_M,VfDif_SA2_NSW_Indig_F,VfDif_SA2_NSW_Indig_P,VfDif_SA2_NSW_NonInd_M,VfDif_SA2_NSW_NonInd_F,VfDif_SA2_NSW_NonInd_P,VfDif_SA2_NSW_IndSt_nsM,VfDif_SA2_NSW_IndSt_nsF,VfDif_SA2_NSW_IndSt_nsP,VfDif_SA2_NSW_TotM,VfDif_SA2_NSW_TotF,VfDif_SA2_NSW_TotP,VfDif_SA2_Vic_Indig_M,VfDif_SA2_Vic_Indig_F,VfDif_SA2_Vic_Indig_P,VfDif_SA2_Vic_NonInd_M,VfDif_SA2_Vic_NonInd_F,VfDif_SA2_Vic_NonInd_P,VfDif_SA2_Vic_Ind_sta_nsM,VfDif_SA2_Vic_Ind_sta_nsF,VfDif_SA2_Vic_Ind_sta_nsP,VfDif_SA2_Vic_TotM,VfDif_SA2_Vic_TotF,VfDif_SA2_Vic_TotP,VfDif_SA2_Qld_Indig_M,VfDif_SA2_Qld_Indig_F,VfDif_SA2_Qld_Indig_P,VfDif_SA2_Qld_NonInd_M,VfDif_SA2_Qld_NonInd_F,VfDif_SA2_Qld_NonInd_P,VfDif_SA2_Qld_IndSt_nsM,VfDif_SA2_Qld_IndSt_nsF,VfDif_SA2_Qld_IndSt_nsP,VfDif_SA2_Qld_TotM,VfDif_SA2_Qld_TotF,VfDif_SA2_Qld_TotP,VfDif_SA2_SA_Indig_M,VfDif_SA2_SA_Indig_F,VfDif_SA2_SA_Indig_P,VfDif_SA2_SA_NonInd_M,VfDif_SA2_SA_NonInd_F,VfDif_SA2_SA_NonInd_P,VfDif_SA2_SA_IndSt_nsM,VfDif_SA2_SA_IndSt_nsF,VfDif_SA2_SA_IndSt_nsP,VfDif_SA2_SA_TotM,VfDif_SA2_SA_TotF,VfDif_SA2_SA_TotP,VfDif_SA2_WA_Indig_M,VfDif_SA2_WA_Indig_F,VfDif_SA2_WA_Indig_P,VfDif_SA2_WA_NonInd_M,VfDif_SA2_WA_NonInd_F,VfDif_SA2_WA_NonInd_P,VfDif_SA2_WA_IndSt_nsM,VfDif_SA2_WA_IndSt_nsF,VfDif_SA2_WA_IndSt_nsP,VfDif_SA2_WA_TotM,VfDif_SA2_WA_TotF,VfDif_SA2_WA_TotP,VfDif_SA2_Tas_Indig_M,VfDif_SA2_Tas_Indig_F,VfDif_SA2_Tas_Indig_P,VfDif_SA2_Tas_NonInd_M,VfDif_SA2_Tas_NonInd_F,VfDif_SA2_Tas_NonInd_P,VfDif_SA2_Tas_IndSt_nsM,VfDif_SA2_Tas_IndSt_nsF,VfDif_SA2_Tas_IndSt_nsP,VfDif_SA2_Tas_TotM,VfDif_SA2_Tas_TotF,VfDif_SA2_Tas_TotP,VfDif_SA2_NT_Indig_M,VfDif_SA2_NT_Indig_F,VfDif_SA2_NT_Indig_P,VfDif_SA2_NT_NonInd_M,VfDif_SA2_NT_NonInd_F,VfDif_SA2_NT_NonInd_P,VfDif_SA2_NT_IndSt_nsM,VfDif_SA2_NT_IndSt_nsF,VfDif_SA2_NT_IndSt_nsP,VfDif_SA2_NT_TotM,VfDif_SA2_NT_TotF,VfDif_SA2_NT_TotP,VfDif_SA2_ACT_Indig_M,VfDif_SA2_ACT_Indig_F,VfDif_SA2_ACT_Indig_P,VfDif_SA2_ACT_NonInd_M,VfDif_SA2_ACT_NonInd_F,VfDif_SA2_ACT_NonInd_P,VfDif_SA2_ACT_IndSt_nsM,VfDif_SA2_ACT_IndSt_nsF
LGA50080,811,667,1476,17231,18189,35424,992,874,1865,19033,19732,38763,71,75,139,878,842,1724,30,32,65,982,949,1932,143,146,292,2237,2122,4360,106,103,207,2489,2374,4864,158,107,262,1926,1764,3693,97,83,178,2175,1955,4134,267,138,401,3677,3859,7536,261,178,437,4205,4174,8379,143,152,291,4487,5112,9602,280,238,519,4913,5503,10415,30,55,86,4020,4485,8504,221,234,459,4266,4775,9047,755,633,1387,15922,17069,32988,696,705,1395,17374,18399,35772,0,0,0,50,56,108,0,3,6,53,55,111,0,0,0,16,24,43,0,0,3,21,19,45,0,0,0,21,12,36,4,0,7,25,14,33,0,0,0,15,20,34,0,0,0,16,20,30,0,0,0,5,8,14,3,0,3,3,8,12,41,40,82,853,798,1650,178,105,284,1074,949,2024,0,0,0,5,6,13,0,0,0,9,6,9,0,0,0,3,4,5,0,0,0,3,3,3,0,0,0,0,0,0,0,0
LGA50210,1366,1417,2785,42882,44187,87071,2352,1973,4327,46604,47583,94184,193,171,367,3521,3342,6866,134,138,271,3850,3656,7505,333,376,707,6812,6430,13247,332,300,630,7481,7107,14584,238,247,486,4880,4859,9736,275,254,528,5390,5363,10747,363,351,718,13248,14256,27503,807,637,1443,14416,15243,29661,183,202,389,9353,9619,18970,609,399,1013,10150,10226,20372,46,65,112,5067,5687,10752,203,240,439,5315,5989,11309,1266,1348,2610,41244,43055,84303,1708,1725,3433,44221,46123,90345,3,6,8,47,55,103,7,7,18,65,71,130,0,0,0,14,11,29,0,0,0,13,14,30,0,0,0,10,11,23,0,0,0,10,11,23,0,0,0,7,10,16,0,0,0,7,14,22,0,0,0,3,7,15,0,0,0,3,7,15,63,53,115,682,685,1370,80,86,174,832,827,1656,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,3,4,0,0
LGA50250,411,364,772,3015,2253,5266,869,481,1352,4297,3096,7391,51,32,85,236,262,491,47,33,79,330,319,651,73,81,150,417,356,777,74,71,147,569,506,1073,51,56,105,223,175,394,83,52,135,357,275,637,139,102,243,1227,947,2175,385,206,595,1754,1255,3005,85,66,153,805,456,1257,250,106,360,1142,628,1768,11,25,35,104,74,178,23,14,40,143,114,255,383,333,713,2804,2082,4883,819,438,1257,4005,2855,6859,0,4,4,7,4,11,0,0,0,8,6,10,10,0,10,147,83,229,53,16,71,204,103,307,0,0,0,123,86,205,34,18,51,160,96,255,4,9,12,194,50,246,94,4,101,293,64,355,0,0,4,92,43,139,41,8,49,130,51,187,146,79,223,3456,1189,4645,1980,522,2501,5584,1784,7372,0,0,0,29,9,37,16,0,14,44,14,53,3,0,7,17,8,19,5,0,5,26,8,27,0,0,0,3,0,3,0,0
LGA50280,113,114,231,7541,7674,15213,732,613,1347,8388,8400,16791,16,8,26,469,422,884,42,38,77,523,462,985,21,31,46,1121,1054,2172,106,109,222,1243,1194,2439,23,19,42,628,508,1137,55,46,95,703,574,1275,21,39,62,1847,2122,3963,210,162,378,2078,2326,4403,23,13,36,2119,2177,4299,228,172,399,2366,2365,4733,6,3,14,1365,1390,2755,97,88,185,1473,1481,2954,99,103,208,6706,7016,13725,518,516,1036,7329,7641,14963,0,0,0,29,30,62,0,0,0,29,31,62,0,3,3,16,9,20,0,0,0,16,8,24,0,0,0,13,18,27,0,0,0,13,18,27,0,0,0,15,10,27,8,9,16,23,22,43,0,0,0,11,8,17,4,3,7,15,9,25,8,11,16,502,539,1045,82,92,177,599,638,1241,0,0,0,3,4,11,0,0,0,5,10,12,0,0,0,6,3,3,0,0,0,6,9,13,0,0,0,3,0,6,0,0
LGA50350,205,196,399,7151,7586,14740,443,350,796,7797,8135,15932,29,20,48,479,434,911,25,19,46,532,476,1002,53,33,86,848,786,1633,47,33,80,939,857,1799,47,34,85,757,696,1445,42,22,69,847,755,1601,41,53,89,2060,2222,4284,155,95,248,2260,2368,4628,30,36,71,1866,1992,3855,104,104,213,2002,2135,4133,5,15,21,1139,1459,2604,72,72,144,1216,1555,2771,194,182,380,6832,7347,14186,319,298,616,7349,7833,15180,0,0,0,17,10,26,0,0,0,17,13,29,0,0,0,3,5,11,0,0,0,3,5,11,0,0,0,0,0,3,0,0,0,4,0,5,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,3,8,134,140,273,17,0,15,149,145,293,0,0,0,0,0,3,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50420,535,545,1075,32324,33122,65445,1534,1231,2765,34387,34900,69283,62,55,117,1963,1873,3831,57,48,103,2077,1975,4052,112,84,199,3411,3124,6533,135,107,242,3657,3313,6976,110,113,221,3498,3342,6843,149,121,271,3752,3580,7332,143,151,298,10449,10574,21024,558,442,999,11154,11165,22322,84,108,188,7743,7985,15725,390,231,621,8216,8323,16543,20,39,59,5252,6229,11483,250,281,527,5528,6545,12064,496,515,1012,31039,32087,63126,1077,997,2071,32611,33595,66209,0,0,0,39,48,82,0,0,0,39,48,88,4,0,4,16,18,32,4,0,4,22,14,37,0,0,0,20,20,41,0,0,4,21,21,45,0,0,0,5,3,8,0,0,0,8,3,15,0,0,0,5,5,6,0,0,0,4,5,11,49,33,82,652,597,1251,53,44,91,747,679,1425,0,0,0,5,0,9,0,0,0,6,0,7,0,0,5,7,5,12,0,0,0,7,4,14,0,0,0,6,0,0,0,0
LGA50490,547,582,1129,19473,19139,38609,1391,1126,2517,21413,20846,42257,58,47,102,1146,1126,2268,51,67,120,1251,1235,2487,99,102,195,1938,1862,3798,124,110,237,2162,2072,4239,121,104,219,2226,2134,4359,161,139,295,2506,2371,4879,148,167,308,7100,6721,13820,558,446,1002,7801,7332,15132,107,116,226,4505,4188,8691,365,230,599,4979,4537,9516,25,48,74,2558,3111,5674,128,130,263,2716,3293,6010,498,542,1040,18573,18500,37073,1014,941,1954,20086,19984,40070,3,4,5,32,24,56,0,0,0,40,23,66,4,0,4,26,19,45,14,3,18,49,17,64,0,0,0,50,11,60,14,0,10,56,13,77,3,0,7,63,11,77,32,0,33,101,13,117,0,0,0,47,11,54,28,7,27,76,10,85,43,52,100,525,435,962,115,76,194,686,567,1252,0,0,0,16,13,30,7,6,14,26,19,44,0,0,0,8,5,14,0,0,3,16,4,15,0,0,0,0,0,0,0,0
LGA50560,27,25,48,724,717,1441,108,100,204,858,834,1694,5,0,5,31,27,66,7,0,5,39,34,73,3,3,4,45,61,104,10,14,25,59,75,132,0,6,6,47,40,95,13,8,24,57,59,117,7,4,9,118,125,238,24,16,36,145,139,284,7,8,14,212,223,434,30,36,66,248,263,514,4,4,8,269,235,505,30,23,50,310,266,571,21,26,43,652,660,1313,91,92,181,768,772,1542,0,0,0,4,4,9,0,0,0,4,4,8,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,22,20,43,3,7,10,32,25,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50630,31,31,60,769,723,1491,83,73,153,885,822,1705,4,3,9,62,42,106,4,3,5,70,55,121,9,3,9,114,104,228,10,10,22,137,119,256,3,4,6,47,58,103,6,8,14,57,68,126,9,13,22,160,172,336,23,20,37,189,203,399,7,11,14,234,209,447,31,18,50,275,236,511,0,0,0,149,128,279,14,11,25,157,143,300,30,28,58,707,683,1396,67,64,132,806,783,1582,0,0,0,4,0,3,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,16,5,23,321,58,381,3,0,5,342,68,410,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50770,14,15,29,794,797,1591,104,103,210,917,914,1834,6,0,8,47,51,91,4,6,10,56,56,110,0,5,5,110,98,210,20,14,37,133,122,250,0,3,0,62,67,135,4,6,10,67,75,145,0,9,10,129,164,297,21,25,46,154,194,347,7,6,10,244,225,472,35,24,62,287,257,541,0,0,3,203,184,384,24,29,46,228,212,434,14,15,33,732,745,1468,100,95,189,836,852,1691,0,0,0,6,5,5,0,0,0,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,40,34,79,0,3,3,43,37,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
