LGA_CODE_2021,Indigenous_Aboriginal_M,Indigenous_Aboriginal_F,Indigenous_Aboriginal_P,Indigenous_Torres_Strait_Is_M,Indigenous_Torres_Strait_Is_F,Indigenous_Torres_Strait_Is_P,Indig_Bth_Abor_Torr_Strt_Is_M,Indig_Bth_Abor_Torr_Strt_Is_F,Indig_Bth_Abor_Torr_Strt_Is_P,Indigenous_TotM,Indigenous_TotF,Indigenous_TotP,Non_Indig_M,Non_Indig_F,Non_Indig_P,Indigenous_status_nsM,Indigenous_status_nsF,Indigenous_status_nsP,Tot_M,Tot_F,Tot_P
LGA50080,786,654,1433,9,13,21,16,7,18,811,667,1476,17231,18189,35424,992,874,1865,19033,19732,38763
LGA50210,1314,1372,2682,21,21,43,27,32,64,1366,1417,2785,42882,44187,87071,2352,1973,4327,46604,47583,94184
LGA50250,386,331,716,19,16,33,10,13,24,411,364,772,3015,2253,5266,869,481,1352,4297,3096,7391
LGA50280,105,110,215,4,6,13,0,0,0,113,114,231,7541,7674,15213,732,613,1347,8388,8400,16791
LGA50350,199,183,383,0,4,12,0,9,7,205,196,399,7151,7586,14740,443,350,796,7797,8135,15932
LGA50420,482,511,993,23,17,30,25,23,53,535,545,1075,32324,33122,65445,1534,1231,2765,34387,34900,69283
LGA50490,519,562,1080,18,15,35,11,10,19,547,582,1129,19473,19139,38609,1391,1126,2517,21413,20846,42257
LGA50560,22,20,50,0,0,3,0,0,0,27,25,48,724,717,1441,108,100,204,858,834,1694
LGA50630,31,31,57,3,0,3,0,0,0,31,31,60,769,723,1491,83,73,153,885,822,1705
LGA50770,15,17,26,0,0,3,0,0,0,14,15,29,794,797,1591,104,103,210,917,914,1834
LGA50840,46,40,81,0,0,0,0,0,0,46,39,85,2333,2436,4766,213,172,383,2587,2649,5238
LGA50910,43,47,83,0,0,0,0,0,0,43,51,89,385,362,747,51,48,91,474,455,929
LGA50980,2254,2343,4599,19,26,43,94,103,203,2369,2480,4847,4850,5179,10032,1034,1044,2078,8255,8706,16959
LGA51080,60,79,136,0,0,0,0,0,0,60,79,136,414,390,807,47,55,104,526,525,1046
LGA51120,17,22,38,0,0,0,0,0,0,20,22,42,411,386,799,79,65,142,503,476,979
LGA51190,679,679,1354,5,4,17,18,16,31,703,701,1402,14517,15212,29725,974,881,1853,16194,16790,32987
LGA51260,399,372,768,3,5,15,9,3,16,416,383,795,18154,19498,37655,1174,1012,2187,19752,20894,40640
LGA51310,60,54,112,0,5,5,0,0,3,63,57,121,13634,14365,28002,370,386,749,14066,14807,28876
