LGA_CODE_2021,M_15_19_Pvded_upaid_assist,M_15_19_No_upaid_assist_Pvded,M_15_19_upaid_assist_ns,M_15_19_Tot,M_20_24_Pvded_upaid_assist,M_20_24_No_upaid_assist_Pvded,M_20_24_upaid_assist_ns,M_20_24_Tot,M_25_34_Pvded_upaid_assist,M_25_34_No_upaid_assist_Pvded,M_25_34_upaid_assist_ns,M_25_34_Tot,M_35_44_Pvded_upaid_assist,M_35_44_No_upaid_assist_Pvded,M_35_44_upaid_assist_ns,M_35_44_Tot,M_45_54_Pvded_upaid_assist,M_45_54_No_upaid_assist_Pvded,M_45_54_upaid_assist_ns,M_45_54_Tot,M_55_64_Pvded_upaid_assist,M_55_64_No_upaid_assist_Pvded,M_55_64_upaid_assist_ns,M_55_64_Tot,M_65over_Pvded_upaid_assist,M_65ove_No_upaid_assist_Pvde,M_65over_upaid_assist_ns,M_65_and_over_Tot,M_TotPvded_upaid_assist,M_Tot_No_upaid_assist_Pvded,M_Tot_upaid_assist_ns,M_Tot_Tot,F_15_19_Pvded_upaid_assist,F_15_19_No_upaid_assist_Pvded,F_15_19_upaid_assist_ns,F_15_19_Tot,F_20_24_Pvded_upaid_assist,F_20_24_No_upaid_assist_Pvded,F_20_24_upaid_assist_ns,F_20_24_Tot,F_25_34_Pvded_upaid_assist,F_25_34_No_upaid_assist_Pvded,F_25_34_upaid_assist_ns,F_25_34_Tot,F_35_44_Pvded_upaid_assist,F_35_44_No_upaid_assist_Pvded,F_35_44_upaid_assist_ns,F_35_44_Tot,F_45_54_Pvded_upaid_assist,F_45_54_No_upaid_assist_Pvded,F_45_54_upaid_assist_ns,F_45_54_Tot,F_55_64_Pvded_upaid_assist,F_55_64_No_upaid_assist_Pvded,F_55_64_upaid_assist_ns,F_55_64_Tot,F_65over_Pvded_upaid_assist,F_65ove_No_upaid_assist_Pvd,F_65over_upaid_assist_ns,F_65_and_over_Tot,F_TotPvded_upaid_assist,F_Tot_No_upaid_assist_Pvded,F_Tot_upaid_assist_ns,F_Tot_Tot,P_15_19_Pvded_upaid_assist,P_15_19_No_upaid_assist_Pvded,P_15_19_upaid_assist_ns,P_15_19_Tot,P_20_24_Pvded_upaid_assist,P_20_24_No_upaid_assist_Pvded,P_20_24_upaid_assist_ns,P_20_24_Tot,P_25_34_Pvded_upaid_assist,P_25_34_No_upaid_assist_Pvded,P_25_34_upaid_assist_ns,P_25_34_Tot,P_35_44_Pvded_upaid_assist,P_35_44_No_upaid_assist_Pvded,P_35_44_upaid_assist_ns,P_35_44_Tot,P_45_54_Pvded_upaid_assist,P_45_54_No_upaid_assist_Pvded,P_45_54_upaid_assist_ns,P_45_54_Tot,P_55_64_Pvded_upaid_assist,P_55_64_No_upaid_assist_Pvded,P_55_64_upaid_assist_ns,P_55_64_Tot,P_65over_Pvded_upaid_assist,P_65ove_No_upaid_assist_Pvd,P_65over_upaid_assist_ns,P_65_and_over_Tot,P_TotPvded_upaid_assist,P_Tot_No_upaid_assist_Pvded,P_Tot_upaid_assist_ns,P_Tot_Tot
LGA50080,0,76,7,80,8,53,12,73,13,79,68,158,3,49,49,106,11,48,16,75,6,52,12,68,3,23,3,30,48,374,161,594,0,59,5,67,0,32,0,44,10,57,4,73,13,44,3,63,16,59,10,91,14,43,3,61,9,40,3,55,79,334,36,451,6,132,11,150,7,82,19,114,19,139,75,231,22,98,51,166,31,110,25,163,25,92,11,129,13,64,8,86,130,719,200,1038
LGA50210,7,111,14,128,0,101,6,112,21,194,12,233,16,112,3,132,12,89,6,106,13,67,3,80,6,40,3,46,79,708,50,831,6,113,4,120,13,108,7,125,33,176,8,216,28,105,7,135,20,81,8,109,18,68,10,93,8,63,4,65,122,707,41,868,16,221,21,254,15,207,10,236,54,377,15,446,39,219,13,267,38,167,14,217,29,135,11,174,8,100,3,112,203,1416,85,1708
LGA50250,0,19,0,22,6,23,0,32,3,57,3,63,9,57,6,71,8,38,5,48,8,28,3,39,3,14,0,11,38,232,16,288,0,23,0,29,0,28,0,31,8,45,0,56,6,39,3,47,12,24,0,41,3,19,0,26,3,18,0,25,43,195,14,253,3,40,0,49,5,49,3,61,11,100,3,119,16,97,12,123,24,61,11,94,13,47,5,63,3,29,0,35,84,423,31,540
LGA50280,0,9,3,12,0,9,0,9,0,7,0,11,3,11,0,17,0,9,0,12,0,6,0,12,0,6,0,6,4,72,3,78,0,5,3,11,0,10,0,10,6,14,0,17,7,16,0,24,6,9,0,8,0,5,0,3,0,0,0,3,15,62,5,75,0,19,5,27,0,17,0,17,6,22,0,23,9,35,0,38,4,13,3,24,4,14,0,13,0,9,0,14,19,130,6,158
LGA50350,3,19,0,27,3,22,0,20,0,24,3,29,0,16,0,16,0,14,0,19,0,13,0,13,6,0,0,5,10,106,4,125,0,11,0,16,4,17,0,23,0,27,5,29,5,13,3,21,7,23,0,25,0,11,0,9,0,15,0,15,13,113,7,142,10,31,3,40,4,31,6,42,0,48,7,55,5,31,3,32,5,32,0,40,0,20,0,24,6,18,0,21,30,224,11,263
LGA50420,7,43,0,52,7,50,0,61,3,82,0,85,8,53,5,60,4,32,3,43,9,35,4,44,3,16,0,20,34,311,16,362,4,53,0,59,4,47,5,58,18,72,0,93,12,43,3,57,12,46,3,59,4,37,5,50,6,30,0,39,63,333,17,404,8,100,0,109,13,99,3,114,26,152,0,183,15,94,6,117,16,84,5,102,10,69,5,86,8,46,4,59,99,643,27,763
LGA50490,6,55,4,62,7,48,4,56,8,71,3,86,4,56,0,60,4,58,0,64,4,32,0,38,0,20,0,25,31,347,14,390,0,46,0,51,5,45,0,51,22,84,0,102,10,53,0,63,7,44,6,62,16,46,0,61,3,42,6,48,69,360,14,437,3,104,7,111,12,92,4,111,24,157,5,190,15,106,0,119,8,100,8,121,19,81,4,100,8,61,5,74,98,703,31,832
LGA50560,0,0,0,0,0,0,0,0,5,0,0,5,4,0,0,5,0,3,0,3,0,0,0,5,0,4,0,4,4,14,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,0,0,0,6,3,0,3,4,6,8,3,19,0,0,0,0,0,0,0,0,4,0,0,4,4,5,0,6,4,6,0,6,4,8,0,8,3,4,5,8,8,25,0,37
LGA50630,0,4,0,4,0,3,0,3,0,3,0,3,0,0,0,0,0,3,0,3,0,6,0,4,0,0,0,0,0,25,0,24,0,0,0,0,0,6,0,6,0,12,0,10,0,4,0,4,0,3,0,3,0,5,0,5,0,0,0,0,4,25,0,24,0,3,0,3,0,4,0,4,0,16,0,18,0,10,0,10,0,6,0,6,0,5,0,8,0,0,0,0,7,45,0,46
LGA50770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,9,0,11,0,3,0,3,0,0,0,0,0,0,0,3,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,14,0,3,0,3,0,0,0,0,0,0,0,3,0,5,0,8,0,6,0,6,0,3,0,7,0,3,0,3,5,20,0,22
