SA2_CODE_2021,Co_LTHC_1ms_LTHC_twoc_In_ns_P,Co_LTHC_1ms_LTHC_twoc_Tot_M,Co_LTHC_1ms_LTHC_twoc_Tot_F,Co_LTHC_1ms_LTHC_twoc_Tot_P,Co_LTHC_1ms_LTHC_3oMc_Ind_M,Co_LTHC_1ms_LTHC_3oMc_Ind_F,Co_LTHC_1ms_LTHC_3oMc_Ind_P,Co_LTHC_1ms_LTHC_3oMc_NoInd_M,Co_LTHC_1ms_LTHC_3oMc_NoInd_F,Co_LTHC_1ms_LTHC_3oMc_NoInd_P,Co_LTHC_1ms_LTHC_3oMc_In_ns_M,Co_LTHC_1ms_LTHC_3oMc_In_ns_F,Co_LTHC_1ms_LTHC_3oMc_In_ns_P,Co_LTHC_1ms_LTHC_3oMc_Tot_M,Co_LTHC_1ms_LTHC_3oMc_Tot_F,Co_LTHC_1ms_LTHC_3oMc_Tot_P,Co_LTHC_1ms_LTHC_Tot_Ind_M,Co_LTHC_1ms_LTHC_Tot_Ind_F,Co_LTHC_1ms_LTHC_Tot_Ind_P,Co_LTHC_1ms_LTHC_Tot_NoInd_M,Co_LTHC_1ms_LTHC_Tot_NoInd_F,Co_LTHC_1ms_LTHC_Tot_NoInd_P,Co_LTHC_1ms_LTHC_Tot_In_ns_M,Co_LTHC_1ms_LTHC_Tot_In_ns_F,Co_LTHC_1ms_LTHC_Tot_In_ns_P,Co_LTHC_1ms_LTHC_Tot_Tot_M,Co_LTHC_1ms_LTHC_Tot_Tot_F,Co_LTHC_1ms_LTHC_Tot_Tot_P,Co_LTHC_Ns_Ind_M,Co_LTHC_Ns_Ind_F,Co_LTHC_Ns_Ind_P,Co_LTHC_Ns_NoInd_M,Co_LTHC_Ns_NoInd_F,Co_LTHC_Ns_NoInd_P,Co_LTHC_Ns_In_ns_M,Co_LTHC_Ns_In_ns_F,Co_LTHC_Ns_In_ns_P,Co_LTHC_Ns_Tot_M,Co_LTHC_Ns_Tot_F,Co_LTHC_Ns_Tot_P,Tot_p_Ind_M,Tot_p_Ind_F,Tot_p_Ind_P,Tot_p_NoInd_M,Tot_p_NoInd_F,Tot_p_NoInd_P,Tot_p_In_Tot_p_M,Tot_p_In_Tot_p_F,Tot_p_In_Tot_p_P,Tot_p_Tot_M,Tot_p_Tot_F,Tot_p_Tot_P
501011001,6,153,198,347,0,0,4,70,86,154,0,0,5,75,90,166,13,6,22,778,889,1667,13,17,27,800,911,1709,4,5,3,130,92,218,280,248,532,414,346,758,42,37,75,2934,2982,5917,312,290,603,3291,3307,6595
501011003,3,269,294,557,0,0,0,82,102,189,0,0,0,85,107,192,15,10,22,1300,1475,2777,8,7,17,1320,1501,2816,0,0,4,178,185,366,417,356,767,594,545,1137,59,38,97,5433,5528,10964,452,387,837,5942,5958,11900
501011004,0,175,243,418,0,0,3,58,91,141,0,0,4,57,96,149,14,20,32,966,1146,2112,5,13,13,985,1174,2157,4,7,14,160,168,331,398,296,690,563,464,1035,72,78,156,4601,4693,9290,420,323,744,5094,5099,10193
501011293,0,293,342,633,0,7,11,132,172,307,0,0,0,137,178,317,36,38,71,1335,1577,2915,15,7,20,1382,1620,3000,11,6,15,165,156,320,245,195,438,416,365,775,137,108,247,4167,4466,8634,263,220,476,4564,4794,9359
501011294,12,585,826,1410,11,8,19,313,391,702,4,4,11,329,404,738,51,66,115,2677,3353,6029,22,28,53,2755,3443,6196,24,25,45,358,404,763,412,350,758,795,776,1568,229,226,451,8505,9464,17971,457,411,861,9192,10095,19292
501021005,7,468,629,1099,0,6,10,211,257,462,0,4,7,209,265,478,66,69,134,2386,2849,5242,6,15,25,2463,2938,5401,17,17,27,376,369,749,439,297,739,837,679,1516,270,268,541,8792,9122,17916,465,339,801,9521,9730,19256
501021007,5,163,219,385,3,5,3,75,111,182,0,0,0,79,110,192,14,25,39,741,880,1618,5,4,7,755,908,1668,5,8,11,118,108,226,167,145,313,286,259,542,69,64,134,2415,2575,4991,181,151,335,2658,2800,5457
501021008,4,220,325,542,3,16,19,109,212,321,0,4,4,114,232,341,58,75,136,917,1249,2163,7,10,18,980,1340,2318,120,17,139,514,129,646,217,231,446,856,377,1231,286,184,469,3030,2992,6019,240,247,483,3552,3422,6976
501021009,0,281,387,666,5,7,11,177,201,379,0,0,4,186,205,395,50,52,109,1310,1527,2837,9,6,12,1370,1592,2956,8,18,25,211,171,392,303,257,565,521,452,976,200,178,374,3936,3881,7823,324,287,615,4468,4347,8812
501021010,0,97,93,184,0,0,0,53,37,94,0,4,4,53,42,91,10,0,11,452,448,896,5,4,4,461,454,913,0,0,0,53,61,112,102,76,182,154,143,294,17,10,30,1560,1495,3055,111,94,204,1694,1594,3286
