SA3_CODE_2021,Negative_Nil_income_M,Negative_Nil_income_F,Negative_Nil_income_P,1_149_M,1_149_F,1_149_P,150_299_M,150_299_F,150_299_P,300_399_M,300_399_F,300_399_P,400_499_M,400_499_F,400_499_P,500_649_M,500_649_F,500_649_P,650_799_M,650_799_F,650_799_P,800_999_M,800_999_F,800_999_P,1000_1249_M,1000_1249_F,1000_1249_P,1250_1499_M,1250_1499_F,1250_1499_P,1500_1749_M,1500_1749_F,1500_1749_P,1750_1999_M,1750_1999_F,1750_1999_P,2000_or_more_M,2000_or_more_F,2000_or_more_P,Personal_income_nsM,Personal_income_nsF,Personal_income_nsP,Tot_M,Tot_F,Tot_P
50101,37,30,70,13,19,34,30,35,63,28,27,56,17,30,51,21,43,65,18,20,37,21,32,60,39,21,58,14,10,25,9,6,17,10,7,21,41,9,54,14,6,25,320,319,643
50102,134,161,300,39,56,97,105,121,222,92,135,224,74,149,222,71,142,211,64,97,160,67,106,170,91,78,165,63,50,113,50,41,90,55,26,83,126,47,175,149,53,199,1177,1254,2434
50103,21,21,44,7,14,19,8,15,27,22,22,44,21,22,45,23,28,54,17,16,36,13,16,28,16,15,35,10,7,15,5,7,16,3,0,7,25,3,32,6,3,14,210,205,414
50201,148,155,297,28,45,77,82,94,176,93,105,198,57,106,158,67,122,179,40,74,112,43,57,101,67,66,125,40,38,78,41,24,70,42,25,67,149,54,200,36,40,74,924,995,1925
50301,31,37,68,21,24,43,15,13,26,8,19,32,9,20,32,16,9,24,4,4,7,4,5,15,3,13,19,3,7,13,5,4,9,5,6,14,22,14,42,7,5,9,166,181,352
50302,29,30,63,15,11,26,25,13,44,22,46,70,9,29,39,21,34,54,16,27,44,25,23,43,29,29,56,20,29,53,26,28,55,19,17,32,105,60,164,13,13,27,374,391,768
50401,58,74,126,13,20,35,45,55,102,32,52,84,20,54,77,40,52,95,21,53,71,35,36,65,44,38,76,28,23,56,26,21,45,24,16,38,78,28,100,20,21,39,484,546,1026
50402,56,56,117,17,13,32,36,37,73,34,32,65,35,32,63,7,31,40,14,31,49,22,24,44,30,32,61,22,18,39,32,24,53,24,19,36,52,30,75,616,21,631,989,395,1385
50403,198,210,406,37,70,107,99,137,239,125,133,256,62,120,187,57,153,212,72,116,183,74,103,177,131,127,256,110,93,203,90,73,160,82,61,140,231,86,316,59,186,249,1427,1674,3103
50501,56,56,112,16,19,34,24,33,64,26,35,58,22,38,63,22,30,54,24,21,49,19,29,54,41,44,81,38,29,70,32,20,46,32,20,49,96,47,138,13,10,22,462,428,892
50502,95,76,171,36,28,59,61,84,145,75,98,169,69,114,180,55,82,139,29,73,102,43,74,114,53,70,123,46,63,107,42,62,102,27,33,61,147,76,228,34,37,70,812,959,1775
50503,165,182,346,47,62,112,105,92,195,91,137,229,60,140,198,65,145,210,51,116,164,71,89,159,81,91,173,66,63,123,65,61,122,50,25,75,161,62,217,30,35,66,1110,1289,2400
50601,109,112,217,27,37,65,89,95,179,71,88,158,45,80,121,62,95,155,41,68,107,46,57,98,75,59,132,38,52,95,39,38,80,43,21,67,104,48,150,46,33,79,831,868,1708
50602,75,61,138,17,20,37,56,67,121,57,73,133,35,53,92,54,53,106,32,43,71,34,44,80,39,50,86,29,41,74,34,36,67,24,27,46,103,59,161,36,32,64,625,657,1281
50603,61,68,131,15,21,35,53,29,86,53,64,112,25,55,80,17,44,62,18,32,51,31,26,57,31,35,63,14,19,31,17,16,40,21,10,30,53,28,81,18,32,54,425,483,904
50604,105,129,231,36,48,83,93,98,193,100,121,219,55,114,170,63,123,181,42,73,113,79,51,128,74,86,157,49,53,107,50,49,99,35,21,56,89,37,116,381,135,515,1236,1144,2375
50605,60,84,143,16,17,30,28,30,64,24,47,70,24,30,57,16,34,54,18,27,46,24,37,64,41,41,78,27,27,55,25,30,53,22,12,32,67,30,97,15,12,25,405,456,862
50606,20,40,54,10,17,29,11,12,20,7,15,27,10,13,19,9,19,27,17,17,34,11,23,33,19,29,46,15,26,40,23,17,41,9,10,20,38,19,59,63,3,69,263,262,523
50607,46,27,78,12,13,20,20,23,44,16,20,31,10,19,27,16,17,33,6,9,20,11,17,24,4,7,16,8,9,21,5,12,24,8,0,10,46,22,59,21,22,40,226,224,457
50701,91,81,174,38,34,72,66,57,127,61,70,127,33,72,105,26,64,93,27,65,88,47,64,104,47,67,108,42,52,90,35,27,63,31,27,56,114,52,169,24,30,56,670,771,1436
50702,18,23,45,12,16,28,30,26,55,22,25,50,18,16,32,13,22,34,9,9,19,16,13,27,14,16,27,10,12,23,3,13,19,7,6,5,35,18,56,7,15,21,208,235,444
50703,68,66,141,17,30,41,35,52,88,48,60,106,30,39,68,24,45,69,14,38,55,26,38,70,31,44,71,29,33,59,34,20,56,21,7,33,48,9,62,511,15,528,946,505,1451
