SA3_CODE_2021,Neg_nil_inc_Hh_with_Ind_psns,Neg_nil_inc_Other_households,Neg_nil_inc_Tot_hhlds,1_149_Hhd_with_Indig_psns,1_149_Other_households,1_149_Tot_hhlds,150_299_Hhd_with_Indig_psns,150_299_Other_households,150_299_Tot_hhlds,300_399_Hhd_with_Indig_psns,300_399_Other_households,300_399_Tot_hhlds,400_499_Hhd_with_Indig_psns,400_499_Other_households,400_499_Tot_hhlds,500_649_Hhd_with_Indig_psns,500_649_Other_households,500_649_Tot_hhlds,650_799_Hhd_with_Indig_psns,650_799_Other_households,650_799_Tot_hhlds,800_999_Hh_with_Indig_psn,800_999_Other_households,800_999_Tot_hhlds,1000_1249_Hh_with_Indig_psn,1000_1249_Other_households,1000_1249_Tot_hhlds,1250_1499_Hh_with_Indig_psn,1250_1499_Other_households,1250_1499_Tot_hhlds,1500_1749_Hh_with_Indig_psn,1500_1749_Other_households,1500_1749_Tot_hhlds,1750_1999_Hh_with_Indig_psn,1750_1999_Other_households,1750_1999_Tot_hhlds,2000_more_Hh_with_Indig_psn,2000_more_Other_households,2000_more_Tot_hhlds,Part_inc_st_Hh_with_Indig_psn,Partial_inc_stated_Other_hhds,Partial_inc_stated_Tot_hhlds,All_inc_ns_Hh_with_Ind_psns,All_income_ns_Other_household,All_inc_NS_Tot_hhlds,Tot_Household_with_Indig_psns,Tot_Other_households,Tot_Tot_hhlds
50101,6,289,295,10,150,162,29,418,444,26,791,810,36,1968,2006,50,1910,1958,43,1820,1864,48,2097,2146,48,2321,2369,34,1768,1803,32,1309,1331,25,1056,1076,32,2105,2138,52,2020,2073,14,356,369,485,20378,20844
50102,20,565,585,12,256,266,83,859,941,109,1673,1783,136,4253,4393,158,3287,3444,145,2870,3017,153,3676,3830,185,4202,4389,97,3304,3400,91,2776,2863,69,2178,2245,121,4567,4691,161,3264,3430,27,674,703,1567,38404,39980
50103,6,159,164,3,123,127,10,243,258,19,437,457,36,1142,1181,42,968,1011,36,737,766,35,933,966,40,882,918,22,661,686,18,498,515,4,364,368,21,753,772,33,718,747,0,205,208,325,8823,9144
50201,24,788,817,13,322,338,78,995,1069,104,2008,2109,150,5314,5466,161,4446,4611,124,3242,3373,121,3575,3693,116,3689,3809,84,2675,2759,72,2369,2438,62,1907,1963,116,4399,4517,164,3726,3892,35,853,884,1424,40308,41738
50301,4,449,458,3,231,232,6,397,401,3,629,640,6,1130,1140,7,1259,1271,7,1145,1152,12,1526,1534,19,1825,1843,10,1585,1598,14,1573,1581,10,1669,1681,46,9890,9940,8,1701,1712,3,267,273,158,25276,25456
50302,16,882,895,6,292,299,22,769,791,27,1415,1444,20,2405,2427,41,2549,2597,38,2300,2334,35,3132,3163,54,4237,4284,49,3841,3892,42,3699,3744,34,3658,3695,151,14619,14767,34,2471,2502,11,455,466,580,46724,47300
50401,13,590,601,15,242,256,52,675,731,41,1295,1337,56,3066,3128,60,2607,2671,55,2210,2262,56,2911,2972,76,3496,3571,38,2940,2974,51,2596,2644,35,2410,2441,95,5826,5920,55,2047,2103,14,452,465,712,33363,34076
50402,7,205,211,11,88,96,22,310,329,29,501,523,40,1331,1378,44,1123,1163,31,1027,1062,36,1339,1375,57,1557,1613,38,1295,1329,49,1130,1171,28,972,995,51,2272,2320,72,1400,1474,15,248,259,530,14798,15298
50403,41,712,752,15,332,344,116,948,1068,131,1597,1726,144,3599,3737,158,3687,3844,162,3666,3829,184,5000,5184,217,6355,6577,161,5042,5206,101,3984,4088,108,3187,3292,228,5869,6096,199,4221,4423,47,662,709,2012,48861,50875
50501,7,771,780,6,382,389,30,889,914,25,1591,1619,23,3708,3732,50,3905,3952,53,3665,3714,56,4714,4772,87,5996,6082,65,5376,5435,48,4984,5037,62,4460,4527,131,11406,11539,64,4541,4603,11,663,669,718,57051,57764
50502,35,1394,1428,12,646,663,81,1878,1953,85,3036,3121,128,6871,6997,96,5973,6064,95,5344,5439,99,6805,6904,98,8153,8247,86,7039,7125,71,6292,6364,64,5693,5757,203,16180,16375,86,4934,5022,39,1097,1140,1278,81335,82599
50503,33,976,1009,17,423,441,111,1360,1466,117,2332,2448,145,5237,5381,149,5461,5612,139,5104,5244,160,6980,7137,179,8507,8688,146,6941,7086,103,5809,5913,81,4539,4627,144,8361,8503,188,6268,6455,22,985,1014,1734,69283,71024
50601,26,441,472,8,174,181,78,630,708,94,1166,1253,110,2568,2679,112,2593,2709,111,2494,2605,114,3366,3482,105,4035,4141,89,3038,3122,57,2560,2621,44,1929,1973,93,3485,3575,111,2435,2550,25,452,480,1177,31366,32551
50602,21,563,586,7,208,218,64,658,727,52,1134,1192,57,2297,2354,79,2077,2154,52,1819,1872,66,2557,2619,86,3296,3386,56,2761,2820,53,2508,2555,58,2195,2248,120,5662,5784,66,1956,2021,27,371,399,864,30062,30935
50603,12,639,654,4,339,345,45,804,849,56,1279,1335,71,2788,2861,46,2828,2875,49,2565,2612,50,3406,3452,47,4027,4074,35,3237,3271,35,2744,2779,35,2060,2090,60,4501,4557,61,2484,2545,14,397,414,620,34098,34713
