SA4_CODE_2021,Tot_p_Indig_M,Tot_p_Indig_F,Tot_p_Indig_P,Tot_p_NonInd_M,Tot_p_NonInd_F,Tot_p_NonInd_P,Tot_p_IndigStat_nsM,Tot_p_IndigStat_nsF,Tot_p_IndigStat_nsP,Tot_p_TotM,Tot_p_TotF,Tot_p_TotP,A_0_4_Indig_M,A_0_4_Indig_F,A_0_4_Indig_P,A_0_4_NonInd_M,A_0_4_NonInd_F,A_0_4_NonInd_P,A_0_4_IndigStat_nsM,A_0_4_IndigStat_nsF,A_0_4_IndigStat_nsP,A_0_4_TotM,A_0_4_TotF,A_0_4_TotP,A_5_14_Indig_M,A_5_14_Indig_F,A_5_14_Indig_P,A_5_14_NonInd_M,A_5_14_NonInd_F,A_5_14_NonInd_P,A_5_14_IndigStat_nsM,A_5_14_IndigStat_nsF,A_5_14_IndigStat_nsP,A_5_14_TotM,A_5_14_TotF,A_5_14_TotP,A_15_24_Indig_M,A_15_24_Indig_F,A_15_24_Indig_P,A_15_24_NonInd_M,A_15_24_NonInd_F,A_15_24_NonInd_P,A_15_24_IndigStat_nsM,A_15_24_IndigStat_nsF,A_15_24_IndigStat_nsP,A_15_24_TotM,A_15_24_TotF,A_15_24_TotP,A_25_44_Indig_M,A_25_44_Indig_F,A_25_44_Indig_P,A_25_44_NonInd_M,A_25_44_NonInd_F,A_25_44_NonInd_P,A_25_44_IndigStat_nsM,A_25_44_IndigStat_nsF,A_25_44_IndigStat_nsP,A_25_44_TotM,A_25_44_TotF,A_25_44_TotP,A_45_64_Indig_M,A_45_64_Indig_F,A_45_64_Indig_P,A_45_64_NonInd_M,A_45_64_NonInd_F,A_45_64_NonInd_P,A_45_64_IndigStat_nsM,A_45_64_IndigStat_nsF,A_45_64_IndigStat_nsP,A_45_64_TotM,A_45_64_TotF,A_45_64_TotP,A_65_over_Indig_M,A_65_over_Indig_F,A_65_over_Indig_P,A_65_ovr_NonInd_M,A_65_ovr_NonInd_F,A_65_ovr_NonInd_P,A_65ove_IndigStat_nsM,A_65ove_IndigStat_nsF,A_65ove_IndigStat_nsP,A_65_ovr_TotM,A_65_ovr_TotF,A_65_ovr_TotP,Cntd_CN_home_Indig_M,Cntd_CN_home_Indig_F,Cntd_CN_home_Indig_P,Cntd_CN_hme_NonInd_M,Cntd_CN_hme_NonInd_F,Cntd_CN_hme_NonInd_P,ctd_CN_hme_Indig_st_nsM,ctd_CN_hme_Indig_st_nsF,ctd_CN_hme_Indig_st_nsP,Cntd_CN_home_TotM,Cntd_CN_home_TotF,Cntd_CN_home_TotP,VfSme_SA2_Indig_M,VfSme_SA2_Indig_F,VfSme_SA2_Indig_P,VfSme_SA2_NonInd_M,VfSme_SA2_NonInd_F,VfSme_SA2_NonInd_P,VfSme_SA2_Indi_stat_nsM,VfSme_SA2_Indi_stat_nsF,VfSme_SA2_Indi_stat_nsP,VfSme_SA2_TotM,VfSme_SA2_TotF,VfSme_SA2_TotP,VfDif_SA2_NSW_Indig_M,VfDif_SA2_NSW_Indig_F,VfDif_SA2_NSW_Indig_P,VfDif_SA2_NSW_NonInd_M,VfDif_SA2_NSW_NonInd_F,VfDif_SA2_NSW_NonInd_P,VfDif_SA2_NSW_IndSt_nsM,VfDif_SA2_NSW_IndSt_nsF,VfDif_SA2_NSW_IndSt_nsP,VfDif_SA2_NSW_TotM,VfDif_SA2_NSW_TotF,VfDif_SA2_NSW_TotP,VfDif_SA2_Vic_Indig_M,VfDif_SA2_Vic_Indig_F,VfDif_SA2_Vic_Indig_P,VfDif_SA2_Vic_NonInd_M,VfDif_SA2_Vic_NonInd_F,VfDif_SA2_Vic_NonInd_P,VfDif_SA2_Vic_Ind_sta_nsM,VfDif_SA2_Vic_Ind_sta_nsF,VfDif_SA2_Vic_Ind_sta_nsP,VfDif_SA2_Vic_TotM,VfDif_SA2_Vic_TotF,VfDif_SA2_Vic_TotP,VfDif_SA2_Qld_Indig_M,VfDif_SA2_Qld_Indig_F,VfDif_SA2_Qld_Indig_P,VfDif_SA2_Qld_NonInd_M,VfDif_SA2_Qld_NonInd_F,VfDif_SA2_Qld_NonInd_P,VfDif_SA2_Qld_IndSt_nsM,VfDif_SA2_Qld_IndSt_nsF,VfDif_SA2_Qld_IndSt_nsP,VfDif_SA2_Qld_TotM,VfDif_SA2_Qld_TotF,VfDif_SA2_Qld_TotP,VfDif_SA2_SA_Indig_M,VfDif_SA2_SA_Indig_F,VfDif_SA2_SA_Indig_P,VfDif_SA2_SA_NonInd_M,VfDif_SA2_SA_NonInd_F,VfDif_SA2_SA_NonInd_P,VfDif_SA2_SA_IndSt_nsM,VfDif_SA2_SA_IndSt_nsF,VfDif_SA2_SA_IndSt_nsP,VfDif_SA2_SA_TotM,VfDif_SA2_SA_TotF,VfDif_SA2_SA_TotP,VfDif_SA2_WA_Indig_M,VfDif_SA2_WA_Indig_F,VfDif_SA2_WA_Indig_P,VfDif_SA2_WA_NonInd_M,VfDif_SA2_WA_NonInd_F,VfDif_SA2_WA_NonInd_P,VfDif_SA2_WA_IndSt_nsM,VfDif_SA2_WA_IndSt_nsF,VfDif_SA2_WA_IndSt_nsP,VfDif_SA2_WA_TotM,VfDif_SA2_WA_TotF,VfDif_SA2_WA_TotP,VfDif_SA2_Tas_Indig_M,VfDif_SA2_Tas_Indig_F,VfDif_SA2_Tas_Indig_P,VfDif_SA2_Tas_NonInd_M,VfDif_SA2_Tas_NonInd_F,VfDif_SA2_Tas_NonInd_P,VfDif_SA2_Tas_IndSt_nsM,VfDif_SA2_Tas_IndSt_nsF,VfDif_SA2_Tas_IndSt_nsP,VfDif_SA2_Tas_TotM,VfDif_SA2_Tas_TotF,VfDif_SA2_Tas_TotP,VfDif_SA2_NT_Indig_M,VfDif_SA2_NT_Indig_F,VfDif_SA2_NT_Indig_P,VfDif_SA2_NT_NonInd_M,VfDif_SA2_NT_NonInd_F,VfDif_SA2_NT_NonInd_P,VfDif_SA2_NT_IndSt_nsM,VfDif_SA2_NT_IndSt_nsF,VfDif_SA2_NT_IndSt_nsP,VfDif_SA2_NT_TotM,VfDif_SA2_NT_TotF,VfDif_SA2_NT_TotP,VfDif_SA2_ACT_Indig_M,VfDif_SA2_ACT_Indig_F,VfDif_SA2_ACT_Indig_P,VfDif_SA2_ACT_NonInd_M,VfDif_SA2_ACT_NonInd_F,VfDif_SA2_ACT_NonInd_P,VfDif_SA2_ACT_IndSt_nsM,VfDif_SA2_ACT_IndSt_nsF
501,2672,2647,5324,84594,87780,172380,5997,5045,11042,93269,95483,188747,320,253,575,4691,4496,9188,240,230,470,5256,4976,10232,649,618,1264,11862,11004,22864,677,647,1321,13184,12274,25456,517,513,1034,8719,8141,16859,521,496,1021,9760,9152,18914,608,618,1221,19075,20889,39966,1607,1203,2810,21295,22706,43997,447,489,934,22743,24602,47344,1827,1315,3147,25019,26407,51425,132,161,295,17506,18657,36159,1117,1152,2268,18757,19972,38723,2493,2488,4976,77876,82562,160442,4058,4172,8232,84426,89224,173645,4,5,8,263,255,517,6,8,13,279,263,539,0,0,0,67,56,125,3,3,7,77,63,134,0,0,0,84,89,172,15,5,19,99,93,189,0,0,0,90,62,158,21,10,38,113,80,194,0,0,0,44,38,75,14,14,24,54,43,97,152,145,297,4067,3571,7632,717,557,1278,4936,4269,9206,0,3,3,32,28,57,4,0,4,34,33,67,0,3,3,13,12,25,5,4,8,18,18,37,0,0,0,6,7,9,0,5
502,1508,1590,3097,47282,51523,98809,3187,2541,5733,51979,55660,107641,186,192,376,2537,2509,5049,145,101,243,2866,2800,5672,397,400,796,5910,5819,11728,295,336,632,6601,6562,13159,293,306,598,5032,5065,10099,317,283,598,5634,5660,11296,336,360,697,9587,11030,20614,901,582,1484,10823,11967,22791,220,243,465,11919,13522,25447,935,630,1569,13077,14399,27481,75,93,166,12293,13581,25878,603,600,1208,12973,14273,27246,1383,1492,2880,43582,48835,92421,1819,1966,3782,46784,52294,99072,3,5,10,135,128,267,7,13,24,146,150,303,0,0,0,27,36,60,0,0,4,31,35,62,0,0,0,40,39,77,3,3,3,44,39,82,0,0,0,12,18,25,4,0,6,16,16,28,0,0,0,11,4,17,0,0,0,12,4,21,53,55,108,1130,1232,2361,115,130,241,1295,1415,2715,0,0,0,10,15,18,0,0,0,8,10,23,0,0,0,15,8,18,0,0,0,15,8,18,0,0,0,0,0,0,0,0
503,679,732,1411,84701,87752,172445,4645,3756,8401,90025,92241,182267,44,48,87,4064,3769,7830,127,118,244,4233,3930,8158,92,115,206,9504,9055,18560,239,237,475,9836,9407,19246,162,196,355,10726,11353,22081,480,519,1005,11370,12070,23439,204,214,418,26633,27059,53697,1948,1376,3323,28785,28647,57432,133,127,262,20458,21217,41670,1113,751,1862,21699,22095,43795,46,42,83,13315,15297,28616,734,754,1489,14096,16096,30190,619,679,1297,80683,84187,164870,3352,3021,6370,84650,87890,172537,7,3,12,146,157,305,17,20,35,173,175,350,3,5,5,217,112,328,98,22,120,316,144,457,0,0,0,200,147,351,56,17,70,254,168,417,5,4,7,173,50,226,99,17,115,280,70,352,0,0,0,86,23,107,45,7,54,136,31,165,216,241,459,2993,3042,6040,1122,968,2085,4334,4246,8581,0,0,0,35,42,78,13,13,26,49,48,103,7,6,7,38,31,75,19,9,30,63,46,111,0,0,0,19,27,47,12,10
504,4342,3874,8212,127270,129549,256824,6491,5049,11539,138101,138478,276573,472,412,883,8661,8064,16729,278,261,539,9414,8738,18158,968,856,1817,16716,15533,32250,692,606,1295,18377,16983,35364,809,699,1505,15394,14284,29677,637,573,1205,16832,15561,32391,1312,1065,2374,37301,38519,75826,2233,1543,3783,40854,41134,81985,648,652,1304,31327,32831,64151,1809,1165,2970,33782,34647,68428,128,193,322,17876,20313,38186,840,908,1744,18847,21413,40254,4099,3678,7773,121634,125596,247229,4202,4137,8336,129938,133405,263347,13,10,16,195,178,376,6,6,13,210,192,402,9,4,6,58,40,99,5,0,4,67,42,113,10,3,10,74,65,138,10,4,17,93,71,160,0,0,0,40,28,65,7,0,7,43,28,71,0,0,0,25,19,47,6,0,6,29,24,51,351,330,679,2517,2472,4988,204,203,404,3074,3003,6082,0,0,0,23,15,35,0,0,0,22,15,33,4,0,3,24,7,36,3,0,3,30,12,42,0,0,0,4,3,4,0,0
505,3800,4003,7802,267375,280785,548156,11887,9447,21336,283068,294235,577297,489,458,950,17326,16514,33837,525,484,1012,18341,17456,35798,926,864,1793,36892,34816,71707,1165,1103,2264,38981,36779,75758,728,673,1404,33390,31894,65288,1237,1015,2257,35354,33586,68940,936,1093,2030,74343,79947,154292,4230,2977,7207,79509,84012,163527,564,708,1278,66102,70602,136702,3258,2054,5310,69920,73369,143285,160,202,363,39322,47007,86330,1472,1815,3286,40950,49028,89980,3559,3801,7364,256028,272687,528718,7559,7740,15305,267151,284235,551384,11,5,10,290,299,592,8,16,24,308,315,622,4,0,4,91,104,197,8,11,13,97,113,214,3,6,12,134,146,282,8,5,13,143,155,305,0,0,4,88,61,146,15,5,23,101,68,170,0,0,0,27,25,56,7,0,6,37,32,61,194,178,377,4411,4400,8812,402,394,796,5005,4976,9985,0,0,0,30,38,66,3,0,9,32,41,75,0,0,0,17,24,38,4,0,5,21,27,47,0,0,0,17,23,36,0,0
506,6076,6083,12162,245757,249115,494871,12305,10127,22430,264141,265325,529466,693,655,1340,16106,15357,31460,578,548,1126,17366,16559,33926,1372,1336,2709,33018,30992,64008,1293,1233,2525,35682,33560,69242,1193,1113,2310,31547,29908,61451,1454,1236,2689,34192,32257,66450,1652,1618,3273,74493,75660,150144,4413,3378,7788,80549,80656,161207,909,1019,1931,56582,57915,114498,3218,2159,5375,60713,61095,121807,260,344,600,34024,39284,73310,1357,1571,2928,35639,41198,76835,5683,5772,11460,236137,241976,478113,8707,8583,17292,250536,256327,506866,17,20,35,326,321,639,22,20,42,363,356,718,9,0,8,132,129,260,23,4,31,155,137,297,0,0,0,163,113,274,28,6,34,191,121,312,3,4,11,161,73,235,45,3,55,211,87,300,4,3,0,95,36,128,45,4,48,137,48,185,400,330,727,4557,4555,9117,566,577,1142,5528,5462,10988,0,6,6,43,39,80,12,9,27,61,46,107,0,0,4,25,25,46,0,3,6,32,24,50,0,0,0,8,12,23,4,3
507,4892,4497,9392,202226,212902,415127,10753,8142,18893,217864,225539,443407,558,506,1063,13441,12475,25917,474,432,905,14476,13415,27888,1138,1026,2164,27871,26821,54686,1042,979,2022,30049,28828,58876,939,838,1777,24908,24599,49508,1190,959,2149,27038,26398,53437,1405,1212,2614,55404,59644,115051,3780,2437,6220,60590,63285,123876,668,708,1376,50143,53763,103902,2861,1813,4671,53671,56284,109955,181,212,389,30463,35600,66058,1400,1521,2925,32045,37333,69375,4606,4283,8891,192351,205883,398230,6891,6763,13658,203849,216930,420778,10,0,10,269,239,514,20,15,31,298,255,559,8,0,13,233,140,371,59,21,75,293,160,457,0,0,0,148,136,282,14,3,17,166,145,304,7,0,8,112,77,194,20,0,26,139,82,225,0,4,0,66,33,92,14,0,14,77,36,114,206,197,406,3887,3960,7847,869,856,1723,4958,5011,9975,0,4,0,39,48,90,3,3,4,47,54,101,6,3,4,23,33,59,12,6,13,35,40,80,0,0,0,32,14,46,12,0
509,3003,2925,5931,60317,59274,119586,6298,5361,11662,69616,67561,137175,283,265,555,3088,2926,6010,264,257,521,3633,3442,7079,653,678,1324,7217,6858,14072,737,692,1427,8603,8222,16828,564,460,1022,5795,5123,10913,610,489,1094,6965,6066,13030,683,607,1295,12484,12687,25168,1466,1176,2641,14628,14476,29104,603,656,1259,17184,17443,34633,1939,1523,3459,19732,19622,39351,215,261,479,14553,14238,28792,1286,1232,2517,16054,15733,31791,2762,2712,5478,55368,55341,110705,5082,4752,9831,63210,62806,126013,16,16,36,256,192,448,15,13,22,284,217,502,0,3,3,69,69,141,13,4,21,81,75,162,0,0,3,103,63,166,26,6,29,124,75,199,0,0,0,84,57,144,16,7,21,102,71,165,3,3,9,72,52,128,23,5,29,101,63,165,215,183,403,4207,2794,6999,1026,450,1476,5454,3425,8876,0,0,0,34,41,81,8,9,15,45,49,96,0,0,0,10,13,23,4,0,7,15,16,31,0,0,0,0,7,11,0,0
510,11229,11205,22433,28758,25059,53818,8139,5742,13883,48124,41999,90128,1177,1063,2236,2152,2015,4170,411,327,737,3738,3408,7142,2357,2264,4620,3832,3649,7477,899,892,1789,7085,6805,13889,1948,1889,3837,2495,2297,4791,820,656,1476,5254,4840,10097,3330,3293,6625,10794,10135,20925,3270,2224,5495,17391,15648,33046,1940,2072,4014,7848,5802,13645,2347,1344,3687,12131,9216,21350,472,625,1095,1642,1159,2803,397,297,700,2521,2076,4597,10513,10487,21002,26989,23498,50486,7541,5284,12827,45050,39266,84314,78,89,169,106,92,194,42,42,78,228,221,447,40,12,61,1022,807,1825,267,101,369,1332,923,2259,16,9,27,1399,1240,2643,311,183,494,1730,1428,3161,45,26,70,1272,761,2033,496,105,601,1814,886,2703,9,11,15,652,472,1124,187,77,266,849,555,1407,931,714,1652,16307,8136,24443,8851,2560,11415,26091,11410,37508,3,8,7,207,136,341,67,27,91,280,164,442,25,18,51,188,116,307,61,25,88,279,166,444,3,0,3,66,58,124,9,7
511,5692,5735,11421,48036,45527,93565,7853,5915,13770,61579,57177,118758,603,523,1122,2805,2741,5545,368,362,732,3775,3628,7403,1228,1155,2379,5963,5620,11584,918,854,1772,8109,7631,15741,994,984,1980,5100,4602,9701,858,693,1552,6950,6276,13225,1413,1388,2805,12388,12195,24584,2446,1697,4144,16255,15287,31536,1092,1212,2300,13616,12590,26200,2247,1438,3688,16956,15239,32191,365,470,833,8164,7775,15944,1012,870,1880,9541,9118,18656,5296,5341,10630,44496,42784,87282,6718,5336,12056,56505,53460,109964,36,37,69,181,143,319,39,24,62,252,199,457,11,4,15,436,352,792,105,48,152,553,411,962,0,3,5,535,477,1016,130,82,211,667,565,1232,5,8,18,440,288,730,176,55,227,623,349,969,16,19,35,318,235,555,90,37,128,422,291,714,554,497,1045,11541,6863,18407,5680,1772,7449,17776,9133,26904,3,4,7,136,97,233,28,14,46,168,119,287,8,10,14,55,33,85,20,4,28,76,39,119,0,0,0,27,21,42,8,4
