SA4_CODE_2021,NsQ_Cer_III_IV_IndSt_nsP,NsQ_Cer_III_IV_TotM,NsQ_Cer_III_IV_TotF,NsQ_Cer_III_IV_TotP,NsQ_Cer_I_II_Ind_M,NsQ_Cer_I_II_Ind_F,NsQ_Cer_I_II_Ind_P,NsQ_Cer_I_II_No_In_M,NsQ_Cer_I_II_No_In_F,NsQ_Cer_I_II_No_In_P,NsQ_Cer_I_II_Ind_s_nsM,NsQ_Cer_I_II_Ind_s_nsF,NsQ_Cer_I_II_Ind_s_nsP,NsQ_Cer_I_II_TotM,NsQ_Cer_I_II_TotF,NsQ_Cer_I_II_TotP,Mig_Sme_add_1_yr_ago_Indig_M,Mig_Sme_add_1_yr_ago_Indig_F,Mig_Sme_add_1_yr_ago_Indig_P,Mig_Sme_add_1_yr_ago_No_Ind_M,Mig_Sme_add_1_yr_ago_No_Ind_F,Mig_Sme_add_1_yr_ago_No_Ind_P,Mig_sa_ad_1_yr_ag_IndSt_nsM,Mig_sa_ad_1_yr_ag_IndSt_nsF,Mig_sa_ad_1_yr_ag_IndSt_nsP,Mig_Sme_add_1_yr_ago_TotM,Mig_Sme_add_1_yr_ago_TotF,Mig_Sme_add_1_yr_ago_TotP,Mig_Diff_add_1_yr_ago_Indig_M,Mig_Diff_add_1_yr_ago_Indig_F,Mig_Diff_add_1_yr_ago_Indig_P,Mig_Diff_ad_1_yr_ago_No_Ind_M,Mig_Diff_ad_1_yr_ago_No_Ind_F,Mig_Diff_ad_1_yr_ago_No_Ind_P,Mig_Dif_ad_1_yr_ag_In_st_nsM,Mig_Dif_ad_1_yr_ag_In_st_nsF,Mig_Dif_ad_1_yr_ag_In_st_nsP,Mig_Diff_add_1_yr_ago_TotM,Mig_Diff_add_1_yr_ago_TotF,Mig_Diff_add_1_yr_ago_TotP,Mig_Sme_add_5_ago_Indig_M,Mig_Sme_add_5_ago_Indig_F,Mig_Sme_add_5_ago_Indig_P,Mig_Sme_ad_5_ago_No_Ind_M,Mig_Sme_ad_5_ago_No_Ind_F,Mig_Sme_ad_5_ago_No_Ind_P,Mig_sa_ad_5_ag_In_st_nsM,Mig_sa_ad_5_ag_In_st_nsF,Mig_sa_ad_5_ag_In_st_nsP,Mig_Sme_add_5_ago_TotM,Mig_Sme_add_5_ago_TotF,Mig_Sme_add_5_ago_TotP,Mig_Diff_add_5_ago_Ind_M,Mig_Diff_add_5_ago_Ind_F,Mig_Diff_add_5_ago_Ind_P,Mig_Diff_ad_5_ag_No_Ind_M,Mig_Diff_ad_5_ag_No_Ind_F,Mig_Diff_ad_5_ag_No_Ind_P,Mi_Dif_ad_5_ag_In_st_nsM,Mi_Dif_ad_5_ag_In_st_nsF,Mi_Dif_ad_5_ag_In_st_nsP,Mig_Diff_add_5_ago_TotM,Mig_Diff_add_5_ago_TotF,Mig_Diff_add_5_ago_TotP
501,157,22276,12543,34820,60,94,158,1143,1894,3040,7,4,12,1205,1999,3205,1975,2056,4028,69923,72415,142339,433,481,910,72330,74951,147279,476,491,964,12389,13399,25791,56,71,123,12917,13966,26879,1124,1085,2205,47376,48337,95714,332,359,690,48829,49785,98613,1050,1245,2293,30678,33486,64162,125,148,271,31856,34874,66730
502,87,12843,7116,19957,31,30,58,608,1002,1606,0,5,8,638,1038,1677,1106,1182,2282,39167,42424,81595,265,273,538,40538,43879,84415,317,341,655,6908,7808,14716,36,38,66,7260,8181,15442,571,549,1122,25352,26937,52284,179,196,378,26103,27682,53784,690,798,1492,18455,21008,39461,82,79,162,19230,21887,41115
503,38,7320,4034,11352,18,21,35,492,671,1168,0,5,5,507,699,1207,437,466,904,67020,69157,136181,211,221,433,67674,69844,137514,210,242,449,16257,17193,33453,31,41,75,16501,17474,33975,198,191,392,38577,40638,79215,140,152,293,38919,40985,79904,404,477,881,41157,42409,83567,89,77,170,41652,42966,84620
504,119,27529,14941,42467,75,86,157,1510,2048,3558,0,10,9,1586,2140,3732,2923,2914,5846,107483,109964,217443,426,425,856,110834,113309,224142,662,704,1369,15906,16726,32627,58,49,103,16626,17480,34104,1586,1531,3117,71588,72946,144530,320,316,637,73484,74788,148279,1595,1716,3310,44314,46924,91241,125,129,254,46037,48766,94801
505,260,53457,27450,80907,75,108,184,2587,3927,6511,6,11,14,2672,4042,6709,2960,3119,6080,227883,238803,466689,805,872,1675,231643,242797,474441,659,709,1368,34182,36547,70731,114,106,224,34960,37364,72325,1604,1696,3299,151828,158310,310133,572,635,1213,154001,160642,314642,1590,1742,3331,95390,102766,198152,257,257,515,97229,104764,201997
506,223,45580,25067,70645,110,170,280,2766,3684,6450,3,8,15,2884,3866,6748,4389,4512,8901,205270,209074,414341,776,788,1562,210436,214374,424808,989,1179,2166,34140,34404,68550,105,100,208,35238,35690,70929,2327,2361,4686,131677,134339,266014,548,524,1074,134555,137224,271779,2459,2775,5235,93762,95777,189539,251,279,529,96473,98833,195305
507,220,42521,23129,65653,84,126,210,2372,3369,5746,11,13,14,2463,3506,5971,3395,3445,6840,169302,177885,347186,688,671,1359,173386,181998,355383,822,836,1656,28125,30821,58947,100,101,204,29046,31763,60806,1795,1775,3567,110231,114908,225140,501,490,996,112533,117181,229704,1918,2071,3990,75513,82993,158506,213,228,438,77644,85289,162931
509,150,14286,7302,21589,52,80,135,791,1288,2080,9,7,8,845,1376,2222,2197,2261,4461,50236,49591,99829,467,442,914,52902,52303,105202,477,465,940,7911,8183,16095,69,61,131,8459,8714,17164,1338,1387,2728,35780,34500,70282,377,325,706,37491,36217,73704,1061,1088,2153,19617,20664,40282,144,151,292,20824,21906,42725
510,71,10437,3922,14362,177,332,510,351,501,853,3,4,11,532,833,1370,8659,8952,17616,20893,17489,38384,193,173,366,29752,26611,56362,1566,1647,3211,7060,6916,13976,41,42,89,8667,8607,17276,5626,5838,11465,9754,7389,17141,115,101,211,15487,13327,28822,3483,3714,7201,16228,15287,31513,106,98,203,19819,19097,38916
511,103,13549,6176,19728,83,153,235,696,1073,1768,5,5,7,783,1226,2013,4126,4417,8539,38596,36615,75211,326,306,629,43041,41333,84380,881,945,1824,8060,7742,15805,46,47,100,8989,8741,17733,2619,2729,5347,25781,23861,49638,239,216,452,28635,26803,55435,1859,2116,3976,18358,18085,36443,98,111,211,20312,20310,40630
597,0,100,3,100,0,0,0,0,3,4,0,0,0,3,3,4,8,3,7,196,26,225,3,0,3,200,24,229,5,0,5,56,10,66,0,0,0,55,10,71,8,3,9,117,10,130,6,0,6,123,16,139,0,0,0,136,24,158,0,0,0,137,24,163
