SA4_CODE_2021,Ind_15_19_PD_GD_GCL_M,Ind_15_19_BDL_M,Ind_15_19_ADip_DipL_M,Ind_15_19_Ct_III_IV_M,Ind_15_19_Ct_I_II_M,Ind_15_19_CL_nfd_M,Ind_15_19_LoE_NS_M,Ind_15_19_Tot_M,Ind_20_24_PD_GD_GCL_M,Ind_20_24_BDL_M,Ind_20_24_ADip_DipL_M,Ind_20_24_Ct_III_IV_M,Ind_20_24_Ct_I_II_M,Ind_20_24_CL_nfd_M,Ind_20_24_LoE_NS_M,Ind_20_24_Tot_M,Ind_25_34_PD_GD_GCL_M,Ind_25_34_BDL_M,Ind_25_34_ADip_DipL_M,Ind_25_34_Ct_III_IV_M,Ind_25_34_Ct_I_II_M,Ind_25_34_CL_nfd_M,Ind_25_34_LoE_NS_M,Ind_25_34_Tot_M,Ind_35_44_PD_GD_GCL_M,Ind_35_44_BDL_M,Ind_35_44_ADip_DipL_M,Ind_35_44_Ct_III_IV_M,Ind_35_44_Ct_I_II_M,Ind_35_44_CL_nfd_M,Ind_35_44_LoE_NS_M,Ind_35_44_Tot_M,Ind_45_54_PD_GD_GCL_M,Ind_45_54_BDL_M,Ind_45_54_ADip_DipL_M,Ind_45_54_Ct_III_IV_M,Ind_45_54_Ct_I_II_M,Ind_45_54_CL_nfd_M,Ind_45_54_LoE_NS_M,Ind_45_54_Tot_M,Ind_55_64_PD_GD_GCL_M,Ind_55_64_BDL_M,Ind_55_64_ADip_DipL_M,Ind_55_64_Ct_III_IV_M,Ind_55_64_Ct_I_II_M,Ind_55_64_CL_nfd_M,Ind_55_64_LoE_NS_M,Ind_55_64_Tot_M,Ind_65ov_PtgdDe_GdDp_GdCt_M,Ind_65ov_BDL_M,Ind_65ov_ADip_DipL_M,Ind_65ov_Ct_III_IV_M,Ind_65ov_Ct_I_II_M,Ind_65ov_CL_nfd_M,Ind_65ov_LoE_NS_M,Ind_65ov_Tot_M,Ind_Tot_PD_GD_GCL_M,Ind_Tot_BDL_M,Ind_Tot_ADip_DipL_M,Ind_Tot_Ct_III_IV_M,Ind_Tot_Ct_I_II_M,Ind_tot_CL_nfd_M,Ind_Tot_LoE_NS_M,Ind_Tot_Tot_M,NonI_15_19_PD_GD_GCL_M,NonI_15_19_BDL_M,NonI_15_19_ADip_DipL_M,NonI_15_19_Ct_III_IV_M,NonI_15_19_Ct_I_II_M,NonI_15_19_CL_nfd_M,NonI_15_19_LoE_NS_M,NonI_15_19_Tot_M,NonI_20_24_PD_GD_GCL_M,NonI_20_24_BDL_M,NonI_20_24_ADip_DipL_M,NonI_20_24_Ct_III_IV_M,NonI_20_24_Ct_I_II_M,NonI_20_24_CL_nfd_M,NonI_20_24_LoE_NS_M,NonI_20_24_Tot_M,NonI_25_34_PD_GD_GCL_M,NonI_25_34_BDL_M,NonI_25_34_ADip_DipL_M,NonI_25_34_Ct_III_IV_M,NonI_25_34_Ct_I_II_M,NonI_25_34_CL_nfd_M,NonI_25_34_LoE_NS_M,NonI_25_34_Tot_M,NonI_35_44_PD_GD_GCL_M,NonI_35_44_BDL_M,NonI_35_44_ADip_DipL_M,NonI_35_44_Ct_III_IV_M,NonI_35_44_Ct_I_II_M,NonI_35_44_CL_nfd_M,NonI_35_44_LoE_NS_M,NonI_35_44_Tot_M,NonI_45_54_PD_GD_GCL_M,NonI_45_54_BDL_M,NonI_45_54_ADip_DipL_M,NonI_45_54_Ct_III_IV_M,NonI_45_54_Ct_I_II_M,NonI_45_54_CL_nfd_M,NonI_45_54_LoE_NS_M,NonI_45_54_Tot_M,NonI_55_64_PD_GD_GCL_M,NonI_55_64_BDL_M,NonI_55_64_ADip_DipL_M,NonI_55_64_Ct_III_IV_M,NonI_55_64_Ct_I_II_M,NonI_55_64_CL_nfd_M,NonI_55_64_LoE_NS_M,NonI_55_64_Tot_M,NonI_65ov_PtgdDe_GdDp_GdCt_M,NonI_65ov_BDL_M,NonI_65ov_ADip_DipL_M,NonI_65ov_Ct_III_IV_M,NonI_65ov_Ct_I_II_M,NonI_65ov_CL_nfd_M,NonI_65ov_LoE_NS_M,NonI_65ov_Tot_M,NonI_Tot_PD_GD_GCL_M,NonI_Tot_BDL_M,NonI_Tot_ADip_DipL_M,NonI_Tot_Ct_III_IV_M,NonI_Tot_Ct_I_II_M,NonI_tot_CL_nfd_M,NonI_Tot_LoE_NS_M,NonI_Tot_Tot_M,IS_NS_15_19_PD_GD_GCL_M,IS_NS_15_19_BDL_M,IS_NS_15_19_ADip_DipL_M,IS_NS_15_19_Ct_III_IV_M,IS_NS_15_19_Ct_I_II_M,IS_NS_15_19_CL_nfd_M,IS_NS_15_19_LoE_NS_M,IS_NS_15_19_Tot_M,IS_NS_20_24_PD_GD_GCL_M,IS_NS_20_24_BDL_M,IS_NS_20_24_ADip_DipL_M,IS_NS_20_24_Ct_III_IV_M,IS_NS_20_24_Ct_I_II_M,IS_NS_20_24_CL_nfd_M,IS_NS_20_24_LoE_NS_M,IS_NS_20_24_Tot_M,IS_NS_25_34_PD_GD_GCL_M,IS_NS_25_34_BDL_M,IS_NS_25_34_ADip_DipL_M,IS_NS_25_34_Ct_III_IV_M,IS_NS_25_34_Ct_I_II_M,IS_NS_25_34_CL_nfd_M,IS_NS_25_34_LoE_NS_M,IS_NS_25_34_Tot_M,IS_NS_35_44_PD_GD_GCL_M,IS_NS_35_44_BDL_M,IS_NS_35_44_ADip_DipL_M,IS_NS_35_44_Ct_III_IV_M,IS_NS_35_44_Ct_I_II_M,IS_NS_35_44_CL_nfd_M,IS_NS_35_44_LoE_NS_M,IS_NS_35_44_Tot_M,IS_NS_45_54_PD_GD_GCL_M,IS_NS_45_54_BDL_M,IS_NS_45_54_ADip_DipL_M,IS_NS_45_54_Ct_III_IV_M,IS_NS_45_54_Ct_I_II_M,IS_NS_45_54_CL_nfd_M,IS_NS_45_54_LoE_NS_M,IS_NS_45_54_Tot_M,IS_NS_55_64_PD_GD_GCL_M,IS_NS_55_64_BDL_M,IS_NS_55_64_ADip_DipL_M,IS_NS_55_64_Ct_III_IV_M,IS_NS_55_64_Ct_I_II_M,IS_NS_55_64_CL_nfd_M,IS_NS_55_64_LoE_NS_M,IS_NS_55_64_Tot_M,IS_NS_65ov_PtgdDe_GdDp_GdCt_M,IS_NS_65ov_BDL_M,IS_NS_65ov_ADip_DipL_M,IS_NS_65ov_Ct_III_IV_M,IS_NS_65ov_Ct_I_II_M,IS_NS_65ov_CL_nfd_M,IS_NS_65ov_LoE_NS_M,IS_NS_65ov_Tot_M,IS_NS_Tot_PD_GD_GCL_M,IS_NS_Tot_BDL_M,IS_NS_Tot_ADip_DipL_M,IS_NS_Tot_Ct_III_IV_M,IS_NS_Tot_Ct_I_II_M,IS_NS_tot_CL_nfd_M,IS_NS_Tot_LoE_NS_M,IS_NS_Tot_Tot_M,Tot_15_19_PD_GD_GCL_M,Tot_15_19_BDL_M,Tot_15_19_ADip_DipL_M,Tot_15_19_Ct_III_IV_M,Tot_15_19_Ct_I_II_M,Tot_15_19_CL_nfd_M,Tot_15_19_LoE_NS_M,Tot_15_19_Tot_M
501,0,0,0,24,24,0,12,57,0,0,0,65,18,0,10,100,5,4,11,114,10,6,18,159,3,6,15,78,3,4,15,128,6,11,11,68,4,3,10,115,0,11,8,46,4,3,17,92,6,4,7,27,0,4,7,56,18,33,56,427,60,21,93,697,0,0,15,341,267,27,126,779,7,118,100,1201,296,38,87,1852,226,950,537,3652,234,84,247,5927,442,1280,904,4169,112,150,297,7361,516,1269,1057,4050,85,185,336,7509,448,1096,1066,3932,71,211,364,7193,630,1431,1465,4401,77,345,1103,9448,2271,6149,5138,21753,1143,1038,2563,40065,0,0,0,3,0,0,251,254,0,0,0,5,0,0,226,231,0,0,0,10,0,0,706,719,0,0,6,11,0,0,843,862,0,0,0,14,0,3,974,994,0,0,6,23,0,0,756,782,3,9,6,32,0,3,975,1031,4,8,20,99,7,9,4731,4876,0,0,15,365,291,25,393,1086
502,0,0,0,9,9,3,9,32,0,0,6,23,10,0,0,37,0,0,0,73,3,0,11,95,0,4,10,46,5,3,4,65,0,0,5,29,5,0,7,52,0,0,10,41,0,0,4,64,0,4,3,25,0,3,6,44,11,18,39,238,31,13,45,389,0,0,22,208,162,12,70,470,12,122,91,653,145,22,44,1087,86,382,286,1918,105,47,121,2946,194,456,460,1936,54,68,171,3349,223,465,574,2116,40,91,159,3673,242,464,643,2271,43,93,192,3942,330,747,1041,3432,52,241,916,6770,1079,2635,3110,12540,608,571,1686,22232,0,0,0,3,0,0,114,117,0,0,0,0,0,0,166,168,0,0,5,3,0,0,389,396,0,5,0,6,0,0,482,492,0,0,3,10,0,0,499,515,0,0,6,6,0,0,387,402,0,0,4,27,0,0,503,542,3,7,12,67,0,6,2536,2631,0,0,20,215,170,13,195,619
503,0,0,0,6,3,0,5,8,0,13,6,23,10,5,4,46,8,25,6,23,4,0,3,78,5,22,8,23,0,0,4,60,9,14,11,14,0,0,4,56,10,5,5,3,0,0,3,32,0,12,0,8,0,0,3,30,38,94,33,93,18,0,31,310,0,3,24,189,122,12,49,403,214,1753,381,569,107,31,128,3188,3008,5915,1086,1601,109,80,360,12165,3254,4914,1152,1245,62,89,323,11050,2751,4075,1003,1061,32,126,269,9314,2157,3228,954,1137,36,110,257,7876,2349,3578,1487,1393,24,208,829,9876,13741,23468,6089,7195,492,653,2219,53857,0,0,0,0,0,0,131,132,0,7,0,4,0,0,322,334,0,6,5,0,0,0,1139,1155,5,4,3,7,0,0,764,784,0,3,0,7,0,0,579,592,4,7,0,3,0,0,482,504,7,19,5,5,0,0,673,711,16,48,16,31,0,3,4092,4211,0,8,24,191,123,14,179,546
504,0,0,0,30,15,0,11,65,0,14,9,74,27,0,19,139,5,25,23,202,18,4,23,304,6,21,20,120,9,4,19,197,5,24,29,77,4,5,14,157,0,9,21,54,5,3,30,121,0,4,13,22,0,0,12,57,23,91,112,589,75,22,131,1040,0,0,43,504,338,45,140,1067,91,765,458,1656,361,78,227,3638,1216,3551,1715,5675,322,200,526,13199,1774,3738,2144,5159,190,231,562,13810,1129,2495,1870,4691,141,250,476,11055,883,1638,1513,4461,89,252,428,9258,773,1604,1629,4711,70,356,1055,10188,5862,13790,9377,26860,1510,1404,3413,62220,0,0,0,0,0,0,253,254,0,0,0,7,0,0,334,343,0,0,7,14,0,0,1087,1113,0,5,8,8,0,0,1075,1086,0,0,0,12,0,0,960,978,0,4,9,16,0,0,742,769,0,7,9,25,0,0,731,774,5,19,26,81,0,4,5180,5315,0,0,44,537,352,40,408,1394
505,0,0,0,23,17,0,14,64,0,8,4,61,18,3,12,111,11,40,21,180,24,4,18,298,21,20,26,125,10,5,14,222,21,18,31,72,9,6,17,172,8,21,15,66,0,5,18,129,11,8,13,30,0,0,19,80,66,120,110,565,75,26,112,1071,0,15,104,1057,623,85,243,2125,249,2325,1016,3161,636,176,415,7971,3097,8243,3290,10361,491,366,1055,26894,4284,9097,4546,10122,295,523,1143,30011,3610,6986,4456,9282,212,589,1073,26209,2499,4618,3568,8871,161,515,858,21090,2178,4474,4356,9859,160,758,2352,24136,15913,35760,21335,52710,2587,3001,7144,138447,0,0,0,12,0,0,448,461,0,4,0,14,0,0,690,704,3,4,0,21,3,4,2018,2055,4,11,13,26,0,0,2065,2114,3,13,17,24,3,0,1772,1824,6,7,9,35,0,0,1281,1343,8,19,17,46,0,3,1276,1367,18,55,60,187,6,10,9541,9868,0,15,103,1092,649,81,708,2652
506,0,0,0,44,27,5,64,146,0,6,10,113,36,6,22,191,9,46,49,265,25,18,43,452,10,32,33,165,10,10,35,296,16,24,27,117,4,5,27,222,14,15,26,80,0,7,33,176,6,13,12,34,0,4,28,101,59,136,151,819,110,51,263,1589,3,7,102,940,643,66,243,2001,280,2326,1272,3140,768,159,499,8446,3713,8759,3706,8878,590,341,1226,27214,5158,8992,4287,8448,311,409,1233,28840,3255,5704,3333,7573,204,454,1002,21523,2127,3558,2640,7144,121,433,848,16874,1915,3697,3151,8481,124,648,2344,20369,16453,33046,18485,44604,2766,2512,7390,125259,0,0,0,6,0,0,496,503,0,0,5,12,0,0,865,888,7,13,0,8,0,0,2225,2253,6,10,3,23,3,0,2044,2096,9,9,6,25,0,0,1756,1800,7,7,5,30,0,6,1296,1350,6,11,12,48,0,0,1158,1240,31,52,40,157,3,10,9839,10117,3,7,102,986,673,68,803,2647
507,0,0,0,36,20,0,18,74,0,8,11,86,25,0,18,151,11,39,28,221,26,8,29,367,23,17,44,147,0,8,22,269,11,22,38,97,3,0,31,199,15,14,19,56,4,9,21,138,0,8,15,35,0,5,21,81,54,106,154,680,84,40,158,1278,0,5,67,777,580,66,195,1694,154,1506,602,2680,619,131,300,5994,1925,5702,2200,8396,451,286,689,19645,3210,6370,3181,8039,253,383,826,22265,2729,4831,3230,7574,179,446,820,19809,2191,3315,2566,6849,142,423,724,16204,2117,3559,3006,7358,144,615,1972,18779,12334,25284,14848,41682,2372,2346,5525,104388,0,0,0,3,0,0,436,441,0,4,0,13,3,0,674,693,0,3,3,15,0,0,1832,1855,9,9,5,24,0,3,1836,1879,0,4,3,38,0,0,1530,1579,3,8,6,34,0,0,1147,1194,8,10,15,53,0,0,1230,1316,17,40,32,164,11,8,8684,8958,0,5,68,818,598,70,648,2208
509,0,0,0,15,15,0,32,67,0,0,5,43,11,3,10,73,0,5,6,78,14,0,22,132,0,8,12,63,0,3,21,110,0,5,18,48,3,3,20,101,0,10,16,48,3,4,37,115,0,0,4,14,0,0,31,56,6,34,59,317,52,12,178,661,0,0,4,258,188,14,107,572,15,122,64,765,159,23,104,1245,155,564,287,2382,123,62,301,3876,219,705,479,2226,94,77,265,4065,243,724,608,2385,71,117,321,4473,293,644,708,2725,81,171,359,4975,407,842,1075,3121,70,296,1040,6848,1330,3600,3213,13856,791,755,2502,26050,0,0,0,3,0,0,280,281,0,0,0,3,0,0,266,274,0,5,0,8,0,0,659,668,5,4,4,23,0,0,727,758,3,0,8,20,0,0,876,911,0,0,3,29,0,0,931,972,0,8,11,33,0,0,1156,1202,3,15,27,111,9,8,4898,5065,4,0,4,280,203,14,418,915
510,0,0,0,31,28,6,121,185,0,0,0,114,34,10,74,234,6,23,19,406,48,29,148,676,12,10,39,364,35,26,143,634,8,14,24,230,15,15,109,413,7,14,21,111,15,10,83,265,5,4,21,54,5,5,54,143,39,67,120,1319,177,97,741,2555,0,0,4,76,59,8,39,185,9,91,43,448,84,19,53,758,282,766,351,2382,75,44,167,4061,289,699,613,2518,60,79,150,4403,202,425,447,1891,39,73,146,3217,145,240,329,1274,22,52,121,2185,58,110,127,480,9,27,124,945,984,2332,1922,9070,351,307,799,15760,0,0,0,0,0,0,322,324,0,0,0,0,0,0,468,473,3,0,0,9,0,0,1639,1662,0,0,0,12,0,0,1568,1585,0,0,0,14,0,0,1300,1319,0,0,0,10,0,0,975,992,0,4,0,5,0,0,387,396,6,10,11,51,3,0,6660,6741,0,0,4,103,94,10,488,696
511,0,0,0,25,18,3,64,107,0,7,0,58,22,6,44,134,4,10,4,174,19,9,75,299,0,9,15,121,11,7,44,210,6,12,18,102,7,4,63,226,8,11,18,76,3,4,41,162,0,0,14,38,5,0,59,113,18,52,74,586,83,40,397,1249,0,0,7,173,109,10,61,360,24,125,56,798,182,28,84,1293,227,720,338,2692,145,58,187,4360,290,674,529,2464,82,86,202,4333,262,567,515,2456,68,93,235,4202,185,394,525,2294,62,108,236,3804,131,352,504,2011,49,142,571,3758,1127,2836,2464,12885,696,520,1575,22108,0,0,0,0,0,0,326,327,0,0,0,3,0,0,499,501,0,0,0,11,0,0,1256,1266,0,0,4,8,0,0,1138,1156,0,0,3,8,0,0,1157,1172,0,0,0,22,0,0,993,1022,0,0,4,18,0,0,951,970,4,9,9,74,5,8,6315,6422,0,0,6,192,134,10,459,796
