SAL_CODE_2021,NonI_35_44_PD_GD_GCL_P,NonI_35_44_BDL_P,NonI_35_44_ADip_DipL_P,NonI_35_44_Ct_III_IV_P,NonI_35_44_Ct_I_II_P,NonI_35_44_CL_nfd_P,NonI_35_44_LoE_NS_P,NonI_35_44_Tot_P,NonI_45_54_PD_GD_GCL_P,NonI_45_54_BDL_P,NonI_45_54_ADip_DipL_P,NonI_45_54_Ct_III_IV_P,NonI_45_54_Ct_I_II_P,NonI_45_54_CL_nfd_P,NonI_45_54_LoE_NS_P,NonI_45_54_Tot_P,NonI_55_64_PD_GD_GCL_P,NonI_55_64_BDL_P,NonI_55_64_ADip_DipL_P,NonI_55_64_Ct_III_IV_P,NonI_55_64_Ct_I_II_P,NonI_55_64_CL_nfd_P,NonI_55_64_LoE_NS_P,NonI_55_64_Tot_P,NonI_65ov_PtgdDe_GdDp_GdCt_P,NonI_65ov_BDL_P,NonI_65ov_ADip_DipL_P,NonI_65ov_Ct_III_IV_P,NonI_65ov_Ct_I_II_P,NonI_65ov_CL_nfd_P,NonI_65ov_LoE_NS_P,NonI_65ov_Tot_P,NonI_Tot_PD_GD_GCL_P,NonI_Tot_BDL_P,NonI_Tot_ADip_DipL_P,NonI_Tot_Ct_III_IV_P,NonI_Tot_Ct_I_II_P,NonI_tot_CL_nfd_P,NonI_Tot_LoE_NS_P,NonI_Tot_Tot_P,IS_NS_15_19_PD_GD_GCL_P,IS_NS_15_19_BDL_P,IS_NS_15_19_ADip_DipL_P,IS_NS_15_19_Ct_III_IV_P,IS_NS_15_19_Ct_I_II_P,IS_NS_15_19_CL_nfd_P,IS_NS_15_19_LoE_NS_P,IS_NS_15_19_Tot_P,IS_NS_20_24_PD_GD_GCL_P,IS_NS_20_24_BDL_P,IS_NS_20_24_ADip_DipL_P,IS_NS_20_24_Ct_III_IV_P,IS_NS_20_24_Ct_I_II_P,IS_NS_20_24_CL_nfd_P,IS_NS_20_24_LoE_NS_P,IS_NS_20_24_Tot_P,IS_NS_25_34_PD_GD_GCL_P,IS_NS_25_34_BDL_P,IS_NS_25_34_ADip_DipL_P,IS_NS_25_34_Ct_III_IV_P,IS_NS_25_34_Ct_I_II_P,IS_NS_25_34_CL_nfd_P,IS_NS_25_34_LoE_NS_P,IS_NS_25_34_Tot_P,IS_NS_35_44_PD_GD_GCL_P,IS_NS_35_44_BDL_P,IS_NS_35_44_ADip_DipL_P,IS_NS_35_44_Ct_III_IV_P,IS_NS_35_44_Ct_I_II_P,IS_NS_35_44_CL_nfd_P,IS_NS_35_44_LoE_NS_P,IS_NS_35_44_Tot_P,IS_NS_45_54_PD_GD_GCL_P,IS_NS_45_54_BDL_P,IS_NS_45_54_ADip_DipL_P,IS_NS_45_54_Ct_III_IV_P,IS_NS_45_54_Ct_I_II_P,IS_NS_45_54_CL_nfd_P,IS_NS_45_54_LoE_NS_P,IS_NS_45_54_Tot_P,IS_NS_55_64_PD_GD_GCL_P,IS_NS_55_64_BDL_P,IS_NS_55_64_ADip_DipL_P,IS_NS_55_64_Ct_III_IV_P,IS_NS_55_64_Ct_I_II_P,IS_NS_55_64_CL_nfd_P,IS_NS_55_64_LoE_NS_P,IS_NS_55_64_Tot_P,IS_NS_65ov_PtgdDe_GdDp_GdCt_P,IS_NS_65ov_BDL_P,IS_NS_65ov_ADip_DipL_P,IS_NS_65ov_Ct_III_IV_P,IS_NS_65ov_Ct_I_II_P,IS_NS_65ov_CL_nfd_P,IS_NS_65ov_LoE_NS_P,IS_NS_65ov_Tot_P,IS_NS_Tot_PD_GD_GCL_P,IS_NS_Tot_BDL_P,IS_NS_Tot_ADip_DipL_P,IS_NS_Tot_Ct_III_IV_P,IS_NS_Tot_Ct_I_II_P,IS_NS_tot_CL_nfd_P,IS_NS_Tot_LoE_NS_P,IS_NS_Tot_Tot_P,Tot_15_19_PD_GD_GCL_P,Tot_15_19_BDL_P,Tot_15_19_ADip_DipL_P,Tot_15_19_Ct_III_IV_P,Tot_15_19_Ct_I_II_P,Tot_15_19_CL_nfd_P,Tot_15_19_LoE_NS_P,Tot_15_19_Tot_P,Tot_20_24_PD_GD_GCL_P,Tot_20_24_BDL_P,Tot_20_24_ADip_DipL_P,Tot_20_24_Ct_III_IV_P,Tot_20_24_Ct_I_II_P,Tot_20_24_CL_nfd_P,Tot_20_24_LoE_NS_P,Tot_20_24_Tot_P,Tot_25_34_PD_GD_GCL_P,Tot_25_34_BDL_P,Tot_25_34_ADip_DipL_P,Tot_25_34_Ct_III_IV_P,Tot_25_34_Ct_I_II_P,Tot_25_34_CL_nfd_P,Tot_25_34_LoE_NS_P,Tot_25_34_Tot_P,Tot_35_44_PD_GD_GCL_P,Tot_35_44_BDL_P,Tot_35_44_ADip_DipL_P,Tot_35_44_Ct_III_IV_P,Tot_35_44_Ct_I_II_P,Tot_35_44_CL_nfd_P,Tot_35_44_LoE_NS_P,Tot_35_44_Tot_P,Tot_45_54_PD_GD_GCL_P,Tot_45_54_BDL_P,Tot_45_54_ADip_DipL_P,Tot_45_54_Ct_III_IV_P,Tot_45_54_Ct_I_II_P,Tot_45_54_CL_nfd_P,Tot_45_54_LoE_NS_P,Tot_45_54_Tot_P,Tot_55_64_PD_GD_GCL_P,Tot_55_64_BDL_P,Tot_55_64_ADip_DipL_P,Tot_55_64_Ct_III_IV_P,Tot_55_64_Ct_I_II_P,Tot_55_64_CL_nfd_P,Tot_55_64_LoE_NS_P,Tot_55_64_Tot_P,Tot_65ov_PtgdDe_GdDp_GdCt_P,Tot_65ov_BDL_P,Tot_65ov_ADip_DipL_P,Tot_65ov_Ct_III_IV_P,Tot_65ov_Ct_I_II_P,Tot_65ov_CL_nfd_P,Tot_65ov_LoE_NS_P,Tot_65ov_Tot_P,Tot_Tot_PD_GD_GCL_P,Tot_Tot_BDL_P,Tot_Tot_ADip_DipL_P,Tot_Tot_Ct_III_IV_P,Tot_Tot_Ct_I_II_P,Tot_tot_CL_nfd_P,Tot_Tot_LoE_NS_P,Tot_Tot_Tot_P
SAL50001,0,3,0,0,0,0,0,3,0,4,0,4,0,0,0,7,0,0,0,3,0,0,0,7,0,0,0,3,0,0,0,4,0,13,4,13,0,0,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,11,0,3,0,0,0,0,0,9,0,4,0,4,0,0,0,12,0,0,0,3,0,0,0,7,0,0,0,3,0,0,0,4,0,13,4,13,0,0,8,35
SAL50002,12,44,19,55,4,3,5,135,19,29,19,49,3,3,3,126,15,33,19,37,0,5,5,107,13,30,31,48,0,5,16,147,57,148,88,255,17,17,37,626,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,8,8,0,0,0,0,0,0,8,8,0,0,0,0,0,0,7,7,0,0,0,0,0,0,11,14,0,0,0,0,0,0,47,51,0,0,0,7,8,0,5,14,0,0,0,22,4,0,0,28,6,12,8,43,5,0,13,82,12,48,19,56,4,3,16,145,19,30,19,52,3,7,17,143,15,36,19,37,0,5,11,115,13,30,31,52,3,5,20,157,57,155,88,264,23,18,83,694
SAL50003,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,5,0,0,0,3,0,0,0,7,0,0,4,4,0,0,0,0,0,6,7,15,4,0,7,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,9,0,0,0,0,0,0,3,5,0,0,0,3,0,0,0,7,0,0,0,3,0,0,0,8,0,0,4,4,0,0,0,5,0,6,7,15,4,0,10,40
SAL50004,0,6,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,3,6,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,3,6,0,0,0,17
SAL50005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,18
SAL50006,16,23,15,21,0,0,4,76,24,50,12,27,3,0,5,124,48,53,28,32,5,3,5,174,38,91,55,47,4,8,29,266,141,267,124,156,17,15,50,774,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,9,13,0,0,0,0,0,0,15,15,0,0,0,0,0,0,23,24,3,3,0,0,0,0,58,63,0,0,0,3,8,0,3,13,0,14,0,9,4,0,6,34,18,41,10,25,0,0,9,101,16,26,15,21,0,0,11,82,25,51,18,26,3,0,17,140,48,53,28,32,5,3,23,188,38,91,55,45,4,8,46,291,148,270,125,161,17,15,117,848
SAL50007,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,8,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,8,0,0,0,15
SAL50008,73,182,116,195,22,17,29,633,36,92,106,225,18,17,41,527,39,91,106,240,12,47,50,582,27,67,85,169,8,25,52,436,237,669,562,1185,113,114,219,3106,0,0,0,0,0,0,3,3,0,0,0,0,0,0,5,5,0,0,0,0,0,0,24,24,0,0,0,0,0,0,24,24,0,0,0,0,0,0,14,21,0,0,0,0,0,0,16,16,0,0,0,0,0,0,35,35,0,0,0,0,0,0,128,128,0,0,4,28,23,4,17,67,7,72,48,99,28,8,15,268,55,166,97,241,13,10,56,637,74,185,115,196,19,17,52,663,39,89,106,230,18,17,53,552,39,87,110,240,12,47,71,602,27,71,85,167,8,25,89,478,241,669,567,1200,119,114,349,3272
SAL50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3
SAL50010,71,166,39,54,0,8,6,351,75,130,45,59,5,19,8,334,49,85,45,57,3,13,9,257,41,77,71,67,6,17,45,315,283,609,224,304,21,54,73,1573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,15,16,0,0,0,0,0,0,9,9,0,0,0,0,0,0,8,8,0,0,0,0,0,0,3,12,0,0,0,0,0,0,55,62,0,0,0,10,8,0,0,21,0,32,15,12,4,7,6,73,47,123,17,41,3,3,20,257,70,172,38,54,0,8,17,368,75,130,45,62,5,19,19,347,49,87,43,57,3,13,16,263,41,78,69,70,6,17,56,325,287,618,232,307,21,55,128,1649
