CED_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
CED501,35,1733,773,330,2056,0.7,1717,2.7
CED502,35,1725,736,310,1913,0.8,1618,2.7
CED503,41,1800,678,315,1893,0.7,1482,2.5
CED504,37,1700,716,330,1869,0.8,1542,2.6
CED505,39,2500,1090,400,3223,0.8,2301,2.4
CED506,40,1666,1017,243,2194,0.8,1770,2.5
CED507,41,1700,754,325,1940,0.7,1543,2.5
CED508,38,1972,917,370,2398,0.8,1953,2.5
CED509,37,1950,847,346,2223,0.8,1916,2.7
CED510,41,2157,908,400,2596,0.7,2206,2.7
CED511,42,1400,822,250,1914,0.7,1459,2.4
CED512,34,1950,841,370,2232,0.8,1989,2.8
CED513,37,1987,1002,360,2499,0.8,1863,2.2
CED514,36,1850,885,350,2246,0.8,1788,2.4
CED515,40,2100,833,400,2460,0.8,2095,2.7
CED597,45,1733,2700,0,1375,0.7,1833,1.7
