CED_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85_yr_over_Married,M_85_yr_over_Separated,M_85_yr_over_Divorced,M_85_yr_over_Widowed,M_85_yr_over_Never_married,M_85_yr_over_Tot,M_OS_visitors_Married,M_OS_visitors_Separated,M_OS_visitors_Divorced,M_OS_visitors_Widowed,M_OS_visitors_Never_married,M_OS_visitors_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85_yr_over_Married,F_85_yr_over_Separated,F_85_yr_over_Divorced,F_85_yr_over_Widowed,F_85_yr_over_Never_married,F_85_yr_over_Tot,F_OS_visitors_Married,F_OS_visitors_Separated,F_OS_visitors_Divorced,F_OS_visitors_Widowed,F_OS_visitors_Never_married,F_OS_visitors_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85_yr_over_Married,P_85_yr_over_Separated,P_85_yr_over_Divorced,P_85_yr_over_Widowed,P_85_yr_over_Never_married,P_85_yr_over_Tot,P_OS_vis_Married,P_OS_vis_Separated,P_OS_vis_Divorced,P_OS_vis_Widowed,P_OS_vis_Never_married,P_OS_vis_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
CED501,10,0,3,0,5851,5864,134,12,0,0,5378,5524,3551,257,228,12,8024,12069,6676,603,729,19,3866,11893,6457,642,1290,76,2299,10769,5691,503,1478,171,1213,9051,4149,271,1034,313,373,6141,2416,125,383,438,94,3448,547,20,76,352,22,1019,47,8,15,3,53,137,29672,2446,5235,1374,27182,65912,0,0,3,0,5449,5458,245,27,3,4,4948,5225,5044,450,339,17,7130,12988,7609,869,1066,80,3452,13068,6839,808,1867,217,1901,11637,5637,590,2054,513,815,9610,3946,295,1358,1075,253,6927,1769,85,543,1428,68,3887,287,6,93,1041,14,1447,45,3,13,25,29,118,31427,3128,7342,4402,24060,70360,14,0,7,0,11296,11317,377,35,7,5,10327,10751,8594,707,568,30,15161,25058,14290,1466,1792,98,7320,24962,13297,1455,3159,288,4198,22397,11326,1091,3531,681,2031,18658,8090,567,2393,1387,625,13062,4185,208,917,1858,159,7337,839,24,172,1391,43,2466,93,14,32,30,79,249,61108,5569,12577,5774,51246,136274
CED502,14,0,4,5,5373,5388,164,14,8,5,5485,5670,4367,200,171,11,7808,12566,9216,530,696,22,3756,14216,6354,547,1087,64,2504,10557,5092,446,1368,162,1277,8340,4367,300,1020,309,471,6476,2217,120,366,387,124,3204,532,18,80,299,23,946,98,9,10,6,34,163,32415,2193,4809,1262,26862,67539,11,4,0,4,5218,5238,436,41,9,5,5000,5493,6588,399,341,24,6487,13839,9495,705,1008,96,3200,14509,6126,707,1540,253,1905,10533,5039,517,2000,603,835,9005,3858,295,1485,1256,277,7169,1554,77,505,1466,70,3678,268,12,108,1033,24,1446,115,6,12,48,29,216,33505,2770,7007,4789,23050,71125,20,4,0,6,10589,10626,594,56,16,9,10487,11166,10961,604,510,34,14293,26400,18706,1239,1701,126,6959,28730,12479,1255,2628,320,4407,21092,10134,963,3371,762,2111,17341,8231,593,2507,1558,751,13647,3772,193,869,1853,200,6890,797,34,187,1329,50,2393,215,15,26,57,60,379,65920,4963,11815,6052,49914,138659
CED503,0,5,0,0,4557,4567,101,0,0,4,3671,3781,2345,173,122,3,5021,7665,4600,373,513,19,2833,8334,5264,526,1080,62,1962,8894,5942,436,1458,150,1130,9115,6068,370,1509,381,483,8810,3891,166,569,565,128,5314,907,22,80,490,33,1530,28,10,5,0,25,70,29150,2075,5326,1680,19846,58077,4,0,0,0,4537,4542,200,20,6,3,3644,3873,3575,340,274,21,4895,9097,5578,603,822,60,2621,9688,5903,624,1679,189,1675,10069,6337,536,2020,495,851,10234,5890,343,1662,1252,301,9447,2902,111,684,1774,80,5539,491,17,126,1444,24,2094,40,0,11,21,26,99,30922,2595,7283,5247,18654,64699,3,5,0,0,9097,9108,302,22,4,5,7321,7651,5924,512,399,27,9912,16768,10179,977,1337,79,5455,18020,11170,1149,2757,254,3637,18967,12277,971,3473,643,1984,19354,11961,711,3168,1628,781,18252,6790,273,1251,2331,208,10854,1391,36,208,1936,54,3626,68,10,18,19,53,167,60071,4666,12609,6928,38499,122770
CED504,12,0,5,4,5067,5087,157,10,6,0,5703,5876,3987,199,203,16,8541,12947,6990,510,631,18,4087,12232,6260,536,1163,64,2588,10618,6431,512,1454,153,1455,10002,5547,351,1151,347,545,7942,3092,135,496,459,164,4347,789,37,68,360,33,1286,64,7,5,4,21,97,33328,2296,5180,1426,28209,70441,17,4,0,0,4855,4870,383,33,16,3,5143,5576,5461,389,345,22,7030,13242,7598,645,1008,82,3233,12566,6461,708,1768,240,1991,11171,6331,570,2115,640,1114,10765,5021,316,1792,1405,482,9011,2197,94,793,1781,126,4994,363,15,148,1337,26,1892,81,6,16,46,44,193,33911,2778,8011,5562,24035,74282,25,6,5,5,9923,9958,536,38,24,10,10850,11452,9449,581,548,36,15572,26188,14591,1155,1645,94,7312,24801,12726,1251,2931,304,4578,21788,12756,1081,3575,797,2569,20774,10566,672,2940,1751,1028,16962,5292,226,1293,2242,286,9337,1147,49,218,1698,62,3172,144,14,22,52,65,289,67236,5069,13193,6984,52239,144725
CED505,3,0,0,0,5720,5727,54,6,4,0,5063,5125,2476,77,109,8,7880,10552,6895,290,496,13,3236,10934,7483,403,912,47,1850,10695,6142,321,1191,99,1255,9011,5179,202,1084,228,744,7440,3487,114,520,380,279,4783,1132,43,111,516,64,1862,147,4,12,8,92,269,32988,1463,4448,1296,26193,66394,3,0,0,0,5517,5527,116,4,3,0,5345,5469,3626,171,225,14,7870,11898,8068,426,766,43,2961,12268,7902,537,1464,149,1786,11843,6089,389,1854,361,1122,9810,4876,230,1750,949,639,8441,2712,112,855,1791,323,5801,600,16,248,2148,194,3210,112,0,22,19,93,250,34100,1887,7197,5482,25859,74526,8,0,0,0,11236,11252,172,5,7,0,10410,10595,6102,254,329,20,15756,22453,14959,717,1263,54,6193,23199,15383,936,2381,197,3640,22536,12234,710,3047,455,2375,18820,10051,434,2838,1179,1378,15881,6198,226,1381,2175,610,10587,1729,58,362,2667,261,5075,257,10,36,29,187,518,67095,3346,11641,6778,52050,140914
CED506,30,5,4,4,5759,5803,253,20,3,4,6386,6666,5371,327,327,26,15111,21163,11759,898,1282,55,8186,22188,12040,1262,2434,145,5596,21471,12532,1092,3116,381,3207,20334,10324,606,2276,654,1044,14911,3949,188,629,609,259,5640,588,14,91,346,47,1090,280,24,42,7,442,791,57135,4435,10212,2230,46044,120057,44,0,4,3,5184,5231,295,24,8,0,5697,6031,5027,356,352,45,11264,17040,8284,727,998,100,5539,15646,8183,891,2021,286,3666,15054,9921,815,2770,748,2023,16276,8628,407,1835,1436,603,12908,2614,84,522,1428,141,4788,265,9,81,945,26,1327,94,5,19,16,361,494,43355,3321,8614,5004,34506,94799,74,5,9,3,10943,11035,548,48,12,12,12085,12693,10402,679,678,69,26372,38203,20047,1623,2279,160,13724,37832,20226,2157,4455,430,9264,36529,22455,1908,5895,1133,5233,36616,18950,1014,4113,2092,1652,27821,6570,271,1152,2039,404,10430,854,25,170,1287,70,2409,374,32,58,22,805,1284,100499,7750,18822,7237,80550,214855
CED507,4,0,0,4,4728,4743,95,6,0,4,3336,3445,2325,134,104,9,5483,8060,5261,434,547,16,3104,9363,5871,547,1088,50,2256,9822,6150,442,1521,139,1296,9552,6036,314,1316,359,503,8525,3170,95,454,443,121,4287,764,18,77,384,31,1273,85,4,6,3,70,166,29757,2007,5128,1409,20927,59234,14,0,0,0,4482,4502,144,12,0,4,3018,3173,3321,252,215,19,5021,8834,6309,623,813,72,2885,10705,6389,679,1602,188,1997,10856,6477,509,2125,454,1004,10571,5535,288,1654,1098,366,8948,2329,71,561,1643,122,4723,393,15,117,1436,42,2009,39,7,10,12,62,130,30954,2456,7097,4933,19008,64441,15,0,4,5,9219,9243,234,20,0,7,6350,6621,5640,387,319,31,10506,16894,11575,1060,1366,85,5993,20070,12265,1222,2689,236,4254,20673,12624,946,3646,593,2304,20119,11572,605,2971,1458,867,17470,5496,168,1016,2086,243,9005,1162,35,191,1822,76,3283,121,13,21,12,128,298,60707,4464,12222,6342,39938,123674
CED508,3,4,0,0,4461,4468,66,4,7,0,4797,4877,2939,114,148,10,8108,11317,6876,404,648,18,3912,11864,6391,552,1130,63,2419,10555,5599,372,1433,126,1424,8958,4459,274,1149,280,640,6799,2419,96,462,386,173,3534,700,14,78,369,52,1214,97,4,20,8,106,233,29541,1846,5082,1262,26081,63815,9,3,0,0,4390,4398,144,9,6,0,4972,5121,4313,228,234,16,7713,12510,7585,590,943,77,3441,12636,6616,615,1684,172,2182,11279,5575,492,2071,443,1225,9805,4088,260,1730,970,493,7546,1757,76,652,1424,129,4032,353,16,144,1373,48,1927,63,13,12,18,83,191,30504,2293,7480,4499,24668,69450,9,7,3,0,8851,8866,204,10,13,0,9770,9996,7252,345,386,24,15817,23820,14465,993,1592,95,7357,24504,13003,1171,2819,242,4604,21836,11172,862,3507,572,2643,18764,8550,530,2884,1254,1131,14346,4176,172,1113,1808,293,7569,1052,30,223,1740,93,3141,164,16,30,33,184,420,60042,4141,12571,5763,50749,133266
CED509,0,0,0,0,5606,5606,144,4,0,0,4903,5050,3753,189,151,14,6972,11081,7362,511,601,24,3529,12028,6832,548,1146,57,2229,10812,5989,500,1294,144,1216,9136,4860,282,965,276,464,6846,2754,109,411,362,115,3753,669,22,66,300,34,1096,53,0,6,13,39,108,32419,2162,4636,1188,25108,65512,8,0,0,5,5139,5145,232,9,0,4,4478,4725,5398,347,292,19,6040,12088,7928,691,919,79,2940,12564,7162,669,1736,196,1796,11560,5978,515,1903,488,875,9757,4430,258,1335,1005,338,7370,2008,70,565,1405,80,4125,357,12,125,1126,28,1647,63,0,12,34,43,146,33549,2580,6885,4355,21755,69132,12,0,0,5,10750,10761,373,17,6,0,9375,9775,9148,535,441,26,13015,23166,15292,1203,1519,101,6475,24586,14001,1213,2880,258,4028,22374,11961,1011,3192,631,2088,18892,9291,537,2298,1284,807,14217,4765,181,974,1764,198,7882,1020,38,191,1433,58,2742,109,0,19,46,79,252,65972,4741,11519,5541,46867,134645
CED510,0,0,0,0,5454,5463,28,4,0,0,4719,4755,1923,86,81,0,5526,7619,6608,316,507,11,2569,10015,7861,468,906,66,1559,10859,7688,306,1096,149,822,10059,7012,197,835,271,300,8618,3015,62,295,344,76,3789,705,21,63,347,15,1149,47,3,13,0,29,100,34883,1474,3803,1186,21073,62425,0,0,4,0,5027,5034,82,6,0,5,4140,4229,2986,167,166,9,4694,8015,7783,452,717,43,2148,11146,8491,544,1360,144,1253,11801,8171,413,1687,386,672,11333,6223,232,1374,1065,262,9151,2182,61,553,1360,94,4247,410,17,126,1318,31,1905,40,4,11,14,31,107,36360,1899,6008,4351,18359,66972,7,0,4,0,10482,10495,103,9,0,9,8864,8983,4908,255,243,11,10222,15634,14389,771,1230,52,4719,21159,16350,1016,2272,214,2815,22659,15859,723,2789,534,1491,21394,13234,430,2211,1335,561,17775,5191,123,851,1704,170,8035,1116,43,190,1660,52,3054,86,6,29,20,64,204,71246,3370,9813,5539,39430,129394
