CED_CODE_2021,M15_19_C_Own_chld_childr,M15_19_C_Oth_ch_chiln,M15_19_Ca_Ow_ch_ch_oth_ch_ch,M15_19_yr_C_for_Tot,M15_19_D_not_prov_ch_care,M15_19_U_ch_care_ns,M15_19_OS_vis,M15_19_yr_Tot,M20_24_C_Own_chld_childr,M20_24_C_Oth_ch_chiln,M20_24_Ca_Ow_ch_ch_oth_ch_ch,M20_24_yr_C_for_Tot,M20_24_D_not_prov_ch_care,M20_24_U_ch_care_ns,M20_24_OS_vis,M20_24_yr_Tot,M25_34_C_Own_chld_childr,M25_34_C_Oth_ch_chiln,M25_34_Ca_Ow_ch_ch_oth_ch_ch,M25_34_yr_C_for_Tot,M25_34_D_not_prov_ch_care,M25_34_U_ch_care_ns,M25_34_OS_vis,M25_34_yr_Tot,M35_44_C_Own_chld_childr,M35_44_C_Oth_ch_chiln,M35_44_Ca_Ow_ch_ch_oth_ch_ch,M35_44_yr_C_for_Tot,M35_44_D_not_prov_ch_care,M35_44_U_ch_care_ns,M35_44_OS_vis,M35_44_yr_Tot,M45_54_C_Own_chld_childr,M45_54_C_Oth_ch_chiln,M45_54_Ca_Ow_ch_ch_oth_ch_ch,M45_54_yr_C_for_Tot,M45_54_D_not_prov_ch_care,M45_54_U_ch_care_ns,M45_54_OS_vis,M45_54_yr_Tot,M55_64_C_Own_chld_childr,M55_64_C_Oth_ch_chiln,M55_64_Ca_Ow_ch_ch_oth_ch_ch,M55_64_yr_C_for_Tot,M55_64_D_not_prov_ch_care,M55_64_U_ch_care_ns,M55_64_OS_vis,M55_64_yr_Tot,M65_74_C_Own_chld_childr,M65_74_C_Oth_ch_chiln,M65_74_Ca_Ow_ch_ch_oth_ch_ch,M65_74_yr_C_for_Tot,M65_74_D_not_prov_ch_care,M65_74_U_ch_care_ns,M65_74_OS_vis,M65_74_yr_Tot,M75_84_C_Own_chld_childr,M75_84_C_Oth_ch_chiln,M75_84_Ca_Ow_ch_ch_oth_ch_ch,M75_84_yr_C_for_Tot,M75_84_D_not_prov_ch_care,M75_84_U_ch_care_ns,M75_84_OS_vis,M75_84_yr_Tot,M85ovr_C_Own_chld_childr,M85ovr_C_Oth_ch_chiln,M85ov_Ca_Ow_ch_ch_oth_ch_ch,M85ovr_C_for_Tot,M85ovr_D_not_prov_ch_care,M85ovr_U_ch_care_ns,M85ovr_OS_vis,M85ovr_Tot,MTot_C_Own_chld_childrn,MTot_C_Oth_ch_chiln,MTot_Ca_Ow_ch_ch_oth_ch_ch,MTot_C_for_Tot,MTot_D_not_prov_ch_care,MTot_U_ch_care_ns,MTot_OS_vis,MTot_Tot,F15_19_C_Own_chld_childr,F15_19_C_Oth_ch_chiln,F15_19_Ca_Ow_ch_ch_oth_ch_ch,F15_19_yr_C_for_Tot,F15_19_D_not_prov_ch_care,F15_19_U_ch_care_ns,F15_19_OS_vis,F15_19_yr_Tot,F20_24_C_Own_chld_childr,F20_24_C_Oth_ch_chiln,F20_24_Ca_Ow_ch_ch_oth_ch_ch,F20_24_yr_C_for_Tot,F20_24_D_not_prov_ch_care,F20_24_U_ch_care_ns,F20_24_OS_vis,F20_24_yr_Tot,F25_34_C_Own_chld_childr,F25_34_C_Oth_ch_chiln,F25_34_Ca_Ow_ch_ch_oth_ch_ch,F25_34_yr_C_for_Tot,F25_34_D_not_prov_ch_care,F25_34_U_ch_care_ns,F25_34_OS_vis,F25_34_yr_Tot,F35_44_C_Own_chld_childr,F35_44_C_Oth_ch_chiln,F35_44_Ca_Ow_ch_ch_oth_ch_ch,F35_44_yr_C_for_Tot,F35_44_D_not_prov_ch_care,F35_44_U_ch_care_ns,F35_44_OS_vis,F35_44_yr_Tot,F45_54_C_Own_chld_childr,F45_54_C_Oth_ch_chiln,F45_54_Ca_Ow_ch_ch_oth_ch_ch,F45_54_yr_C_for_Tot,F45_54_D_not_prov_ch_care,F45_54_U_ch_care_ns,F45_54_OS_vis,F45_54_yr_Tot,F55_64_C_Own_chld_childr,F55_64_C_Oth_ch_chiln,F55_64_Ca_Ow_ch_ch_oth_ch_ch,F55_64_yr_C_for_Tot,F55_64_D_not_prov_ch_care,F55_64_U_ch_care_ns,F55_64_OS_vis,F55_64_yr_Tot,F65_74_C_Own_chld_childr,F65_74_C_Oth_ch_chiln,F65_74_Ca_Ow_ch_ch_oth_ch_ch,F65_74_yr_C_for_Tot,F65_74_D_not_prov_ch_care,F65_74_U_ch_care_ns,F65_74_OS_vis,F65_74_yr_Tot,F75_84_C_Own_chld_childr,F75_84_C_Oth_ch_chiln,F75_84_Ca_Ow_ch_ch_oth_ch_ch,F75_84_yr_C_for_Tot,F75_84_D_not_prov_ch_care,F75_84_U_ch_care_ns,F75_84_OS_vis,F75_84_yr_Tot,F85ovr_C_Own_chld_childr,F85ovr_C_Oth_ch_chiln,F85ov_Ca_Ow_ch_ch_oth_ch_ch,F85ovr_C_for_Tot,F85ovr_D_not_prov_ch_care,F85ovr_U_ch_care_ns,F85ovr_OS_vis,F85ovr_Tot,FTot_C_Own_chld_childrn,FTot_C_Oth_ch_chiln,FTot_Ca_Ow_ch_ch_oth_ch_ch,FTot_C_for_Tot,FTot_D_not_prov_ch_care,FTot_U_ch_care_ns,FTot_OS_vis,FTot_Tot,P15_19_C_Own_chld_childr,P15_19_C_Oth_ch_chiln,P15_19_Ca_Ow_ch_ch_oth_ch_ch,P15_19_yr_C_for_Tot,P15_19_D_not_prov_ch_care,P15_19_U_ch_care_ns,P15_19_OS_vis,P15_19_yr_Tot,P20_24_C_Own_chld_childr,P20_24_C_Oth_ch_chiln,P20_24_Ca_Ow_ch_ch_oth_ch_ch,P20_24_yr_C_for_Tot,P20_24_D_not_prov_ch_care,P20_24_U_ch_care_ns,P20_24_OS_vis,P20_24_yr_Tot,P25_34_C_Own_chld_childr,P25_34_C_Oth_ch_chiln,P25_34_Ca_Ow_ch_ch_oth_ch_ch,P25_34_yr_C_for_Tot,P25_34_D_not_prov_ch_care,P25_34_U_ch_care_ns,P25_34_OS_vis,P25_34_yr_Tot,P35_44_C_Own_chld_childr,P35_44_C_Oth_ch_chiln,P35_44_Ca_Ow_ch_ch_oth_ch_ch,P35_44_yr_C_for_Tot,P35_44_D_not_prov_ch_care,P35_44_U_ch_care_ns,P35_44_OS_vis,P35_44_yr_Tot,P45_54_C_Own_chld_childr,P45_54_C_Oth_ch_chiln,P45_54_Ca_Ow_ch_ch_oth_ch_ch,P45_54_yr_C_for_Tot,P45_54_D_not_prov_ch_care,P45_54_U_ch_care_ns,P45_54_OS_vis,P45_54_yr_Tot
CED501,23,330,0,360,5161,345,0,5861,234,194,9,435,4549,548,16,5544,3718,334,129,4174,6636,1265,22,12094,6160,222,234,6621,4253,1024,16,11917,3057,385,93,3538,6593,630,15,10778,526,904,12,1445,7195,411,22,9071,87,730,3,818,5024,304,25,6166,12,169,0,185,3026,241,11,3459,0,9,0,14,856,150,4,1023,13817,3284,486,17585,43288,4909,137,65912,57,523,7,580,4592,292,0,5462,579,403,25,1002,3939,289,4,5231,6213,567,423,7204,5113,669,12,12998,8047,452,527,9030,3462,576,12,13080,2979,1067,161,4209,6975,451,12,11648,202,2347,27,2576,6718,309,34,9644,63,1332,11,1409,5214,299,29,6954,11,209,0,223,3344,323,9,3895,3,10,0,16,1184,251,5,1453,18157,6909,1183,26241,40538,3462,118,70360,82,850,6,936,9745,633,4,11321,812,590,28,1440,8484,827,17,10770,9928,899,547,11376,11749,1934,38,25091,14207,679,770,15650,7715,1602,30,24993,6038,1452,257,7748,13564,1085,31,22428
CED502,14,293,0,312,4754,324,0,5388,227,230,9,469,4850,351,13,5686,3363,345,86,3799,7943,819,25,12587,7220,230,179,7626,5856,735,22,14242,2949,306,95,3352,6622,587,21,10576,537,633,17,1182,6760,397,25,8370,121,797,7,923,5262,293,47,6520,22,178,0,196,2801,208,15,3221,4,12,0,13,784,146,0,952,14457,3020,401,17877,45632,3867,163,67539,51,470,3,532,4397,306,5,5244,582,406,44,1025,4141,325,3,5501,6092,564,273,6928,6135,773,18,13853,8641,440,435,9528,4287,699,14,14524,2597,897,133,3628,6424,478,19,10552,284,1936,29,2249,6386,365,66,9069,87,1435,13,1536,5315,314,68,7239,14,211,0,231,3162,287,19,3695,0,17,0,17,1170,260,6,1454,18352,6376,932,25665,41426,3816,216,71125,66,767,4,840,9151,629,6,10629,809,627,54,1490,8997,682,19,11185,9453,910,360,10724,14083,1596,39,26444,15864,674,617,17150,10138,1430,36,28768,5548,1200,228,6981,13046,1065,38,21128
CED503,21,273,0,299,4015,248,0,4568,208,145,0,357,3230,195,0,3782,2642,215,77,2936,4278,452,8,7674,4400,188,184,4771,3028,527,14,8346,2514,343,74,2933,5461,501,11,8910,496,890,10,1394,7317,403,12,9128,81,903,4,992,7406,408,19,8822,24,202,0,226,4749,340,0,5317,0,10,0,13,1341,177,0,1530,10390,3174,354,13918,40826,3256,70,58077,29,436,3,475,3817,261,0,4545,482,326,18,829,2856,186,3,3879,4618,421,302,5344,3328,428,19,9118,5956,346,450,6759,2500,435,11,9699,2492,962,159,3604,6044,416,13,10083,193,2336,24,2555,7339,351,15,10258,47,1610,11,1661,7422,361,24,9468,15,228,5,246,4878,419,8,5552,3,18,0,20,1729,343,4,2101,13843,6682,964,21486,39912,3204,99,64699,53,715,4,767,7832,506,4,9111,691,474,24,1185,6090,388,7,7664,7265,639,377,8275,7603,885,25,16788,10359,539,630,11529,5531,962,28,18049,5008,1304,231,6539,11508,921,27,18995
CED504,27,216,0,244,4615,230,4,5092,104,186,11,300,5207,376,5,5887,2569,337,67,2978,9225,743,15,12962,5523,206,124,5853,5709,669,9,12241,3195,218,69,3479,6642,497,10,10632,712,717,17,1442,8185,376,22,10029,146,1185,0,1336,6314,294,20,7961,18,318,4,337,3789,226,7,4352,3,21,0,21,1156,106,0,1284,12287,3400,300,15985,50839,3518,97,70441,34,400,3,438,4167,266,3,4872,309,348,21,677,4616,275,11,5583,4528,578,196,5300,7241,703,33,13276,6979,351,312,7639,4294,636,15,12583,3064,623,132,3825,6908,440,23,11194,304,2118,33,2455,7950,363,66,10834,96,2101,17,2216,6452,349,37,9051,17,362,4,376,4313,306,5,5003,0,24,0,27,1676,187,0,1893,15336,6902,716,22947,47618,3530,193,74282,56,610,4,676,8780,498,5,9961,412,530,32,972,9821,654,14,11467,7098,915,260,8277,16469,1447,50,26238,12498,558,434,13489,9998,1305,28,24825,6260,846,205,7306,13540,935,35,21823
CED505,10,233,0,243,5312,170,16,5735,16,109,0,124,4815,188,18,5148,1260,232,29,1522,8486,547,54,10607,5923,173,160,6254,4214,458,25,10958,5082,144,136,5365,4986,342,55,10749,966,506,18,1492,7230,288,43,9054,140,1508,3,1655,5462,319,36,7473,34,565,0,603,3834,351,17,4804,3,23,0,27,1605,233,4,1871,13443,3495,348,17291,45941,2891,269,66394,14,358,0,374,4952,200,18,5540,43,257,4,306,4942,219,18,5482,2327,537,88,2950,8409,540,54,11955,7601,389,457,8446,3353,472,32,12296,5288,353,214,5856,5642,344,32,11872,443,1547,15,2009,7523,288,42,9853,102,2750,13,2857,5211,373,42,8486,34,761,0,805,4589,416,11,5815,9,35,0,44,2750,419,10,3222,15854,6994,797,23648,47362,3266,250,74526,26,596,5,621,10265,371,30,11279,64,366,4,433,9760,403,41,10636,3589,767,118,4470,16898,1085,106,22561,13521,564,622,14702,7565,931,57,23257,10372,503,345,11218,10623,688,85,22619
CED506,45,370,8,423,4454,926,0,5801,307,283,27,618,4600,1445,144,6813,4245,525,217,4990,10759,5415,282,21445,8118,447,368,8930,7662,5590,156,22341,4221,565,150,4939,11364,5172,91,21562,698,1127,30,1855,14423,4060,67,20403,110,969,8,1083,11901,1923,36,14948,19,169,0,183,4699,752,10,5652,8,7,0,16,895,178,3,1092,17766,4467,812,23041,70766,25458,791,120057,81,572,25,677,3774,771,0,5235,638,435,74,1146,3842,1048,101,6129,5333,709,528,6577,7676,2793,236,17283,7554,626,681,8865,4565,2216,48,15693,2801,1121,197,4123,8789,2142,27,15080,261,2330,26,2624,11654,2009,34,16315,52,1516,16,1587,9907,1419,38,12945,16,213,0,235,3891,669,4,4795,0,15,3,24,1072,229,0,1323,16736,7543,1562,25840,55169,13294,494,94799,129,939,33,1100,8231,1702,3,11038,943,716,100,1762,8438,2493,244,12940,9576,1237,751,11560,18435,8208,512,38721,15672,1075,1049,17794,12235,7805,198,38037,7018,1693,354,9057,20157,7312,116,36641
CED507,20,209,0,227,4195,317,4,4747,171,116,3,293,2915,236,12,3454,2320,206,73,2600,4709,749,66,8125,5038,186,207,5433,3209,725,35,9398,3129,274,104,3502,5638,675,22,9837,532,773,14,1326,7644,584,11,9565,89,999,6,1094,6927,509,8,8532,17,181,3,202,3786,294,6,4295,0,9,0,12,1092,172,0,1273,11317,2954,410,14682,40114,4266,166,59234,19,384,0,410,3821,270,8,4503,346,218,20,585,2406,186,6,3183,3830,362,282,4471,3811,554,44,8874,6634,344,520,7506,2690,509,22,10723,3113,753,179,4037,6283,530,12,10862,201,2158,24,2383,7665,518,25,10589,61,1618,10,1691,6764,490,11,8956,20,217,0,241,4128,349,6,4728,3,10,4,17,1713,273,0,2009,14236,6077,1039,21352,39280,3681,130,64441,41,591,4,634,8018,588,10,9256,520,333,24,878,5320,420,23,6637,6147,568,351,7071,8517,1301,105,17000,11677,534,733,12937,5893,1234,56,20127,6242,1022,279,7540,11922,1207,29,20703
CED508,10,218,3,230,4051,186,17,4485,87,147,0,235,4398,246,19,4895,2270,275,62,2609,8119,588,60,11377,6117,253,188,6561,4727,576,24,11893,3702,253,113,4072,6013,475,32,10590,693,686,16,1400,7184,370,40,8998,107,1093,3,1201,5292,303,30,6830,25,270,0,302,2951,280,6,3540,4,15,0,23,1009,183,3,1214,13019,3216,398,16629,43748,3203,233,63815,17,312,3,335,3893,174,0,4405,197,311,13,526,4368,232,22,5143,3866,607,177,4649,7306,554,53,12560,7617,404,493,8521,3661,458,17,12650,3593,684,192,4465,6413,404,23,11304,311,1993,27,2331,7148,327,35,9842,63,1966,10,2044,5171,329,33,7578,22,346,4,377,3319,342,6,4036,3,16,0,18,1577,331,0,1928,15688,6648,927,23261,42852,3144,191,69450,26,532,7,563,7943,362,20,8884,279,457,17,755,8765,476,42,10038,6138,880,241,7257,15424,1139,116,23936,13736,661,685,15077,8384,1037,43,24540,7292,940,309,8538,12421,876,55,21892
CED509,18,308,0,325,5033,244,3,5612,134,205,4,347,4316,387,0,5054,3063,309,87,3461,6450,1166,25,11102,6135,230,166,6531,4409,1080,14,12036,3487,314,108,3906,6151,754,13,10829,634,744,22,1405,7239,494,26,9157,113,1017,8,1140,5419,296,16,6867,18,256,3,273,3250,233,10,3761,5,8,0,14,954,126,6,1095,13618,3396,393,17410,43216,4789,108,65512,21,476,8,505,4401,242,4,5157,355,379,15,749,3732,246,7,4732,5417,545,276,6242,5230,613,27,12112,7708,410,456,8577,3410,581,14,12579,3351,848,175,4374,6753,439,11,11572,292,2142,32,2463,6977,315,42,9795,65,1778,9,1853,5217,297,30,7401,15,321,7,338,3515,275,11,4136,0,16,0,16,1384,249,4,1646,17226,6908,975,25119,40613,3251,146,69132,41,781,12,837,9435,484,13,10767,491,587,17,1092,8046,634,11,9787,8485,858,361,9704,11680,1786,47,23212,13849,638,620,15102,7821,1662,30,24616,6841,1166,280,8281,12900,1195,23,22396
CED510,17,229,0,253,5070,135,0,5465,36,135,4,179,4447,128,3,4761,1716,180,34,1928,5403,290,22,7637,6198,167,196,6566,3129,321,11,10025,4564,213,111,4894,5678,291,22,10880,634,997,19,1649,8192,222,22,10086,125,1924,6,2052,6381,185,15,8630,15,403,3,425,3179,183,4,3791,0,12,0,11,1038,100,4,1154,13309,4270,376,17957,42520,1849,100,62425,6,332,5,344,4563,125,4,5037,110,216,4,333,3794,104,11,4243,2939,346,160,3442,4305,269,13,8036,7774,305,502,8586,2284,270,12,11157,4457,583,180,5221,6315,262,12,11813,294,2781,28,3109,7987,241,15,11346,94,2963,16,3074,5864,218,18,9174,16,420,4,436,3559,250,14,4258,4,12,0,15,1712,175,0,1908,15696,7962,902,24561,40397,1911,107,66972,26,558,5,597,9639,264,3,10498,145,354,10,508,8241,231,17,8998,4651,524,194,5372,9705,560,34,15670,13975,479,702,15155,5410,590,25,21184,9020,797,292,10114,11996,555,31,22691
