CED_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
CED501,725,3250,42,4023,13919,718,52,18717,145,2065,13,2225,10236,604,51,13116,28,374,3,405,6371,562,18,7352,3,23,0,27,2039,403,8,2474,31973,10191,1668,43823,83827,8372,249,136274
CED502,822,2569,45,3437,13150,760,92,17435,201,2238,19,2460,10574,603,115,13758,39,388,4,427,5964,496,32,6918,4,28,0,28,1951,406,4,2401,32809,9402,1334,43541,87059,7685,379,138659
CED503,687,3224,33,3947,14662,747,31,19380,127,2513,10,2655,14829,770,36,18291,45,427,5,475,9626,755,9,10862,3,31,0,33,3072,521,4,3632,24235,9854,1318,35404,80739,6459,167,122770
CED504,1010,2831,50,3899,16137,737,89,20858,243,3288,17,3550,12763,643,59,17019,32,671,3,708,8103,528,13,9354,6,44,0,47,2839,289,4,3175,27615,10303,1012,38931,98457,7043,289,144725
CED505,1410,2056,39,3503,14748,572,86,18912,242,4263,12,4511,10670,691,77,15957,71,1328,6,1407,8417,761,33,10616,5,62,0,68,4347,655,14,5087,29297,10494,1147,40934,93308,6157,518,140914
CED506,961,3456,54,4477,26075,6066,103,36723,165,2483,26,2670,21804,3344,78,27896,29,380,3,419,8591,1418,16,10444,6,26,0,39,1966,406,6,2415,34504,12008,2370,48880,125936,38748,1284,214855
CED507,735,2933,40,3705,15309,1106,34,20154,146,2622,12,2787,13686,999,23,17490,39,397,7,444,7918,647,14,9021,8,26,4,33,2809,444,0,3286,25551,9034,1453,36033,79397,7945,298,123674
CED508,1007,2677,48,3729,14335,697,76,18836,177,3054,15,3245,10463,638,60,14410,43,625,8,676,6272,620,14,7578,8,32,0,40,2592,510,4,3143,28705,9863,1327,39887,86597,6353,420,133266
CED509,922,2886,57,3867,14216,807,60,18955,184,2791,16,2988,10632,595,49,14265,29,572,6,614,6762,511,19,7899,5,26,0,33,2337,375,3,2747,30846,10304,1367,42522,83828,8040,252,134645
CED510,925,3779,50,4754,16184,457,39,21434,220,4884,14,5123,12245,402,31,17801,31,825,9,864,6739,431,19,8057,4,32,0,31,2753,274,3,3058,28999,12237,1275,42517,82919,3757,204,129394
CED511,911,2836,45,3789,19934,3148,48,26919,142,2029,6,2180,16175,2012,38,20403,48,338,0,388,8770,1128,9,10295,0,20,0,20,2986,530,4,3551,26428,9085,1467,36976,95104,20625,383,153080
CED512,841,2911,42,3806,12659,529,54,17050,149,2244,19,2408,8653,350,43,11464,19,373,0,398,5398,341,18,6150,0,28,0,27,1814,230,6,2081,33978,9722,1509,45214,82143,4983,285,132628
CED513,963,1978,35,2972,15525,1116,127,19741,160,2587,10,2756,11089,837,69,14745,44,694,4,741,6895,650,30,8317,6,55,0,60,3806,399,4,4271,26282,8596,966,35846,109404,10078,1114,156439
CED514,976,2492,36,3505,14947,1004,107,19568,208,2926,16,3151,11394,779,82,15410,38,580,4,616,6959,757,30,8359,6,29,0,31,3217,775,4,4031,28731,9594,1017,39345,107050,10075,560,157039
CED515,1247,3186,38,4472,16460,627,116,21671,326,4815,24,5168,12865,561,112,18700,57,1033,9,1095,8591,643,33,10366,17,59,0,74,4140,593,20,4830,31912,12136,1079,45133,95865,6443,512,147954
CED597,9,15,0,30,290,221,29,560,0,15,0,15,103,56,0,178,0,3,0,3,19,12,0,32,0,0,0,0,0,0,4,3,310,58,9,371,1489,1380,164,3410
