CED_CODE_2021,F_Unrel_ind_liv_fam_hh_0_14,F_Unre_ind_liv_fam_hh_15_24,F_Unre_ind_liv_fam_hh_25_34,F_Unre_ind_liv_fam_hh_35_44,F_Unre_ind_liv_fam_hh_45_54,F_Unre_ind_liv_fam_hh_55_64,F_Unre_ind_liv_fam_hh_65_74,F_Unre_ind_liv_fam_hh_75_84,F_Unrel_ind_liv_fam_hh_85ov,F_Unrel_ind_liv_fam_hh_Tot,F_Group_hh_mem_0_14,F_Group_hh_mem_15_24,F_Group_hh_mem_25_34,F_Group_hh_mem_35_44,F_Group_hh_mem_45_54,F_Group_hh_mem_55_64,F_Group_hh_mem_65_74,F_Group_hh_mem_75_84,F_Group_hh_mem_85ov,F_Group_hh_mem_Tot,F_LPer_0_14_yr,F_LPer_15_24_yr,F_LPer_25_34_yr,F_LPer_35_44_yr,F_LPer_45_54_yr,F_LPer_55_64_yr,F_LPer_65_74_yr,F_LPer_75_84_yr,F_LPer_85_yr_over,F_LPer_Tot,F_Vis_from_within_Aus_0_14,F_Vis_from_within_Aus_15_24,F_Vis_from_within_Aus_25_34,F_Vis_from_within_Aus_35_44,F_Vis_from_within_Aus_45_54,F_Vis_from_within_Aus_55_64,F_Vis_from_within_Aus_65_74,F_Vis_from_within_Aus_75_84,F_Vis_from_within_Aus_85ov,F_Vis_from_within_Aus_Tot,F_OS_vis_0_14_yr,F_OS_vis_15_24_yr,F_OS_vis_25_34_yr,F_OS_vis_35_44_yr,F_OS_vis_45_54_yr,F_OS_vis_55_64_yr,F_OS_vis_65_74_yr,F_OS_vis_75_84_yr,F_OS_vis_85_yr_over,F_Overseas_v_Total,F_Tot_0_14_yr,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Part_r_mar_0_14,P_Part_r_mar_15_24,P_Part_r_mar_25_34,P_Part_r_mar_35_44,P_Part_r_mar_45_54,P_Part_r_mar_55_64,P_Part_r_mar_65_74,P_Part_r_mar_75_84,P_Part_r_mar_85ov,P_Part_r_mar_Tot,P_Part_de_f_mar_0_14,P_Part_de_f_mar_15_24,P_Part_de_f_mar_25_34,P_Part_de_f_mar_35_44,P_Part_de_f_mar_45_54,P_Part_de_f_mar_55_64,P_Part_de_f_mar_65_74,P_Part_de_f_mar_75_84,P_Part_de_f_mar_85ov,P_Part_de_f_mar_Tot,P_LPar_0_14_yr,P_LPar_15_24_yr,P_LPar_25_34_yr,P_LPar_35_44_yr,P_LPar_45_54_yr,P_LPar_55_64_yr,P_LPar_65_74_yr,P_LPar_75_84_yr,P_LPar_85_yr_over,P_LPar_Tot,P_Child_u_15_0_14_yr,P_Child_u_15_15_24_yr,P_Child_u_15_25_34_yr,P_Child_u_15_35_44_yr,P_Child_u_15_45_54_yr,P_Child_u_15_55_64_yr,P_Child_u_15_65_74_yr,P_Child_u_15_75_84_yr,P_Child_u_15_85_yr_over,P_Child_u_15_Tot,P_Dep_stu15_24_0_14,P_Dep_stu15_24_15_24,P_Dep_stu15_24_25_34,P_Dep_stu15_24_35_44,P_Dep_stu15_24_45_54,P_Dep_stu15_24_55_64,P_Dep_stu15_24_65_74,P_Dep_stu15_24_75_84,P_Dep_stu15_24_85_over,P_Dep_stu15_24_Tot,P_Non_dep_child_0_14,P_Non_dep_child_15_24,P_Non_dep_child_25_34,P_Non_dep_child_35_44,P_Non_dep_child_45_54,P_Non_dep_child_55_64,P_Non_dep_child_65_74,P_Non_dep_child_75_84,P_Non_dep_child_85_over,P_Non_dep_child_Tot,P_Oth_rel_ind_0_14,P_Oth_rel_ind_15_24,P_Oth_rel_ind_25_34,P_Oth_rel_ind_35_44,P_Oth_rel_ind_45_54,P_Oth_rel_ind_55_64,P_Oth_rel_ind_65_74,P_Oth_rel_ind_75_84,P_Oth_rel_ind_85ov,P_Oth_rel_ind_Tot,P_Unrel_ind_liv_fam_hh_0_14,P_Unre_ind_liv_fam_hh_15_24,P_Unre_ind_liv_fam_hh_25_34,P_Unre_ind_liv_fam_hh_35_44,P_Unre_ind_liv_fam_hh_45_54,P_Unre_ind_liv_fam_hh_55_64,P_Unre_ind_liv_fam_hh_65_74,P_Unre_ind_liv_fam_hh_75_84,P_Unrel_ind_liv_fam_hh_85ov,P_Unrel_ind_liv_fam_hh_Tot,P_Group_hh_mem_0_14,P_Group_hh_mem_15_24,P_Group_hh_mem_25_34,P_Group_hh_mem_35_44,P_Group_hh_mem_45_54,P_Group_hh_mem_55_64,P_Group_hh_mem_65_74,P_Group_hh_mem_75_84,P_Group_hh_mem_85ov,P_Group_hh_mem_Tot,P_LPer_0_14_yr,P_LPer_15_24_yr,P_LPer_25_34_yr,P_LPer_35_44_yr,P_LPer_45_54_yr,P_LPer_55_64_yr,P_LPer_65_74_yr,P_LPer_75_84_yr,P_LPer_85_yr_over,P_LPer_Tot,P_Vis_from_within_Aus_0_14,P_Vis_from_within_Aus_15_24,P_Vis_from_within_Aus_25_34,P_Vis_from_within_Aus_35_44,P_Vis_from_within_Aus_45_54,P_Vis_from_within_Aus_55_64,P_Vis_from_within_Aus_65_74,P_Vis_from_within_Aus_75_84,P_Vis_from_within_Aus_85ov,P_Vis_from_within_Aus_Tot,P_OS_vis_0_14_yr,P_OS_vis_15_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_Overseas_v_Total,P_Tot_0_14_yr,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
CED501,..,272,165,61,38,40,21,3,6,599,..,303,350,147,205,215,157,54,12,1449,..,278,767,606,859,1529,1660,1377,569,7648,274,315,222,151,143,182,123,58,15,1477,15,5,8,11,7,26,26,8,5,107,18486,10188,12367,12586,11261,9330,6707,3620,1115,85671,..,323,7907,13436,12618,10713,7600,3871,706,57176,..,2240,6416,3715,2601,1501,572,163,17,17239,..,292,1645,2484,2310,1128,492,296,193,8840,37598,..,..,..,..,..,..,..,..,37598,..,8008,..,..,..,..,..,..,..,8008,..,6452,2653,783,523,268,58,0,0,10728,..,941,663,280,320,550,522,283,152,3711,..,536,476,233,138,112,47,10,3,1563,..,700,957,412,471,467,323,112,23,3469,..,623,1926,1767,2114,2913,2700,2019,827,14880,526,576,467,378,318,303,219,92,23,2892,16,10,22,17,23,38,39,17,5,184,38144,20702,23131,23506,21434,17993,12567,6864,1957,166297
CED502,..,290,256,100,58,45,21,7,0,782,..,340,389,209,242,224,147,52,7,1611,..,264,737,639,806,1418,1692,1290,585,7430,254,255,213,133,146,153,141,51,26,1365,11,9,9,12,19,63,64,17,0,194,19022,10269,13246,13948,10150,8770,6991,3434,1092,86920,..,506,9995,17626,11714,9518,7805,3505,633,61295,..,1675,4873,2939,2006,1184,486,123,17,13308,..,294,1454,2223,2107,1303,678,352,192,8605,38652,..,..,..,..,..,..,..,..,38652,..,8631,..,..,..,..,..,..,..,8631,..,6063,3501,1110,664,274,49,4,0,11658,..,1231,1067,444,432,737,735,353,158,5165,..,625,745,383,230,126,73,28,4,2203,..,813,1299,659,633,545,337,123,11,4430,..,523,1815,1879,2105,2763,2759,1886,807,14541,504,494,469,321,328,283,229,87,39,2760,25,14,29,26,24,82,108,27,0,343,39184,20875,25248,27612,20264,16814,13253,6483,1867,171591
CED503,..,210,143,63,47,43,24,5,0,549,..,195,195,106,178,242,164,67,11,1149,..,208,448,420,744,1453,2006,1741,865,7879,244,261,172,121,162,165,169,88,45,1437,7,10,11,9,11,18,15,3,3,81,14374,8072,8725,9317,9685,9859,9066,5194,1598,75889,..,282,5555,9670,10583,11526,11268,6326,1163,56365,..,1552,4402,2903,2384,1805,986,320,54,14408,..,218,1198,1772,1825,938,453,283,187,6874,28708,..,..,..,..,..,..,..,..,28708,..,6327,..,..,..,..,..,..,..,6327,..,5249,2024,741,480,276,59,7,0,8834,..,707,366,192,241,426,469,289,177,2877,..,423,367,169,132,106,58,16,5,1280,..,388,534,279,390,462,363,138,27,2584,..,411,1154,1139,1691,2665,3455,2671,1247,14432,455,505,385,295,326,308,272,149,58,2752,17,8,19,25,20,30,26,7,3,148,29174,16071,16009,17175,18079,18540,17407,10208,2924,145579
CED504,..,246,319,74,73,49,17,6,4,801,..,443,634,216,217,244,158,64,6,1973,..,221,882,795,938,1660,2255,1711,742,9195,179,259,230,165,135,118,125,72,44,1312,10,9,23,16,17,57,36,4,0,175,15182,10097,12746,12084,10853,10550,8789,4729,1546,86577,..,417,8504,13567,12061,12115,10073,4952,983,62679,..,1237,4972,2939,1800,1186,557,186,19,12890,..,189,1070,1940,2490,1598,849,537,295,8972,31004,..,..,..,..,..,..,..,..,31004,..,8993,..,..,..,..,..,..,..,8993,..,6089,4332,1432,888,449,79,6,0,13275,..,1211,1042,431,454,735,706,445,264,5289,..,577,795,307,206,149,58,19,7,2126,..,1036,1858,736,583,550,338,130,25,5262,..,458,2069,2040,2273,3160,3555,2466,1027,17046,417,480,534,410,321,253,220,117,53,2809,12,15,34,27,22,81,53,15,0,259,31432,20703,25205,23818,21099,20273,16500,8880,2683,170594
CED505,..,158,217,51,19,17,8,0,0,479,..,996,1596,222,124,158,111,69,15,3294,..,472,1426,1069,933,1669,2281,2134,1303,11283,120,254,270,166,110,127,124,62,27,1265,17,13,42,18,20,32,37,4,3,189,13835,9581,11207,11647,11402,9418,7871,5135,2130,82224,..,131,5436,13905,14590,11400,9223,5432,1344,61457,..,923,5796,3015,1886,1448,740,254,53,14124,..,33,256,1134,1987,1131,401,249,219,5412,28242,..,..,..,..,..,..,..,..,28242,..,10796,..,..,..,..,..,..,..,10796,..,3132,2060,519,384,233,59,0,0,6395,..,692,510,149,126,233,312,234,154,2411,..,305,488,114,42,41,16,3,4,1015,..,1804,3202,567,275,300,230,136,33,6553,..,855,2782,2256,2059,2907,3562,2918,1667,19005,273,468,512,316,243,244,208,125,43,2433,25,30,64,32,54,67,61,22,14,370,28533,19173,21117,22017,21651,18005,14809,9372,3529,158207
CED506,..,261,235,80,58,55,33,12,0,730,..,344,588,196,210,253,167,61,7,1827,..,447,957,640,1020,1634,1540,1002,438,7685,366,481,448,298,314,547,526,190,56,3229,5,14,49,11,5,9,24,6,0,122,17292,8549,11713,11668,10861,10260,7239,3251,899,81746,..,373,6384,11515,11107,10835,8163,3519,556,52452,..,2319,6827,4547,3476,2527,1015,253,34,20991,..,323,1333,1970,1819,972,512,294,129,7355,34886,..,..,..,..,..,..,..,..,34886,..,4731,..,..,..,..,..,..,..,4731,..,5208,1753,788,489,214,36,0,0,8489,..,1446,664,425,483,642,552,302,164,4670,..,482,552,221,168,152,83,32,4,1698,..,656,1237,508,503,609,416,134,15,4079,..,893,2190,1846,2704,3780,3290,1785,667,17161,744,878,867,659,645,967,1077,396,87,6322,15,36,77,23,10,21,25,11,5,218,35653,17352,21884,22502,21412,20716,15160,6720,1663,163056
CED507,..,248,203,85,49,43,23,7,0,657,..,296,440,144,193,242,153,57,17,1537,..,223,452,471,898,1598,1997,1611,853,8101,185,296,222,143,133,186,181,75,38,1469,4,8,18,7,9,18,7,6,0,78,13971,7184,8084,10066,10178,9664,8189,4293,1440,73068,..,213,4974,10545,11176,11127,10186,4881,920,54025,..,1513,4331,2997,2492,1924,937,238,27,14459,..,180,882,1914,1946,770,379,263,169,6502,28483,..,..,..,..,..,..,..,..,28483,..,5544,..,..,..,..,..,..,..,5544,..,4594,1471,602,405,239,52,4,0,7366,..,559,357,159,177,343,367,206,119,2287,..,470,481,209,140,98,56,21,4,1485,..,629,1025,395,435,513,329,114,31,3462,..,495,1210,1325,1992,2874,3280,2280,1150,14600,420,550,468,335,293,340,311,143,52,2912,15,16,39,17,10,23,17,11,0,151,28916,14771,15234,18506,19071,18250,15907,8164,2460,141277
CED508,..,242,251,75,49,33,15,9,0,670,..,704,934,239,172,202,155,38,9,2449,..,387,1069,877,988,1706,2031,1396,713,9173,161,272,230,138,118,144,129,74,39,1304,6,11,28,11,18,24,30,6,0,127,14326,9146,11999,12186,10890,9444,7211,3640,1318,80162,..,178,6767,13748,12405,10476,7974,3803,784,56134,..,1395,6564,3638,2444,1626,805,190,28,16689,..,101,734,1734,2151,1261,505,342,205,7028,29035,..,..,..,..,..,..,..,..,29035,..,7692,..,..,..,..,..,..,..,7692,..,4958,2647,802,558,289,60,0,0,9322,..,805,595,213,227,407,410,254,172,3088,..,426,562,225,144,93,52,15,0,1514,..,1296,2035,642,432,439,339,105,16,5307,..,675,2269,2097,2275,3074,3217,2024,998,16625,333,514,502,339,272,271,240,119,48,2624,16,19,50,16,29,44,48,12,3,233,29380,18062,22728,23461,20930,17978,13647,6849,2254,155291
CED509,..,235,172,73,63,50,22,10,0,626,..,238,292,128,173,197,137,36,8,1204,..,244,676,521,754,1290,1507,1243,608,6841,233,288,231,138,120,160,119,91,33,1412,10,13,16,7,8,37,31,5,0,127,16866,9416,11530,12027,11139,9453,7103,3823,1215,82577,..,308,8401,14376,13284,11282,8778,4396,845,61672,..,1520,5236,3286,2482,1608,685,193,22,15028,..,161,1081,1845,2048,1142,473,303,162,7218,34431,..,..,..,..,..,..,..,..,34431,..,8400,..,..,..,..,..,..,..,8400,..,6175,2724,833,520,247,55,0,0,10546,..,903,725,266,308,511,580,377,179,3851,..,477,478,206,165,100,71,25,8,1530,..,502,804,407,394,440,286,74,20,2918,..,465,1628,1416,1723,2415,2442,1811,838,12737,457,537,478,361,270,277,205,139,53,2773,16,17,34,14,20,54,47,10,6,212,34901,19455,21568,23004,21214,18082,13627,7339,2133,161321
CED510,..,168,119,48,35,34,9,4,5,417,..,240,332,95,91,147,114,41,9,1065,..,164,393,307,467,1109,1762,1362,740,6310,187,228,181,108,97,109,91,52,32,1089,7,15,11,12,12,14,19,12,0,93,14658,9046,7768,10911,11578,11108,8931,3953,1394,79345,..,96,4666,13966,15897,15390,12746,4861,901,68532,..,780,4086,2769,2054,1381,556,120,16,11765,..,62,433,1306,1894,1116,470,250,162,5683,29861,..,..,..,..,..,..,..,..,29861,..,10037,..,..,..,..,..,..,..,10037,..,5762,3064,836,458,210,50,0,0,10380,..,540,346,131,128,299,412,268,205,2334,..,319,332,131,84,69,34,13,5,990,..,595,901,302,235,286,220,89,24,2647,..,350,913,936,1190,1970,2634,1848,972,10820,367,429,353,260,234,190,183,74,49,2142,18,19,26,17,26,26,26,13,4,167,30248,18996,15121,20659,22199,20942,17328,7542,2340,155377
