CED_CODE_2021,P_15_19_Mgrs,P_15_19_Profnls,P_15_19_Techs_trades_workers,P_15_19_Comm_psnl_serv_wrkrs,P_15_19_Cler_admin_wrkrs,P_15_19_Sales_wrkrs,P_15_19_Mach_oper_dvrs,P_15_19_Labrs,P_15_19_Inad_desc_Ns,P_15_19_Tot,P_20_24_Mgrs,P_20_24_Profnls,P_20_24_Techs_trades_wrkrs,P_20_24_Comm_psnl_serv_wrkrs,P_20_24_Cler_admin_wrkrs,P_20_24_Sales_wrkrs,P_20_24_Mach_oper_dvrs,P_20_24_Labrs,P_20_24_Inad_desc_Ns,P_20_24_Tot,P_25_34_Mgrs,P_25_34_Profnls,P_25_34_Techs_trades_wrkrs,P_25_34_Comm_psnl_serv_wrkrs,P_25_34_Cler_admin_wrkrs,P_25_34_Sales_wrkrs,P_25_34_Mach_oper_dvrs,P_25_34_Labrs,P_25_34_Inad_desc_Ns,P_25_34_Tot,P_35_44_Mgrs,P_35_44_Profnls,P_35_44_Techs_trades_wrkrs,P_35_44_Comm_psnl_serv_wrkrs,P_35_44_Cler_admin_wrkrs,P_35_44_Sales_wrkrs,P_35_44_Mach_oper_dvrs,P_35_44_Labrs,P_35_44_Inad_desc_Ns,P_35_44_Tot,P_45_54_Mgrs,P_45_54_Profnls,P_45_54_Techs_trades_wrkrs,P_45_54_Comm_psnl_serv_wrkrs,P_45_54_Cler_admin_wrkrs,P_45_54_Sales_wrkrs,P_45_54_Mach_oper_dvrs,P_45_54_Labrs,P_45_54_Inad_desc_Ns,P_45_54_Tot,P_55_64_Mgrs,P_55_64_Profnls,P_55_64_Techs_trades_wrkrs,P_55_64_Comm_psnl_serv_wrkrs,P_55_64_Cler_admin_wrkrs,P_55_64_Sales_wrkrs,P_55_64_Mach_oper_dvrs,P_55_64_Labrs,P_55_64_Inad_desc_Ns,P_55_64_Tot,P_65_74_Mgrs,P_65_74_Profnls,P_65_74_Techs_trades_wrkrs,P_65_74_Comm_psnl_serv_wrkrs,P_65_74_Cler_admin_wrkrs,P_65_74_Sales_wrkrs,P_65_74_Mach_oper_dvrs,P_65_74_Labrs,P_65_74_Inad_desc_Ns,P_65_74_Tot,P_75_84_Mgrs,P_75_84_Profnls,P_75_84_Techs_trades_wrkrs,P_75_84_Comm_psnl_serv_wrkrs,P_75_84_Cler_admin_wrkrs,P_75_84_Sales_wrkrs,P_75_84_Mach_oper_dvrs,P_75_84_Labrs,P_75_84_Inad_desc_Ns,P_75_84_Tot,P_85_yr_over_Mgrs,P_85_yr_over_Profnls,P_85ov_Techs_trades_wrkrs,P_85ov_Com_psnl_serv_wrkrs,P_85_yr_over_Cler_admin_wrkrs,P_85_yr_over_Sales_wrkrs,P_85_yr_over_Mach_oper_dvrs,P_85_yr_over_Labrs,P_85_yr_over_Inad_desc_Ns,P_85_yr_over_Tot,P_Tot_Mgrs,P_Tot_Profnls,P_Tot_Techs_trades_wrkrs,P_Tot_Comm_psnl_serv_wrkrs,P_Tot_Cler_admin_wrkrs,P_Tot_Sales_wrkrs,P_Tot_Mach_oper_dvrs,P_Tot_Labrs,P_Tot_Inad_desc_Ns,P_Tot_Tot
CED501,62,88,667,818,161,1839,254,1310,101,5302,313,613,1700,1495,618,1093,559,1081,142,7618,1464,2902,4014,2618,2157,1197,1697,1744,333,18131,2111,3513,3561,2624,2392,1033,1704,1634,320,18888,2049,2680,3033,2414,2275,1042,1790,1639,309,17221,1200,1699,1941,1541,1765,729,1502,1210,193,11776,249,344,295,272,352,165,306,306,49,2334,18,38,18,9,27,10,14,31,12,172,0,0,0,0,4,0,0,3,11,14,7473,11861,15217,11798,9748,7102,7833,8960,1460,81452
CED502,64,77,490,596,179,1494,270,1078,100,4337,275,658,1424,1348,783,1166,736,1175,173,7733,1407,3501,3525,2488,2341,1293,1967,1957,419,18899,2135,4689,3712,2696,2803,1111,2257,1912,380,21690,1542,2465,2601,1998,2202,854,1800,1853,286,15604,985,1428,1567,1321,1729,716,1610,1331,187,10864,250,362,384,298,447,197,352,379,51,2717,24,44,21,20,36,14,10,44,11,230,4,0,0,0,0,0,0,0,4,18,6684,13223,13729,10756,10517,6836,9000,9725,1610,82087
CED503,45,58,647,816,159,1467,219,1090,85,4587,226,443,1294,1047,440,836,440,788,94,5609,1002,1859,2984,1614,1388,843,1206,1130,235,12268,1636,2329,2641,1713,1646,783,1513,1149,248,13651,1959,2340,2489,1783,1944,905,1683,1188,246,14526,1537,1790,1999,1424,1652,799,1474,1087,212,11972,516,507,419,264,445,241,397,344,60,3196,109,57,37,15,43,32,35,45,35,401,12,4,0,0,0,3,0,0,9,34,7046,9380,12515,8672,7716,5907,6972,6819,1224,66257
CED504,39,80,400,665,180,1529,175,989,84,4135,312,935,1255,1598,857,1389,567,1104,165,8186,1683,4677,3542,2756,2274,1359,1472,1843,460,20063,2233,4343,3072,2220,2415,1032,1442,1793,369,18929,1992,2858,2501,1990,2437,1052,1398,1900,277,16405,1405,1905,2018,1578,2214,887,1245,1735,190,13172,411,630,515,386,614,256,349,509,69,3745,47,62,49,23,64,28,33,49,14,362,0,0,3,0,3,3,0,4,7,27,8116,15497,13363,11217,11055,7542,6685,9924,1631,85030
CED505,44,220,246,1486,258,1466,177,899,58,4860,305,1864,715,2064,929,1223,227,621,87,8038,1997,8418,1893,1975,1737,895,517,996,269,18701,3857,8592,1479,1273,1838,698,411,737,272,19162,4577,7855,1082,1081,2141,785,321,490,264,18581,2844,5495,865,818,1634,668,266,434,174,13207,999,1981,269,251,673,280,114,168,90,4829,193,368,38,29,128,69,19,45,49,931,16,25,0,5,10,11,0,4,15,84,14838,34820,6586,8983,9348,6095,2046,4392,1274,88387
CED506,71,87,806,758,232,1328,223,1204,130,4838,324,883,1760,1053,686,662,759,1384,157,7663,2055,4859,5852,2468,2251,1002,2720,2985,436,24626,3501,4503,5698,2341,2598,884,3097,2298,482,25405,3817,3695,4591,2255,2622,1042,3765,2236,496,24525,3479,3020,3304,1895,2446,1059,3426,2043,337,21002,1488,910,694,445,639,312,829,626,145,6095,344,73,48,28,60,49,40,91,67,802,34,0,0,0,3,0,0,8,11,69,15115,18030,22759,11251,11542,6345,14865,12871,2255,115034
CED507,56,46,685,984,153,1616,169,1247,93,5045,198,373,1228,810,401,575,371,953,74,4988,1088,2231,2905,1465,1146,851,931,1864,183,12662,1946,3209,3024,1765,1700,915,1314,1764,279,15915,2267,3129,2668,1885,2062,1090,1493,1744,251,16575,1810,2291,1836,1436,1712,931,1406,1485,176,13081,797,710,439,269,473,289,396,434,84,3894,192,51,20,15,43,29,35,63,28,488,24,0,0,0,0,3,0,0,10,49,8374,12033,12807,8633,7687,6305,6122,9559,1176,72696
CED508,60,92,471,933,175,1439,189,1013,54,4430,328,1034,1229,1787,778,1169,426,827,87,7670,1965,6356,3343,2231,2218,987,892,1142,348,19485,3151,6486,3053,1870,2428,839,940,1054,340,20153,2867,4761,2467,1705,2489,897,1011,1151,278,17624,1932,3014,1771,1245,2051,744,923,1082,176,12942,455,976,427,272,523,278,243,322,63,3552,66,90,21,13,42,30,18,45,10,345,3,0,0,0,3,0,0,0,8,20,10825,22817,12785,10061,10707,6380,4632,6649,1369,86216
CED509,71,82,636,928,210,1726,258,1264,90,5260,299,677,1427,1340,770,1099,564,952,166,7300,1549,3442,3499,2305,2331,1239,1523,1355,310,17560,2614,4140,3201,2305,2760,971,1731,1245,343,19313,2747,3568,2639,2148,2712,1035,1426,1230,282,17785,1812,2365,1832,1484,2091,819,1290,1067,211,12975,497,770,444,299,540,233,358,311,78,3526,107,106,36,28,49,23,22,56,21,450,7,6,3,0,0,0,0,6,12,30,9704,15145,13728,10834,11477,7143,7168,7491,1515,84202
CED510,45,102,569,1245,240,1861,203,1253,34,5562,262,1076,1178,1523,816,1291,298,770,99,7301,1260,4026,2476,1402,1538,785,523,697,238,12942,3170,5997,2646,1591,2394,717,546,669,270,17999,3836,5629,2504,1916,3003,986,652,822,280,19611,2606,3958,2073,1498,2814,963,715,867,181,15681,639,1044,557,331,815,334,255,333,67,4368,50,102,41,18,57,29,17,51,22,378,3,3,5,0,6,3,0,4,3,23,11879,21933,12047,9517,11674,6964,3207,5468,1192,83876
