LGA_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_ns,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_yr_arr_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arr_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,USA_2016,USA_2017,USA_2018,USA_2019,USA_2020,USA_2021,USA_Yr_arrival_ns,USA_Tot,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arr_ns,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_ns,Tot_Tot
LGA50080,0,0,0,9,27,30,273,128,35,24,24,29,9,3,6,597,9,3,5,3,10,6,4,0,3,0,0,0,0,0,0,45,0,0,4,6,4,3,9,3,0,0,0,4,0,0,3,37,0,5,10,20,34,44,190,83,14,14,16,28,0,0,3,467,0,3,3,0,0,6,3,7,0,0,10,0,0,0,0,38,0,0,0,0,0,0,5,3,0,0,0,5,0,0,0,19,0,0,0,0,4,11,45,47,15,0,5,0,3,0,5,148,106,232,1007,627,390,221,301,129,14,8,18,20,7,0,109,3185,0,0,5,33,26,16,28,9,7,0,0,7,3,0,0,143,0,0,0,3,0,7,8,7,0,0,3,5,0,0,15,41,17,29,66,60,69,51,166,95,35,16,25,17,9,42,36,741,193,499,1309,941,842,572,1369,710,156,103,131,159,53,63,303,7393
LGA50210,0,0,3,22,92,70,690,779,150,75,63,46,39,3,28,2059,6,0,0,4,45,9,12,11,0,4,0,0,0,0,0,100,0,0,17,45,72,90,290,136,29,31,29,22,10,0,9,782,0,0,10,62,100,121,758,348,10,29,21,48,9,6,19,1544,0,0,0,4,12,39,295,343,19,35,11,18,13,0,7,787,0,0,0,0,3,10,32,42,6,3,9,7,0,0,3,122,0,0,0,9,28,39,212,104,28,25,22,17,9,4,14,501,69,269,2057,1557,1413,731,1193,491,46,36,45,42,14,14,174,8159,0,7,17,36,37,36,55,43,5,3,10,7,8,0,6,269,0,0,0,7,23,23,34,35,3,5,3,12,4,4,3,155,19,40,218,202,341,337,1908,899,143,110,111,111,35,35,80,4593,177,719,2760,2491,3210,2508,10297,7022,923,743,746,784,334,148,550,33412
LGA50250,0,0,0,0,11,11,55,44,5,3,8,3,0,4,3,154,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,3,8,8,5,0,0,0,0,0,0,28,0,0,0,5,11,20,84,18,0,4,0,5,0,0,0,140,0,0,3,0,0,0,8,9,3,0,0,7,4,0,0,35,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,9,0,0,0,0,0,6,20,17,4,0,3,8,0,0,4,66,0,18,136,105,123,78,177,100,4,3,5,12,8,3,22,785,0,0,0,0,4,4,5,6,0,0,8,0,0,0,0,28,0,0,0,0,3,0,6,4,0,3,0,0,0,0,0,13,0,3,23,20,30,58,144,85,7,9,21,38,11,0,8,450,7,35,184,235,365,347,898,551,58,58,78,140,46,19,65,3089
LGA50280,0,0,0,0,6,5,37,37,3,0,3,0,0,0,4,101,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,0,0,0,7,3,0,6,3,0,0,0,3,0,0,0,30,0,0,5,13,37,34,43,24,0,4,0,3,0,0,0,175,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,22,0,0,0,0,6,3,15,3,0,0,0,0,6,0,3,39,15,67,315,233,200,170,254,139,9,18,16,32,5,0,42,1517,0,0,8,14,18,7,32,11,5,6,3,10,0,0,0,123,0,0,0,0,0,0,6,3,5,0,0,0,3,0,0,24,0,9,35,41,63,53,106,69,14,20,19,50,23,0,70,566,37,127,432,424,482,413,744,507,72,79,66,148,52,11,168,3767
LGA50350,0,0,0,0,14,15,33,61,11,14,6,13,5,0,5,178,3,0,5,4,18,9,5,3,0,3,4,0,0,0,0,52,3,0,7,9,9,12,10,3,4,0,0,0,0,0,0,51,0,0,6,8,20,25,39,11,0,3,0,0,0,0,0,118,0,0,0,3,3,3,4,8,0,4,0,8,0,0,5,42,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,16,0,0,0,0,9,3,28,14,0,0,6,0,0,0,3,60,24,61,316,218,194,101,201,78,13,7,9,3,4,0,16,1243,0,0,7,4,3,13,20,9,3,0,0,0,0,0,0,57,0,0,0,16,41,20,22,20,0,4,6,5,8,0,0,143,15,21,82,66,74,79,152,72,9,16,11,9,4,3,14,634,77,195,579,471,623,438,890,531,78,99,88,75,37,16,74,4276
LGA50420,0,0,0,24,100,83,180,270,64,28,36,50,17,0,19,879,21,8,21,33,141,33,25,36,5,0,0,3,0,0,9,337,3,7,28,76,124,81,80,27,8,7,4,5,4,0,9,463,3,0,14,50,160,160,231,92,7,4,7,22,6,0,5,752,0,10,27,33,42,28,55,73,12,19,11,52,25,0,8,383,0,0,0,0,3,9,36,71,8,9,8,29,0,0,4,177,0,0,0,13,33,46,82,65,18,15,9,6,7,5,13,315,71,178,960,659,664,413,648,372,41,33,33,37,6,11,96,4220,6,0,7,24,24,31,59,39,9,11,12,10,7,0,3,245,0,0,6,219,624,366,273,196,56,37,23,36,31,3,61,1937,41,73,328,406,483,692,1001,651,148,144,174,179,38,10,68,4448,304,960,2400,2391,3650,2995,5197,3908,763,634,728,907,330,62,533,25772
LGA50490,0,0,0,16,65,44,260,424,75,60,56,94,11,3,26,1145,12,14,9,14,56,16,13,3,0,0,0,0,0,0,6,131,4,0,8,52,79,59,99,54,7,8,16,14,11,0,0,411,0,0,6,15,41,35,153,55,8,0,7,20,0,5,0,351,0,0,0,16,22,21,88,64,24,9,24,39,21,0,8,332,0,0,0,0,5,16,39,80,13,11,16,14,0,0,0,204,0,0,0,4,29,33,81,51,16,10,7,5,10,3,7,260,37,111,642,375,261,158,262,189,24,16,19,29,15,0,53,2193,0,3,7,13,12,15,26,22,3,9,8,6,0,0,6,125,0,0,0,48,68,41,96,61,19,11,10,19,7,0,23,394,15,45,162,166,206,309,822,526,181,153,165,210,82,28,59,3139,128,376,1157,1048,1469,1439,4119,3502,748,657,736,937,364,88,375,17135
LGA50560,0,0,0,0,0,0,7,3,9,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,44,30,17,8,9,0,0,0,0,0,0,0,3,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,5,3,3,10,0,0,0,0,0,0,0,0,38,7,22,69,46,44,31,39,16,11,0,0,3,0,0,10,299
LGA50630,0,0,0,0,0,3,3,5,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,13,4,0,0,0,0,0,4,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,12,38,14,7,14,22,6,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,3,6,11,10,0,0,0,0,0,0,5,41,0,18,47,24,31,39,90,58,4,0,0,7,5,7,19,351
LGA50770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,27,33,8,13,9,3,0,0,0,0,0,0,11,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,4,0,0,0,0,0,0,0,26,9,11,38,50,25,23,32,8,3,0,0,0,5,0,21,229
