LGA_CODE_2021,Uses_Eng_on_M,Uses_Eng_on_F,Uses_Eng_on_P,Uses_othr_lang_Afrikaans_M,Uses_othr_lang_Afrikaans_F,Uses_othr_lang_Afrikaans_P,Uses_othr_lang_Arabic_M,Uses_othr_lang_Arabic_F,Uses_othr_lang_Arabic_P,Uses_othr_lang_Aus_Ind_lang_M,Uses_othr_lang_Aus_Ind_lang_F,Uses_othr_lang_Aus_Ind_lang_P,Uses_othr_lan_Chin_lan_Cant_M,Uses_othr_lan_Chin_lan_Cant_F,Uses_othr_lan_Chin_lan_Cant_P,Uses_othr_lan_Chin_lan_Mand_M,Uses_othr_lan_Chin_lan_Mand_F,Uses_othr_lan_Chin_lan_Mand_P,Uses_othr_lan_Chin_lan_othr_M,Uses_othr_lan_Chin_lan_othr_F,Uses_othr_lan_Chin_lan_othr_P,Uses_othr_lan_Chin_lan_Tot_M,Uses_othr_lan_Chin_lan_Tot_F,Uses_othr_lan_Chin_lan_Tot_P,Uses_othr_lang_Croatian_M,Uses_othr_lang_Croatian_F,Uses_othr_lang_Croatian_P,Uses_othr_lang_French_M,Uses_othr_lang_French_F,Uses_othr_lang_French_P,Uses_othr_lang_German_M,Uses_othr_lang_German_F,Uses_othr_lang_German_P,Uses_othr_lang_Greek_M,Uses_othr_lang_Greek_F,Uses_othr_lang_Greek_P,Us_oth_lan_Indo_Ary_lan_Ben_M,Us_oth_lan_Indo_Ary_lan_Ben_F,Us_oth_lan_Indo_Ary_lan_Ben_P,Us_oth_lan_Indo_Ary_lan_Guj_M,Us_oth_lan_Indo_Ary_lan_Guj_F,Us_oth_lan_Indo_Ary_lan_Guj_P,Us_oth_lan_Indo_Ary_lan_Hin_M,Us_oth_lan_Indo_Ary_lan_Hin_F,Us_oth_lan_Indo_Ary_lan_Hin_P,Us_oth_lan_Indo_Ary_lan_Nep_M,Us_oth_lan_Indo_Ary_lan_Nep_F,Us_oth_lan_Indo_Ary_lan_Nep_P,Us_oth_lan_Ind_Ary_lan_Punj_M,Us_oth_lan_Ind_Ary_lan_Punj_F,Us_oth_lan_Ind_Ary_lan_Punj_P,Us_oth_lan_Ind_Ary_lan_Sinh_M,Us_oth_lan_Ind_Ary_lan_Sinh_F,Us_oth_lan_Ind_Ary_lan_Sinh_P,Us_oth_lan_Indo_Ary_lan_Urd_M,Us_oth_lan_Indo_Ary_lan_Urd_F,Us_oth_lan_Indo_Ary_lan_Urd_P,Us_oth_lan_Indo_Ary_lan_oth_M,Us_oth_lan_Indo_Ary_lan_oth_F,Us_oth_lan_Indo_Ary_lan_oth_P,Us_oth_lan_Indo_Ary_lan_Tot_M,Us_oth_lan_Indo_Ary_lan_Tot_F,Us_oth_lan_Indo_Ary_lan_Tot_P,Uses_othr_lang_Italian_M,Uses_othr_lang_Italian_F,Uses_othr_lang_Italian_P,Uses_othr_lang_Japanese_M,Uses_othr_lang_Japanese_F,Uses_othr_lang_Japanese_P,Uses_othr_lang_Khmer_M,Uses_othr_lang_Khmer_F,Uses_othr_lang_Khmer_P,Uses_othr_lang_Korean_M,Uses_othr_lang_Korean_F,Uses_othr_lang_Korean_P,Uses_othr_lang_Macedonian_M,Uses_othr_lang_Macedonian_F,Uses_othr_lang_Macedonian_P,Uses_othr_lang_Malayalam_M,Uses_othr_lang_Malayalam_F,Uses_othr_lang_Malayalam_P,Us_oth_lan_Persian_ex_Dari_M,Us_oth_lan_Persian_ex_Dari_F,Us_oth_lan_Persian_ex_Dari_P,Uses_othr_lang_Polish_M,Uses_othr_lang_Polish_F,Uses_othr_lang_Polish_P,Uses_othr_lang_Portugese_M,Uses_othr_lang_Portugese_F,Uses_othr_lang_Portugese_P,Uses_othr_lang_Russian_M,Uses_othr_lang_Russian_F,Uses_othr_lang_Russian_P,Uses_othr_lang_Samoan_M,Uses_othr_lang_Samoan_F,Uses_othr_lang_Samoan_P,Uses_othr_lang_Serbian_M,Uses_othr_lang_Serbian_F,Uses_othr_lang_Serbian_P,Us_oth_la_SE_As_Au_la_Fili_M,Us_oth_la_SE_As_Au_la_Fili_F,Us_oth_la_SE_As_Au_la_Fili_P,Us_oth_la_SE_As_Au_la_Indo_M,Us_oth_la_SE_As_Au_la_Indo_F,Us_oth_la_SE_As_Au_la_Indo_P,Us_oth_la_SE_As_Au_la_Tag_M,Us_oth_la_SE_As_Au_la_Tag_F,Us_oth_la_SE_As_Au_la_Tag_P,Us_oth_la_SE_As_Au_la_oth_M,Us_oth_la_SE_As_Au_la_oth_F,Us_oth_la_SE_As_Au_la_oth_P,Us_oth_la_SE_As_Au_la_Tot_M,Us_oth_la_SE_As_Au_la_Tot_F,Us_oth_la_SE_As_Au_la_Tot_P,Uses_othr_lang_Spanish_M,Uses_othr_lang_Spanish_F,Uses_othr_lang_Spanish_P,Uses_othr_lang_Tamil_M,Uses_othr_lang_Tamil_F,Uses_othr_lang_Tamil_P,Uses_othr_lang_Thai_M,Uses_othr_lang_Thai_F,Uses_othr_lang_Thai_P,Uses_othr_lang_Turkish_M,Uses_othr_lang_Turkish_F,Uses_othr_lang_Turkish_P,Uses_othr_lang_Vietnamese_M,Uses_othr_lang_Vietnamese_F,Uses_othr_lang_Vietnamese_P,Uses_othr_lang_Other_M,Uses_othr_lang_Other_F,Uses_othr_lang_Other_P,Uses_othr_lang_Tot_M,Uses_othr_lang_Tot_F,Uses_othr_lang_Tot_P,Lang_used_home_ns_M,Lang_used_home_ns_F,Lang_used_home_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
LGA50080,16140,17256,33397,93,121,219,4,0,9,16,17,32,22,29,47,40,62,110,4,8,9,61,101,163,0,5,4,42,34,73,52,78,128,16,6,20,0,0,4,3,0,10,12,12,20,5,8,15,19,14,29,12,7,14,0,0,3,0,7,6,50,39,93,92,90,186,4,16,24,0,0,0,0,9,13,4,0,4,19,19,36,0,5,6,18,24,40,3,0,7,4,11,14,0,0,3,0,0,0,94,122,216,21,40,62,92,131,226,43,54,94,259,346,598,16,16,33,13,9,20,12,49,54,7,0,6,19,20,39,310,285,592,1115,1285,2406,1314,933,2245,31,23,56,18606,19494,38102
LGA50210,32516,33386,65903,265,263,529,251,244,493,66,70,137,218,249,470,785,988,1775,40,46,84,1045,1286,2330,17,31,50,124,145,270,88,121,210,19,13,37,65,72,136,260,265,523,433,424,855,63,58,122,1250,1116,2368,324,354,677,233,237,467,127,135,256,2750,2657,5409,190,194,387,56,86,148,33,36,62,157,151,309,13,10,23,830,807,1634,84,100,182,43,58,97,50,67,115,35,61,100,50,33,84,18,38,56,319,406,723,225,307,530,454,563,1016,268,321,581,1267,1587,2855,165,206,365,632,653,1288,79,199,274,24,23,51,58,96,154,2126,2286,4408,10485,11469,21955,2166,2211,4374,75,114,184,45238,47183,92423
LGA50250,6534,3411,9952,40,14,52,15,7,22,93,101,197,6,10,13,33,28,60,3,0,4,40,34,75,12,11,22,14,12,27,21,16,36,13,0,19,3,0,3,5,0,5,8,0,10,4,0,4,12,0,14,22,10,29,11,3,13,0,0,0,62,16,77,32,14,47,5,5,9,5,5,6,4,0,12,12,3,15,6,3,8,10,0,12,3,4,9,11,7,20,8,3,12,4,3,6,11,0,11,29,27,57,27,23,55,43,31,74,13,9,20,117,92,209,24,29,54,8,0,12,23,42,58,0,0,0,5,7,16,281,202,485,807,541,1352,3108,1028,4136,63,44,102,10516,5022,15541
LGA50280,6801,7098,13899,18,14,35,0,0,0,0,3,3,9,9,21,17,30,49,0,3,3,29,43,73,4,0,7,68,78,146,64,97,158,3,3,7,0,0,0,3,3,8,0,0,0,0,0,0,7,3,11,0,0,5,0,0,0,3,0,7,21,12,27,61,56,123,15,23,37,0,0,0,17,24,37,0,0,4,0,0,0,0,0,0,0,6,6,23,24,45,0,8,10,0,0,0,0,0,0,16,19,38,14,17,28,17,25,42,5,11,15,45,74,122,57,65,128,0,0,0,8,24,37,0,0,0,17,14,25,121,87,202,586,655,1239,654,637,1287,82,25,101,8115,8410,16524
LGA50350,6169,6447,12617,7,10,17,28,22,51,6,14,22,35,38,72,62,97,160,4,4,9,98,139,238,34,34,69,36,55,90,17,28,47,14,6,17,4,0,4,8,9,24,17,23,40,24,23,46,11,19,27,18,8,24,25,14,35,14,12,23,116,105,218,83,116,199,15,29,43,0,0,0,15,20,34,12,13,21,20,19,36,0,3,10,25,36,57,15,14,23,10,12,25,4,0,3,39,41,81,15,31,56,18,27,44,32,50,85,18,15,34,93,128,219,26,20,41,13,12,26,10,30,41,9,5,5,77,97,177,185,225,406,982,1220,2201,366,327,694,8,16,26,7535,8012,15542
LGA50420,23313,23234,46539,48,69,117,292,274,565,20,27,47,590,697,1287,822,1012,1838,98,95,191,1508,1806,3316,81,92,174,176,198,374,111,124,236,181,183,363,49,40,88,126,102,228,245,207,457,159,165,330,290,232,515,102,95,198,184,83,264,61,68,128,1217,986,2204,798,955,1753,89,178,260,17,27,39,118,118,234,103,102,207,106,92,198,151,135,281,147,196,339,111,114,228,65,91,160,5,4,8,279,269,544,126,171,296,89,141,235,169,199,369,74,133,204,454,643,1102,230,241,474,117,95,213,70,179,249,49,42,94,1126,1339,2466,1161,1317,2474,8817,9862,18674,1352,1277,2636,47,67,115,33533,34435,67963
LGA50490,13306,12691,25996,39,36,78,396,352,753,31,36,65,304,361,663,797,960,1751,35,52,88,1137,1376,2511,27,27,53,99,107,200,44,50,89,22,22,45,167,168,334,32,25,56,250,184,431,187,138,324,264,168,423,153,133,292,338,251,589,36,28,59,1416,1089,2509,214,225,436,48,86,134,13,17,34,153,151,304,22,19,41,77,84,156,116,90,199,59,77,139,69,81,151,39,40,74,22,17,34,20,30,49,184,228,407,139,190,332,234,316,548,105,156,261,653,892,1546,135,145,279,58,50,108,79,155,237,64,50,111,209,271,484,1144,1099,2239,6374,6658,13031,1450,1317,2766,96,57,159,21232,20719,41953
LGA50560,695,684,1378,3,8,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,13,0,0,0,0,0,8,0,0,0,9,16,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,7,18,37,56,98,84,181,0,5,4,809,809,1620
LGA50630,1018,741,1759,9,9,15,0,0,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,4,0,0,0,0,0,0,4,0,4,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,13,7,17,0,3,3,0,0,5,16,8,31,3,4,7,4,0,3,0,0,8,0,0,0,0,0,0,17,3,26,63,46,113,75,61,132,4,0,5,1158,853,2011
LGA50770,784,781,1561,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,13,10,12,27,44,91,86,181,0,0,0,890,896,1790
