LGA_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Oth_lt_health_cond_0_14,F_Oth_lt_health_cond_15_24,F_Oth_lt_health_cond_25_34,F_Oth_lt_health_cond_35_44,F_Oth_lt_health_cond_45_54,F_Oth_lt_health_cond_55_64,F_Oth_lt_health_cond_65_74,F_Oth_lt_health_cond_75_84,F_Oth_lt_health_cond_85_over,F_Oth_lt_health_cond_Tot,F_No_lt_health_cond_0_14,F_No_lt_health_cond_15_24,F_No_lt_health_cond_25_34,F_No_lt_health_cond_35_44,F_No_lt_health_cond_45_54,F_No_lt_health_cond_55_64,F_No_lt_health_cond_65_74,F_No_lt_health_cond_75_84,F_No_lt_health_cond_85_over,F_No_lt_health_cond_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Oth_lt_health_cond_0_14,P_Oth_lt_health_cond_15_24,P_Oth_lt_health_cond_25_34,P_Oth_lt_health_cond_35_44,P_Oth_lt_health_cond_45_54,P_Oth_lt_health_cond_55_64,P_Oth_lt_health_cond_65_74,P_Oth_lt_health_cond_75_84,P_Oth_lt_health_cond_85_over,P_Oth_lt_health_cond_Tot,P_No_lt_health_cond_0_14,P_No_lt_health_cond_15_24,P_No_lt_health_cond_25_34,P_No_lt_health_cond_35_44,P_No_lt_health_cond_45_54,P_No_lt_health_cond_55_64,P_No_lt_health_cond_65_74,P_No_lt_health_cond_75_84,P_No_lt_health_cond_85_over,P_No_lt_health_cond_Tot
LGA50080,0,0,4,3,16,24,34,35,24,145,4,7,4,8,34,97,112,95,47,407,76,386,411,396,424,378,223,143,53,2496,0,0,5,10,9,21,58,61,54,215,126,137,165,212,275,347,301,211,100,1867,2674,1231,1183,1259,1399,1281,842,368,109,10344,275,177,175,171,201,212,165,103,62,1530,3321,2000,2033,2208,2583,2800,2356,1515,659,19474,8,30,74,174,418,908,1160,943,420,4129,523,413,432,433,455,430,388,214,64,3353,7,3,18,36,130,276,437,342,122,1365,0,0,0,6,3,15,39,164,182,413,9,29,52,93,241,457,570,445,145,2043,4,9,14,32,98,320,525,513,285,1807,8,3,13,8,27,48,90,77,47,313,13,12,6,8,51,166,242,200,94,800,174,619,652,598,656,655,421,215,85,4070,0,0,6,11,25,50,129,146,101,470,327,258,268,317,453,584,537,359,159,3254,5285,2704,2464,2472,2711,2439,1638,675,205,20594
LGA50210,11,17,22,27,33,69,91,62,22,345,17,5,18,35,72,232,282,138,49,847,217,872,1205,967,772,653,368,121,64,5238,6,3,0,35,34,55,103,69,30,337,412,318,557,628,605,625,490,240,96,3962,8833,3468,4760,5071,2902,1993,1211,341,81,28663,833,431,482,500,375,275,190,137,77,3306,10736,5304,7292,7752,5379,4661,3653,1696,595,47067,24,50,214,483,931,1549,1868,1106,366,6592,1294,869,1261,1206,935,796,657,279,69,7371,18,29,64,146,248,427,658,380,100,2074,0,0,5,3,3,26,72,153,141,416,36,67,155,470,758,1117,1202,583,181,4575,21,24,59,129,287,638,941,628,268,2993,25,16,30,58,70,126,176,154,57,715,27,12,36,80,150,377,503,328,100,1603,472,1306,1863,1556,1260,1070,590,194,91,8402,10,7,9,46,66,110,207,169,64,684,972,580,878,1071,1082,1111,849,440,154,7145,17817,7307,9258,10295,6055,4028,2274,746,158,57929
LGA50250,0,0,0,0,3,4,0,0,0,18,0,0,0,0,8,10,18,3,0,40,9,27,87,70,38,39,23,3,0,297,0,0,0,5,0,0,7,4,0,19,23,11,28,37,39,40,41,7,0,216,654,285,615,444,347,310,168,19,0,2837,118,124,247,168,168,147,100,29,0,1098,839,468,1023,767,665,651,459,105,0,4988,0,8,24,54,106,182,183,72,3,635,74,57,155,154,142,102,61,7,0,763,0,0,6,22,31,53,77,29,0,230,0,0,0,0,0,0,0,4,3,15,0,11,24,54,97,141,78,29,0,441,0,0,3,17,52,95,83,37,0,303,4,0,7,7,6,14,10,8,0,50,0,3,4,4,18,27,43,13,0,113,21,52,150,152,107,91,42,3,0,619,0,0,3,4,11,4,9,4,0,39,48,31,69,92,101,114,76,14,0,532,1354,624,1785,1684,1432,1016,379,55,6,8326
LGA50280,5,0,0,7,7,3,14,10,3,41,4,0,0,3,9,16,40,19,9,102,29,58,132,175,123,133,75,27,3,761,0,0,0,0,5,10,15,9,12,57,36,27,54,92,91,117,102,53,28,598,1323,385,607,929,740,610,398,109,30,5138,187,69,94,138,126,106,75,20,19,822,1625,561,933,1422,1222,1167,924,362,166,8382,5,3,24,66,141,282,408,202,90,1223,159,66,135,186,159,129,132,52,15,1039,5,4,5,23,56,102,167,88,25,462,0,0,0,0,0,0,18,41,46,101,4,13,6,17,42,78,119,60,27,378,0,0,5,4,35,104,195,134,65,542,7,0,4,10,6,9,24,25,14,97,4,0,4,3,11,41,84,44,13,207,57,100,175,282,221,211,136,44,9,1239,0,0,3,0,10,24,40,29,18,122,88,53,85,145,163,193,193,90,49,1065,2686,892,1207,1705,1489,1220,771,234,54,10267
LGA50350,0,4,0,4,9,5,13,14,11,70,0,0,4,5,16,33,68,48,18,189,29,153,214,210,174,133,77,25,29,1051,0,0,0,4,12,6,20,16,14,80,40,55,92,124,121,145,135,55,34,793,1097,478,664,746,555,434,281,112,32,4400,90,55,90,68,78,69,46,32,14,546,1307,764,1103,1231,1070,1008,817,469,231,7995,0,14,35,67,154,293,379,258,134,1326,147,141,207,227,203,159,136,69,33,1326,4,0,14,36,64,83,135,107,40,487,0,0,0,4,3,11,12,32,65,125,4,8,19,42,84,167,204,140,57,738,7,3,8,26,49,113,162,172,105,642,5,4,3,12,14,15,27,45,26,154,5,0,5,9,33,61,120,81,37,351,61,235,348,333,283,233,109,46,36,1683,0,0,3,5,19,20,39,41,29,158,118,97,151,202,230,230,221,83,48,1378,2273,1060,1368,1444,1154,874,512,196,53,8942
LGA50420,0,7,3,16,27,36,49,62,56,262,10,0,11,14,35,87,145,133,81,527,90,583,904,692,541,444,261,158,85,3751,4,0,4,7,11,40,64,71,72,268,180,240,439,438,460,483,477,290,214,3201,4515,2370,3876,3402,2593,1964,1300,459,149,20635,312,247,321,297,262,206,163,133,113,2052,5279,3544,5761,5179,4331,3842,3399,1998,1027,34370,12,31,119,236,505,980,1457,1152,596,5089,508,582,950,894,681,559,496,312,117,5082,18,14,46,127,202,336,549,407,176,1864,0,0,0,0,9,20,89,230,253,601,14,33,96,205,370,722,922,677,224,3253,16,17,28,46,163,430,719,747,375,2532,8,10,22,28,46,94,133,138,108,585,22,7,28,28,82,178,290,280,152,1063,184,875,1426,1162,947,746,461,254,121,6174,4,4,6,22,31,92,153,174,124,607,437,403,689,703,815,887,841,507,317,5600,9264,5170,7928,7054,5215,3871,2429,968,251,42154
LGA50490,0,3,6,12,16,24,16,37,25,147,3,0,7,13,30,70,119,87,41,367,31,367,526,326,285,240,135,85,43,2042,3,5,3,12,14,34,34,60,42,200,88,127,230,241,215,278,213,122,81,1592,2800,1616,2876,2084,1363,986,601,203,79,12613,287,203,336,259,203,157,112,89,80,1716,3314,2377,4117,3117,2367,2134,1705,982,550,20662,3,24,94,180,319,627,755,584,303,2883,256,332,558,428,384,365,302,182,65,2869,3,5,23,60,116,194,288,213,80,986,0,0,0,0,3,15,39,107,133,297,21,27,77,137,270,447,537,374,131,2025,11,16,31,38,113,274,389,378,209,1451,5,3,12,18,34,53,51,84,45,305,9,0,10,17,62,141,200,164,68,673,75,516,848,562,483,402,227,150,69,3330,3,5,10,21,30,88,84,112,70,424,215,243,388,434,409,528,390,215,128,2957,5607,3511,6085,4432,2980,2113,1130,408,145,26415
LGA50560,0,0,0,0,0,6,4,0,0,9,0,0,0,0,6,7,3,3,0,18,0,3,15,11,17,24,10,4,0,90,0,0,0,0,4,0,0,3,0,8,5,5,4,8,8,15,15,3,0,69,87,30,35,41,47,51,51,20,5,366,11,7,4,7,15,19,18,12,3,101,108,50,55,79,106,153,158,73,20,808,0,0,6,4,20,66,85,49,10,235,14,5,15,18,17,31,27,21,3,160,0,0,0,0,4,17,21,17,6,62,0,0,0,0,0,0,0,5,9,10,0,0,4,7,11,30,48,23,10,123,0,0,0,0,8,16,37,32,10,102,0,0,0,0,0,6,9,0,4,14,0,0,0,0,6,10,10,17,4,49,0,7,21,19,27,36,22,10,0,149,0,0,0,0,4,0,0,9,0,16,10,3,6,11,22,36,30,17,5,144,159,66,61,82,103,112,115,37,16,752
LGA50630,0,0,0,0,0,3,0,0,4,3,0,0,0,0,0,8,3,0,0,13,0,14,21,19,15,17,11,4,0,98,0,0,0,0,0,4,0,0,0,7,6,3,9,11,12,18,10,4,0,57,139,38,53,73,66,61,33,7,3,484,17,3,6,11,11,15,9,6,0,84,177,69,100,122,123,128,91,43,7,850,0,0,4,13,22,49,48,32,7,169,28,11,22,26,29,23,15,12,4,161,0,0,0,0,3,15,7,6,3,41,0,0,0,0,0,0,0,0,0,4,0,0,0,3,14,29,24,13,0,88,0,0,0,0,10,11,24,14,3,66,0,0,0,0,0,6,4,0,4,17,0,0,0,0,0,14,9,5,0,30,4,16,30,36,35,27,14,8,0,168,0,0,4,0,0,0,7,7,0,23,13,4,10,12,21,39,13,10,0,127,297,90,158,197,201,157,80,22,3,1205
LGA50770,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,3,5,5,16,3,13,8,16,14,13,11,7,4,92,0,0,0,0,0,0,0,0,4,6,3,5,7,3,6,14,11,6,3,59,142,52,49,69,65,70,43,11,7,501,23,7,7,19,19,17,10,12,0,119,179,69,66,120,109,139,109,77,20,897,0,0,3,14,11,47,66,51,9,210,21,9,6,16,16,11,12,14,0,107,0,0,0,9,5,10,23,25,0,65,0,0,0,0,0,0,0,7,3,14,0,0,3,0,8,12,27,33,7,90,0,0,0,0,9,17,27,26,0,80,0,0,0,0,0,3,5,9,0,17,0,0,0,0,0,12,15,9,5,36,0,17,18,23,26,23,18,13,5,152,0,0,0,0,0,4,8,3,0,21,8,3,9,8,7,35,27,13,8,115,276,96,77,131,127,141,87,25,10,976
