LGA_CODE_2021,F_Unrel_ind_liv_fam_hh_0_14,F_Unre_ind_liv_fam_hh_15_24,F_Unre_ind_liv_fam_hh_25_34,F_Unre_ind_liv_fam_hh_35_44,F_Unre_ind_liv_fam_hh_45_54,F_Unre_ind_liv_fam_hh_55_64,F_Unre_ind_liv_fam_hh_65_74,F_Unre_ind_liv_fam_hh_75_84,F_Unrel_ind_liv_fam_hh_85ov,F_Unrel_ind_liv_fam_hh_Tot,F_Group_hh_mem_0_14,F_Group_hh_mem_15_24,F_Group_hh_mem_25_34,F_Group_hh_mem_35_44,F_Group_hh_mem_45_54,F_Group_hh_mem_55_64,F_Group_hh_mem_65_74,F_Group_hh_mem_75_84,F_Group_hh_mem_85ov,F_Group_hh_mem_Tot,F_LPer_0_14_yr,F_LPer_15_24_yr,F_LPer_25_34_yr,F_LPer_35_44_yr,F_LPer_45_54_yr,F_LPer_55_64_yr,F_LPer_65_74_yr,F_LPer_75_84_yr,F_LPer_85_yr_over,F_LPer_Tot,F_Vis_from_within_Aus_0_14,F_Vis_from_within_Aus_15_24,F_Vis_from_within_Aus_25_34,F_Vis_from_within_Aus_35_44,F_Vis_from_within_Aus_45_54,F_Vis_from_within_Aus_55_64,F_Vis_from_within_Aus_65_74,F_Vis_from_within_Aus_75_84,F_Vis_from_within_Aus_85ov,F_Vis_from_within_Aus_Tot,F_OS_vis_0_14_yr,F_OS_vis_15_24_yr,F_OS_vis_25_34_yr,F_OS_vis_35_44_yr,F_OS_vis_45_54_yr,F_OS_vis_55_64_yr,F_OS_vis_65_74_yr,F_OS_vis_75_84_yr,F_OS_vis_85_yr_over,F_Overseas_v_Total,F_Tot_0_14_yr,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Part_r_mar_0_14,P_Part_r_mar_15_24,P_Part_r_mar_25_34,P_Part_r_mar_35_44,P_Part_r_mar_45_54,P_Part_r_mar_55_64,P_Part_r_mar_65_74,P_Part_r_mar_75_84,P_Part_r_mar_85ov,P_Part_r_mar_Tot,P_Part_de_f_mar_0_14,P_Part_de_f_mar_15_24,P_Part_de_f_mar_25_34,P_Part_de_f_mar_35_44,P_Part_de_f_mar_45_54,P_Part_de_f_mar_55_64,P_Part_de_f_mar_65_74,P_Part_de_f_mar_75_84,P_Part_de_f_mar_85ov,P_Part_de_f_mar_Tot,P_LPar_0_14_yr,P_LPar_15_24_yr,P_LPar_25_34_yr,P_LPar_35_44_yr,P_LPar_45_54_yr,P_LPar_55_64_yr,P_LPar_65_74_yr,P_LPar_75_84_yr,P_LPar_85_yr_over,P_LPar_Tot,P_Child_u_15_0_14_yr,P_Child_u_15_15_24_yr,P_Child_u_15_25_34_yr,P_Child_u_15_35_44_yr,P_Child_u_15_45_54_yr,P_Child_u_15_55_64_yr,P_Child_u_15_65_74_yr,P_Child_u_15_75_84_yr,P_Child_u_15_85_yr_over,P_Child_u_15_Tot,P_Dep_stu15_24_0_14,P_Dep_stu15_24_15_24,P_Dep_stu15_24_25_34,P_Dep_stu15_24_35_44,P_Dep_stu15_24_45_54,P_Dep_stu15_24_55_64,P_Dep_stu15_24_65_74,P_Dep_stu15_24_75_84,P_Dep_stu15_24_85_over,P_Dep_stu15_24_Tot,P_Non_dep_child_0_14,P_Non_dep_child_15_24,P_Non_dep_child_25_34,P_Non_dep_child_35_44,P_Non_dep_child_45_54,P_Non_dep_child_55_64,P_Non_dep_child_65_74,P_Non_dep_child_75_84,P_Non_dep_child_85_over,P_Non_dep_child_Tot,P_Oth_rel_ind_0_14,P_Oth_rel_ind_15_24,P_Oth_rel_ind_25_34,P_Oth_rel_ind_35_44,P_Oth_rel_ind_45_54,P_Oth_rel_ind_55_64,P_Oth_rel_ind_65_74,P_Oth_rel_ind_75_84,P_Oth_rel_ind_85ov,P_Oth_rel_ind_Tot,P_Unrel_ind_liv_fam_hh_0_14,P_Unre_ind_liv_fam_hh_15_24,P_Unre_ind_liv_fam_hh_25_34,P_Unre_ind_liv_fam_hh_35_44,P_Unre_ind_liv_fam_hh_45_54,P_Unre_ind_liv_fam_hh_55_64,P_Unre_ind_liv_fam_hh_65_74,P_Unre_ind_liv_fam_hh_75_84,P_Unrel_ind_liv_fam_hh_85ov,P_Unrel_ind_liv_fam_hh_Tot,P_Group_hh_mem_0_14,P_Group_hh_mem_15_24,P_Group_hh_mem_25_34,P_Group_hh_mem_35_44,P_Group_hh_mem_45_54,P_Group_hh_mem_55_64,P_Group_hh_mem_65_74,P_Group_hh_mem_75_84,P_Group_hh_mem_85ov,P_Group_hh_mem_Tot,P_LPer_0_14_yr,P_LPer_15_24_yr,P_LPer_25_34_yr,P_LPer_35_44_yr,P_LPer_45_54_yr,P_LPer_55_64_yr,P_LPer_65_74_yr,P_LPer_75_84_yr,P_LPer_85_yr_over,P_LPer_Tot,P_Vis_from_within_Aus_0_14,P_Vis_from_within_Aus_15_24,P_Vis_from_within_Aus_25_34,P_Vis_from_within_Aus_35_44,P_Vis_from_within_Aus_45_54,P_Vis_from_within_Aus_55_64,P_Vis_from_within_Aus_65_74,P_Vis_from_within_Aus_75_84,P_Vis_from_within_Aus_85ov,P_Vis_from_within_Aus_Tot,P_OS_vis_0_14_yr,P_OS_vis_15_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_Overseas_v_Total,P_Tot_0_14_yr,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
LGA50080,..,64,40,10,14,16,4,0,0,152,..,106,74,25,37,67,30,18,0,355,..,70,132,125,273,506,609,546,284,2537,58,75,66,47,33,71,40,23,11,429,0,0,3,0,0,3,0,0,0,11,3142,1829,1864,2059,2420,2576,2194,1357,482,17918,..,98,1256,2036,2486,2732,2622,1452,363,13046,..,431,910,671,602,529,260,74,5,3488,..,38,208,428,471,218,91,68,57,1579,6318,..,..,..,..,..,..,..,..,6318,..,1329,..,..,..,..,..,..,..,1329,..,1096,445,146,116,72,19,0,0,1893,..,177,91,34,57,89,110,66,32,652,..,119,103,38,38,31,12,4,0,347,..,194,170,61,83,110,65,36,0,724,..,158,314,273,519,905,977,767,407,4318,130,145,120,108,94,122,81,35,19,856,0,0,3,0,0,3,0,6,0,22,6447,3802,3623,3789,4464,4825,4233,2504,889,34582
LGA50210,..,131,109,47,20,23,11,8,0,344,..,133,175,91,115,126,54,24,3,717,..,130,406,342,431,711,810,542,218,3585,122,147,88,52,69,70,68,32,12,668,6,5,3,3,4,33,25,9,0,98,10314,5071,7000,7460,5185,4536,3564,1586,453,45169,..,225,5292,9568,5997,5097,4050,1730,288,32239,..,985,2992,1656,1170,709,274,62,11,7873,..,143,795,1164,1030,628,310,159,91,4317,20892,..,..,..,..,..,..,..,..,20892,..,4143,..,..,..,..,..,..,..,4143,..,2974,1542,456,292,143,20,0,0,5432,..,554,493,197,192,333,366,170,77,2381,..,289,312,163,81,60,34,19,0,954,..,285,505,248,260,282,145,47,11,1774,..,254,978,904,1056,1305,1327,820,312,6957,251,261,216,152,160,123,110,54,24,1355,9,7,8,12,9,46,53,16,0,167,21149,10123,13142,14516,10244,8725,6702,3074,813,88478
LGA50250,..,9,0,3,4,5,0,0,0,18,..,8,8,0,4,0,5,0,0,35,..,9,31,16,19,31,10,3,0,122,13,15,13,3,5,25,25,0,0,100,0,0,0,0,0,3,0,0,0,10,594,177,391,376,242,193,83,18,4,2080,..,9,297,477,291,205,48,15,0,1334,..,76,245,178,77,68,16,0,0,661,..,0,24,37,26,17,11,5,0,117,1200,..,..,..,..,..,..,..,..,1200,..,89,..,..,..,..,..,..,..,89,..,81,14,3,8,4,0,0,0,112,..,22,9,8,10,9,6,7,0,73,..,9,6,4,3,5,0,0,0,26,..,18,20,11,12,11,7,0,0,77,..,29,67,76,76,82,31,14,0,387,18,16,26,23,21,33,56,14,3,212,0,0,4,0,0,3,0,0,0,12,1214,359,713,818,523,424,180,50,4,4286
LGA50280,..,26,44,20,13,8,4,0,0,103,..,31,74,28,24,33,11,0,6,204,..,10,40,54,79,166,185,120,76,727,18,19,33,28,11,24,25,4,9,171,0,0,6,3,0,0,0,0,0,10,1481,496,776,1291,1057,980,780,322,129,7311,..,9,394,1215,1118,1029,969,389,77,5201,..,71,471,504,368,267,96,23,0,1787,..,0,38,196,210,86,26,19,19,594,3022,..,..,..,..,..,..,..,..,3022,..,479,..,..,..,..,..,..,..,479,..,326,102,50,31,20,3,0,0,524,..,39,18,18,13,29,27,20,11,175,..,42,77,36,16,14,13,0,0,194,..,76,204,62,60,69,25,6,6,514,..,30,97,142,208,328,336,177,111,1424,47,34,57,52,34,45,43,13,9,330,0,0,12,3,0,6,3,0,0,18,3072,1114,1463,2269,2061,1889,1549,639,223,14280
LGA50350,..,19,18,4,0,6,3,0,0,53,..,46,62,24,31,44,20,13,0,245,..,23,80,100,115,211,252,200,108,1087,20,34,12,10,20,12,12,10,3,132,0,0,3,0,4,4,7,0,0,14,1263,741,1045,1190,1023,973,795,444,177,7649,..,20,568,1208,1022,979,771,371,76,5010,..,130,640,389,268,165,80,22,0,1703,..,9,82,168,221,117,64,38,21,719,2631,..,..,..,..,..,..,..,..,2631,..,615,..,..,..,..,..,..,..,615,..,442,263,98,65,26,6,0,0,902,..,92,63,28,32,40,57,32,24,374,..,39,48,18,16,10,4,0,0,134,..,94,151,61,68,74,49,21,3,530,..,41,171,220,261,390,408,266,137,1904,38,46,36,30,37,27,19,16,11,252,0,0,5,0,5,6,12,0,0,23,2665,1532,2028,2226,1990,1847,1470,766,286,14805
LGA50420,..,97,131,31,19,11,9,6,0,303,..,298,457,135,107,119,50,25,3,1201,..,165,607,456,526,708,945,695,386,4485,65,106,88,67,49,59,38,31,21,524,4,0,11,7,3,12,17,3,0,55,5123,3438,5568,5010,4215,3757,3290,1817,730,32946,..,102,3281,5499,4430,4022,3578,1877,396,23189,..,542,2872,1575,941,584,280,84,10,6901,..,40,243,628,860,485,252,157,145,2814,10518,..,..,..,..,..,..,..,..,10518,..,2917,..,..,..,..,..,..,..,2917,..,1636,1174,391,270,177,36,3,0,3681,..,395,357,131,120,217,197,151,98,1659,..,210,332,101,58,46,23,6,0,779,..,670,1134,374,296,260,142,62,12,2955,..,307,1239,1151,1133,1412,1583,1060,509,8389,136,209,220,143,131,112,76,47,25,1091,4,6,13,13,5,22,22,3,0,84,10658,7030,10874,10007,8233,7337,6191,3459,1194,64982
LGA50490,..,72,99,24,14,11,0,0,0,223,..,244,335,94,70,59,53,11,0,877,..,159,486,301,299,459,520,393,216,2850,50,69,79,29,37,50,29,14,7,360,0,4,9,10,4,10,8,4,0,54,3133,2231,3856,2912,2221,2022,1604,873,394,19243,..,90,2305,3246,2312,1874,1476,750,189,12241,..,538,1759,786,507,372,146,39,6,4162,..,39,208,390,462,287,144,97,87,1722,6267,..,..,..,..,..,..,..,..,6267,..,1439,..,..,..,..,..,..,..,1439,..,903,601,177,142,124,23,0,0,1977,..,358,337,99,93,159,152,66,44,1310,..,171,292,89,54,30,12,4,0,651,..,585,1004,326,198,187,99,33,3,2429,..,307,1077,755,698,977,903,586,300,5595,96,144,155,85,75,77,47,15,8,705,0,8,16,9,8,17,17,8,0,83,6362,4580,7765,5961,4539,4104,3024,1603,643,38580
LGA50560,..,0,0,0,0,0,0,0,0,0,..,0,0,0,3,0,5,0,0,13,..,0,0,0,4,24,29,27,6,93,0,4,0,0,0,3,4,0,0,16,0,0,0,0,0,0,0,0,0,0,98,35,45,73,92,132,143,67,17,709,..,0,33,79,108,143,163,76,20,616,..,0,34,26,33,32,31,6,0,163,..,0,4,10,8,9,4,6,4,43,181,..,..,..,..,..,..,..,..,181,..,26,..,..,..,..,..,..,..,26,..,32,14,3,12,5,0,0,0,70,..,8,6,5,0,3,5,0,3,33,..,4,0,0,0,0,0,0,0,8,..,0,0,0,7,4,6,4,0,24,..,4,11,3,12,45,69,45,16,209,0,3,0,4,4,3,9,3,0,38,0,0,0,0,0,0,0,0,0,0,185,83,101,136,181,250,293,143,35,1418
LGA50630,..,3,0,0,0,0,0,0,0,4,..,6,5,0,0,6,0,0,0,13,..,4,8,5,10,20,11,10,3,68,0,0,0,0,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,157,54,87,96,96,106,83,35,7,715,..,0,45,113,113,118,110,45,13,553,..,9,51,32,31,29,12,0,0,168,..,0,17,10,13,6,3,0,0,60,338,..,..,..,..,..,..,..,..,338,..,29,..,..,..,..,..,..,..,29,..,35,16,4,3,4,0,0,0,62,..,4,3,3,7,4,4,3,0,34,..,3,0,0,0,0,0,0,0,11,..,10,5,0,4,4,4,0,0,24,..,7,13,7,25,41,33,15,8,147,8,6,3,5,6,3,0,0,0,32,0,3,0,0,0,0,0,0,0,3,337,103,152,180,196,210,170,78,16,1445
LGA50770,..,4,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,8,..,5,6,0,12,19,13,18,8,83,0,8,4,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,158,65,59,110,98,123,96,66,10,788,..,3,40,117,125,150,137,69,6,658,..,27,36,29,27,30,10,14,0,167,..,0,12,25,4,3,4,8,3,62,316,..,..,..,..,..,..,..,..,316,..,31,..,..,..,..,..,..,..,31,..,29,6,5,7,7,0,0,0,55,..,0,0,0,0,5,6,3,0,13,..,4,0,0,0,0,0,0,0,4,..,0,0,0,3,4,8,0,0,18,..,8,9,11,26,46,38,35,8,184,3,12,3,0,3,5,7,0,0,40,0,0,0,0,0,0,0,0,0,0,323,124,112,186,199,253,204,131,26,1552
