LGA_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
LGA50080,15094,16157,31252,6023,3511,9532,2163,4606,6771,552,539,1092,406,297,712,9144,8958,18101,5073,6380,11453,4.5,3.4,3.9,60.6,55.5,57.9,57.9,53.6,55.7,345,432,779,190,439,631,1261,2320,3582,1128,1785,2910,4102,2402,6503,290,447,735,209,389,606,4602,3242,7838,14412,15449,29861,2590,2831,5420,9568,10102,19665,6560,7358,13918
LGA50210,33884,36333,70226,17299,9424,26726,4362,9796,14155,1148,1380,2530,1472,1520,2994,24278,22117,46404,8003,12558,20562,6.1,6.9,6.5,71.7,60.9,66.1,67.3,56.7,61.8,1421,1582,3000,422,826,1251,3894,5878,9772,2991,3848,6838,8779,5532,14308,567,816,1390,440,769,1211,9788,7119,16903,37070,38604,75678,5372,5765,11133,23244,23784,47028,15979,17561,33544
LGA50250,9528,4149,13677,4799,1417,6211,420,536,959,589,330,919,65,54,115,5867,2340,8203,708,889,1601,1.1,2.3,1.4,61.6,56.3,60,60.9,55,59.1,199,115,309,63,81,144,600,572,1172,599,385,984,2869,579,3447,102,84,183,67,75,143,3037,732,3772,5757,2933,8688,1563,966,2526,3352,1466,4821,3683,2190,5872
LGA50280,6289,6759,13047,2603,1413,4016,1147,2350,3494,324,312,637,133,113,242,4211,4187,8389,1561,2080,3639,3.2,2.7,2.9,66.9,61.9,64.3,64.8,60.3,62.4,212,261,478,118,242,356,885,1427,2309,542,843,1387,1667,834,2502,86,117,205,103,163,263,1856,1119,2971,5984,6282,12268,1283,1358,2642,3762,3883,7646,3071,3385,6460
LGA50350,6055,6686,12739,2864,1942,4805,908,1805,2715,156,213,372,216,191,412,4151,4156,8304,1603,2246,3846,5.3,4.7,5,68.5,62.2,65.2,64.9,59.2,61.9,305,368,676,134,275,412,896,1343,2243,532,663,1194,1472,785,2254,93,121,209,68,157,229,1627,1064,2690,6149,6618,12774,916,964,1879,4130,4484,8619,2491,2717,5213
LGA50420,27752,29088,56847,13302,8542,21841,4305,7859,12164,816,1010,1829,1040,941,1976,19464,18347,37811,7135,9666,16803,5.3,5.1,5.2,70.1,63.1,66.5,66.4,59.8,63,1673,1994,3672,586,1056,1645,5356,6389,11745,2703,2999,5703,5467,2910,8374,307,463,775,350,645,993,6127,4022,10145,27230,27984,55219,4521,4748,9267,17548,18120,35675,12477,13005,25483
LGA50490,17719,17350,35062,8471,5255,13729,2597,4179,6775,669,614,1283,713,601,1315,12445,10648,23097,4008,5625,9637,5.7,5.7,5.7,70.3,61.4,65.9,66.2,57.9,62.1,1051,1006,2054,236,462,702,2788,3463,6256,1714,1830,3544,3685,1875,5555,273,291,571,226,333,553,4181,2496,6682,16050,15751,31800,3376,3394,6766,9248,9152,18404,9153,9005,18155
LGA50560,706,700,1406,214,109,326,71,150,217,31,33,65,25,17,44,339,307,648,274,309,584,7.4,6.2,6.8,47.7,44.1,45.9,44.2,41.3,42.8,5,9,17,8,10,15,44,80,123,42,65,108,155,72,233,10,12,17,11,16,25,168,96,266,619,623,1246,70,72,140,475,466,940,185,210,396
LGA50630,951,681,1631,523,183,708,91,129,224,81,51,134,18,15,38,714,385,1099,180,236,418,2.5,4.4,3.2,75,56.6,67.4,73.1,54.1,65.2,11,8,28,8,11,18,75,81,157,53,59,118,321,92,415,11,23,39,11,12,31,348,125,482,875,608,1485,188,158,348,565,402,965,446,325,771
LGA50770,704,719,1423,315,163,474,73,177,249,39,18,58,12,19,36,436,383,823,191,258,451,3,6,4.4,62.4,53.6,57.9,60.5,50.3,55.4,3,8,12,6,14,16,45,109,159,35,75,107,166,97,261,8,12,17,8,26,36,187,136,317,695,694,1386,80,94,175,524,491,1016,204,253,461
