LGA_CODE_2021,M_Nat_Phy_Sci_15_24,M_Nat_Phy_Sci_25_34,M_Nat_Phy_Sci_35_44,M_Nat_Phy_Sci_45_54,M_Nat_Phy_Sci_55_64,M_Nat_Phy_Sci_65_74,M_Nat_Phy_Sci_75_84,M_Nat_Phy_Sci_85ov,M_Nat_Phy_Sci_Tot,M_IT_15_24,M_IT_25_34,M_IT_35_44,M_IT_45_54,M_IT_55_64,M_IT_65_74,M_IT_75_84,M_IT_85ov,M_IT_Tot,M_Egnr_rel_Tech_15_24_yr,M_Egnr_rel_Tech_25_34_yr,M_Egnr_rel_Tech_35_44_yr,M_Egnr_rel_Tech_45_54_yr,M_Egnr_rel_Tech_55_64_yr,M_Egnr_rel_Tech_65_74_yr,M_Egnr_rel_Tech_75_84_yr,M_Egnr_rel_Tech_85_yr_over,M_Egnr_rel_Tech_Tot,M_Arc_Bld_15_24_yr,M_Arc_Bld_25_34_yr,M_Arc_Bld_35_44_yr,M_Arc_Bld_45_54_yr,M_Arc_Bld_55_64_yr,M_Arc_Bld_65_74_yr,M_Arc_Bld_75_84_yr,M_Arc_Bld_85_yr_over,M_Arc_Bld_Tot,M_Agric_Env_Rel_Stud_15_24,M_Agric_Env_Rel_Stud_25_34,M_Agric_Env_Rel_Stud_35_44,M_Agric_Env_Rel_Stud_45_54,M_Agric_Env_Rel_Stud_55_64,M_Agric_Env_Rel_Stud_65_74,M_Agric_Env_Rel_Stud_75_84,M_Agric_Env_Rel_Stud_85_over,M_Agric_Envir_Rel_Stud_Tot,M_Hlth_15_24_yr,M_Hlth_25_34_yr,M_Hlth_35_44_yr,M_Hlth_45_54_yr,M_Hlth_55_64_yr,M_Hlth_65_74_yr,M_Hlth_75_84_yr,M_Hlth_85_yr_over,M_Hlth_Tot,M_Edu_15_24_yr,M_Edu_25_34_yr,M_Edu_35_44_yr,M_Edu_45_54_yr,M_Edu_55_64_yr,M_Edu_65_74_yr,M_Edu_75_84_yr,M_Edu_85_yr_over,M_Edu_Tot,M_Mgmt_Cmrce_15_24_yr,M_Mgmt_Cmrce_25_34_yr,M_Mgmt_Cmrce_35_44_yr,M_Mgmt_Cmrce_45_54_yr,M_Mgmt_Cmrce_55_64_yr,M_Mgmt_Cmrce_65_74_yr,M_Mgmt_Cmrce_75_84_yr,M_Mgmt_Cmrce_85_yr_over,M_Mgmt_Cmrce_Tot,M_Scty_Cul_15_24_yr,M_Scty_Cul_25_34_yr,M_Scty_Cul_35_44_yr,M_Scty_Cul_45_54_yr,M_Scty_Cul_55_64_yr,M_Scty_Cul_65_74_yr,M_Scty_Cul_75_84_yr,M_Scty_Cul_85_yr_over,M_Scty_Cul_Tot,M_Crtve_Arts_15_24_yr,M_Crtve_Arts_25_34_yr,M_Crtve_Arts_35_44_yr,M_Crtve_Arts_45_54_yr,M_Crtve_Arts_55_64_yr,M_Crtve_Arts_65_74_yr,M_Crtve_Arts_75_84_yr,M_Crtve_Arts_85_yr_over,M_Crtve_Arts_Tot,M_FoodHos_PsnlSvcs_15_24_yr,M_FoodHos_PsnlSvcs_25_34_yr,M_FoodHos_PsnlSvcs_35_44_yr,M_FoodHos_PsnlSvcs_45_54_yr,M_FoodHos_PsnlSvcs_55_64_yr,M_FoodHos_PsnlSvcs_65_74_yr,M_FoodHos_PsnlSvcs_75_84_yr,M_FoodHos_PsnlSvcs_85_over,M_FoodHos_PsnlSvcs_Tot,M_Mix_Fld_Prog_15_24_yr,M_Mix_Fld_Prog_25_34_yr,M_Mix_Fld_Prog_35_44_yr,M_Mix_Fld_Prog_45_54_yr,M_Mix_Fld_Prog_55_64_yr,M_Mix_Fld_Prog_65_74_yr,M_Mix_Fld_Prog_75_84_yr,M_Mix_Fld_Prog_85_over,M_Mix_Fld_Prog_Tot,M_Fld_stud_inad_desc_15_24,M_Fld_stud_inad_desc_25_34,M_Fld_stud_inad_desc_35_44,M_Fld_stud_inad_desc_45_54,M_Fld_stud_inad_desc_55_64,M_Fld_stud_inad_desc_65_74,M_Fld_stud_inad_desc_75_84,M_Fld_stud_inad_desc_85_over,M_Fld_stud_inad_desc_Tot,M_Fld_stud_ns_15_24_yr,M_Fld_stud_ns_25_34_yr,M_Fld_stud_ns_35_44_yr,M_Fld_stud_ns_45_54_yr,M_Fld_stud_ns_55_64_yr,M_Fld_stud_ns_65_74_yr,M_Fld_stud_ns_75_84_yr,M_Fld_stud_ns_85_yr_over,M_Fld_stud_ns_Tot,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Nat_Phy_Sci_15_24_yr,F_Nat_Phy_Sci_25_34_yr,F_Nat_Phy_Sci_35_44_yr,F_Nat_Phy_Sci_45_54_yr,F_Nat_Phy_Sci_55_64_yr,F_Nat_Phy_Sci_65_74_yr,F_Nat_Phy_Sci_75_84_yr,F_Nat_Phy_Sci_85_yr_over,F_Nat_Phy_Sci_Tot,F_IT_15_24_yr,F_IT_25_34_yr,F_IT_35_44_yr,F_IT_45_54_yr,F_IT_55_64_yr,F_IT_65_74_yr,F_IT_75_84_yr,F_IT_85_yr_over,F_IT_Tot,F_Egnr_rel_Tech_15_24_yr,F_Egnr_rel_Tech_25_34_yr,F_Egnr_rel_Tech_35_44_yr,F_Egnr_rel_Tech_45_54_yr,F_Egnr_rel_Tech_55_64_yr,F_Egnr_rel_Tech_65_74_yr,F_Egnr_rel_Tech_75_84_yr,F_Egnr_rel_Tech_85_yr_over,F_Egnr_rel_Tech_Tot,F_Arc_Bld_15_24_yr,F_Arc_Bld_25_34_yr,F_Arc_Bld_35_44_yr,F_Arc_Bld_45_54_yr,F_Arc_Bld_55_64_yr,F_Arc_Bld_65_74_yr,F_Arc_Bld_75_84_yr,F_Arc_Bld_85_yr_over,F_Arc_Bld_Tot,F_Agric_Env_Rel_Stud_15_24,F_Agric_Env_Rel_Stud_25_34,F_Agric_Env_Rel_Stud_35_44,F_Agric_Env_Rel_Stud_45_54,F_Agric_Env_Rel_Stud_55_64,F_Agric_Env_Rel_Stud_65_74,F_Agric_Env_Rel_Stud_75_84,F_Agric_Env_Rel_Stud_85_over,F_Agric_Envir_Rel_Stud_Tot,F_Hlth_15_24_yr,F_Hlth_25_34_yr,F_Hlth_35_44_yr,F_Hlth_45_54_yr,F_Hlth_55_64_yr,F_Hlth_65_74_yr,F_Hlth_75_84_yr,F_Hlth_85_yr_over,F_Hlth_Tot,F_Edu_15_24_yr,F_Edu_25_34_yr,F_Edu_35_44_yr,F_Edu_45_54_yr,F_Edu_55_64_yr,F_Edu_65_74_yr,F_Edu_75_84_yr,F_Edu_85_yr_over,F_Edu_Tot,F_Mgmt_Cmrce_15_24_yr,F_Mgmt_Cmrce_25_34_yr
LGA50080,19,18,43,36,44,41,26,5,234,32,53,51,35,28,18,3,0,214,155,418,343,417,457,378,189,59,2414,84,200,174,156,141,131,76,32,1006,65,72,105,117,138,101,53,15,673,23,87,75,94,99,56,30,7,472,3,51,56,96,107,118,41,9,477,87,73,146,150,145,127,51,16,793,55,69,79,95,117,111,25,9,566,27,33,33,26,21,21,5,3,181,25,79,81,78,54,28,24,7,369,3,5,0,0,0,0,0,0,14,6,15,22,27,22,24,12,3,126,166,212,170,192,189,160,110,69,1257,764,1378,1380,1523,1562,1336,643,225,8797,19,38,47,54,39,19,5,0,227,3,10,17,15,8,5,0,0,59,11,29,23,18,23,10,10,9,137,3,17,19,15,7,5,0,0,65,32,51,67,65,61,18,10,0,294,122,323,324,337,389,275,144,50,1961,51,155,227,287,284,250,118,23,1404,156,264
LGA50210,37,101,127,119,87,52,24,4,551,97,226,431,129,62,26,0,0,974,398,1493,1929,1316,1116,793,342,67,7458,148,453,358,270,250,209,88,31,1804,33,90,108,82,61,43,22,3,433,56,181,252,165,120,56,25,10,862,25,107,110,99,116,96,45,11,605,236,565,952,508,300,178,85,8,2838,150,263,342,218,176,105,35,9,1294,101,146,96,50,24,41,8,0,473,88,253,281,136,106,45,21,0,926,14,8,5,3,0,0,3,0,37,26,75,83,64,48,40,18,0,362,359,455,457,351,281,207,156,91,2354,1765,4418,5522,3515,2744,1896,878,231,20975,53,186,220,107,59,38,5,0,674,16,144,198,41,24,8,0,0,438,51,163,232,92,49,31,12,5,633,22,54,46,25,8,3,5,0,171,40,75,79,37,37,13,4,3,289,260,983,1017,538,422,304,113,23,3664,162,564,646,479,397,224,80,11,2556,394,1250
LGA50250,4,42,29,7,13,10,0,0,109,0,4,17,10,5,0,0,0,40,114,695,671,541,368,112,23,0,2529,23,130,141,87,76,39,5,0,500,3,20,21,30,18,6,3,0,106,3,45,38,47,42,20,0,0,193,7,18,21,27,32,26,3,0,138,15,51,87,111,76,27,0,0,373,13,37,33,31,27,18,7,0,157,3,16,7,14,8,8,0,0,46,15,26,50,43,29,3,0,0,168,0,0,0,0,0,0,0,0,3,3,11,38,36,14,5,0,0,115,173,705,753,781,533,133,30,3,3108,382,1794,1909,1757,1241,397,82,4,7574,4,24,16,4,11,6,0,0,72,3,5,4,0,6,0,0,0,18,20,49,20,19,9,3,0,0,120,0,4,3,4,3,0,0,0,15,3,21,7,10,4,8,0,0,54,15,86,51,36,38,45,5,0,280,15,79,61,48,37,57,9,0,302,35,120
LGA50280,3,19,56,44,36,42,17,0,215,9,13,18,15,12,3,0,0,77,38,142,176,196,207,172,62,14,1004,35,80,139,106,117,73,12,4,563,11,40,75,75,43,28,14,3,293,6,23,32,46,42,29,18,6,194,4,13,42,43,49,48,21,8,228,15,58,70,65,78,74,26,3,386,10,43,40,33,38,38,19,3,219,6,17,23,24,21,16,4,0,115,10,53,73,55,36,16,10,0,252,0,0,0,0,0,0,0,0,6,4,6,14,13,13,13,0,0,69,75,103,116,127,102,82,41,19,678,233,618,880,848,786,624,241,68,4298,0,28,58,33,21,12,4,0,148,0,7,10,0,3,4,0,0,21,3,12,29,3,6,5,3,0,69,0,18,23,17,3,8,0,0,65,3,13,61,32,17,7,0,0,141,20,127,164,141,161,108,41,9,777,13,75,175,134,151,113,48,10,718,23,138
LGA50350,7,29,28,43,26,16,9,0,166,14,30,49,32,16,5,3,0,153,46,225,220,192,208,181,74,23,1165,19,77,77,78,48,43,26,3,376,7,14,29,22,15,12,0,0,92,11,37,36,29,34,11,4,6,175,6,20,22,27,30,24,3,0,138,44,110,139,117,85,38,14,6,551,31,68,67,63,41,22,8,3,311,23,55,48,19,15,9,5,0,177,18,20,32,22,17,7,4,0,130,0,0,0,0,0,0,0,0,0,5,15,13,19,10,8,4,0,75,51,72,76,54,64,52,29,9,414,297,780,846,710,599,433,192,52,3916,16,33,38,26,7,9,3,0,127,0,6,15,17,3,6,0,0,47,4,24,39,13,14,5,9,5,105,0,33,17,9,4,0,0,0,67,4,18,20,16,9,0,0,0,65,33,169,137,92,98,66,21,4,627,21,82,121,117,109,63,29,6,549,62,174
LGA50420,50,171,184,134,98,72,37,0,750,78,245,339,181,77,24,6,0,956,239,1127,1008,762,749,682,334,82,4995,78,380,335,225,192,161,104,38,1512,11,69,42,48,44,29,14,5,261,48,267,209,108,107,56,30,7,833,22,118,115,116,116,94,65,11,650,211,704,847,560,381,271,111,25,3104,147,373,317,259,186,165,59,10,1509,129,269,199,122,81,52,16,7,870,70,235,178,129,94,59,21,0,782,5,0,4,0,5,0,3,0,27,20,46,75,51,38,30,13,7,285,199,334,305,235,218,168,169,83,1706,1317,4345,4157,2942,2388,1858,967,268,18243,72,220,198,123,72,41,12,4,759,14,85,85,42,25,12,3,0,267,25,154,139,60,56,40,16,6,493,12,100,64,43,23,11,7,0,250,16,82,46,27,19,12,0,0,204,207,808,610,389,342,265,123,45,2786,86,439,419,440,367,284,120,30,2193,291,1109
LGA50490,26,112,106,67,38,23,13,5,393,60,210,205,86,42,7,5,0,612,221,907,729,580,489,336,182,56,3497,56,218,150,118,107,63,43,22,780,13,33,40,36,32,19,8,8,182,43,168,107,74,31,33,7,0,462,4,58,39,51,59,40,17,8,271,189,563,530,283,214,102,36,10,1928,86,200,157,95,99,61,15,3,720,53,135,56,42,24,21,3,0,331,87,221,164,64,57,29,9,0,644,9,11,0,0,0,0,0,0,25,17,54,39,29,25,16,9,3,194,235,396,325,278,187,120,88,55,1692,1103,3290,2651,1794,1414,879,433,165,11729,44,157,110,68,17,21,6,0,419,11,53,63,31,9,11,0,0,176,21,162,97,49,30,16,10,6,391,9,56,29,14,7,5,0,0,115,12,35,36,16,16,4,5,0,124,171,571,337,210,163,119,57,19,1654,58,212,190,174,157,107,44,16,960,235,798
LGA50560,0,0,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,3,0,7,12,19,22,33,9,4,113,0,4,3,0,9,8,3,0,34,0,5,7,9,10,8,0,0,38,0,0,0,4,0,4,0,0,9,0,0,0,0,5,3,0,0,9,0,9,3,3,5,5,3,4,31,0,7,3,0,0,4,0,0,14,0,0,0,0,0,0,0,0,3,0,0,0,4,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,11,13,12,15,25,18,8,117,17,46,47,57,74,92,42,17,386,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,3,0,0,0,0,0,3,0,4,0,9,3,0,0,0,16,0,4,4,7,16,11,8,3,59,0,5,7,11,12,12,6,0,59,3,12
LGA50630,0,0,0,4,3,0,0,0,16,0,0,4,0,0,0,0,0,3,16,65,70,67,72,23,7,0,320,0,8,7,7,9,0,0,0,29,6,4,5,0,3,3,5,0,24,0,0,4,5,0,3,0,0,18,0,0,3,4,6,0,0,0,20,0,8,5,13,9,0,0,0,36,0,3,3,9,0,0,0,0,13,0,0,0,0,0,0,3,0,7,0,0,0,6,8,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,6,17,9,24,17,7,5,0,84,29,107,122,137,127,54,20,0,592,0,0,5,0,0,5,0,0,10,0,0,0,0,0,0,0,0,3,0,10,8,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,5,5,0,6,0,0,0,0,14,0,6,9,12,12,7,5,0,55,0,10,12,12,14,11,0,0,54,0,13
LGA50770,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,6,11,21,26,24,27,0,0,110,5,5,8,0,6,4,5,0,28,0,7,9,13,7,9,6,0,62,0,0,0,0,0,0,0,0,0,0,3,0,4,0,4,0,0,13,0,5,0,4,5,4,0,0,23,0,0,0,3,4,0,0,0,9,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,7,11,11,18,19,10,14,0,90,21,43,61,67,83,61,27,8,365,0,0,4,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,4,12,11,0,8,0,0,0,38,5,4,11,10,15,13,9,0,67,0,11,10,12,13,12,3,0,66,0,13
