POA_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85_yr_over_Married,M_85_yr_over_Separated,M_85_yr_over_Divorced,M_85_yr_over_Widowed,M_85_yr_over_Never_married,M_85_yr_over_Tot,M_OS_visitors_Married,M_OS_visitors_Separated,M_OS_visitors_Divorced,M_OS_visitors_Widowed,M_OS_visitors_Never_married,M_OS_visitors_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85_yr_over_Married,F_85_yr_over_Separated,F_85_yr_over_Divorced,F_85_yr_over_Widowed,F_85_yr_over_Never_married,F_85_yr_over_Tot,F_OS_visitors_Married,F_OS_visitors_Separated,F_OS_visitors_Divorced,F_OS_visitors_Widowed,F_OS_visitors_Never_married,F_OS_visitors_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85_yr_over_Married,P_85_yr_over_Separated,P_85_yr_over_Divorced,P_85_yr_over_Widowed,P_85_yr_over_Never_married,P_85_yr_over_Tot,P_OS_vis_Married,P_OS_vis_Separated,P_OS_vis_Divorced,P_OS_vis_Widowed,P_OS_vis_Never_married,P_OS_vis_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
POA6000,0,0,0,0,160,159,14,0,0,0,843,860,462,39,31,0,2094,2628,620,72,105,4,869,1670,402,96,169,13,389,1064,349,72,187,6,222,835,249,26,91,25,67,462,102,5,27,24,31,193,31,0,10,11,11,66,152,9,22,0,172,357,2393,310,645,77,4858,8287,0,0,0,0,202,202,32,6,4,0,801,838,523,39,67,0,1660,2286,499,39,100,4,527,1175,292,54,125,9,204,679,264,38,151,27,91,574,209,21,96,52,43,426,65,0,27,58,15,167,18,0,7,49,4,70,60,0,7,9,120,195,1963,199,585,207,3663,6613,0,0,0,0,362,369,47,6,4,0,1639,1700,991,74,98,0,3753,4917,1117,116,210,8,1396,2845,689,144,291,20,589,1737,615,108,335,37,316,1406,466,48,193,73,110,886,167,5,57,82,47,359,50,0,21,54,13,138,214,12,26,6,289,549,4355,515,1231,286,8520,14903
POA6003,0,0,0,0,32,32,0,0,0,0,146,149,105,11,5,0,536,659,132,20,29,0,202,382,85,19,36,0,77,213,72,7,43,0,48,175,38,9,26,0,31,101,22,0,11,0,14,52,4,0,0,0,0,8,4,0,0,0,16,22,457,73,153,9,1110,1799,0,0,0,0,38,38,11,0,4,0,191,202,133,9,19,0,460,621,108,12,31,0,112,265,71,16,29,5,43,160,58,10,36,7,33,149,39,5,27,12,12,103,8,0,0,20,0,28,0,0,0,12,0,8,0,0,0,0,6,8,432,49,147,54,895,1585,0,0,0,0,71,71,12,0,0,0,337,348,236,20,25,0,994,1279,234,34,64,0,318,650,144,33,62,3,126,374,131,17,78,12,89,323,75,12,52,16,41,208,32,0,13,16,14,80,5,0,0,13,0,22,7,0,0,0,20,31,884,117,297,61,2011,3382
POA6004,0,0,0,0,140,140,11,0,0,0,477,482,433,15,29,0,1307,1786,607,57,84,0,562,1315,366,77,127,5,267,841,432,59,155,11,146,802,319,26,134,14,79,568,122,10,46,12,21,205,21,3,4,10,12,54,82,0,8,0,56,152,2383,252,587,54,3071,6344,0,0,0,0,140,140,34,4,3,0,491,522,557,31,49,0,1169,1810,503,41,85,4,335,975,307,26,157,7,160,658,333,41,140,26,79,616,233,18,107,63,19,433,86,0,20,50,7,164,5,3,0,40,5,54,45,4,5,0,30,85,2108,164,568,192,2434,5466,0,0,0,0,279,279,41,4,4,0,966,1012,989,47,78,3,2476,3600,1105,99,171,4,904,2285,678,103,280,11,428,1499,766,96,295,37,228,1424,545,46,236,77,95,1001,207,10,60,60,34,371,27,9,10,48,15,108,131,3,15,4,86,240,4495,416,1157,240,5502,11809
POA6005,0,0,0,0,42,42,5,0,0,0,199,211,188,14,15,0,754,963,226,18,45,0,334,627,127,34,50,3,132,346,129,27,67,5,81,317,98,18,64,0,53,236,62,7,32,15,22,144,22,0,10,13,6,46,6,0,5,0,13,22,866,116,291,45,1632,2951,0,0,0,0,72,72,12,0,0,0,273,281,226,14,25,0,672,931,215,24,48,4,239,528,109,32,64,3,104,308,130,13,78,16,49,288,92,10,46,22,22,192,35,7,26,50,8,119,7,0,7,46,0,67,5,0,3,3,10,21,826,98,292,143,1447,2806,0,0,0,0,114,114,18,0,0,0,470,490,414,23,35,0,1424,1896,435,48,96,4,569,1152,234,59,118,6,238,655,256,43,146,18,139,603,187,34,111,27,73,427,98,15,54,70,36,262,28,0,16,63,3,114,15,0,8,7,22,45,1689,216,583,192,3081,5757
POA6006,0,0,0,0,201,201,0,0,0,0,266,262,135,6,14,0,654,806,404,21,42,3,292,761,354,37,56,3,155,606,306,18,95,4,138,563,203,17,78,7,54,355,109,4,27,23,27,190,42,0,5,25,0,73,8,0,0,0,4,13,1554,102,315,70,1787,3829,0,0,0,0,181,181,3,0,0,0,342,348,194,10,11,0,629,846,436,23,46,3,241,749,376,26,93,6,123,624,294,23,104,29,104,553,187,13,84,47,40,366,76,0,36,91,6,214,19,0,6,133,9,168,0,0,0,0,4,8,1590,102,382,318,1674,4064,0,0,0,0,376,376,0,0,0,0,606,611,329,17,23,0,1285,1652,843,43,90,10,526,1508,727,63,149,11,280,1232,600,43,200,31,241,1118,391,29,157,63,93,723,191,10,59,113,31,400,64,0,6,166,13,247,10,0,0,0,12,24,3144,204,694,387,3464,7896
POA6007,0,0,0,0,150,150,4,0,0,0,202,205,166,3,8,0,637,813,316,18,44,0,275,649,265,31,67,3,119,485,186,17,58,0,89,357,177,6,52,13,48,297,74,7,21,12,14,117,35,0,4,12,0,56,5,0,0,0,4,3,1219,85,257,45,1535,3137,0,0,0,0,145,145,6,0,0,0,287,296,222,14,22,0,664,924,322,22,47,6,212,616,257,24,75,14,146,517,193,20,94,19,69,394,161,11,97,40,44,347,60,3,39,65,13,183,23,0,5,132,5,166,0,0,0,0,6,12,1235,101,385,276,1603,3602,0,0,0,0,295,295,15,0,0,0,487,500,382,17,29,0,1306,1737,635,45,88,5,495,1263,521,56,144,15,265,1003,374,39,150,30,161,754,329,21,153,52,95,646,132,10,64,73,22,300,53,4,10,146,9,224,0,0,0,0,6,14,2451,188,646,320,3139,6738
POA6008,0,0,0,0,406,406,8,0,0,0,407,413,243,5,6,0,877,1136,662,38,46,0,331,1077,634,49,92,8,197,977,544,36,161,10,170,923,555,34,164,30,122,911,320,15,74,46,39,494,73,3,7,23,5,116,16,0,0,0,7,26,3059,180,564,108,2574,6482,0,0,0,0,353,353,6,0,0,0,502,516,349,14,22,0,924,1313,802,48,74,3,327,1247,652,45,172,11,195,1076,539,44,231,35,159,1005,486,29,200,101,105,921,222,11,98,155,60,553,37,0,23,121,46,224,7,0,0,0,8,21,3103,194,813,430,2686,7226,0,0,0,0,761,761,11,0,0,0,914,930,593,21,32,0,1804,2445,1464,77,121,9,655,2327,1290,94,255,17,391,2054,1080,82,392,39,330,1928,1040,67,366,128,233,1828,546,30,171,205,98,1046,115,4,38,140,50,344,31,0,4,5,21,50,6166,376,1375,539,5259,13709
POA6009,0,0,0,0,940,940,5,0,0,0,1135,1138,227,3,3,0,835,1074,701,15,22,0,220,960,859,28,62,0,130,1084,741,26,86,18,99,974,761,24,88,23,55,959,539,10,54,40,25,667,167,4,13,56,5,249,14,0,3,0,23,42,4021,121,331,147,3469,8082,3,0,0,0,993,993,18,0,0,0,1068,1087,320,13,18,0,697,1058,922,29,64,10,192,1209,934,32,104,12,124,1212,777,22,137,27,88,1054,733,22,144,116,74,1086,380,11,77,194,33,698,66,0,32,224,18,339,14,0,6,0,19,38,4166,135,579,579,3303,8769,5,0,0,0,1932,1937,23,0,0,0,2199,2220,551,21,24,0,1534,2127,1623,44,87,7,406,2167,1790,58,164,13,256,2290,1519,54,223,41,185,2031,1493,51,235,141,127,2047,922,24,123,231,64,1367,233,9,40,283,19,586,27,0,8,3,44,80,8185,257,909,727,6770,16855
POA6010,0,0,0,0,792,787,0,0,0,0,551,554,205,14,8,0,705,930,628,23,31,5,235,915,857,53,98,9,143,1164,732,44,100,6,114,1000,651,24,121,23,85,905,473,11,77,56,29,647,150,9,10,83,12,257,19,0,0,0,15,27,3708,172,439,182,2687,7191,0,0,0,0,627,627,10,0,0,0,545,558,271,7,18,0,605,898,767,45,61,4,197,1071,952,80,161,15,159,1362,739,45,227,42,103,1157,621,26,231,105,60,1044,371,16,132,244,45,809,82,4,61,303,24,472,13,0,4,0,7,25,3828,221,891,712,2374,8023,0,0,0,0,1423,1422,8,0,0,0,1097,1112,471,23,25,0,1312,1831,1396,61,91,5,430,1983,1812,133,257,26,308,2524,1478,89,330,41,225,2156,1276,48,350,132,148,1949,843,28,207,305,79,1459,238,11,68,386,27,735,30,0,6,0,19,55,7540,394,1335,898,5058,15216
POA6011,0,0,0,0,326,326,0,0,0,0,262,262,63,0,6,0,366,435,241,14,27,0,143,419,421,18,60,0,81,578,460,10,66,3,55,596,375,11,56,16,28,487,234,6,29,27,12,312,71,3,9,22,0,106,11,0,0,0,12,24,1866,62,251,75,1293,3552,0,0,0,0,438,438,0,0,0,0,265,270,110,4,12,0,359,490,311,16,30,0,128,485,491,28,65,7,81,678,447,11,86,13,59,624,351,10,84,61,30,536,184,3,29,80,8,310,38,3,13,81,6,144,10,0,0,0,6,23,1939,87,328,249,1389,3986,0,0,0,0,762,762,0,0,0,0,530,534,172,7,12,0,723,922,549,32,57,0,270,902,911,47,127,15,167,1263,907,26,157,26,110,1218,717,29,146,74,58,1027,419,6,57,103,25,619,107,7,20,108,5,245,23,0,3,0,18,41,3809,141,579,328,2681,7540
