POA_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christian_Assyrian_Apostol_M,Christian_Assyrian_Apostol_F,Christian_Assyrian_Apostol_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christian_Churches_Christ_M,Christian_Churches_Christ_F,Christian_Churches_Christ_P,Christian_Eastern_Orthodox_M,Christian_Eastern_Orthodox_F,Christian_Eastern_Orthodox_P,Christian_Jehovah_Witnesses_M,Christian_Jehovah_Witnesses_F,Christian_Jehovah_Witnesses_P,Christian_Latter_Day_Saints_M,Christian_Latter_Day_Saints_F,Christian_Latter_Day_Saints_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christian_Oriental_Orthodox_M,Christian_Oriental_Orthodox_F,Christian_Oriental_Orthodox_P,Christian_Other_Protestant_M,Christian_Other_Protestant_F,Christian_Other_Protestant_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christian_Presbyt_Reformed_M,Christian_Presbyt_Reformed_F,Christian_Presbyt_Reformed_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christian_Sevnth_day_Advent_M,Christian_Sevnth_day_Advent_F,Christian_Sevnth_day_Advent_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Oth_Rel_Aus_Abor_Trad_Rel_M,Oth_Rel_Aus_Abor_Trad_Rel_F,Oth_Rel_Aus_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Oth_Relig_Oth_Rel_Groups_M,Oth_Relig_Oth_Rel_Groups_F,Oth_Relig_Oth_Rel_Groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_No_Religion_M,SB_OSB_NRA_No_Religion_F,SB_OSB_NRA_No_Religion_P,SB_OSB_NRA_Sec_Beliefs_M,SB_OSB_NRA_Sec_Beliefs_F,SB_OSB_NRA_Sec_Beliefs_P,SB_OSB_NRA_Oth_Sp_Beliefs_M,SB_OSB_NRA_Oth_Sp_Beliefs_F,SB_OSB_NRA_Oth_Sp_Beliefs_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
POA6000,235,363,600,346,295,642,0,0,0,69,77,140,0,0,0,1030,970,2002,15,5,20,65,74,143,17,14,33,15,0,17,14,16,27,6,10,16,40,53,94,41,49,88,57,61,127,8,3,10,18,3,21,60,58,117,234,259,495,5,4,9,2025,1957,3987,293,267,563,245,168,411,22,28,52,0,0,0,20,28,51,35,46,81,60,73,125,3777,2994,6772,50,30,80,19,17,37,3848,3046,6892,1649,1052,2699,367,200,570,8749,7151,15898
POA6003,63,100,161,87,74,158,0,0,0,7,17,25,0,0,0,256,265,520,0,0,0,27,25,58,0,5,3,0,0,0,0,5,5,0,0,0,3,7,11,10,9,18,21,11,27,0,0,0,0,0,0,8,12,22,54,52,100,4,0,4,476,478,956,42,35,82,37,31,76,6,11,18,0,0,0,4,0,4,8,18,26,18,18,32,979,843,1814,24,12,40,3,0,8,1006,852,1861,277,180,458,24,8,29,1948,1720,3664
POA6004,253,345,595,398,346,739,0,0,0,57,56,117,0,0,0,1013,990,2000,9,6,11,67,90,154,9,9,20,6,0,10,9,8,26,7,0,8,35,43,78,45,47,92,76,52,124,0,0,3,12,8,20,53,61,112,162,215,379,0,0,5,1959,1934,3894,272,272,542,257,248,508,27,17,43,0,0,0,12,16,33,38,40,75,49,64,106,2787,2234,5023,40,15,53,13,16,20,2838,2267,5098,1042,686,1731,160,92,250,6852,5917,12768
POA6005,83,110,192,195,168,360,0,0,0,16,26,39,0,0,0,535,572,1109,6,8,11,50,59,111,6,3,16,0,0,3,9,3,13,3,0,3,13,14,26,19,28,48,26,33,65,0,0,0,3,8,10,43,39,81,65,88,153,0,3,3,993,1055,2049,112,110,227,76,76,153,19,14,34,0,0,0,6,9,15,18,29,49,25,38,63,1519,1386,2905,31,17,42,9,8,12,1547,1413,2962,306,204,508,22,21,45,3203,3040,6240
POA6006,92,131,223,284,349,631,0,0,0,23,22,41,0,0,0,1097,1184,2279,4,3,12,168,214,381,11,13,27,4,4,3,9,14,30,0,0,0,13,13,28,12,14,30,25,31,59,0,5,9,0,3,7,39,52,91,52,79,134,0,0,0,1744,2010,3753,32,34,64,39,27,61,39,53,90,0,0,0,0,3,0,18,9,24,16,14,28,2354,2282,4637,28,16,46,10,11,23,2391,2310,4706,232,194,422,13,8,24,4594,4778,9367
POA6007,71,87,158,267,340,603,0,0,0,15,29,41,0,0,0,655,871,1527,0,15,13,65,70,137,9,6,12,3,0,4,9,6,13,4,0,4,17,17,34,20,31,47,30,36,70,5,5,7,3,0,3,33,60,96,53,80,141,5,3,10,1180,1574,2760,64,60,126,41,44,91,17,17,37,0,0,0,13,8,16,16,24,38,27,31,53,2047,2015,4070,31,23,48,5,15,16,2081,2056,4138,220,230,452,3,12,14,3708,4114,7825
POA6008,150,228,376,821,998,1818,0,0,0,57,65,120,0,0,0,1192,1575,2769,53,58,105,95,151,244,13,20,39,0,0,0,22,31,54,0,0,0,30,39,72,16,34,55,79,105,193,4,3,14,3,4,6,111,194,308,132,211,339,9,4,12,2638,3498,6138,107,105,209,97,90,195,31,43,69,0,0,0,6,11,20,29,33,63,38,44,78,4049,3888,7939,48,47,91,9,18,30,4101,3949,8056,644,615,1257,29,24,54,7842,8599,16439
POA6009,194,285,480,1227,1513,2736,0,0,3,99,115,212,0,0,0,1552,1845,3393,27,26,53,116,135,250,14,22,34,0,4,3,20,34,53,7,7,17,45,64,110,37,47,86,116,117,238,7,6,5,3,9,13,264,336,603,250,279,528,8,11,21,3788,4572,8358,240,232,477,230,230,461,58,54,117,0,0,0,34,26,62,52,45,91,86,68,158,4311,3982,8293,58,39,93,6,16,18,4373,4033,8408,775,806,1583,47,42,83,9791,10331,20119
POA6010,95,149,248,1419,1772,3189,0,0,0,73,75,149,0,0,0,1616,1980,3589,34,39,72,104,126,232,3,5,13,3,0,8,21,26,39,11,18,29,29,47,78,40,46,85,110,141,251,3,8,8,0,4,10,244,321,564,165,183,343,6,10,17,3877,4806,8682,81,76,156,50,56,108,45,53,102,3,0,3,10,7,18,44,40,82,53,49,103,4126,3699,7829,37,21,57,16,25,38,4181,3748,7928,538,535,1071,33,21,63,8951,9503,18453
POA6011,20,37,51,784,924,1707,0,0,0,11,20,27,0,0,0,768,939,1708,4,3,5,58,58,116,0,0,0,0,0,0,12,7,16,0,0,4,5,16,25,8,10,23,56,81,139,0,0,0,0,0,0,88,130,217,47,65,106,4,0,5,1852,2264,4110,19,21,42,14,21,39,26,15,43,0,0,0,3,0,8,19,19,39,22,18,42,2091,2054,4148,20,16,30,3,9,12,2116,2075,4191,198,276,474,26,28,54,4302,4748,9051
POA6012,107,126,230,636,832,1475,0,0,0,25,41,63,0,0,0,684,905,1589,3,6,16,53,48,103,5,3,9,0,5,0,12,13,25,0,0,3,10,12,27,22,15,46,54,82,138,5,0,5,0,3,7,68,99,174,62,91,155,3,4,6,1651,2173,3822,37,52,91,41,44,91,8,5,17,0,0,0,4,4,6,24,24,50,28,30,53,1999,1983,3985,19,22,44,9,11,15,2025,2019,4046,271,264,540,18,22,37,4199,4733,8930
