POA_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
POA6000,175,3232,3405,1790,703,2499,476,167,635,244,62,299,58,8,70,16,6,23,2755,4180,6935
POA6003,45,869,914,505,185,693,138,58,194,78,20,101,16,5,20,9,0,9,790,1141,1934
POA6004,145,2576,2718,1870,521,2387,518,152,673,220,47,268,51,12,59,19,0,22,2817,3311,6129
POA6005,68,1474,1538,833,293,1128,252,75,331,100,23,126,28,3,30,4,0,4,1287,1871,3155
POA6006,78,1226,1300,1098,233,1335,526,111,636,534,39,567,125,9,133,42,3,49,2398,1620,4017
POA6007,97,1289,1387,1096,241,1338,391,69,467,337,25,363,90,6,90,16,0,16,2035,1629,3664
POA6008,142,2586,2733,1952,348,2294,830,106,941,831,44,875,252,21,272,63,3,64,4075,3104,7177
POA6009,96,1388,1491,1874,313,2186,851,140,986,1060,74,1136,498,21,516,123,7,128,4505,1944,6453
POA6010,152,2104,2249,2106,300,2408,946,85,1026,1083,52,1128,444,10,457,106,9,116,4832,2552,7381
POA6011,80,868,953,1075,177,1252,477,54,532,483,21,506,242,8,250,79,0,80,2435,1132,3567
POA6012,80,1191,1274,935,176,1113,445,41,490,503,24,526,232,15,245,49,0,54,2247,1452,3702
POA6014,151,2346,2497,2334,301,2632,1113,61,1171,1501,31,1535,595,11,609,134,0,130,5827,2751,8577
POA6015,34,408,446,726,44,767,325,30,354,486,11,496,227,6,232,59,0,57,1857,501,2359
POA6016,59,1135,1195,1068,190,1260,656,68,720,785,25,804,234,5,234,47,0,47,2843,1420,4265
POA6017,40,1017,1060,605,156,759,260,37,292,135,0,137,44,3,45,14,3,15,1085,1218,2302
POA6018,376,4428,4805,4581,763,5345,2433,211,2645,2723,94,2814,771,28,795,235,10,249,11117,5537,16659
POA6019,314,3301,3616,2939,605,3542,1286,205,1487,1306,52,1355,348,13,357,74,7,84,6262,4177,10443
POA6020,123,1601,1721,2797,200,2999,1163,36,1199,1566,23,1591,581,7,590,149,5,152,6385,1870,8257
POA6021,147,2294,2442,2474,277,2751,1276,83,1353,1235,63,1295,428,21,446,176,3,182,5730,2744,8467
POA6022,55,434,489,662,56,721,326,6,329,325,8,331,108,5,111,43,0,45,1519,508,2028
POA6023,113,932,1046,1715,105,1815,926,31,955,1252,19,1270,412,3,420,119,0,121,4532,1089,5621
POA6024,119,1129,1246,1692,171,1865,876,45,917,822,20,846,302,14,315,96,9,107,3911,1380,5296
POA6025,318,2337,2655,3884,299,4182,1967,100,2059,2109,42,2145,684,11,698,209,9,220,9163,2789,11957
POA6026,159,1574,1729,2712,164,2875,1380,25,1402,1610,19,1625,535,3,540,160,0,161,6552,1786,8341
POA6027,415,3406,3825,5092,542,5635,2621,176,2804,2554,87,2638,905,37,947,331,16,344,11922,4271,16192
POA6028,180,1002,1179,2487,135,2629,1562,37,1603,1747,22,1772,632,12,639,207,4,209,6810,1223,8033
POA6029,23,191,208,322,38,360,132,19,147,214,0,215,73,0,73,25,3,29,781,253,1034
POA6030,382,3026,3408,4354,474,4825,2573,145,2711,2383,94,2475,971,54,1026,447,13,461,11108,3809,14913
POA6031,175,909,1084,1518,155,1675,1265,38,1307,1313,35,1344,501,12,516,280,13,289,5050,1164,6214
POA6032,0,15,15,25,9,27,15,0,15,13,0,13,4,0,4,0,0,0,49,22,73
POA6033,4,20,22,39,4,41,18,0,18,28,0,33,15,0,14,11,0,10,113,29,143
POA6034,45,203,248,367,31,402,242,15,261,237,6,250,100,4,101,36,0,37,1027,259,1287
POA6035,119,745,864,1120,125,1249,668,42,718,585,26,613,290,17,306,148,3,149,2926,965,3896
POA6036,168,1200,1372,1636,181,1814,1132,46,1176,1079,33,1106,475,7,480,234,8,242,4717,1474,6189
POA6037,56,348,403,409,60,468,198,15,216,189,9,190,87,6,94,51,10,64,992,440,1435
POA6038,115,673,785,929,85,1016,750,23,774,682,19,698,244,9,251,93,0,94,2816,817,3629
POA6041,16,125,141,222,44,259,85,10,92,62,3,67,26,0,27,24,0,24,432,181,611
POA6042,0,24,24,18,8,29,0,0,0,3,0,7,0,0,0,0,0,0,20,33,60
POA6043,12,45,59,52,6,58,8,3,11,0,0,0,0,0,0,0,0,0,72,60,130
POA6044,28,219,236,195,61,257,44,11,54,34,3,36,14,3,17,4,4,13,318,294,610
POA6050,109,2263,2378,1850,321,2169,745,80,827,810,49,863,278,5,287,73,0,71,3859,2734,6594
POA6051,169,2866,3036,1736,466,2206,639,115,760,462,47,518,123,6,132,49,4,53,3185,3516,6697
POA6052,83,1369,1449,1347,198,1549,720,54,780,701,28,732,196,11,209,52,6,59,3110,1668,4774
POA6053,146,1782,1930,1830,283,2108,983,65,1052,866,28,899,225,13,240,67,5,75,4121,2181,6298
POA6054,182,2568,2749,2450,381,2832,1254,119,1371,1082,62,1145,378,23,397,187,19,208,5528,3169,8700
POA6055,266,1947,2214,2891,393,3285,2122,107,2225,2057,51,2109,764,19,785,468,15,477,8563,2536,11099
POA6056,351,5378,5727,4864,747,5610,2342,203,2541,1930,97,2032,805,42,845,431,32,464,10722,6498,17222
POA6057,164,1452,1617,1984,208,2192,1056,41,1101,856,22,883,379,16,393,175,11,185,4621,1751,6370
POA6058,126,1467,1596,1554,214,1772,808,53,862,676,37,714,285,15,295,120,12,129,3568,1792,5366
POA6059,143,2846,2988,2803,400,3202,1419,100,1516,1332,52,1383,529,23,552,220,13,235,6441,3424,9867
POA6060,240,4570,4813,3339,615,3955,1472,181,1652,1086,65,1151,280,18,305,122,5,129,6540,5458,11997
POA6061,276,5212,5488,4083,1015,5099,2495,356,2853,1825,177,1998,813,82,895,597,40,639,10095,6879,16977
POA6062,267,3275,3542,4011,571,4585,2107,158,2261,1832,81,1915,656,36,695,392,18,406,9262,4141,13408
POA6063,97,1027,1119,1247,157,1397,864,58,923,868,44,912,402,21,421,335,9,342,3810,1315,5123
POA6064,158,2628,2789,2921,382,3306,1739,137,1880,1611,78,1689,834,34,868,604,20,625,7869,3282,11158
POA6065,522,4019,4538,6025,512,6531,4291,158,4448,4974,107,5081,1843,36,1876,872,21,897,18541,4845,23381
POA6066,106,1116,1219,1769,187,1952,1127,54,1182,1110,35,1148,487,24,513,332,11,338,4930,1423,6349
POA6067,0,3,3,0,0,5,0,0,0,0,0,0,0,0,0,3,0,3,7,7,5
POA6068,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
POA6069,399,2703,3100,4133,441,4575,2782,151,2932,2993,80,3071,1237,35,1278,739,26,766,12283,3438,15721
POA6070,33,217,244,449,37,484,212,8,221,261,3,262,94,4,98,27,0,27,1076,266,1342
POA6071,35,218,252,452,30,484,206,16,220,195,4,206,82,0,88,23,0,28,997,272,1264
POA6072,14,51,69,95,6,107,48,0,49,45,0,47,19,0,18,15,0,15,237,65,304
POA6073,33,290,324,426,25,453,185,3,192,155,3,157,79,0,78,34,0,34,908,325,1234
POA6074,15,61,74,134,11,143,62,0,62,53,0,54,21,0,23,10,0,10,292,77,367
POA6076,151,1671,1823,2860,183,3045,1179,32,1211,1316,21,1337,574,3,579,221,6,224,6299,1916,8221
POA6077,12,131,146,232,25,255,68,4,69,68,0,73,42,0,46,27,0,28,454,166,614
POA6078,3,34,45,83,10,97,46,6,56,38,3,38,39,3,41,24,0,24,234,63,295
POA6079,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,13,0,16
POA6081,56,264,319,568,42,614,288,4,287,295,5,301,139,4,144,58,3,67,1400,319,1725
POA6082,33,208,243,395,35,434,203,10,211,186,9,192,91,4,99,40,0,43,946,265,1213
