POA_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
POA6000,555,1292,406,876,331,647,733,1521,406,689,840,1387,1960,3212,2109,3563,0,7,5322,8853,3,3,0,0,280,283,0,7,285,296,36,56,6935,12021,1733,..,8664,12021
POA6003,263,601,70,151,281,532,353,681,167,245,582,989,411,683,82,144,0,0,1247,2061,0,0,0,0,62,62,9,6,69,72,9,8,1934,3429,346,..,2274,3429
POA6004,223,541,13,18,339,754,356,777,117,173,606,1023,1726,3006,3033,5417,0,0,5483,9614,0,0,0,0,40,40,0,0,40,40,25,24,6129,11008,1470,..,7595,11008
POA6005,276,584,131,246,252,525,385,777,113,169,603,976,1192,2017,567,919,0,0,2481,4082,0,0,0,0,5,8,0,0,5,8,3,5,3155,5454,638,..,3791,5454
POA6006,2602,6625,296,514,451,954,744,1461,261,403,199,310,195,264,0,0,4,5,661,986,0,0,0,0,0,0,7,22,9,19,9,16,4017,9108,419,..,4439,9108
POA6007,1613,3984,214,369,680,1360,899,1731,200,299,263,409,500,752,155,250,0,0,1114,1717,0,0,0,0,4,10,15,36,29,39,4,4,3664,7480,404,..,4068,7480
POA6008,3362,8885,266,554,999,2009,1272,2555,583,966,740,1091,1156,1808,36,65,0,3,2519,3931,0,0,0,0,9,14,10,15,22,28,4,14,7177,15409,839,..,8018,15409
POA6009,4304,12519,381,787,553,1224,937,2011,515,1007,361,599,204,389,118,211,10,19,1210,2232,0,0,0,0,3,3,0,0,4,4,3,18,6453,16773,708,..,7155,16773
POA6010,4174,11839,834,1767,660,1368,1496,3136,332,493,298,390,799,1351,259,405,4,6,1694,2643,0,0,0,0,0,0,6,5,6,5,9,16,7381,17635,856,..,8238,17635
POA6011,2466,6831,143,300,294,619,439,916,199,335,364,543,92,151,0,0,3,9,655,1045,0,0,0,0,0,0,0,0,0,0,4,11,3567,8802,536,..,4106,8802
POA6012,2231,6331,302,533,235,447,538,981,91,130,376,504,412,622,45,75,0,0,925,1329,0,0,0,0,3,5,0,0,3,6,4,7,3702,8649,413,..,4113,8649
POA6014,5149,15194,539,1005,571,1129,1101,2138,495,833,1460,2560,305,443,42,68,10,15,2307,3920,0,0,0,0,0,0,0,0,0,0,17,26,8577,21282,775,..,9352,21282
POA6015,2065,6117,32,59,92,154,128,210,172,249,0,0,0,0,0,0,0,0,172,249,0,0,0,0,0,0,0,0,0,0,0,0,2359,6580,193,..,2556,6580
POA6016,2446,6791,457,930,520,1183,973,2114,473,960,194,372,23,28,136,248,0,0,824,1608,0,0,0,0,0,0,19,31,23,34,0,0,4265,10549,370,..,4629,10549
POA6017,394,916,1177,2137,135,279,1312,2411,394,657,193,327,0,0,0,0,0,0,591,981,0,0,0,0,0,0,0,0,0,0,6,12,2302,4324,209,..,2513,4324
POA6018,10788,29133,3104,5856,1507,3314,4616,9170,747,1110,103,171,267,408,0,0,9,14,1129,1706,73,146,28,55,14,31,0,0,117,231,6,14,16659,40251,1341,..,17997,40251
POA6019,4583,11955,2773,5224,1605,3369,4379,8597,681,997,257,376,346,617,176,319,0,6,1459,2316,0,5,0,0,0,0,0,0,4,9,17,29,10443,22898,1264,..,11709,22898
POA6020,6417,18220,898,1733,499,1048,1396,2781,205,249,105,141,115,184,0,0,9,24,436,589,0,0,0,0,0,0,0,0,0,0,5,3,8257,21598,608,..,8864,21598
POA6021,5695,15251,2432,4552,281,637,2711,5182,51,85,0,0,0,0,0,0,5,12,57,101,0,0,0,0,0,0,0,0,0,0,3,14,8467,20549,573,..,9040,20549
POA6022,1833,4686,183,386,6,16,192,398,0,0,0,0,0,0,0,0,5,9,5,9,0,0,0,0,0,3,0,0,0,3,0,0,2028,5091,109,..,2139,5091
POA6023,5138,14669,322,540,43,92,365,622,78,115,19,29,0,0,0,0,12,15,110,169,0,0,0,0,0,0,0,0,0,0,7,17,5621,15475,283,..,5903,15475
POA6024,4845,12524,372,709,40,74,415,781,21,29,0,0,0,0,0,0,6,11,25,39,0,0,0,0,9,3,0,0,9,3,3,3,5296,13356,269,..,5565,13356
POA6025,10702,28465,917,1611,183,329,1097,1941,86,125,15,26,0,6,0,0,19,36,123,204,0,0,6,7,23,25,0,0,25,29,5,6,11957,30645,717,..,12674,30645
POA6026,7281,20225,845,1393,91,136,939,1532,0,0,0,0,0,0,0,0,6,13,9,16,90,130,7,11,4,9,4,10,104,155,0,8,8341,21932,356,..,8698,21932
POA6027,13636,36386,790,1421,689,1456,1485,2877,51,84,358,577,518,855,0,0,30,63,950,1577,0,6,0,0,71,72,21,51,91,121,32,34,16192,41001,1077,..,17263,41001
POA6028,7539,21978,254,449,19,57,269,511,84,147,106,165,0,0,0,0,9,11,197,320,9,14,0,0,10,12,0,0,20,30,6,5,8033,22852,336,..,8366,22852
POA6029,889,2530,67,112,67,102,135,208,0,0,6,15,0,0,0,0,0,0,4,15,0,0,0,0,0,0,0,0,0,0,0,3,1034,2758,87,..,1117,2758
POA6030,13252,36413,1262,2131,222,384,1481,2522,11,14,118,208,3,7,0,0,14,42,151,274,0,0,0,0,9,11,0,7,13,22,11,16,14913,39241,1080,..,15995,39241
POA6031,5993,17776,183,369,23,49,210,419,0,0,0,0,0,0,0,0,9,20,9,20,0,0,0,0,0,0,0,10,4,6,3,7,6214,18226,280,..,6494,18226
POA6032,74,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,3,73,183,7,..,83,183
