POA_CODE_2021,M_Nat_Phy_Sci_15_24,M_Nat_Phy_Sci_25_34,M_Nat_Phy_Sci_35_44,M_Nat_Phy_Sci_45_54,M_Nat_Phy_Sci_55_64,M_Nat_Phy_Sci_65_74,M_Nat_Phy_Sci_75_84,M_Nat_Phy_Sci_85ov,M_Nat_Phy_Sci_Tot,M_IT_15_24,M_IT_25_34,M_IT_35_44,M_IT_45_54,M_IT_55_64,M_IT_65_74,M_IT_75_84,M_IT_85ov,M_IT_Tot,M_Egnr_rel_Tech_15_24_yr,M_Egnr_rel_Tech_25_34_yr,M_Egnr_rel_Tech_35_44_yr,M_Egnr_rel_Tech_45_54_yr,M_Egnr_rel_Tech_55_64_yr,M_Egnr_rel_Tech_65_74_yr,M_Egnr_rel_Tech_75_84_yr,M_Egnr_rel_Tech_85_yr_over,M_Egnr_rel_Tech_Tot,M_Arc_Bld_15_24_yr,M_Arc_Bld_25_34_yr,M_Arc_Bld_35_44_yr,M_Arc_Bld_45_54_yr,M_Arc_Bld_55_64_yr,M_Arc_Bld_65_74_yr,M_Arc_Bld_75_84_yr,M_Arc_Bld_85_yr_over,M_Arc_Bld_Tot,M_Agric_Env_Rel_Stud_15_24,M_Agric_Env_Rel_Stud_25_34,M_Agric_Env_Rel_Stud_35_44,M_Agric_Env_Rel_Stud_45_54,M_Agric_Env_Rel_Stud_55_64,M_Agric_Env_Rel_Stud_65_74,M_Agric_Env_Rel_Stud_75_84,M_Agric_Env_Rel_Stud_85_over,M_Agric_Envir_Rel_Stud_Tot,M_Hlth_15_24_yr,M_Hlth_25_34_yr,M_Hlth_35_44_yr,M_Hlth_45_54_yr,M_Hlth_55_64_yr,M_Hlth_65_74_yr,M_Hlth_75_84_yr,M_Hlth_85_yr_over,M_Hlth_Tot,M_Edu_15_24_yr,M_Edu_25_34_yr,M_Edu_35_44_yr,M_Edu_45_54_yr,M_Edu_55_64_yr,M_Edu_65_74_yr,M_Edu_75_84_yr,M_Edu_85_yr_over,M_Edu_Tot,M_Mgmt_Cmrce_15_24_yr,M_Mgmt_Cmrce_25_34_yr,M_Mgmt_Cmrce_35_44_yr,M_Mgmt_Cmrce_45_54_yr,M_Mgmt_Cmrce_55_64_yr,M_Mgmt_Cmrce_65_74_yr,M_Mgmt_Cmrce_75_84_yr,M_Mgmt_Cmrce_85_yr_over,M_Mgmt_Cmrce_Tot,M_Scty_Cul_15_24_yr,M_Scty_Cul_25_34_yr,M_Scty_Cul_35_44_yr,M_Scty_Cul_45_54_yr,M_Scty_Cul_55_64_yr,M_Scty_Cul_65_74_yr,M_Scty_Cul_75_84_yr,M_Scty_Cul_85_yr_over,M_Scty_Cul_Tot,M_Crtve_Arts_15_24_yr,M_Crtve_Arts_25_34_yr,M_Crtve_Arts_35_44_yr,M_Crtve_Arts_45_54_yr,M_Crtve_Arts_55_64_yr,M_Crtve_Arts_65_74_yr,M_Crtve_Arts_75_84_yr,M_Crtve_Arts_85_yr_over,M_Crtve_Arts_Tot,M_FoodHos_PsnlSvcs_15_24_yr,M_FoodHos_PsnlSvcs_25_34_yr,M_FoodHos_PsnlSvcs_35_44_yr,M_FoodHos_PsnlSvcs_45_54_yr,M_FoodHos_PsnlSvcs_55_64_yr,M_FoodHos_PsnlSvcs_65_74_yr,M_FoodHos_PsnlSvcs_75_84_yr,M_FoodHos_PsnlSvcs_85_over,M_FoodHos_PsnlSvcs_Tot,M_Mix_Fld_Prog_15_24_yr,M_Mix_Fld_Prog_25_34_yr,M_Mix_Fld_Prog_35_44_yr,M_Mix_Fld_Prog_45_54_yr,M_Mix_Fld_Prog_55_64_yr,M_Mix_Fld_Prog_65_74_yr,M_Mix_Fld_Prog_75_84_yr,M_Mix_Fld_Prog_85_over,M_Mix_Fld_Prog_Tot,M_Fld_stud_inad_desc_15_24,M_Fld_stud_inad_desc_25_34,M_Fld_stud_inad_desc_35_44,M_Fld_stud_inad_desc_45_54,M_Fld_stud_inad_desc_55_64,M_Fld_stud_inad_desc_65_74,M_Fld_stud_inad_desc_75_84,M_Fld_stud_inad_desc_85_over,M_Fld_stud_inad_desc_Tot,M_Fld_stud_ns_15_24_yr,M_Fld_stud_ns_25_34_yr,M_Fld_stud_ns_35_44_yr,M_Fld_stud_ns_45_54_yr,M_Fld_stud_ns_55_64_yr,M_Fld_stud_ns_65_74_yr,M_Fld_stud_ns_75_84_yr,M_Fld_stud_ns_85_yr_over,M_Fld_stud_ns_Tot,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Nat_Phy_Sci_15_24_yr,F_Nat_Phy_Sci_25_34_yr,F_Nat_Phy_Sci_35_44_yr,F_Nat_Phy_Sci_45_54_yr,F_Nat_Phy_Sci_55_64_yr,F_Nat_Phy_Sci_65_74_yr,F_Nat_Phy_Sci_75_84_yr,F_Nat_Phy_Sci_85_yr_over,F_Nat_Phy_Sci_Tot,F_IT_15_24_yr,F_IT_25_34_yr,F_IT_35_44_yr,F_IT_45_54_yr,F_IT_55_64_yr,F_IT_65_74_yr,F_IT_75_84_yr,F_IT_85_yr_over,F_IT_Tot,F_Egnr_rel_Tech_15_24_yr,F_Egnr_rel_Tech_25_34_yr,F_Egnr_rel_Tech_35_44_yr,F_Egnr_rel_Tech_45_54_yr,F_Egnr_rel_Tech_55_64_yr,F_Egnr_rel_Tech_65_74_yr,F_Egnr_rel_Tech_75_84_yr,F_Egnr_rel_Tech_85_yr_over,F_Egnr_rel_Tech_Tot,F_Arc_Bld_15_24_yr,F_Arc_Bld_25_34_yr,F_Arc_Bld_35_44_yr,F_Arc_Bld_45_54_yr,F_Arc_Bld_55_64_yr,F_Arc_Bld_65_74_yr,F_Arc_Bld_75_84_yr,F_Arc_Bld_85_yr_over,F_Arc_Bld_Tot,F_Agric_Env_Rel_Stud_15_24,F_Agric_Env_Rel_Stud_25_34,F_Agric_Env_Rel_Stud_35_44,F_Agric_Env_Rel_Stud_45_54,F_Agric_Env_Rel_Stud_55_64,F_Agric_Env_Rel_Stud_65_74,F_Agric_Env_Rel_Stud_75_84,F_Agric_Env_Rel_Stud_85_over,F_Agric_Envir_Rel_Stud_Tot,F_Hlth_15_24_yr,F_Hlth_25_34_yr,F_Hlth_35_44_yr,F_Hlth_45_54_yr,F_Hlth_55_64_yr,F_Hlth_65_74_yr,F_Hlth_75_84_yr,F_Hlth_85_yr_over,F_Hlth_Tot,F_Edu_15_24_yr,F_Edu_25_34_yr,F_Edu_35_44_yr,F_Edu_45_54_yr,F_Edu_55_64_yr,F_Edu_65_74_yr,F_Edu_75_84_yr,F_Edu_85_yr_over,F_Edu_Tot,F_Mgmt_Cmrce_15_24_yr,F_Mgmt_Cmrce_25_34_yr
POA6000,32,85,61,26,22,13,3,0,254,44,116,112,32,18,7,0,0,336,71,487,318,183,141,60,30,5,1305,19,88,57,33,38,32,0,5,270,7,27,11,9,15,4,0,0,74,13,140,74,46,25,12,9,0,328,9,26,30,22,19,9,4,0,114,100,376,233,132,102,46,10,3,1009,47,195,101,58,47,40,10,0,503,38,110,67,24,14,11,3,0,274,41,107,55,38,15,8,3,0,273,0,0,0,0,0,0,0,0,4,10,17,18,15,10,3,0,0,81,187,452,301,262,194,99,51,28,1582,620,2225,1452,889,666,346,139,50,6394,50,100,33,22,7,3,0,0,210,13,53,37,12,4,4,0,0,118,15,114,48,18,6,3,0,0,210,9,49,21,11,9,0,0,0,93,12,15,11,5,0,0,0,0,50,46,300,116,60,52,38,18,5,626,11,73,52,50,50,23,11,3,272,134,460
POA6003,3,26,17,9,4,3,3,0,60,6,29,19,7,5,6,0,0,75,5,102,53,26,28,16,5,0,239,0,25,16,4,9,8,0,0,62,0,9,4,0,4,6,0,0,20,4,34,13,4,3,0,0,0,67,0,6,9,7,8,9,0,0,38,14,90,65,33,20,9,6,0,239,6,60,38,22,12,9,0,0,151,7,45,26,8,7,3,0,0,96,7,31,23,5,7,0,0,0,73,0,0,4,0,0,0,0,0,5,0,3,3,0,4,0,0,0,15,28,100,48,35,32,10,6,0,260,95,571,334,170,140,72,29,5,1401,10,27,11,8,0,0,0,0,56,0,5,5,7,0,0,0,0,14,6,18,8,4,0,0,0,0,35,0,19,5,0,0,0,0,0,26,0,6,4,0,0,0,0,0,5,10,70,25,13,11,10,0,0,133,8,20,7,13,15,13,0,0,81,30,104
POA6004,26,72,53,29,32,24,3,0,241,21,127,98,37,14,8,0,0,303,54,369,265,136,172,102,31,6,1132,11,65,31,28,38,33,9,4,224,8,16,6,14,4,3,0,3,53,14,123,57,41,38,22,8,0,300,0,15,22,17,15,13,7,0,87,73,261,222,128,119,81,23,4,912,17,142,85,56,61,34,11,3,415,26,51,31,12,15,5,0,0,136,13,76,43,19,7,8,0,0,164,0,0,0,0,0,0,0,0,7,4,16,25,6,3,4,0,0,61,76,226,228,165,133,90,38,10,960,346,1553,1169,679,657,427,137,24,4998,31,80,40,22,24,7,0,5,200,6,41,26,8,5,3,0,0,93,20,122,54,21,10,4,0,0,226,0,33,20,11,6,3,0,0,80,0,12,6,0,0,0,0,0,20,36,233,92,64,65,41,24,4,561,15,66,28,48,51,42,16,6,272,97,423
POA6005,20,64,37,11,17,10,3,0,161,11,49,38,19,3,3,0,0,128,25,185,141,68,47,35,21,8,520,7,39,24,10,15,13,6,0,108,5,11,4,6,5,0,0,0,36,3,66,37,10,16,4,3,3,156,0,25,9,12,7,13,3,0,69,34,153,104,55,44,30,19,3,432,21,83,41,29,25,27,11,0,236,16,35,22,7,3,3,3,0,90,9,26,26,4,11,8,3,0,79,0,0,0,0,0,0,0,0,0,0,8,9,0,8,0,0,0,26,24,78,47,36,34,26,11,5,269,157,811,548,268,235,173,82,27,2301,20,58,35,12,5,9,4,0,133,7,12,19,11,3,0,0,0,54,8,51,26,5,9,0,4,0,110,3,16,4,7,8,0,0,0,48,5,15,5,3,0,0,0,0,18,22,157,84,35,32,12,10,3,357,9,32,24,23,24,16,7,6,140,45,184
POA6006,14,33,42,32,29,10,4,0,162,5,26,42,23,21,3,0,0,119,30,136,119,100,92,64,23,13,570,5,48,55,43,33,32,11,7,224,0,11,10,17,4,0,0,0,44,13,55,34,33,25,8,4,0,169,6,17,18,23,20,24,3,0,109,30,111,170,99,90,32,14,6,548,14,87,70,44,50,26,15,5,299,29,68,36,17,16,15,4,0,187,8,18,18,18,14,3,0,0,77,0,0,0,0,0,0,0,0,7,6,13,11,6,6,0,0,0,38,11,38,36,25,27,30,15,8,195,162,665,651,476,424,246,97,30,2755,20,29,34,31,19,6,0,0,136,6,4,8,11,9,0,0,0,27,3,25,30,17,4,0,4,6,97,3,28,13,5,8,3,0,0,58,3,10,3,4,0,0,0,0,25,39,151,108,81,64,42,11,3,496,11,58,46,68,76,53,14,4,327,44,164
POA6007,13,49,49,26,21,14,11,0,182,4,26,33,28,12,0,0,0,109,16,129,138,76,62,47,22,8,500,12,41,43,28,23,16,10,0,174,0,14,7,3,7,0,4,0,36,10,80,61,38,30,19,3,3,241,0,25,7,6,10,18,4,3,74,23,125,104,102,70,37,9,0,472,17,79,74,49,37,29,4,0,293,13,50,30,12,11,10,0,0,135,9,20,19,11,5,7,0,0,66,3,0,0,0,0,0,0,0,3,0,14,7,15,3,0,0,0,40,27,55,27,19,13,14,16,17,191,155,704,588,415,298,228,87,38,2513,27,48,29,29,17,14,0,0,163,0,3,11,10,10,0,0,0,36,3,44,21,16,6,0,0,0,98,0,21,17,14,8,8,0,0,67,3,3,7,5,4,0,0,0,32,29,187,112,84,82,54,26,9,577,6,40,35,52,36,43,18,15,235,50,175
POA6008,38,95,57,58,70,61,29,10,421,23,46,71,45,22,14,7,0,215,38,190,209,176,144,126,65,10,952,10,57,50,42,51,50,28,6,290,3,9,11,15,22,13,12,3,82,9,156,113,70,89,51,40,7,536,3,20,22,22,29,41,18,4,166,59,204,215,207,159,136,68,7,1051,41,126,138,109,96,95,34,5,653,16,36,32,29,27,21,9,0,160,11,20,13,8,13,13,5,0,73,0,0,0,0,0,0,0,0,7,0,11,11,6,5,8,3,0,58,45,59,58,66,51,83,65,30,456,300,1020,998,856,776,718,378,82,5129,41,86,63,54,49,27,7,8,331,5,5,24,11,10,7,0,0,64,12,41,53,34,17,9,3,0,166,4,29,24,25,16,9,4,0,117,7,15,12,11,6,4,4,0,57,59,358,243,186,169,142,91,45,1285,19,69,67,95,118,154,72,8,609,56,194
POA6009,119,130,75,63,88,91,56,14,641,18,33,38,31,20,8,3,0,158,117,188,169,185,151,159,75,25,1076,13,35,21,37,28,37,17,14,205,21,28,21,8,11,14,12,5,123,31,127,144,170,147,126,103,32,882,0,19,10,8,27,26,23,6,131,140,155,200,275,204,152,80,27,1237,92,113,112,135,95,121,62,14,736,51,35,29,15,16,13,5,0,166,14,11,13,6,6,7,9,0,76,3,0,0,5,0,0,0,0,4,9,17,6,7,7,12,10,0,64,85,60,67,48,69,58,69,39,495,726,957,902,1002,867,830,522,179,5987,141,118,74,72,53,55,25,3,551,7,13,21,15,13,7,6,0,72,28,42,56,29,29,4,3,0,196,16,27,18,22,20,9,3,0,116,10,20,17,12,6,0,0,0,68,77,218,232,233,218,181,118,46,1324,19,59,74,83,116,173,106,33,657,143,149
POA6010,37,53,45,50,64,59,38,12,352,7,26,46,29,24,3,5,0,144,36,144,160,222,155,157,85,39,1004,17,45,36,44,42,36,28,11,258,0,7,14,14,15,19,15,6,99,16,91,86,107,101,79,62,33,585,0,14,25,30,41,34,25,13,184,96,172,218,327,247,176,114,25,1376,41,110,84,117,98,121,70,21,655,29,54,32,20,14,9,0,3,160,4,12,18,11,9,8,7,5,73,0,6,0,0,0,0,0,0,5,4,9,18,11,6,3,4,0,54,48,70,53,50,48,44,43,42,395,349,813,828,1053,861,756,488,195,5342,45,46,43,57,48,19,19,8,292,0,3,5,16,18,6,0,0,46,5,27,47,40,19,9,4,5,154,6,40,18,28,12,10,0,6,128,8,6,12,10,5,3,0,3,51,65,221,201,213,261,197,116,63,1338,12,46,91,132,137,183,115,50,773,68,162
POA6011,11,19,24,21,29,31,20,8,164,0,8,7,3,5,4,0,0,29,13,68,46,72,84,84,37,13,426,0,28,22,25,26,26,10,5,147,0,11,8,10,15,3,10,3,61,10,52,41,73,78,49,32,10,353,3,7,11,4,11,16,13,3,62,36,95,122,200,160,93,49,11,763,26,42,47,75,80,64,34,8,371,5,12,15,7,22,11,0,0,76,0,9,9,12,5,4,0,6,28,0,4,0,0,0,0,0,0,5,0,0,3,5,8,3,3,0,31,15,17,23,14,21,17,18,23,148,134,374,379,521,530,402,237,83,2661,16,23,25,26,18,21,10,4,137,0,0,0,4,3,0,0,0,7,9,9,13,13,6,3,3,6,63,3,17,8,21,7,10,0,0,64,0,6,4,4,5,0,6,0,21,29,128,78,123,118,83,45,22,623,11,30,31,62,102,110,44,16,401,26,98
