SA2_CODE_2021,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
501011001,661,541,217,57,3426
501011003,1168,1072,427,79,6699
501011004,907,635,226,85,5508
501011293,756,690,325,68,4398
501011294,1478,1251,693,288,9013
501021005,1382,921,366,75,8397
501021007,480,339,116,22,2428
501021008,443,323,155,79,2997
501021009,637,462,224,83,3694
501021010,299,234,75,21,1574
501021011,0,0,0,0,8
501021012,744,526,319,159,5375
501021014,738,510,222,81,4146
501021015,483,329,188,51,3124
501021016,358,243,135,52,1869
501021251,582,327,124,15,4475
501021252,340,212,49,8,1490
501021253,1212,881,438,238,6952
501021254,313,236,98,18,2086
501031017,732,661,282,46,3526
501031018,552,482,225,43,2857
501031019,362,265,121,40,2125
501031020,655,528,216,48,2825
502011021,657,620,280,43,3664
502011022,829,783,321,78,4352
502011023,638,498,473,269,4053
502011024,1617,1408,886,239,8809
502011025,833,785,446,201,4918
502011026,500,471,249,59,2753
502011027,1261,882,476,195,9289
502011028,850,821,493,196,4696
502011029,606,517,318,133,4081
503011030,836,468,386,171,3882
503011031,843,781,618,288,5757
503011032,873,671,391,151,4728
503011033,1008,566,274,89,4890
503011034,1049,820,443,157,6190
503011035,1758,1666,1036,388,12389
503011036,972,762,408,207,5548
503021037,11,4,7,0,32
503021038,911,485,170,78,6973
503021039,1528,1048,401,159,10329
503021040,820,468,175,79,5705
503021042,1660,1487,830,261,11534
503021043,1376,1091,531,348,12018
503021295,1120,691,224,58,9317
503021296,706,412,169,40,7783
503021297,1051,619,255,102,10801
504011044,1223,814,374,109,8102
504011045,1777,1142,539,254,13131
504011046,836,666,265,92,8368
504011047,1369,1022,596,143,10875
504011048,594,574,269,61,3769
504021049,325,188,52,12,1551
504021050,768,600,305,57,3904
504021051,422,371,190,30,2705
504021052,0,4,0,0,4
504021053,1263,926,407,116,6552
504021054,881,721,418,177,5855
504031055,0,3,0,0,0
504031056,1463,695,273,54,7673
504031057,1057,638,204,35,9033
504031058,407,260,82,14,2473
504031060,310,162,77,17,1436
504031061,365,259,119,21,2696
504031062,694,390,174,23,5699
504031063,0,0,0,0,16
504031064,0,0,0,0,0
504031065,447,314,129,26,2683
504031066,866,586,365,288,6088
504031067,455,217,83,21,2874
504031068,873,521,199,22,5545
504031069,0,0,0,0,0
504031298,605,318,124,14,6961
504031299,386,172,63,12,5226
504031300,879,471,292,132,7783
505011070,674,486,157,38,5201
505011071,1221,570,200,46,6794
505011072,1276,1189,549,134,8376
505011073,918,930,419,66,6913
505011074,916,587,198,44,5375
505011075,1232,866,296,65,5941
505011076,1189,498,126,27,5116
505011077,1293,877,465,280,7945
505011078,1138,956,325,201,6594
505011079,1117,830,322,79,6069
505011080,859,594,180,43,4226
505011081,624,475,175,37,4383
505011082,1055,926,382,104,5468
505011083,1046,581,191,66,4868
505021084,962,789,465,206,8215
505021085,901,624,274,65,8740
505021087,0,0,0,0,0
505021088,1259,813,438,234,10590
505021089,1692,1542,947,399,11968
505021090,957,583,271,84,10363
505021091,14,6,4,8,184
505021092,1261,783,385,111,10699
505021093,999,670,325,64,7913
505021094,752,648,349,82,4457
505021095,785,507,210,108,7703
505021096,1335,925,666,257,8454
505021097,1302,887,570,322,9560
505021301,953,686,394,127,5829
505021302,943,687,450,180,6860
505031098,744,477,182,34,4541
505031099,1073,707,501,227,9879
505031100,946,429,139,24,8351
505031101,861,397,144,28,6499
505031102,406,311,140,24,3513
505031104,600,415,231,131,4272
505031105,1925,787,362,130,10184
505031106,0,0,0,0,6
505031107,763,447,261,68,6097
505031255,529,255,81,11,6254
505031256,89,40,8,0,349
505031257,306,199,84,8,1644
505031258,657,444,253,88,4689
505031303,767,518,197,37,6144
505031304,804,324,101,26,6886
505031305,712,450,241,118,6463
505031306,917,720,356,175,6687
506011110,1102,818,415,131,9750
506011111,0,0,0,0,0
506011112,408,264,110,27,2404
506011114,753,583,284,126,4949
506011115,799,531,322,86,4138
506011116,679,559,221,37,3745
506011117,475,229,84,27,4450
506011307,475,218,43,8,5663
506011308,533,236,55,11,7918
506021118,1073,657,322,202,8177
506021119,1088,713,278,88,10153
506021120,0,0,0,0,3
506021121,0,0,0,0,20
506021123,1297,790,249,64,10257
506021309,434,302,141,58,4373
506021310,399,273,154,36,3606
506021311,668,381,160,52,6500
506031124,1054,779,674,572,11992
506031125,994,554,173,35,5101
506031126,3,0,0,0,10
506031127,873,456,199,46,10960
506031128,957,844,392,135,7067
506031129,1219,933,581,196,7873
506031130,4,0,0,0,11
506031131,1404,1097,454,84,9845
506041132,960,670,305,69,9292
506041133,1399,800,268,99,11458
506041134,1087,833,557,278,8684
506041135,1110,627,204,46,9774
506041136,784,570,309,149,6467
506041137,1522,1136,544,118,10653
506051138,1140,803,298,115,9022
506051139,713,450,278,63,5174
506051140,1395,1251,749,248,7825
506051141,999,874,489,187,5884
506061142,881,488,178,45,8449
506061143,555,296,94,23,3153
506061144,392,246,124,23,2019
506071145,1112,940,499,332,9064
506071146,1050,768,434,240,6517
506071147,1676,1323,577,183,10574
507011148,1080,605,249,112,10766
507011150,0,4,3,0,20
507011151,0,0,0,0,0
507011152,819,551,220,47,4821
507011153,598,381,191,66,4376
507011154,784,572,243,106,5818
507011155,8,0,0,0,31
507011158,460,273,75,29,2210
507011159,858,513,217,96,5829
507011160,750,537,278,136,5447
507011161,765,361,171,69,8639
507011163,502,275,88,25,3522
507011259,552,280,79,23,4819
507011260,248,208,62,16,1288
507021164,858,605,307,165,4544
507021165,1916,1416,625,212,11172
507021166,1468,1069,447,187,8530
507021167,0,0,0,0,3
507031169,637,339,109,15,8288
507031170,455,263,145,66,3088
507031172,3,0,0,0,21
507031173,4,0,0,0,21
507031174,602,401,157,51,4522
507031261,429,226,67,11,3991
507041175,1144,954,446,132,6817
507041176,335,276,153,35,2154
507041177,1248,970,483,199,8176
