SA3_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_ns,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_ns,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_ns,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arr_ns,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_ns,Japan_Tot,Korea_Rep_South_Before_1951,Korea_Rep_South_1951_1960,Korea_Rep_South_1961_1970,Korea_Rep_South_1971_1980,Korea_Rep_South_1981_1990,Korea_Rep_South_1991_2000,Korea_Rep_South_2001_2010,Korea_Rep_South_2011_2015,Korea_Rep_South_2016,Korea_Rep_South_2017,Korea_Rep_South_2018,Korea_Rep_South_2019,Korea_Rep_South_2020,Korea_Rep_South_2021,Korea_Rep_South_Yr_arrival_ns,Korea_Rep_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_ns,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_ns,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_ns,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_ns,Pakistan_Tot
50101,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,23,45,44,27,45,52,3,0,4,4,0,0,3,252,11,36,16,0,8,3,28,47,9,8,11,11,5,0,15,208,0,0,0,0,4,19,24,25,4,5,0,5,0,0,0,84,0,0,0,0,0,7,22,33,7,0,3,3,0,0,3,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,14,14,11,10,12,5,11,0,0,0,0,0,5,86,0,0,0,0,0,0,3,4,4,4,0,0,0,0,0,19,15,85,13,11,22,14,31,19,4,4,7,0,3,0,3,224,3,10,82,216,285,227,273,148,4,33,14,16,9,9,69,1395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,5,8,0,3,0,0,0,10,0,30
50102,3,0,0,0,0,0,3,52,0,0,0,0,6,4,7,14,4,0,0,0,0,0,0,40,3,8,25,36,72,15,87,116,0,7,4,4,0,0,5,385,48,252,104,16,5,4,10,23,0,4,0,4,0,0,42,511,0,0,3,0,5,7,27,13,0,3,0,8,5,3,0,77,0,0,0,0,3,6,48,32,3,3,13,20,3,0,4,135,0,0,0,10,8,11,10,4,0,0,0,0,3,0,0,44,0,5,16,20,28,22,42,45,6,22,26,15,0,0,0,244,0,0,0,0,0,0,19,13,9,10,4,3,0,0,0,66,6,148,48,32,44,21,30,19,4,4,0,3,0,0,11,364,3,9,100,308,578,389,797,447,28,41,24,33,32,19,122,2942,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,19,45,6,10,14,3,5,3,0,103
50103,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,12,5,12,14,0,0,0,3,5,0,5,70,4,60,34,3,0,0,7,8,0,0,0,3,0,0,11,132,0,0,0,0,0,4,3,0,0,0,6,0,0,0,0,8,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,4,3,6,4,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,44,22,6,8,6,11,7,3,0,3,4,0,0,0,112,3,0,28,110,149,84,83,25,0,0,0,6,6,0,43,542,3,15,4,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,3,9,0,0,4,11,0,4,0,23
50201,0,0,0,5,0,9,0,70,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,3,10,44,42,79,24,116,147,7,3,0,0,0,0,9,478,18,102,55,9,11,3,15,12,3,0,0,0,0,0,7,245,0,0,0,0,5,13,22,12,0,0,0,6,0,4,3,62,0,0,0,0,9,3,20,31,0,0,0,4,0,0,0,74,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,3,10,22,30,31,20,56,39,4,8,15,4,0,0,3,253,0,0,0,0,0,0,18,12,4,6,4,8,4,0,0,53,26,243,49,32,38,15,37,22,0,4,0,4,0,6,12,484,7,15,144,450,612,480,875,641,38,35,39,74,24,29,114,3569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,11,17,0,0,0,7,3,0,0,49
50301,0,0,18,16,0,0,5,230,0,0,4,0,0,9,5,14,0,0,0,0,0,0,0,29,7,15,38,41,96,52,83,87,8,3,11,47,75,26,12,587,26,90,28,30,18,14,47,49,9,7,5,5,9,3,11,355,0,5,3,4,28,47,55,25,15,25,18,22,9,8,9,271,0,0,0,4,12,9,20,27,3,9,3,3,5,0,4,99,0,0,3,3,3,0,4,0,0,0,0,4,0,0,0,21,14,24,91,248,309,133,162,93,25,31,14,34,59,10,14,1276,0,0,0,0,3,3,6,4,0,8,3,7,3,0,0,41,7,57,7,22,16,24,66,42,3,6,5,12,0,0,5,287,3,26,91,162,213,144,195,69,13,10,21,13,13,31,21,997,0,0,3,8,5,0,3,0,0,0,0,0,0,0,0,23,0,0,0,0,3,15,15,24,0,18,5,8,9,0,0,108
50302,24,28,39,60,13,3,3,543,0,0,0,0,0,10,25,7,0,0,0,0,5,0,0,58,15,56,66,64,203,66,220,302,19,26,52,91,56,34,22,1295,71,436,289,77,24,19,65,191,43,21,35,49,36,4,56,1429,0,0,3,3,28,58,156,127,34,51,81,125,73,59,29,831,0,0,0,8,29,38,214,171,48,49,55,73,16,9,11,708,0,0,4,8,16,0,7,3,0,0,4,0,0,0,0,54,9,13,73,178,348,177,412,282,54,64,95,71,51,16,44,1884,0,0,0,0,0,6,52,71,59,82,107,119,45,0,8,548,7,81,11,27,25,31,59,23,3,4,11,23,8,7,10,332,0,9,119,254,427,310,403,292,31,35,39,59,50,18,72,2119,3,20,39,42,19,17,12,3,0,0,0,0,0,0,0,159,0,0,4,9,14,5,34,47,22,13,24,36,22,0,9,242
50401,16,3,12,7,6,0,0,274,0,0,4,0,0,27,48,33,9,9,5,10,0,0,0,155,3,5,52,52,113,42,203,213,18,6,11,17,8,0,10,754,45,494,444,107,35,40,52,109,18,10,7,14,0,0,31,1384,0,0,0,6,12,42,82,33,4,0,7,8,9,6,4,222,0,0,0,0,29,21,84,61,19,11,14,16,0,0,0,258,0,0,0,7,12,9,10,5,0,0,0,0,0,0,0,41,0,4,69,115,343,121,214,137,43,35,38,39,13,4,19,1204,0,0,0,0,0,3,75,66,15,34,53,45,21,0,9,311,15,102,34,24,25,15,21,11,5,0,0,0,0,0,6,261,0,16,76,215,364,278,410,301,15,36,41,32,6,10,45,1837,0,11,46,35,18,25,22,0,6,0,0,0,0,0,9,172,0,3,5,6,13,6,47,64,20,23,20,44,21,0,5,282
50402,0,0,0,0,0,0,4,27,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,3,3,3,23,28,56,19,36,46,3,0,0,0,0,0,9,227,18,118,62,22,3,5,3,3,0,0,0,0,0,0,12,249,0,0,0,0,8,18,19,4,0,0,0,0,0,0,0,46,0,0,0,0,4,0,3,3,3,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,4,7,16,10,35,12,18,3,3,0,6,4,0,0,18,133,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,10,10,92,29,24,19,17,33,5,0,0,0,0,0,0,4,239,0,8,62,159,264,159,220,140,11,6,3,5,9,4,90,1147,0,0,4,3,0,3,0,0,0,0,0,0,0,0,0,14,0,0,4,5,0,0,0,4,0,0,0,0,0,0,0,18
50403,15,10,16,5,14,13,3,357,0,0,3,0,3,225,187,125,12,21,13,4,0,7,18,625,0,9,49,45,124,50,158,206,21,3,0,3,6,0,11,689,34,266,202,54,24,26,35,44,15,8,0,7,0,0,33,742,0,0,0,0,13,22,68,18,0,5,3,0,0,0,4,135,0,0,0,0,9,9,64,32,10,6,3,5,0,0,4,134,0,0,5,5,18,14,18,5,0,0,0,0,0,0,0,70,0,7,48,97,328,130,271,138,29,20,21,14,6,0,26,1128,0,0,0,0,0,3,92,54,0,11,9,11,6,0,3,183,16,141,38,27,30,11,38,8,0,3,0,0,0,0,12,330,7,5,89,342,826,729,1422,1187,81,102,73,85,47,35,136,5176,3,4,27,42,44,54,45,27,0,0,0,0,3,0,3,253,0,0,3,8,16,18,106,127,12,30,22,28,14,3,4,388
50501,18,18,13,21,5,0,5,464,0,0,0,0,0,17,17,8,0,9,0,0,0,0,0,54,0,22,73,130,528,192,696,770,25,31,27,25,4,7,21,2548,42,241,171,81,37,26,71,98,13,3,12,17,12,0,22,842,0,0,0,7,32,68,95,38,10,3,13,12,6,0,0,280,0,0,0,3,24,4,66,30,5,3,3,5,0,0,0,155,0,0,5,8,12,6,5,4,0,0,0,0,0,0,0,47,5,24,71,139,280,104,199,76,18,14,24,33,6,5,17,1016,0,0,0,0,0,0,11,4,5,5,5,8,3,0,0,48,20,210,63,40,86,49,72,34,3,3,7,6,15,0,9,620,7,12,117,491,974,665,790,565,44,36,22,60,18,22,86,3896,0,10,29,38,20,25,7,5,0,0,0,0,0,0,3,147,0,3,6,0,12,5,17,28,8,10,17,7,10,0,3,130
