SA3_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_mo_con_0_14,M_1_mo_con_15_24,M_1_mo_con_25_34,M_1_mo_con_35_44,M_1_mo_con_45_54,M_1_mo_con_55_64,M_1_mo_con_65_74,M_1_mo_con_75_84,M_1_mo_con_85_over,M_1_mo_con_Tot,M_2_mo_con_0_14,M_2_mo_con_15_24,M_2_mo_con_25_34,M_2_mo_con_35_44,M_2_mo_con_45_54,M_2_mo_con_55_64,M_2_mo_con_65_74,M_2_mo_con_75_84,M_2_mo_con_85_over,M_2_mo_con_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_OM_Lterm_Health_Tot_0_14,M_OM_Lterm_Health_Tot_15_24,M_OM_Lterm_Health_Tot_25_34,M_OM_Lterm_Health_Tot_35_44,M_OM_Lterm_Health_Tot_45_54,M_OM_Lterm_Health_Tot_55_64,M_OM_Lterm_Health_Tot_65_74,M_OM_Lterm_Health_Tot_75_84,M_OM_Lterm_Health_Tot_85_ov,M_OM_Lterm_Health_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_mo_con_0_14,F_1_mo_con_15_24,F_1_mo_con_25_34,F_1_mo_con_35_44,F_1_mo_con_45_54,F_1_mo_con_55_64,F_1_mo_con_65_74,F_1_mo_con_75_84,F_1_mo_con_85_over,F_1_mo_con_Tot,F_2_mo_con_0_14,F_2_mo_con_15_24,F_2_mo_con_25_34,F_2_mo_con_35_44,F_2_mo_con_45_54,F_2_mo_con_55_64,F_2_mo_con_65_74,F_2_mo_con_75_84,F_2_mo_con_85_over,F_2_mo_con_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_OM_Lterm_Health_Tot_0_14,F_OM_Lterm_Health_Tot_15_24,F_OM_Lterm_Health_Tot_25_34,F_OM_Lterm_Health_Tot_35_44,F_OM_Lterm_Health_Tot_45_54,F_OM_Lterm_Health_Tot_55_64,F_OM_Lterm_Health_Tot_65_74,F_OM_Lterm_Health_Tot_75_84,F_OM_Lterm_Health_Tot_85_ov,F_OM_Lterm_Health_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_mo_con_0_14,P_1_mo_con_15_24,P_1_mo_con_25_34,P_1_mo_con_35_44,P_1_mo_con_45_54,P_1_mo_con_55_64,P_1_mo_con_65_74,P_1_mo_con_75_84,P_1_mo_con_85_over,P_1_mo_con_Tot,P_2_mo_con_0_14,P_2_mo_con_15_24,P_2_mo_con_25_34,P_2_mo_con_35_44,P_2_mo_con_45_54,P_2_mo_con_55_64,P_2_mo_con_65_74,P_2_mo_con_75_84,P_2_mo_con_85_over,P_2_mo_con_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_OM_Lterm_Health_Tot_0_14,P_OM_Lterm_Health_Tot_15_24,P_OM_Lterm_Health_Tot_25_34,P_OM_Lterm_Health_Tot_35_44,P_OM_Lterm_Health_Tot_45_54,P_OM_Lterm_Health_Tot_55_64,P_OM_Lterm_Health_Tot_65_74,P_OM_Lterm_Health_Tot_75_84,P_OM_Lterm_Health_Tot_85_ov,P_OM_Lterm_Health_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
50101,4620,1992,1891,2366,2442,1976,1525,569,120,17501,497,333,368,572,653,831,1024,546,141,4976,21,31,47,82,148,245,456,283,104,1432,3,0,9,16,40,103,198,217,98,697,527,375,423,677,844,1191,1680,1046,347,7099,518,230,300,328,341,324,262,138,53,2487,5661,2594,2611,3367,3626,3491,3470,1752,518,27082,4492,1627,1960,2873,2597,2228,1602,567,143,18099,363,391,606,754,841,968,1115,610,277,5918,30,53,106,173,228,333,434,323,192,1870,0,4,10,46,72,142,259,194,133,862,393,448,721,968,1135,1441,1806,1130,601,8649,536,229,273,344,351,347,286,130,57,2554,5420,2312,2954,4189,4078,4022,3694,1832,803,29298,9115,3619,3853,5241,5037,4203,3127,1139,265,35595,867,726,973,1326,1486,1805,2139,1155,418,10891,49,84,155,259,377,579,898,606,297,3299,3,7,17,61,111,252,459,412,229,1556,916,822,1144,1642,1976,2633,3490,2174,945,15748,1056,464,573,671,694,671,546,269,106,5040
50102,8525,4391,4031,4398,4126,3457,2073,799,179,31971,1224,864,926,1068,1310,1650,1748,837,239,9876,74,98,168,208,360,587,757,502,170,2915,0,12,22,62,122,305,489,385,137,1530,1303,977,1120,1337,1794,2540,2993,1722,546,14322,907,617,675,695,718,580,421,207,111,4923,10728,5982,5827,6427,6633,6573,5483,2736,833,51224,8202,3816,4021,4456,4211,3478,2095,873,222,31389,818,1199,1396,1449,1676,1800,1705,1001,368,11415,53,223,302,412,591,792,868,534,236,4002,7,24,45,121,233,424,548,391,268,2063,875,1436,1747,1977,2503,3014,3126,1927,878,17479,857,504,502,462,516,482,381,283,195,4188,9934,5760,6270,6895,7228,6985,5599,3084,1289,53052,16727,8209,8054,8850,8338,6936,4170,1677,396,63364,2045,2061,2324,2514,2985,3454,3459,1838,609,21284,121,320,470,615,953,1375,1622,1030,408,6923,7,32,68,178,356,732,1036,776,403,3596,2171,2415,2862,3313,4294,5556,6113,3645,1423,31804,1761,1118,1174,1157,1235,1062,798,491,301,9109
50103,1653,784,715,859,977,1073,795,258,48,7156,168,168,159,194,289,416,553,275,73,2302,8,21,23,32,60,155,217,176,47,732,0,0,6,6,25,69,119,95,31,346,174,189,183,233,372,647,882,544,150,3373,225,114,105,118,190,187,156,94,25,1211,2052,1084,999,1206,1535,1906,1835,898,216,11738,1606,636,717,847,952,1039,688,242,51,6784,118,185,212,285,316,532,487,284,103,2517,12,48,36,71,117,194,232,151,50,916,0,3,6,19,49,94,129,98,46,443,130,232,253,381,475,819,847,538,207,3880,179,93,88,140,163,168,146,94,21,1089,1918,962,1054,1365,1591,2030,1676,873,281,11751,3249,1420,1436,1705,1933,2109,1482,504,102,13935,292,356,367,478,599,945,1043,563,171,4817,18,67,57,107,175,354,444,323,96,1644,0,3,12,24,72,164,247,193,78,791,308,427,433,612,851,1462,1725,1077,349,7249,411,202,188,258,347,357,298,190,39,2302
50201,7607,4060,3330,3460,3560,3239,2421,1095,235,29003,939,788,809,870,1174,1567,2067,1318,365,9886,49,107,132,194,312,570,1020,833,265,3482,0,13,20,56,110,317,654,676,239,2082,994,907,962,1117,1599,2448,3740,2822,870,15449,851,483,400,428,477,402,400,292,165,3897,9443,5450,4694,5006,5637,6089,6561,4207,1269,48355,7798,3768,3610,3921,3954,3610,2743,1188,279,30877,705,1048,1248,1331,1519,1838,2272,1460,522,11946,59,199,302,339,482,820,1101,859,361,4523,3,13,30,116,199,433,661,642,330,2427,765,1266,1581,1785,2195,3095,4030,2961,1212,18893,834,482,409,446,505,463,410,370,289,4214,9397,5520,5601,6151,6659,7170,7185,4520,1781,53982,15402,7825,6936,7382,7516,6851,5162,2283,515,59872,1644,1840,2055,2198,2692,3403,4341,2774,892,21839,105,311,440,536,794,1391,2121,1692,625,8001,3,26,52,175,306,746,1313,1315,572,4505,1754,2177,2549,2901,3792,5542,7770,5786,2080,34347,1679,970,806,867,982,870,812,669,451,8112
50301,5723,4473,2591,2657,3463,2736,1723,756,195,24323,448,755,453,525,725,889,1018,777,283,5877,15,61,63,67,136,201,359,376,186,1468,0,11,6,5,30,81,156,251,123,660,458,831,521,606,890,1175,1536,1400,586,8007,350,330,235,241,266,258,207,162,105,2159,6537,5634,3347,3501,4620,4163,3470,2315,887,34481,5358,4134,2420,3251,3899,2840,1911,943,309,25067,367,1013,624,638,866,1009,1087,899,456,6954,25,124,107,94,176,250,400,385,259,1815,3,8,12,18,31,105,163,195,170,700,395,1149,738,752,1072,1363,1653,1473,880,9470,348,364,240,241,248,263,248,218,177,2349,6101,5641,3395,4247,5222,4463,3817,2636,1363,36876,11078,8611,5014,5910,7364,5567,3638,1701,502,49382,819,1770,1079,1163,1589,1905,2103,1676,733,12833,40,190,167,162,314,453,761,761,447,3283,3,17,13,29,56,183,316,443,295,1358,857,1977,1258,1356,1961,2539,3185,2875,1468,17475,699,691,473,482,519,522,461,386,278,4501
50302,6754,4381,8808,7133,4789,3608,1993,671,197,38326,469,798,1617,1397,1176,1295,1319,676,248,8996,26,85,219,241,256,382,501,325,125,2156,0,3,17,32,82,133,242,271,134,921,497,884,1851,1670,1508,1809,2065,1275,515,12073,498,574,1199,935,810,627,435,228,103,5412,7750,5839,11857,9738,7107,6045,4493,2169,812,55816,6584,4527,8762,6586,4482,3329,2100,766,301,37438,351,1294,2076,1406,1287,1407,1277,769,475,10355,7,214,376,249,333,440,530,380,284,2810,0,22,36,42,76,173,249,253,265,1105,357,1530,2490,1700,1697,2017,2050,1409,1025,14271,444,535,952,642,536,415,380,214,147,4264,7383,6592,12201,8922,6718,5761,4532,2386,1471,55978,13341,8912,17572,13714,9276,6935,4095,1433,497,75771,825,2091,3693,2811,2458,2698,2595,1451,729,19352,33,299,590,489,585,818,1031,710,411,4971,0,22,56,75,163,301,488,525,401,2029,860,2414,4343,3367,3205,3823,4116,2683,1539,26345,936,1108,2153,1577,1348,1044,815,438,250,9680
50401,6145,3478,4882,4531,3464,2608,1562,673,151,27499,502,623,1016,1058,1011,1160,1174,633,196,7375,33,68,138,160,234,358,488,372,147,2005,0,9,19,44,78,160,262,285,138,988,536,701,1177,1267,1326,1677,1923,1292,481,10372,476,335,416,418,348,316,213,125,63,2702,7153,4516,6465,6214,5132,4599,3695,2089,693,40570,5745,2974,4735,4443,3436,2662,1808,664,229,26707,382,844,1336,1208,1169,1233,1296,838,383,8695,21,147,258,281,308,421,574,453,260,2722,0,10,35,53,117,233,297,328,232,1304,408,1001,1631,1540,1592,1889,2169,1618,882,12723,400,297,393,357,344,271,205,159,116,2536,6555,4267,6757,6341,5373,4821,4180,2441,1233,41965,11884,6452,9615,8981,6905,5271,3368,1337,378,54204,884,1470,2355,2266,2176,2391,2465,1470,584,16074,53,214,390,444,536,777,1071,827,412,4729,0,15,52,94,197,395,554,607,370,2292,943,1696,2800,2806,2917,3561,4091,2906,1365,23097,875,637,804,777,684,586,417,276,177,5237
50402,3179,1835,1445,1548,1729,1566,970,366,81,12714,353,379,351,383,551,668,703,389,101,3883,15,36,35,80,124,219,318,235,62,1129,0,9,4,10,41,92,160,175,65,555,373,421,397,471,721,980,1179,803,231,5569,274,376,779,701,485,322,156,80,26,3197,3827,2636,2614,2714,2937,2871,2301,1239,340,21479,2998,1517,1391,1725,1859,1634,1013,387,96,12628,294,463,478,515,668,780,763,458,160,4578,12,70,93,155,202,273,350,248,105,1512,0,4,15,30,69,122,173,175,90,680,305,538,577,701,946,1180,1287,878,354,6766,251,175,158,155,205,168,137,83,39,1359,3550,2229,2123,2583,3007,2982,2437,1347,493,20753,6169,3350,2832,3278,3588,3205,1986,748,177,25344,643,842,831,897,1225,1449,1467,848,265,8457,31,107,129,233,329,490,667,483,164,2641,0,14,18,40,114,216,329,348,155,1236,680,961,970,1172,1667,2161,2466,1682,588,12331,527,556,933,857,688,491,289,161,67,4557
50403,13955,7377,7775,7699,5799,4086,1951,661,141,49445,1469,1223,1549,1727,1740,1978,1629,730,194,12240,89,143,194,306,440,651,647,446,119,3033,0,9,26,64,145,313,443,359,129,1489,1553,1376,1770,2095,2323,2940,2720,1532,440,16759,1274,696,726,774,713,540,325,152,76,5263,16789,9456,10265,10565,8837,7569,4991,2345,655,71468,13378,6385,8084,7650,5881,4157,2056,678,169,48445,1032,1520,2158,2055,2171,2152,1594,834,316,13840,81,325,498,522,686,863,765,501,205,4451,3,33,68,137,276,443,491,404,215,2067,1116,1872,2724,2711,3136,3460,2858,1741,735,20355,1115,718,856,775,669,501,353,184,115,5290,15609,8978,11667,11134,9683,8122,5263,2608,1014,74079,27337,13761,15854,15350,11680,8240,4009,1339,312,97893,2500,2737,3699,3785,3915,4132,3223,1564,513,26071,169,467,691,824,1125,1515,1415,948,319,7479,4,43,95,202,419,758,936,758,338,3557,2674,3250,4494,4803,5464,6405,5576,3273,1172,37107,2384,1418,1586,1545,1378,1045,675,336,190,10545
50501,13219,7949,5948,7442,7484,5932,3723,1094,234,53027,1363,1354,1162,1624,1999,2410,2615,1220,341,14104,63,152,138,234,391,670,1159,664,216,3688,5,5,14,35,85,237,535,468,170,1562,1432,1508,1315,1897,2474,3318,4309,2355,727,19350,784,568,465,564,612,505,360,198,105,4177,15433,10028,7727,9908,10575,9761,8391,3649,1069,76548,12712,6631,5920,7754,7712,6540,4073,1221,326,52887,974,1698,1476,2095,2368,2749,2780,1444,609,16198,51,233,268,439,589,846,1168,713,377,4689,3,17,31,71,155,352,537,462,300,1925,1034,1945,1782,2609,3111,3941,4487,2621,1282,22812,782,524,458,566,657,540,374,249,173,4334,14533,9101,8156,10928,11480,11029,8940,4089,1782,80031,25932,14577,11864,15196,15198,12473,7799,2314,563,105912,2340,3053,2639,3721,4367,5163,5397,2666,953,30302,118,387,402,677,975,1513,2330,1379,593,8379,6,20,52,108,235,593,1075,934,464,3490,2465,3462,3095,4509,5586,7261,8802,4977,2008,42166,1574,1091,920,1130,1274,1055,737,450,278,8508
