SA3_CODE_2021,M_15_19_Prov_unpaid_assist,M_15_19_No_unpaid_assist_prov,M_15_19_yr_Unpaid_assist_ns,M_15_19_Overseas_visitors,M_15_19_years_Total,M_20_24_Prov_unpaid_assist,M_20_24_No_unpaid_assist_prov,M_20_24_yr_Unpaid_assist_ns,M_20_24_Overseas_visitors,M_20_24_years_Total,M_25_34_Prov_unpaid_assist,M_25_34_No_unpaid_assist_prov,M_25_34_yr_Unpaid_assist_ns,M_25_34_Overseas_visitors,M_25_34_years_Total,M_35_44_Prov_unpaid_assist,M_35_44_No_unpaid_assist_prov,M_35_44_yr_Unpaid_assist_ns,M_35_44_Overseas_visitors,M_35_44_years_Total,M_45_54_Prov_unpaid_assist,M_45_54_No_unpaid_assist_prov,M_45_54_Unpaid_assist_ns,M_45_54_Overseas_visitors,M_45_54_years_Total,M_55_64_Prov_unpaid_assist,M_55_64_No_unpaid_assist_prov,M_55_64_yr_Unpaid_assist_ns,M_55_64_Overseas_visitors,M_55_64_years_Total,M_65_74_Prov_unpaid_assist,M_65_74_No_unpaid_assist_prov,M_65_74_yr_Unpaid_assist_ns,M_65_74_Overseas_visitors,M_65_74_years_Total,M_75_84_Prov_unpaid_assist,M_75_84_No_unpaid_assist_prov,M_75_84_yr_Unpaid_assist_ns,M_75_84_Overseas_visitors,M_75_84_years_Total,M_85_over_Prov_unpaid_assist,M_85ovr_No_unpaid_assist_prov,M_85ovr_over_Unpaid_assist_ns,M_85over_Overseas_visitors,M_85_yr_and_over_Total,M_Tot_Prov_unpaid_assist,M_Tot_No_unpaid_assist_prov,M_Tot_Unpaid_assist_ns,M_Total_Overseas_visitors,M_Total_Total,F_15_19_Prov_unpaid_assist,F_15_19_No_unpaid_assist_prov,F_15_19_yr_Unpaid_assist_ns,F_15_19_Overseas_visitors,F_15_19_years_Total,F_20_24_Prov_unpaid_assist,F_20_24_No_unpaid_assist_prov,F_20_24_yr_Unpaid_assist_ns,F_20_24_Overseas_visitors,F_20_24_years_Total,F_25_34_Prov_unpaid_assist,F_25_34_No_unpaid_assist_prov,F_25_34_yr_Unpaid_assist_ns,F_25_34_Overseas_visitors,F_25_34_years_Total,F_35_44_Prov_unpaid_assist,F_35_44_No_unpaid_assist_prov,F_35_44_yr_Unpaid_assist_ns,F_35_44_Overseas_visitors,F_35_44_years_Total,F_45_54_Prov_unpaid_assist,F_45_54_No_unpaid_assist_prov,F_45_54_Unpaid_assist_ns,F_45_54_Overseas_visitors,F_45_54_years_Total,F_55_64_Prov_unpaid_assist,F_55_64_No_unpaid_assist_prov,F_55_64_yr_Unpaid_assist_ns,F_55_64_Overseas_visitors,F_55_64_years_Total,F_65_74_Prov_unpaid_assist,F_65_74_No_unpaid_assist_prov,F_65_74_yr_Unpaid_assist_ns,F_65_74_Overseas_visitors,F_65_74_years_Total,F_75_84_Prov_unpaid_assist,F_75_84_No_unpaid_assist_prov,F_75_84_yr_Unpaid_assist_ns,F_75_84_Overseas_visitors,F_75_84_years_Total,F_85_over_Prov_unpaid_assist,F_85ovr_No_unpaid_assist_prov,F_85ovr_over_Unpaid_assist_ns,F_85over_Overseas_visitors,F_85_yr_and_over_Total,F_Tot_Prov_unpaid_assist,F_Tot_No_unpaid_assist_prov,F_Tot_Unpaid_assist_ns,F_Total_Overseas_visitors,F_Total_Total,P_15_19_Prov_unpaid_assist,P_15_19_No_unpaid_assist_prov,P_15_19_yr_Unpaid_assist_ns,P_15_19_Overseas_visitors,P_15_19_years_Total,P_20_24_Prov_unpaid_assist,P_20_24_No_unpaid_assist_prov,P_20_24_yr_Unpaid_assist_ns,P_20_24_Overseas_visitors,P_20_24_years_Total,P_25_34_Prov_unpaid_assist,P_25_34_No_unpaid_assist_prov,P_25_34_yr_Unpaid_assist_ns,P_25_34_Overseas_visitors,P_25_34_years_Total,P_35_44_Prov_unpaid_assist,P_35_44_No_unpaid_assist_prov,P_35_44_yr_Unpaid_assist_ns,P_35_44_Overseas_visitors,P_35_44_years_Total,P_45_54_Prov_unpaid_assist,P_45_54_No_unpaid_assist_prov,P_45_54_Unpaid_assist_ns,P_45_54_Overseas_visitors,P_45_54_years_Total,P_55_64_Prov_unpaid_assist,P_55_64_No_unpaid_assist_prov,P_55_64_yr_Unpaid_assist_ns,P_55_64_Overseas_visitors,P_55_64_years_Total,P_65_74_Prov_unpaid_assist,P_65_74_No_unpaid_assist_prov,P_65_74_yr_Unpaid_assist_ns,P_65_74_Overseas_visitors,P_65_74_years_Total,P_75_84_Prov_unpaid_assist,P_75_84_No_unpaid_assist_prov,P_75_84_yr_Unpaid_assist_ns,P_75_84_Overseas_visitors,P_75_84_years_Total,P_85_over_Prov_unpaid_assist,P_85ovr_No_unpaid_assist_prov,P_85ovr_over_Unpaid_assist_ns,P_85over_Overseas_visitors,P_85_yr_and_over_Total,P_Tot_Prov_unpaid_assist,P_Tot_No_unpaid_assist_prov,P_Tot_Unpaid_assist_ns,P_Total_Overseas_visitors,P_Total_Total
50101,55,1428,124,0,1610,34,895,59,15,998,115,2252,249,47,2655,229,2888,242,25,3393,368,2998,257,8,3637,477,2761,253,9,3493,363,2908,203,4,3478,204,1413,132,4,1750,55,396,64,0,518,1903,17936,1585,110,21525,67,1258,120,3,1448,45,753,69,0,864,225,2497,234,18,2968,511,3433,247,10,4200,715,3119,247,8,4083,836,2929,256,11,4027,593,2876,225,5,3694,229,1457,147,0,1835,49,675,79,0,803,3267,18980,1631,49,23931,126,2692,240,3,3057,81,1641,130,15,1865,338,4745,478,65,5622,741,6314,497,34,7589,1085,6117,504,14,7724,1314,5685,508,20,7526,952,5786,430,9,7178,434,2863,282,4,3585,107,1074,143,0,1322,5171,36917,3209,160,45456
50102,140,2990,212,4,3343,112,2342,195,0,2647,310,4956,563,19,5847,565,5298,568,10,6441,736,5391,507,12,6639,898,5280,391,6,6579,634,4510,342,7,5490,296,2230,209,6,2740,73,624,138,0,833,3758,33609,3123,60,40558,170,2909,196,3,3279,138,2201,146,0,2488,580,5318,373,13,6284,1042,5507,350,4,6902,1361,5541,332,4,7232,1607,5078,296,11,6989,940,4381,285,7,5608,358,2445,281,8,3087,56,979,256,0,1289,6251,34364,2501,58,43171,304,5902,406,11,6624,250,4539,342,7,5137,892,10267,937,35,12136,1608,10801,914,16,13339,2091,10933,836,13,13875,2507,10361,687,16,13569,1568,8892,621,14,11100,657,4676,485,7,5826,128,1601,392,0,2126,10018,67974,5624,122,83728
50103,25,525,60,0,610,28,416,35,8,484,66,829,105,25,1027,123,978,105,8,1214,185,1203,153,0,1540,238,1514,155,0,1903,200,1506,125,3,1832,83,724,86,0,898,24,167,22,0,216,969,7865,846,41,9730,39,507,63,0,604,24,308,31,13,375,118,870,72,14,1074,228,1026,115,6,1372,301,1163,125,0,1589,398,1506,132,6,2039,236,1330,111,0,1677,113,674,89,0,873,15,239,27,0,277,1462,7607,760,41,9877,66,1032,116,3,1211,48,722,67,22,858,187,1696,178,39,2098,349,2002,223,10,2587,487,2365,277,4,3129,632,3018,287,9,3943,437,2835,239,4,3511,196,1399,176,0,1769,36,406,55,0,495,2432,15474,1613,88,19606
50201,135,2668,177,0,2984,128,2192,143,0,2464,287,4122,287,5,4696,442,4255,300,10,5010,607,4741,289,8,5641,787,5066,240,6,6097,750,5500,307,12,6569,458,3476,274,6,4208,141,972,163,0,1269,3734,32987,2189,45,38956,143,2601,191,0,2934,194,2252,141,5,2594,557,4738,311,11,5611,923,4898,332,6,6158,1227,5114,313,8,6662,1577,5338,260,10,7181,1177,5718,293,12,7195,507,3648,366,5,4524,111,1349,322,5,1783,6403,35664,2512,56,44640,277,5272,370,4,5921,320,4445,292,3,5056,840,8853,601,19,10308,1368,9156,632,15,11171,1833,9861,598,12,12309,2361,10402,494,16,13280,1925,11220,602,21,13763,967,7122,638,4,8737,251,2320,480,5,3055,10139,68650,4702,100,83597
50301,112,2801,91,7,3014,132,2401,95,15,2651,175,2986,187,26,3372,282,3057,161,12,3510,587,3904,128,18,4643,757,3258,150,24,4190,492,2838,138,11,3481,247,1912,159,11,2327,95,689,108,5,895,2883,23849,1220,131,28078,138,2799,126,12,3080,161,2300,122,10,2587,260,2950,186,18,3418,528,3549,171,17,4259,1135,3930,148,12,5237,1305,3008,149,18,4480,790,2854,174,18,3827,392,2030,204,6,2638,92,1083,188,0,1366,4819,24501,1461,115,30898,250,5603,216,21,6091,292,4699,212,25,5234,442,5935,369,47,6786,807,6602,336,29,7774,1725,7837,279,36,9875,2064,6271,293,42,8671,1282,5691,311,33,7307,646,3944,368,15,4973,188,1775,287,8,2262,7696,48351,2682,243,58971
50302,96,1909,113,8,2128,136,3242,343,76,3797,441,10327,1096,202,12062,586,8327,821,130,9863,753,5693,662,111,7219,896,4635,518,74,6120,531,3576,385,30,4524,211,1706,249,11,2181,71,611,131,3,816,3726,40022,4318,642,48709,73,2033,127,12,2240,189,3849,328,50,4419,582,10788,830,157,12362,827,7545,549,46,8968,1177,5163,379,50,6767,1392,4066,303,31,5794,760,3443,331,39,4567,259,1903,225,12,2399,68,1209,196,0,1473,5346,39993,3257,400,48991,171,3937,236,17,4367,329,7090,672,128,8215,1028,21113,1917,360,24423,1416,15869,1368,175,18834,1930,10853,1044,158,13985,2288,8698,820,108,11914,1297,7014,713,63,9091,468,3608,478,21,4578,142,1816,323,7,2293,9071,80012,7576,1040,97703
50401,87,1837,84,0,2013,138,2229,142,5,2507,345,5779,340,12,6477,506,5403,305,13,6225,666,4243,223,7,5148,695,3712,201,10,4617,449,3106,145,8,3709,231,1752,114,7,2096,72,555,67,0,693,3187,28609,1620,58,33476,94,1684,82,0,1860,144,2153,107,3,2411,494,5968,301,16,6779,770,5307,263,7,6349,1041,4111,212,6,5373,1128,3531,164,18,4843,704,3348,128,23,4206,262,2026,159,3,2446,52,1061,117,0,1228,4690,29193,1527,81,35491,180,3523,168,0,3870,284,4379,251,7,4925,839,11746,641,23,13252,1278,10715,565,19,12575,1709,8356,440,16,10519,1821,7238,361,31,9452,1153,6457,268,30,7911,489,3778,263,5,4539,122,1617,186,0,1922,7880,57808,3152,140,68970
50402,58,1213,71,0,1347,66,1004,221,0,1287,112,1772,734,5,2618,181,1881,653,3,2717,338,2198,400,5,2940,398,2234,237,10,2879,271,1915,115,3,2305,161,999,76,0,1241,39,255,48,0,340,1631,13464,2558,24,17674,68,1122,66,0,1254,72,863,48,5,982,208,1809,104,6,2128,381,2093,111,0,2590,649,2244,116,6,3014,730,2156,96,0,2985,457,1891,85,4,2441,169,1092,83,0,1344,23,375,88,0,493,2764,13647,791,21,17225,132,2329,135,0,2599,137,1861,271,5,2271,322,3582,832,10,4750,563,3975,759,3,5305,993,4441,511,8,5949,1132,4394,330,10,5863,731,3806,205,5,4744,331,2097,162,0,2590,60,629,139,0,828,4400,27113,3350,51,34902
50403,206,4414,237,0,4865,189,4157,235,49,4644,600,9063,607,16,10284,878,9106,573,6,10578,977,7378,480,7,8844,892,6335,339,25,7587,559,4190,240,16,5012,264,1919,161,7,2353,61,502,89,4,656,4646,47058,2978,138,54819,258,3959,251,4,4476,282,3971,257,8,4516,1043,9939,679,26,11690,1506,9040,589,14,11147,1667,7578,440,14,9698,1686,6148,293,48,8175,831,4179,260,33,5294,303,2103,204,7,2608,38,834,142,3,1021,7609,47745,3120,156,58628,472,8371,491,5,9340,477,8127,501,54,9160,1642,19002,1285,41,21976,2390,18149,1162,21,21720,2646,14957,921,18,18541,2578,12480,639,71,15765,1392,8364,501,52,10302,566,4015,365,12,4962,98,1336,239,4,1675,12251,94799,6097,295,113447
50501,184,5018,139,0,5338,193,4351,144,4,4698,361,7066,301,16,7739,732,8829,345,13,9921,1163,9107,312,16,10591,1417,8110,236,20,9780,1113,7078,203,15,8405,387,3081,178,8,3658,111,859,97,4,1074,5663,53496,1957,90,61205,189,4628,132,4,4951,234,3817,108,11,4165,533,7332,294,17,8169,1277,9349,296,13,10937,2057,9139,282,14,11489,2419,8380,232,17,11051,1535,7184,221,18,8959,453,3398,240,9,4099,89,1499,189,0,1780,8787,54724,1991,100,65608,370,9643,270,3,10284,424,8168,256,15,8863,892,14401,592,31,15912,2011,18182,646,27,20863,3219,18248,587,33,22085,3842,16484,464,43,20833,2646,14262,426,31,17363,840,6478,421,17,7753,206,2360,285,3,2856,14449,108219,3945,195,126814
50502,216,4877,214,7,5313,279,5150,356,7,5793,730,13915,919,36,15600,1095,13120,823,20,15069,1540,10256,571,30,12403,1596,8371,382,33,10380,1013,6843,318,33,8202,554,4295,296,13,5154,228,1652,172,0,2048,7253,68479,4056,183,79967,224,4502,235,3,4962,357,5405,306,15,6090,1133,15077,913,46,17168,1747,13411,741,25,15923,2434,10120,477,35,13065,2638,8268,372,62,11340,1783,7643,407,33,9870,795,5415,421,12,6645,158,2928,282,4,3371,11276,72772,4158,231,88433,435,9375,453,13,10279,638,10558,660,28,11877,1860,28999,1831,78,32770,2843,26537,1572,46,30995,3972,20380,1049,64,25471,4237,16641,760,87,21718,2800,14484,726,62,18067,1353,9701,719,25,11802,388,4577,454,4,5422,18528,141249,8214,410,168401
50503,256,6471,340,3,7066,286,5986,325,11,6607,640,11768,603,50,13062,1062,12358,594,25,14037,1291,11229,501,11,13038,1091,8494,354,24,9958,725,5762,230,24,6741,395,2851,202,8,3460,100,770,132,0,1004,5846,65687,3281,158,74972,312,6077,323,4,6707,368,5785,270,19,6442,1287,12973,625,27,14914,2052,13094,624,21,15791,2268,11567,504,17,14347,1995,8463,328,43,10825,1121,6140,298,34,7593,391,3427,305,14,4137,73,1244,251,3,1570,9864,68765,3527,177,82337,563,12547,666,10,13777,658,11774,597,25,13050,1925,24741,1232,81,27976,3113,25447,1223,50,29833,3561,22797,1006,24,27384,3079,16953,678,63,20779,1843,11899,528,55,14335,792,6278,508,18,7601,172,2014,380,3,2572,15713,134452,6808,334,157309
50601,130,2395,167,0,2688,107,2332,165,5,2602,376,5661,388,7,6438,668,6306,352,9,7329,557,4422,283,7,5267,513,3612,235,12,4369,374,2711,133,26,3244,154,1317,110,11,1584,51,322,61,0,432,2933,29069,1888,74,33963,132,2378,168,7,2677,173,2306,152,3,2627,721,6196,373,3,7297,1078,6308,368,5,7757,1013,4111,252,6,5387,913,3560,188,38,4695,572,2942,139,35,3688,190,1371,134,13,1707,29,462,102,0,595,4823,29638,1872,103,36441,265,4774,325,7,5366,274,4634,321,7,5231,1095,11855,771,17,13733,1742,12614,719,12,15092,1575,8535,535,16,10657,1429,7173,415,48,9069,946,5654,275,60,6932,351,2681,240,21,3295,76,788,162,0,1023,7754,58709,3763,176,70401
50602,69,1437,117,0,1625,122,2495,275,15,2902,345,6854,594,23,7815,437,5304,496,21,6257,500,3781,408,27,4714,531,3259,287,28,4107,326,2273,183,13,2791,121,1089,104,10,1323,47,387,59,0,485,2485,26874,2522,133,32014,70,1388,97,0,1559,152,2497,208,8,2866,466,6642,513,21,7643,603,4836,387,13,5837,722,3377,296,4,4404,816,2788,230,27,3859,492,2286,164,19,2965,147,1263,141,9,1556,26,656,112,0,796,3500,25742,2136,108,31483,136,2822,221,3,3185,277,4990,478,24,5764,809,13493,1109,53,15461,1037,10141,882,29,12093,1222,7166,701,38,9120,1351,6053,515,54,7963,822,4561,350,34,5758,270,2355,247,10,2877,70,1040,171,0,1279,5985,52615,4661,241,63503
