SA3_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
50101,135,174,307,66,90,157,79,235,310,74,421,495,266,991,1259,291,758,1056,960,542,1500,821,541,1363,1118,562,1680,1192,417,1612,846,286,1128,874,222,1097,1818,416,2229,1358,102,1458,1020,139,1160,626,47,672,1457,302,1762,1896,181,2081,163,313,479,15066,6751,21815
50102,257,351,609,117,125,243,130,423,556,173,903,1073,558,2137,2696,658,1166,1825,1978,810,2789,1559,955,2513,1792,1010,2800,1950,781,2731,1438,682,2118,1627,559,2188,3500,927,4423,2733,88,2819,2264,256,2523,1292,54,1349,2935,326,3267,3249,181,3431,307,503,814,28531,12232,40763
50103,83,98,179,56,67,116,41,134,178,38,228,267,181,601,783,148,343,491,543,233,783,441,303,749,490,260,755,524,166,688,326,133,454,374,111,480,728,155,881,521,24,550,396,43,436,212,13,223,425,80,500,713,38,752,93,157,242,6326,3183,9504
50201,369,468,840,145,161,310,159,490,647,204,992,1190,626,2593,3212,818,1700,2517,2605,937,3547,2069,973,3047,2124,922,3045,2125,595,2726,1324,570,1895,1440,426,1865,2993,811,3804,2211,77,2281,1916,204,2123,1116,39,1154,2940,286,3226,3710,183,3898,402,563,966,29308,12989,42293
50301,182,283,466,98,129,222,65,211,280,54,388,440,165,724,890,166,663,824,358,474,828,441,531,977,605,586,1191,700,488,1185,502,431,936,651,352,1006,1279,723,2001,1047,73,1121,1096,252,1355,829,35,870,8398,732,9128,1520,193,1712,111,198,312,18258,7479,25738
50302,271,656,927,73,200,273,108,570,673,90,1129,1220,245,1707,1949,298,1436,1734,675,1075,1746,754,1332,2081,1062,1770,2831,1306,1677,2984,1056,1608,2667,1215,1332,2548,2804,2788,5597,2318,346,2660,2248,906,3153,1677,199,1872,8507,1691,10198,1928,576,2500,145,684,826,26775,21669,48444
50401,211,396,609,99,124,225,84,362,443,128,734,865,362,1730,2090,386,1032,1421,1205,713,1919,1027,929,1953,1232,1022,2258,1466,885,2353,1098,744,1843,1183,639,1829,2673,1172,3850,2209,149,2360,2058,270,2332,1401,68,1466,3577,330,3902,1823,285,2103,177,332,508,22405,11918,34327
50402,90,134,214,32,46,79,75,147,223,39,259,304,177,712,885,187,376,562,598,238,841,529,282,808,673,304,983,742,255,996,476,216,689,614,161,773,1331,251,1587,1102,25,1127,998,72,1067,635,3,642,1806,92,1900,1401,65,1474,132,150,276,11638,3798,15429
50403,310,458,769,128,166,291,133,391,525,180,742,922,471,1591,2063,684,969,1658,1794,701,2497,1661,1001,2665,2233,1313,3549,2650,1121,3767,2271,886,3156,2379,698,3081,5617,1045,6662,4290,133,4431,3177,245,3419,2008,59,2069,4378,267,4648,4138,286,4426,396,658,1053,38902,12741,51647
50501,370,422,792,185,162,350,175,371,541,195,726,928,605,1772,2377,569,1294,1864,1841,865,2710,1803,955,2759,2329,1042,3365,2498,866,3368,1999,749,2750,2063,639,2703,4975,1072,6050,4413,133,4549,4327,294,4620,3014,49,3068,9708,340,10046,4359,244,4606,374,401,773,45800,12398,58197
